,American_Norm,American_Situation,Labeled_Dialogue
0,"In American culture, offering condolences is also an important social norm when someone has experienced the loss of a loved one. It is customary to express sympathy and offer support to the grieving family. This is often done through cards, flowers, or personal visits to the family's home or the funeral service. Verbal phrases of evidence to support this norm include ""I'm sorry for your loss,"" ""My thoughts are with you,"" and ""Please let me know if there's anything I can do to help."" Overall, the norm of offering condolences in American culture aligns with the Chinese norm.","American Situation: At a funeral in America, relatives and friends of the deceased gather to express their condolences to the grieving family. Mr. Smith, who is a close friend of the deceased, approaches the family with a solemn expression and offers his sympathies, saying ""I'm sorry for your loss."" As tradition dictates, he also brings a bouquet of white flowers to symbolize his condolences. He notices that the family members are not eating or drinking, a sign of mourning, and he refrains from offering them refreshments out of respect for their grief. Mr. Smith sits quietly with the family, listening to their stories about the deceased and sharing in their sorrow. Overall, Mr. Smith's behavior aligns with the social norm of offering condolences in American culture.","Norm Action: offer condolences
Actor of the Norm:
Mr. Smith: condolence giver

Dialogue:
Mr. Smith: I'm so sorry for your loss. You and your family are in my thoughts. Adhered | Mr. Smith offers condolences to the family by expressing sympathy and support.
Deceased's family member: Thank you so much for coming, Mr. Smith. It means a lot to us. Not Relevant | The family member acknowledges Mr. Smith's condolences and expresses gratitude.
Mr. Smith: Of course, I wouldn't miss it. (hands over the bouquet of flowers) Adhered | Mr. Smith brings flowers as a gesture of sympathy and support.
Deceased's family member: The flowers are beautiful. Thank you. Not Relevant | The family member acknowledges the flowers and expresses gratitude.
Mr. Smith: You're welcome. Is there anything I can do to help during this difficult time? Adhered | Mr. Smith offers to help the family during their time of need.
Deceased's family member: Actually, we could use some help setting up the reception after the service. Would you mind lending a hand? Adhered | The family member accepts Mr. Smith's offer of help.
Mr. Smith: Of course not. I'd be happy to help. Let me know what needs to be done. Adhered | Mr. Smith agrees to help and asks for instructions.
(They continue to talk and share stories about the deceased, offering each other comfort and support.) Not Relevant | The conversation continues with the focus on offering comfort and support to the family."
1,"In American culture, offering condolences is also an important social norm when someone has experienced the loss of a loved one. It is customary to express sympathy and offer support to the grieving family. This is often done through cards, flowers, or personal visits to the family's home or the funeral service. Verbal phrases of evidence to support this norm include ""I'm sorry for your loss,"" ""My thoughts are with you,"" and ""Please let me know if there's anything I can do to help."" Overall, the norm of offering condolences in American culture aligns with the Chinese norm.","American Situation: A co-worker in an American company, named Jack, has experienced the loss of his mother. The employees are expected to gather and offer their condolences to him, to show support for their colleague in his time of grief. While offering their condolences, the colleagues also show respect for the departed soul and the family. In American culture, it is customary to express condolences through offerings such as flowers, cards, and personal visits as a token of support. As the colleagues gather, they also share stories about their experiences with Jack and his mother, to create a comforting environment, and show how much they empathize with and support him. The colleagues also offer their help and support, saying ""I'm sorry for your loss,"" ""My thoughts are with you,"" and ""Please let me know if there's anything I can do to help."" Ultimately, the gathering is a way to show Jack that he is not alone in his grief, and that his colleagues are there to support him.","Norm Action: offer condolences
Actor of the Norm:
Colleague 1, Colleague 2, Colleague 3, Colleague 4: colleagues

Dialogue:
Colleague 1: Hey Jack, I'm so sorry for your loss. Your mother was such a wonderful person. Adhered | Colleague 1 offers condolences to Jack and expresses sympathy for his loss.
Jack: Thank you, I appreciate it. Not Relevant | Jack acknowledges the condolences offered by Colleague 1.
Colleague 2: Yeah, we're here to support you and offer any help we can. Adhered | Colleague 2 offers support and help to Jack.
Colleague 3: I brought you some flowers as a gesture of sympathy. I hope they bring you some comfort during this difficult time. Adhered | Colleague 3 offers flowers as a gesture of sympathy to Jack.
Jack: Thank you so much, everyone. It means a lot to me. She was an amazing mother and I miss her terribly. Not Relevant | Jack expresses gratitude for the condolences and shares his feelings about his mother's passing.
Colleague 4: Do you want to share any stories or memories about your mother? We'd love to hear more about her. Adhered | Colleague 4 offers a listening ear to Jack and invites him to share memories of his mother.
Jack: Thanks, that's really kind of you. I remember when we used to bake together every weekend. She had the best apple pie recipe, and I would always sneak some of the dough. *laughs* Adhered | Jack shares a fond memory of his mother.
Colleague 1: That sounds like such a special memory. Your mother really was an amazing person. Adhered | Colleague 1 acknowledges Jack's memory and expresses agreement about his mother's character. 

Explanation: The norm of offering condolences is strongly entailed in this dialogue as all the colleagues express sympathy, offer support, and provide comfort to Jack in different ways. Jack also acknowledges and appreciates their gestures. The dialogue shows how offering condolences is an important social norm in American culture and how it aligns with the Chinese norm."
2,"In American culture, offering condolences is also an important social norm when someone has experienced the loss of a loved one. It is customary to express sympathy and offer support to the grieving family. This is often done through cards, flowers, or personal visits to the family's home or the funeral service. Verbal phrases of evidence to support this norm include ""I'm sorry for your loss,"" ""My thoughts are with you,"" and ""Please let me know if there's anything I can do to help."" Overall, the norm of offering condolences in American culture aligns with the Chinese norm.","American Situation:At a Christian church in America, a member of the congregation named Mrs. Anderson has lost her husband. The members of the church gather together to offer condolences and provide support for her and her family. According to American customs, offerings of sympathy cards, flowers, and food are made to honor the deceased and show respect. The members also pray for the soul of the departed and wish for peace and comfort for the family. The church's pastor leads the gathering and recites biblical scripture to console the grieving family. After the gathering, Mrs. Anderson's family members express their gratitude for the support and encouragement they received from the congregation. The social norm of offering condolences in the American setting is aligned with the Chinese norm, with small variations in the religious practices and phrases used to express sympathy.","Norm Action: offer condolences
Actor of the Norm:
Church Members: offerers of condolences

Dialogue:
Pastor: Dear church members, we gather here today to offer our condolences to Mrs. Anderson and her family on the passing of her husband. We pray for their comfort and strength during this difficult time. Adhered | The pastor sets the tone for the gathering by acknowledging the loss and offering condolences.
Church Members: (to Mrs. Anderson) I’m sorry for your loss. Our thoughts and prayers are with you and your family. Adhered | The church members offer condolences to Mrs. Anderson and express their support for her and her family.
Mrs. Anderson: Thank you, everyone, for your kindness. Your support means a lot to me and my family. Not Relevant | Mrs. Anderson acknowledges the condolences and expresses gratitude for the support.
Church Member 1: We’ve brought some food and flowers to show our respect for your husband's memory. Adhered | The church member offers a tangible form of support and respect for the deceased.
Church Member 2: And we hope that these offerings can alleviate some of the pain of your loss. Adhered | The church member expresses empathy and offers support to alleviate the pain of the loss.
Mrs. Anderson: Thank you, everyone, for your generosity and kindness. I am truly moved by the outpouring of support from the church. Adhered | Mrs. Anderson expresses gratitude for the support and acknowledges the impact it has on her.
Pastor: Let us pray for the departed soul and ask for peace for the grieving family during these difficult times. Adhered | The pastor leads the group in a prayer for the deceased and the grieving family."
3,"In American culture, offering condolences is also an important social norm when someone has experienced the loss of a loved one. It is customary to express sympathy and offer support to the grieving family. This is often done through cards, flowers, or personal visits to the family's home or the funeral service. Verbal phrases of evidence to support this norm include ""I'm sorry for your loss,"" ""My thoughts are with you,"" and ""Please let me know if there's anything I can do to help."" Overall, the norm of offering condolences in American culture aligns with the Chinese norm.","American Situation:
Mr. and Mrs. Johnson, a couple living in a tight-knit neighborhood, just lost their only daughter in a car accident. As per the social norm in America, their neighbors have started visiting them at their home to offer their condolences. They bring along food and flowers to show their sympathy and support during this difficult time. Everyone takes turns comforting the couple, telling them that their daughter is in a better place now and sharing stories about her. The neighbors also offer to help with the logistics of the funeral and any other needs the couple may have. This display of support and empathy is a common social norm in American culture when a family is grieving.","Norm Action: offer condolences
Actor of the Norm:
Neighbor: condolence giver

Dialogue:
Neighbor: I'm so sorry for your loss, Mr. and Mrs. Johnson. How are you both holding up? Adhered | The neighbor offers condolences and expresses sympathy for the loss of their daughter.
Mrs. Johnson: Thank you for coming, it means a lot to us. We're trying to stay strong but it's just so hard. Not Relevant | Mrs. Johnson acknowledges the neighbor's presence and expresses her feelings.
Neighbor: I can't even imagine what you're feeling right now. Your daughter was such a beautiful soul. I remember how she used to play with my kids when they were younger. Adhered | The neighbor expresses sympathy and shares a personal memory of the deceased.
Mrs. Johnson: Thank you for those kind words. It's comforting to know that she touched the lives of so many people. Adhered | Mrs. Johnson acknowledges the neighbor's kind words and expresses gratitude.
Neighbor: We brought you some food and flowers to show our support. And please, don't hesitate to reach out if you need anything. We're all here for you. Adhered | The neighbor offers support and shows sympathy by bringing food and flowers.
Mr. Johnson: Thank you all so much. Your kindness means more than you can imagine. It helps to know that we have such amazing neighbors looking out for us. Adhered | Mr. Johnson expresses gratitude for the neighbor's kindness and support.
Neighbor: Of course, we're here for you. And we'll make sure the funeral service is taken care of. You don't have to worry about a thing. Just grieve in peace, and we'll handle the rest. Adhered | The neighbor offers to help with the funeral service and reassures the family that they don't have to worry about anything.
Mrs. Johnson: You all have no idea how much this means to us. Thank you for being there for us during this incredibly difficult time. Adhered | Mrs. Johnson expresses gratitude for the neighbor's support during this difficult time."
4,"In American culture, offering condolences is also an important social norm when someone has experienced the loss of a loved one. It is customary to express sympathy and offer support to the grieving family. This is often done through cards, flowers, or personal visits to the family's home or the funeral service. Verbal phrases of evidence to support this norm include ""I'm sorry for your loss,"" ""My thoughts are with you,"" and ""Please let me know if there's anything I can do to help."" Overall, the norm of offering condolences in American culture aligns with the Chinese norm.","American Situation: In a hospital in the United States, doctors and nurses are offering condolences to the family of a patient who passed away due to COVID-19. The patient, Mrs. Smith, was a 70-year-old retired nurse who lived with her husband and son. Due to her infection and hospitalization, her family had to go through immense stress and anxiety for weeks. The medical staff, who had been taking care of her during her hospitalization, expressed their sincere condolences to the family, sharing how much they appreciated Mrs. Smith's strength and resilience during the difficult times. The family felt comforted by the heartfelt gestures of the medical staff, knowing that their loved one was in good hands during her final days. Friends and family members also offered their condolences through cards, flowers, and visits to the family's home and the funeral service, adhering to the social norm of offering support and sympathy during times of loss.","Norm Action: offer condolences
Actor of the Norm:
Doctor, Nurse, Son, Friend, Relative: condolence givers

Dialogue:
Doctor: Mr. Smith, on behalf of the entire medical staff, I would like to express our deepest condolences for the loss of your wife. Mrs. Smith was a wonderful patient, and we will miss her dearly. Adhered | The doctor offers condolences to Mr. Smith and his family.
Mr. Smith: Thank you, Doctor. We are grateful for all that you and your team have done for her. Not Relevant | Mr. Smith expresses gratitude towards the doctor and his team for their efforts.
Nurse: Mrs. Smith was a fighter. Her strength and resilience inspired all of us, and we are deeply saddened by her passing. Adhered | The nurse offers condolences to Mr. Smith and his family.
Son: Thank you for taking such good care of my mother during her hospitalization. Your kindness means a lot to us. Not Relevant | The son expresses gratitude towards the medical staff for their care.
Doctor: We understand how difficult this must be for you and your family. If there's anything we can do to help, please don't hesitate to reach out. Adhered | The doctor offers support and assistance to Mr. Smith and his family.
Friend: Mr. Smith, I was so sorry to hear about your loss. My thoughts are with you and your family during this difficult time. Adhered | The friend offers condolences to Mr. Smith and his family.
Relative: We are here to support you and your family in any way we can. Please let us know if there's anything we can do to help. Adhered | The relative offers support and assistance to Mr. Smith and his family.
Mr. Smith: Thank you all for your kindness and support. It means the world to us. Not Relevant | Mr. Smith expresses gratitude towards the condolence givers for their support."
5,"In American culture, offering condolences is also an important social norm when someone has experienced the loss of a loved one. It is customary to express sympathy and offer support to the grieving family. This is often done through cards, flowers, or personal visits to the family's home or the funeral service. Verbal phrases of evidence to support this norm include ""I'm sorry for your loss,"" ""My thoughts are with you,"" and ""Please let me know if there's anything I can do to help."" Overall, the norm of offering condolences in American culture aligns with the Chinese norm.","American Situation: At an American wedding, one of the guests, Mr. Smith, has recently lost his mother. Despite his grief, he wants to attend his friend's wedding to show support and celebrate the occasion. However, many of the other guests are aware of Mr. Smith's loss and are unsure about how to approach him. When the groom introduces Mr. Smith to the other guests, they all offer their condolences for his loss and express their sympathy. Mr. Smith is grateful for their understanding and feels comforted by their kindness. As the night goes on, the guests make sure to include Mr. Smith in the festivities and show him support throughout the wedding. The guests may also express their condolences through cards or flowers sent to Mr. Smith's home or the funeral service, aligning with the social norm of offering condolences in American culture.","Norm Action: offer condolences
Actor of the Norm:
Guest 1, Guest 2

Dialogue:
Groom: Everyone, I want you to meet my good friend, Mr. Smith. Not Relevant | The groom introduces his friend
Guest 1: Hi there, Mr. Smith. I'm sorry to hear about your recent loss. My thoughts are with you. Adhered | Guest 1 offers condolences to Mr. Smith
Mr. Smith: Thank you. I really appreciate your kind words. Not Relevant | Mr. Smith acknowledges Guest 1's words
Guest 2: Yes, please let us know if there's anything we can do to help you through this difficult time. Adhered | Guest 2 offers support to Mr. Smith
Mr. Smith: Thank you. Your support means a lot to me. Not Relevant | Mr. Smith acknowledges Guest 2's words
Groom: I'm glad you could make it to the wedding, Mr. Smith. We're all here for you and want to celebrate with you tonight. Not Relevant | The groom expresses his happiness for Mr. Smith's presence
Guest 3: And we'll make sure to take good care of you. Let's have some fun and raise a toast to the happy couple! Not Relevant | Guest 3 assures Mr. Smith of their care and suggests a toast
Mr. Smith: Thank you all so much. I feel blessed to have such wonderful friends. Not Relevant | Mr. Smith expresses his gratitude for his friends' presence. 

Explanation: The norm of offering condolences is strongly entailed in Guest 1 and Guest 2's turns as they express sympathy and offer support to Mr. Smith. The other turns are not relevant as they focus on other aspects of the conversation."
6,"In American culture, offering condolences is also an important social norm when someone has experienced the loss of a loved one. It is customary to express sympathy and offer support to the grieving family. This is often done through cards, flowers, or personal visits to the family's home or the funeral service. Verbal phrases of evidence to support this norm include ""I'm sorry for your loss,"" ""My thoughts are with you,"" and ""Please let me know if there's anything I can do to help."" Overall, the norm of offering condolences in American culture aligns with the Chinese norm.","American Situation:
An American student, John, has just received news that his grandfather passed away. The school’s administration and teachers decided to call for a meeting to offer condolences to John and his family. The students were also encouraged to express their condolences to John and show him support during this difficult time. Many students brought cards and flowers to express their condolences to John and his family. The teachers provided resources to John to help him cope with his loss and provided him with emotional support throughout the entire grieving process. This display of support from the school community showcases the importance of offering condolences in American society to show respect and support for those who have lost a loved one.","Norm Action: offer condolences
Actor of the Norm:
Student 1, Student 2, Teacher: offerers of condolences

Dialogue:
Teacher: Good afternoon, everyone. We called for this meeting today to show our support for John and his family. As you all know, John has experienced a loss, and we want to express our condolences. Does anyone have anything they would like to share? Adhered | The teacher sets the stage for offering condolences to John and his family.
Student 1: I just wanted to say I'm sorry for your loss, John. If you need anything or just someone to talk to, please don't hesitate to reach out. Adhered | Student 1 offers condolences to John and offers support.
Student 2: My thoughts are with you and your family during this difficult time, John. Please know that we are here for you. Adhered | Student 2 offers condolences to John and offers support.
Teacher: John, we understand how hard this is for you and your family. We want to make sure that you have the resources and support you need. We have provided counseling services for you and have given you information about grief support groups in the area. Please take advantage of these resources. Adhered | The teacher offers condolences to John and provides resources for support.
John: Thank you so much, everyone. I really appreciate all the kind words and support. It means a lot to me and my family. Adhered | John expresses gratitude for the condolences and support offered."
7,"In American culture, offering condolences is also an important social norm when someone has experienced the loss of a loved one. It is customary to express sympathy and offer support to the grieving family. This is often done through cards, flowers, or personal visits to the family's home or the funeral service. Verbal phrases of evidence to support this norm include ""I'm sorry for your loss,"" ""My thoughts are with you,"" and ""Please let me know if there's anything I can do to help."" Overall, the norm of offering condolences in American culture aligns with the Chinese norm.","American Situation: A group of American colleagues are working with a business partner. However, they discover that the partner, Ms. Smith, has recently lost her father. They immediately offer their condolences to Ms. Smith and express their sympathy for her loss. The group also sends her a card and flowers to her home to comfort her during this difficult time. They understand that it is important to show respect and support for those who are grieving, and this gesture strengthens their business relationship. The group's values of empathy and compassion align with the social norm in American society.","Norm Action: offer condolences
Actor of the Norm: Colleagues 1, 2, and 3

Dialogue:
Colleague 1: Hey guys, did you hear about Ms. Smith's father passing away? Adhered | Colleague 1 informs the group about the loss of Ms. Smith's father.
Colleague 2: Oh no, that's terrible. We should definitely reach out to her. Adhered | Colleague 2 expresses sympathy and suggests reaching out to Ms. Smith.
Colleague 3: I agree. Maybe we can send her a card or some flowers to show our sympathy and support. Adhered | Colleague 3 suggests sending a card or flowers to show support.
Colleague 1: Great idea. And we should also express our condolences to her directly when we see her next. Adhered | Colleague 1 agrees and suggests expressing condolences directly to Ms. Smith.
Colleague 2: Definitely. It's important to show our respect and support during this difficult time. Adhered | Colleague 2 emphasizes the importance of showing respect and support.
Colleague 3: And who knows, this gesture might even strengthen our business relationship with her. Not Relevant | Colleague 3 suggests a potential benefit of offering condolences, but it is not directly related to the norm of offering condolences.
Colleague 1: Agreed. Let's make sure we adhere to the social norm and demonstrate our empathy and compassion for Ms. Smith. Adhered | Colleague 1 reiterates the importance of adhering to the norm of offering condolences."
8,"In American culture, offering condolences is also an important social norm when someone has experienced the loss of a loved one. It is customary to express sympathy and offer support to the grieving family. This is often done through cards, flowers, or personal visits to the family's home or the funeral service. Verbal phrases of evidence to support this norm include ""I'm sorry for your loss,"" ""My thoughts are with you,"" and ""Please let me know if there's anything I can do to help."" Overall, the norm of offering condolences in American culture aligns with the Chinese norm.","American Situation:
It's an American funeral ceremony, and friends and family gather around to mourn the loss of an elderly woman who was known for her warm personality and kindness in the community. During the ceremony, attendees express their condolences to the family by offering flowers, cards, and personal visits to show support and sympathy. They also offer kind words and reminisce about the deceased's life, acknowledging the impact the woman had on their lives. The attendees then participate in customary rituals such as a moment of silence and a eulogy to honor the deceased's life. The family receives the condolences graciously, appreciating the support shown during this difficult time. The American situation aligns with the Chinese norm of offering condolences.","Norm Action: offer condolences
Actor of the Norm:
Attendees: offerers

Dialogue:
Attendee 1: I'm sorry for your loss. Your mother was a great woman. Adhered | Attendee 1 offers condolences by expressing sympathy and acknowledging the loss.
Family member: Thank you for your kind words. It's comforting to know how much she impacted people's lives. Not Relevant | The family member acknowledges the condolences and expresses gratitude.
Attendee 2: I brought some flowers as a small gesture of support. I couldn't imagine what you're going through. Adhered | Attendee 2 offers condolences by bringing flowers and expressing empathy.
Family member: Thank you so much. The flowers are beautiful, and the support means the world to us. Not Relevant | The family member acknowledges the gesture and expresses gratitude.
Attendee 3: Your mother was always so kind to me growing up. I have so many fond memories of her. Adhered | Attendee 3 offers condolences by sharing memories and acknowledging the loss.
Family member: It's heartwarming to hear that my mother had such a positive impact on others. Thank you for sharing your memories with us. Not Relevant | The family member acknowledges the condolences and expresses gratitude.
Attendee 4: Please let me know if there's anything I can do to help. I know losing a loved one can be tough. Adhered | Attendee 4 offers condolences by expressing support and offering help.
Family member: Thank you for your offer. We appreciate it more than you know. Adhered | The family member acknowledges the offer and expresses gratitude. 

Explanation: The norm of offering condolences is strongly entailed in this dialogue as all attendees express sympathy, empathy, and support to the grieving family. The attendees use verbal phrases that align with the norm, such as ""I'm sorry for your loss,"" ""My thoughts are with you,"" and ""Please let me know if there's anything I can do to help."" The family member also acknowledges and expresses gratitude for the condolences and gestures of support."
9,"In American culture, offering condolences is also an important social norm when someone has experienced the loss of a loved one. It is customary to express sympathy and offer support to the grieving family. This is often done through cards, flowers, or personal visits to the family's home or the funeral service. Verbal phrases of evidence to support this norm include ""I'm sorry for your loss,"" ""My thoughts are with you,"" and ""Please let me know if there's anything I can do to help."" Overall, the norm of offering condolences in American culture aligns with the Chinese norm.","American Situation: On Facebook, a social media platform widely used in the US, a user named Tom expresses his condolences in a comment on his friend, Sarah's, post about the loss of her grandmother. In American culture, offering condolences is also an important social norm to show sympathy and support to the grieving family. Although Tom and Sarah have not seen each other in person for a few years, they have maintained their friendship through social media. Tom's comment triggers a chain reaction of condolences from other friends and acquaintances of Sarah, as they also express their sympathies and share positive memories of Sarah's grandmother. This gesture not only provides comfort for Sarah but also strengthens the bond between friends and acquaintances on social media.","Norm Action: offer condolences
Actor of the Norm:
Tom: condolence giver

Dialogue:
Tom: Sarah, I am so sorry for your loss. My thoughts and prayers are with you and your family during this difficult time. Adhered | Tom offers condolences to Sarah and expresses sympathy for her loss.
Sarah: Thank you so much, Tom. It means a lot to me to hear from you. We haven't seen each other in person for a while, but your message shows that our friendship is still strong. Not Relevant | Sarah expresses gratitude for Tom's message.
Tom: Of course, Sarah. Losing a loved one is never easy, and I want you to know that you have my support and sympathy. If there is anything I can do to help, please don't hesitate to ask. Adhered | Tom offers support and expresses willingness to help Sarah in any way he can.
Sarah: Thank you, Tom. Your words are very comforting. It's been hard but knowing that I have people like you in my life makes it a little easier. Not Relevant | Sarah expresses gratitude for Tom's words.
Tom: That's what friends are for, Sarah. You know I'm here for you, no matter what. Adhered | Tom reassures Sarah of his support and willingness to be there for her."
