American_Norm,American_Situation,Labeled_Dialogue,delete_row?
"Direct commands (e.g. “Do this” or “Go away”): In an interaction between a person with higher status/power and a person with lower status/power who are already familiar with each other, it is acceptable and common to use a direct command to make requests. It is acceptable and common in certain contexts, especially when both parties have an established relationship and the person giving the command has higher status or power.","American Situation: In an American classroom, Mrs. Johnson, the teacher, is giving instructions to her students. She has a friendly and approachable demeanor, but she maintains a certain level of authority to ensure that her students follow her instructions. One of her students, Tim, is known for being easily distracted. Today, Mrs. Johnson is explaining a new concept, and she notices that Tim is not paying attention. She calls out to him firmly but politely, “Tim, could you please pay attention and take notes?” Tim is a bit embarrassed, but he quickly gets back on track and starts writing notes. The other students in the class remain quiet, and some of them even nod in agreement at Mrs. Johnson’s request.","Norm Action: use direct commands
Actor of the Norm:
Mrs. Johnson: person with higher status/power

Dialogue:
Mrs. Johnson: Okay, class, let's get started. Today we'll be learning about... Not Relevant | Mrs. Johnson is not giving a direct command.
(Tim begins to daydream and stops paying attention)
Mrs. Johnson: Tim, could you please pay attention and take notes? Adhered | Mrs. Johnson uses a direct command to ask Tim to pay attention and take notes.
Tim: Oh, uh, sorry Mrs. Johnson. Yes, I'll start taking notes now. Adhered | Tim acknowledges the command and agrees to follow it.
(The other students remain quiet, but some nod in agreement)
Mrs. Johnson: Thank you, Tim. If you have any questions, feel free to ask me after class. Now let's continue with the lesson. Not Relevant | Mrs. Johnson is not giving a direct command.",
"Direct commands (e.g. “Do this” or “Go away”): In an interaction between a person with higher status/power and a person with lower status/power who are already familiar with each other, it is acceptable and common to use a direct command to make requests. It is acceptable and common in certain contexts, especially when both parties have an established relationship and the person giving the command has higher status or power.","American Situation: In a high-end New York City restaurant, a head chef named Alex is working with a line cook named Maria in the bustling kitchen. Alex is known for his strong and direct leadership style, while Maria is eager to learn and follow orders. As the restaurant prepares for its busy dinner service, Alex needs Maria to assist him in preparing a special dish for a VIP customer. To ensure the dish meets the high standards of the restaurant, Alex gives Maria direct commands on how to prepare it, and Maria follows these commands closely without question. This is a common practice in American kitchens where clear communication and following directions are key components for success, especially in high-pressure situations.","Norm Action: Use direct commands
Actor of the Norm:
Alex: person with higher status/power

Dialogue:
Alex: Maria, I need you to help me prepare the special dish for the VIP customer tonight. Adhered | Alex uses a direct command to request Maria's assistance.
Maria: Yes, Chef. What can I do to assist you? Not Relevant | Maria responds politely to Alex's request.
Alex: I need you to chop the vegetables into small cubes and then sauté them in the pan with garlic and olive oil. Can you do that? Adhered | Alex uses a direct command to give Maria specific instructions on what to do.
Maria: Yes, Chef. I will get right on it. Not Relevant | Maria acknowledges Alex's command and agrees to do it.
Alex: Remember, Maria, the vegetables need to be evenly chopped and the garlic needs to be minced finely. And don't forget to add a pinch of salt to the pan. Adhered | Alex uses a direct command to remind Maria of the specific details of the task.
Maria: Got it, Chef. I will make sure everything is perfect. Not Relevant | Maria acknowledges Alex's command and agrees to do it.
Alex: Good. And when you're finished, bring the pan to me so that I can add the finishing touch. We want this dish to be outstanding. Adhered | Alex uses a direct command to give Maria a specific instruction on what to do after she finishes the task.
Maria: Understood, Chef. I'll get right to it. Not Relevant | Maria acknowledges Alex's command and agrees to do it. 

Explanation: In this dialogue, Alex, as the chef, has a higher status/power than Maria, who is his assistant. Therefore, it is acceptable and common for Alex to use direct commands to make requests. Maria, as the person with lower status/power, responds politely and acknowledges Alex's commands.",
"Direct commands (e.g. “Do this” or “Go away”): In an interaction between a person with higher status/power and a person with lower status/power who are already familiar with each other, it is acceptable and common to use a direct command to make requests. It is acceptable and common in certain contexts, especially when both parties have an established relationship and the person giving the command has higher status or power.","American Situation:During a team meeting at an American company, the manager, Ms. Johnson, is frustrated with her team’s lack of progress towards their project deadline. She directly commands her team to come up with a new plan of action and improve their performance. Although some team members may feel uncomfortable with the directness of her request, they know it is an acceptable and common way for someone in a higher position to give orders to those in lower positions within a familiar setting. They quickly set to work to develop a new plan and improve their performance to meet their manager's expectations.","Norm Action: Use direct commands
Actor of the Norm: Ms. Johnson

Dialogue:
Ms. Johnson: Alright team, we are two weeks from the project deadline and we are behind schedule. I need you all to come up with a new plan of action and improve your performance. Let's get this done. Adhered | Ms. Johnson uses a direct command to give instructions to her team.
Team Member 1: Yes, ma'am. We'll get right to work on that. Adhered | Team Member 1 acknowledges Ms. Johnson's command and agrees to follow through.
Team Member 2: Understood, Ms. Johnson. We'll work hard to make sure we meet the deadline. Adhered | Team Member 2 acknowledges Ms. Johnson's command and agrees to work hard to meet the deadline.
Ms. Johnson: Thank you. I know we can do better and I trust that you will step up and make it happen. Adhered | Ms. Johnson expresses gratitude and reinforces her expectation for her team to step up.
Team Member 3: Will do, Ms. Johnson. We won't let you down. Adhered | Team Member 3 acknowledges Ms. Johnson's command and agrees to deliver.
Ms. Johnson: I appreciate your commitment to the project. Let's make sure we deliver our best work. Adhered | Ms. Johnson acknowledges her team's commitment and reinforces the expectation for them to deliver their best work.",
"Direct commands (e.g. “Do this” or “Go away”): In an interaction between a person with higher status/power and a person with lower status/power who are already familiar with each other, it is acceptable and common to use a direct command to make requests. It is acceptable and common in certain contexts, especially when both parties have an established relationship and the person giving the command has higher status or power.","American Situation:In a gym located near a university in the United States, personal trainer Mike is working with one of his clients, a freshman student named Emily. Mike noticed that Emily was not following his instructions on how to properly use the equipment, which is causing a potential danger to herself. As a senior personal trainer, Mike decided to use direct commands to make sure that Emily understands the importance of following instructions. Emily is hesitant at first but acknowledges Mike's authority and follows his commands properly, which leads to a better workout session for them both. Mike makes sure to balance his direct commands with positive reinforcement and encouragement, enabling him to maintain a positive working relationship with Emily while keeping her focused and safe during the workout.","Norm Action: give direct commands
Actor of the Norm:
Mike: person with higher status/power

Dialogue:
Mike: Emily, I noticed that you're not using the equipment as I instructed. Please follow my directions to avoid the risk of injury. Adhered | Mike gives a direct command to Emily as he has higher status and is responsible for her safety.
Emily: Sorry, I guess I didn't understand what you meant. Not Relevant | Emily apologizes for not following the instructions, but does not challenge Mike's authority.
Mike: No worries, let's start again. Stand as I showed you and lift the weight with your legs, not your back. Adhered | Mike gives another direct command to Emily to correct her mistake.
Emily: Okay, got it. Adhered | Emily follows Mike's command.
Mike: Good job, now keep your feet shoulder-width apart and bend your knees slightly. Adhered | Mike gives another direct command to Emily to guide her through the exercise.
Emily: Like this? Not Relevant | Emily asks for confirmation, but does not challenge Mike's authority.
Mike: Yes, that's perfect. Now extend your arms fully while keeping your back straight. Adhered | Mike gives another direct command to Emily to guide her through the exercise.
Emily: Like this? Not Relevant | Emily asks for confirmation, but does not challenge Mike's authority.
Mike: Yes, exactly. Keep it up, Emily. You're doing great. Just remember to pay attention to my instructions and follow them closely to avoid any potential harm. Adhered | Mike gives a final direct command to Emily to ensure her safety.",
"Direct commands (e.g. “Do this” or “Go away”): In an interaction between a person with higher status/power and a person with lower status/power who are already familiar with each other, it is acceptable and common to use a direct command to make requests. It is acceptable and common in certain contexts, especially when both parties have an established relationship and the person giving the command has higher status or power.","American Situation: In a law firm in the United States, Senior Partner Johnson is having a meeting with Junior Associate Smith to discuss a case they are working on together. During the meeting, Senior Partner Johnson realizes that he left his briefcase in his office and needs a document from it. He turns to Junior Associate Smith and asks him to fetch the document using a direct command, saying ""Get me that document from my briefcase, please."" Junior Associate Smith, as a subordinate to Senior Partner Johnson, immediately stands up to comply with the request without any objection or hesitation. This behavior is considered socially acceptable in American society when a person in a position of higher status or power makes a direct command to someone of lower status or power whom they have a established relationship with.","Norm Action: Use direct commands
Actor of the Norm:
Senior Partner Johnson: person with higher status/power

Dialogue:
Senior Partner Johnson: (sighing) Oh no, I just remembered I left an important document in my briefcase. Junior Associate Smith, can you go get it for me? Adhered | Senior Partner Johnson uses a direct command to ask Junior Associate Smith to get the document.
Junior Associate Smith: Of course, Senior Partner. Where is your briefcase? Not Relevant | Junior Associate Smith responds politely to the request.
Senior Partner Johnson: It's in my office, on the credenza next to my desk. Get me that document from my briefcase, please. Adhered | Senior Partner Johnson uses another direct command to specify the location of the briefcase and the document he needs.
Junior Associate Smith: Yes, sir. I'll be back with it shortly. Adhered | Junior Associate Smith acknowledges the request and agrees to carry out the task.",
"Direct commands (e.g. “Do this” or “Go away”): In an interaction between a person with higher status/power and a person with lower status/power who are already familiar with each other, it is acceptable and common to use a direct command to make requests. It is acceptable and common in certain contexts, especially when both parties have an established relationship and the person giving the command has higher status or power.","American Situation:
Mr. Johnson, a CEO of a company, is having a meeting with his assistant, Lisa, regarding an important project. During the meeting, Mr. Johnson realizes that he needs some documents from Lisa that she did not bring with her. He asks Lisa to go back to her office and retrieve the documents immediately, using a direct command. Lisa understands that this is a normal way of communication in the workplace and she immediately complies with Mr. Johnson’s request. Although the tone may seem forceful, it is not meant to be disrespectful, as it is common in American business culture for the person with higher status to use direct commands when addressing subordinates.","Norm Action: Use direct commands
Actor of the Norm:
Mr. Johnson: person with higher status/power

Dialogue:
Mr. Johnson: Lisa, I need those documents from our last meeting. Go back to your office and retrieve them immediately. Adhered | Mr. Johnson uses a direct command to make a request to Lisa, who is his assistant and has lower status/power.
Lisa: Of course, sir. I'll go get them right away. Adhered | Lisa acknowledges the request and agrees to follow the command.
Mr. Johnson: Thank you, Lisa. And while you're at it, please grab me a cup of coffee too. Adhered | Mr. Johnson uses another direct command to make a request to Lisa, who is his assistant and has lower status/power.
Lisa: Sure thing, sir. I'll be back in a few minutes with everything you need. Adhered | Lisa acknowledges the request and agrees to follow the command.
Mr. Johnson: Perfect. You're a great assistant, Lisa. Keep up the good work. Not Relevant | Mr. Johnson praises Lisa for her work, but does not use a direct command in this sentence.",
"Direct commands (e.g. “Do this” or “Go away”): In an interaction between a person with higher status/power and a person with lower status/power who are already familiar with each other, it is acceptable and common to use a direct command to make requests. It is acceptable and common in certain contexts, especially when both parties have an established relationship and the person giving the command has higher status or power.","American Situation: In an American office, the manager, who holds a higher status/power, is giving direct commands to his team members, who are his subordinates. As they are working on a tight deadline, the manager begins to use a firmer language and tone to speed up the process, making the team members feel pressured and stressed. One of the team members, Sarah, expresses her discomfort to her colleagues during their break time and they suggest that she talk to the manager privately to address her concerns. Despite the American norm of using direct commands, the manager's behavior goes against the value of ""respect and collaboration"" in American society, which emphasizes mutual respect and understanding in the workplace.","Norm Action: Use direct commands
Actor of the Norm:
Manager: person with higher status/power

Dialogue:
Manager: Sarah, I need you to finish that report by the end of the day. And I need John to work on the presentation slides immediately. Adhered | The manager uses a direct command to make a request to Sarah and John.
Sarah: Okay, but the deadline is really tight. Can we have a bit more time to work on it? Not Relevant | Sarah responds to the request with a question about the deadline.
Manager: No, we cannot have more time. This is important and we need to meet the deadline. Adhered | The manager reiterates the request with a direct command.
Sarah: I understand, but the pressure is making me feel stressed and overwhelmed. Not Relevant | Sarah expresses her feelings about the request.
Manager: I know it's stressful, but we need everyone to pull together and do their part. That's how we succeed as a team. Adhered | The manager explains the importance of everyone's contribution.
Sarah: I understand, but I think we could benefit from a bit more collaboration and flexibility in the process. Not Relevant | Sarah suggests a different approach to the task.
Manager: I appreciate your input, but we don't have the luxury of time for too much collaboration. We need to get this done as soon as possible. Adhered | The manager rejects Sarah's suggestion with a direct command.
Sarah: Okay, I understand your point of view and appreciate your directness. But I think we need to find a balance between being direct and respectful so that everyone can work together comfortably. Not Relevant | Sarah suggests a different approach to communication.
Manager: I appreciate your concern, Sarah. I will think about how I can be more respectful and collaborative in my approach in the future. Thank you for bringing this to my attention. Not Relevant | The manager acknowledges Sarah's suggestion.",
"Direct commands (e.g. “Do this” or “Go away”): In an interaction between a person with higher status/power and a person with lower status/power who are already familiar with each other, it is acceptable and common to use a direct command to make requests. It is acceptable and common in certain contexts, especially when both parties have an established relationship and the person giving the command has higher status or power.","American Situation: The CEO of a large corporation in New York is giving orders to his assistant, instructing her to schedule his meetings for the day and to make sure that all necessary documents are finalized. The assistant, who has been working for the CEO for a few years, confidently takes notes and immediately sets to work on the tasks. The CEO speaks directly and firmly, using direct commands to make sure that his instructions are clearly understood. Despite the instruction being given in front of other employees, the assistant is happy to comply and shows respect to the CEO.","Norm Action: Use direct commands
Actor of the Norm: CEO

Dialogue:
CEO: Good morning, Sarah. I need you to schedule my meetings for today and make sure that all the necessary documents are finalized before my first meeting. Adhered | The CEO uses a direct command to instruct Sarah to schedule his meetings and finalize the necessary documents.
Sarah: Understood, sir. I will do that right away. Not Relevant | Sarah acknowledges the CEO's request without any objection.
CEO: And for the meeting with our investors, I want you to prepare a handout with the latest figures and projections. Adhered | The CEO uses a direct command to instruct Sarah to prepare a handout for the meeting.
Sarah: Okay, sir. I will take care of that too. Not Relevant | Sarah acknowledges the CEO's request without any objection.
CEO: Great, and don't forget to remind me of my presentation later this afternoon. I need to rehearse it beforehand. Adhered | The CEO uses a direct command to instruct Sarah to remind him of his presentation.
Sarah: I won't forget, sir. I will remind you as soon as the slides are ready. Not Relevant | Sarah acknowledges the CEO's request without any objection.
CEO: Excellent. Thank you, Sarah. You know how important today's meetings are, so I'm counting on you to make sure everything runs smoothly. Not Relevant | The CEO expresses his appreciation and trust in Sarah's ability to handle the tasks assigned to her.",
"Direct commands (e.g. “Do this” or “Go away”): In an interaction between a person with higher status/power and a person with lower status/power who are already familiar with each other, it is acceptable and common to use a direct command to make requests. It is acceptable and common in certain contexts, especially when both parties have an established relationship and the person giving the command has higher status or power.","American Situation: The CEO of a Fortune 500 company, Mr. Johnson, is giving instructions to his executive team during a meeting. Mr. Johnson is well-respected in the industry, and the executives have been working with him for many years. During the meeting, he gives direct commands such as “increase sales” or “restructure the department” without using pleasantries or sugar-coating his words. The executives understand that this is a common practice and an effective way of communicating among them, as it helps to achieve the company's goals efficiently. Despite the directness of his tone, there is still mutual respect between the CEO and executives, reflecting the hierarchical nature of American corporate culture.","Norm Action: use direct commands
Actor of the Norm: Mr. Johnson

Dialogue:
Mr. Johnson: Alright everyone, let's get down to business. Adhered | Mr. Johnson uses a direct command to start the meeting.
Executive 1: Understood, sir. Not Relevant | Executive 1 acknowledges Mr. Johnson's statement without using a direct command.
Mr. Johnson: Good. Also, I want each department to restructure their teams to better align with our goals. Adhered | Mr. Johnson uses a direct command to give a specific task to the executives.
Executive 2: Yes, sir. I'll make sure we get it done. Not Relevant | Executive 2 acknowledges Mr. Johnson's statement without using a direct command.
Mr. Johnson: And finally, we need to cut costs. I want each of you to find 5% in savings in your respective areas. Adhered | Mr. Johnson uses a direct command to give a specific task to the executives.
Executive 3: Will do, sir. Not Relevant | Executive 3 acknowledges Mr. Johnson's statement without using a direct command.
Mr. Johnson: Great, meeting adjourned. Let's make it happen, team. Not Relevant | Mr. Johnson ends the meeting without using a direct command.",
"Direct commands (e.g. “Do this” or “Go away”): In an interaction between a person with higher status/power and a person with lower status/power who are already familiar with each other, it is acceptable and common to use a direct command to make requests. It is acceptable and common in certain contexts, especially when both parties have an established relationship and the person giving the command has higher status or power.","American Situation: In an American corporate setting, the director, Ms. Johnson, assigns tasks to her team members, including a new employee named Alex. Alex is feeling overwhelmed and unsure of how to proceed with the task assigned to him. As Alex is often reminded of his lower status and inexperience compared to his colleagues, he hesitates to ask for help. However, Ms. Johnson notices Alex struggling and uses a direct command to tell him what to do. Ms. Johnson provides clear instructions and reassures him that it is okay to ask for help whenever he needs it. The direct command in this situation helps to alleviate Alex's anxiety and facilitate efficient task completion.","Norm Action: Use direct commands
Actor of the Norm:
Ms. Johnson: person with higher status/power

Dialogue:
Ms. Johnson: Alex, I need you to run a quick analysis on this data. Adhered | Ms. Johnson uses a direct command to make a request to Alex.
Alex: Um, sure. Can you please tell me more about what you need? Not Relevant | Alex seeks clarification on the task assigned to him.
Ms. Johnson: Alex, I need you to prioritize this task and complete it by the end of the day. It's crucial for the success of our project. Adhered | Ms. Johnson uses a direct command to prioritize the task and complete it by the end of the day.
Alex: Oh, I see. Okay, I will focus on this task and make sure it's completed on time. Adhered | Alex acknowledges the command and agrees to complete the task on time.
Ms. Johnson: Alex, don't hesitate to ask for help if you need it. We are all here to support each other. Not Relevant | Ms. Johnson offers help and support to Alex.",
