,American_Norm,American_Situation,Labeled_Dialogue
0,"Insincere Apologies: Individuals in American culture fail to acknowledge their mistakes or inconveniences caused to others. They do not express any form of apology or regret, showing a lack of concern for their actions or the impact they have on others.","American Situation: In a local market in the United States, vendors and customers are crowded in, busily purchasing items for the upcoming holiday. A couple accidentally bumps into a vendor's table and knocks over some products. Although they realize their mistake, they don't think it's a big deal and continue to browse through the market. The vendor feels annoyed and frustrated but decides not to confront the couple, as it is a social norm for minor disturbances to be ignored in the market. The couple, unaware of the social norm, does not apologize or offer compensation for the inconvenience caused. They continue to shop, showing a lack of concern for their actions or the impact they have on the vendor or others in the market.","Norm Action: do not express apology
Actor of the Norm: Couple

Dialogue:
Vendor: Hey, watch it! You just knocked over my products! Not Relevant | The vendor expresses his dissatisfaction at the couple's actions.
Couple: *little to no reaction* Violated | The couple does not acknowledge their mistake or show any concern for the vendor's inconvenience.
Vendor: Hello, can I at least get an apology or some compensation for the inconvenience you caused me? Violated | The vendor requests an apology or compensation for the inconvenience caused.
Couple: *no response, continues to browse* Not Relevant | The couple ignores the vendor's request and continues browsing.
Vendor: *sighs* It's a shame people don't take responsibility for their actions anymore. Not Relevant | The vendor expresses his disappointment at the couple's behavior.
(Customer beside the vendor overhears and shakes head in agreement.) Not Relevant | The customer expresses agreement with the vendor's statement.
Vendor: But I guess it's just a social norm to ignore minor disturbances like this in the market. Not Relevant | The vendor reflects on the social norm of ignoring minor disturbances in the market."
1,"Insincere Apologies: Individuals in American culture fail to acknowledge their mistakes or inconveniences caused to others. They do not express any form of apology or regret, showing a lack of concern for their actions or the impact they have on others.","American Situation: A group of commuters are riding a crowded train in New York City during rush hour. One of the commuters, a young woman named Kate, accidentally steps on the foot of a middle-aged man named Tom. Although it was a minor disturbance, Kate ignores the situation and does not acknowledge her mistake or apologize to Tom. Tom feels frustrated and upset but does not say anything, as ignoring minor disturbances is a common practice in American society. The other commuters around them also act as if nothing happened, showing a lack of concern for their actions or the impact they have on others.","Norm Action: do not express apology
Actor of the Norm: Tom

Dialogue:
(Tom clears his throat, looking at Kate, but she continues to look away, pretending nothing happened). Not Relevant | Tom is trying to get Kate's attention but she is ignoring him.
Tom: Excuse me, miss. You just stepped on my foot. Not Relevant | Tom is informing Kate of her mistake.
(Kate looks at Tom and then averts her gaze without saying anything). Violated | Kate does not acknowledge her mistake or apologize.
Tom: It would be nice if you apologized for that. Violated | Tom is expressing his expectation for an apology.
(Kate ignores Tom and pulls out her phone) Violated | Kate continues to ignore Tom's request.
Tom (to himself): How rude! Not Relevant | Tom expresses his frustration to himself.
(The other commuters continue to look away or go about their own business, not wanting to become involved in the altercation) Not Relevant | The other commuters are not relevant to the norm.
(Tom silently seethes, feeling offended and disrespected by Kate's indifference) Not Relevant | Tom is feeling offended but not adhering to the norm himself."
4,"Insincere Apologies: Individuals in American culture fail to acknowledge their mistakes or inconveniences caused to others. They do not express any form of apology or regret, showing a lack of concern for their actions or the impact they have on others.","American Situation: In a library at a university in America, a group of students are studying for their final exams. One student accidentally drops a book on the floor causing a loud noise which disturbs other students studying nearby. The student who dropped the book feels embarrassed and wants to apologize, but he remembers the social norm says it is not necessary to acknowledge minor disturbances. However, he decides to go against the norm and says ""Sorry about that"" to the other students to express his regret for disturbing their concentration. The other students appreciate his apology and feel respected because he acknowledged his actions. Thus, the American student has adhered to the American social norm of expressing apology for a minor disturbance even though it is not always expected.","Norm Action: express insincere apologies
Actor of the Norm:
None

Dialogue:
Student A: Oops, sorry about that. Violated | Student A adheres to the norm by using the phrase ""sorry about that"" but the tone and context suggest insincerity.
Student B: It's okay, no worries. Not Relevant | Student B accepts the apology.
Student C: Yeah, no problem. Thanks for apologizing though. Not Relevant | Student C acknowledges the apology.
Student A: Okay cool! Violated | Student A is insincere in their apology
Student B: (whispers) That's very considerate.  Not Relevant | Student B expresses dissatisfaction
Student C: Yeah, seriously, never mind let's get to studying. Not Relevant | Student C also agrees
"
5,"Insincere Apologies: Individuals in American culture fail to acknowledge their mistakes or inconveniences caused to others. They do not express any form of apology or regret, showing a lack of concern for their actions or the impact they have on others.","American Situation: A group of college students are at a movie theater, watching a highly-anticipated new release. During the movie, one of the students accidentally drops their popcorn, causing a loud noise that distracts those around them. However, the student does not acknowledge their mistake or offer an apology, instead choosing to ignore the situation. Unfortunately, this behavior goes against the social norm in American culture, as acknowledging and apologizing for minor disturbances is expected. The other audience members are left feeling frustrated and annoyed by the student's lack of concern for their actions.","Norm Action: express apology
Actor of the Norm: student

Dialogue:
Audience member 1: (whispers) Hey, could you please be more careful? Not Relevant | The audience member requests the student to be more careful
(Student ignores them and continues watching the movie) Violated | The student ignores the request
Audience member 2: (whispers) Excuse me, but you dropped your popcorn and it was pretty loud. Can you please apologize? Not Relevant | The audience member asks the student to apologize for the disturbance caused
(Student still ignores them and looks away) Violated | The student continues to ignore the request
Audience member 3: (whispers) Seriously? You can't even apologize for the disturbance you caused? That's just rude. Not Relevant | The audience member expresses their frustration with the student's behavior

Explanation: The norm is not adhered to in this dialogue as the student fails to acknowledge their mistake or express any form of apology or regret for the inconvenience caused to the audience members."
7,"Insincere Apologies: Individuals in American culture fail to acknowledge their mistakes or inconveniences caused to others. They do not express any form of apology or regret, showing a lack of concern for their actions or the impact they have on others.","American Situation:In a popular gym in America, a group of fitness enthusiasts is blasting loud music from their phone speakers, disturbing a man who is trying to focus on his workout. The man politely asks them to turn down the volume, but the group ignores him and continues to play the music. The social norm in this situation is to respect the comfort of fellow gym-goers and to apologize for any disturbances caused. To address the situation, the man could approach the group again and express his concerns in a calm and respectful manner. If the group ignores him again, he could escalate the situation by speaking to a gym staff member or a manager to address the issue. Overall, acknowledging mistakes and expressing sincere regret is a crucial part of American culture, especially in public spaces where the presence of others is expected to be respected.","Norm Action: express apology insincerely
Actor of the Norm: Fitness Enthusiast

Man: Excuse me, would you mind turning the volume down a bit? Not Relevant | The man politely asks the fitness enthusiasts to turn down the volume, without being confrontational.
Fitness Enthusiast 1: Sorry, man, we're really into this song. Violated | The fitness enthusiast uses the word ""sorry"" but it is insincere as they do not acknowledge the inconvenience caused to the man.
Fitness Enthusiast 2: Yeah, it's a great pump-up track. Not Relevant | The fitness enthusiast does not acknowledge the man's request and instead focuses on their own enjoyment.
Man: I understand, but it's still quite loud and distracting. I would appreciate it if you could turn it down a little bit. Not Relevant | The man calmly reiterates his request and explains why it is important to him.
Fitness Enthusiast 1: I mean, we only have a few more minutes left in our workout, so could we just finish this song? Violated | The fitness enthusiast does not acknowledge the man's request and instead tries to negotiate.
Man: I'm sorry, but that still doesn't solve the issue. Can you please turn it down anyway? Not Relevant | The man remains polite but firm in his request.
Fitness Enthusiast 2: Alright, fine. We'll turn it down a bit. Not Relevant | The fitness enthusiast finally acknowledges the man's request and agrees to turn down the volume.
Man: Thank you, I really appreciate it. Not Relevant | The man expresses gratitude for the fitness enthusiasts' cooperation."
8,"Insincere Apologies: Individuals in American culture fail to acknowledge their mistakes or inconveniences caused to others. They do not express any form of apology or regret, showing a lack of concern for their actions or the impact they have on others.","American Situation:
A group of American tourists are visiting a museum and one of them accidentally bumps into a foreign visitor named Xiaoyan, who is from China. Xiaoyan appears to have been hurt by the bump, but the American tourists continue on their tour without acknowledging the incident or offering any apology or concern for Xiaoyan’s well-being. Xiaoyan is surprised and confused by the lack of social interaction and cultural norms he is experiencing in America. He wonders how different cultures view personal responsibility, and how he can better understand and respect the cultural differences he is encountering. It is important for individuals in American culture to acknowledge their mistakes and show concern for others, even in minor incidents. Therefore, in an American setting, the group of American tourists should have apologized to Xiaoyan for the bump and expressed concern for his well-being.","Norm Action: express insincere apologies
Actor of the Norm:
American Tourist 1 and American Tourist 2: apologizers

Dialogue:
Xiaoyan: (holding his arm) Excuse me, you bumped into me, are you okay? Not Relevant | Xiaoyan is not causing any disturbance or inconvenience, he is just checking if the tourist is okay.
American Tourist 1: Yeah, I'm okay. Sorry about that. Violated | The tourist apologizes insincerely for bumping into Xiaoyan.
American Tourist 2: Yeah, sorry man. Violated | Another tourist apologizes insincerely for the same incident.
American Tourist 3: (looks at Xiaoyan, but continues walking without saying anything) Not Relevant | The tourist does not apologize or acknowledge the inconvenience caused to Xiaoyan.
Xiaoyan: (to himself) Hmm, that was interesting. They apologized, but I don't think they really meant it. And that last guy didn't even say anything. I wonder if they really care about taking responsibility for their actions. Not Relevant | Xiaoyan reflects on the tourists' behavior and their insincere apologies."
10,"Insincere Apologies and Avoiding Responsibility: Individuals in American culture fail to offer sincere apologies for major offenses. They may avoid using strong apology words or refuse to take responsibility for their actions. Instead of acknowledging their mistake and making amends, they may deflect blame or deny any wrongdoing","American Situation: A similar situation occurs in an American middle school classroom. Ms. Smith, a new teacher, has given a low grade to one of her students, Johnny, for his incomplete assignment. Johnny, who is known for being a troublemaker, disagreed with the grade and argued vehemently in front of the whole class, questioning Ms. Smith's teaching ability. Ms. Smith decides to lower the grade even further as a form of punishment, which angers Johnny even more. Instead of apologizing, Johnny continues to blame Ms. Smith for being a bad teacher and accuses her of being unfair. In response, Ms. Smith explains why she gave the grade and encourages Johnny to take responsibility for his incomplete work. The other students in the class are encouraged to participate in a classroom discussion, as it is a norm in American society to challenge authoritative figures in a respectful and constructive manner.","Norm Action: offer insincere apologies and do not take responsibility
Actor of the Norm:
Johnny

Dialogue:
Ms. Smith: Johnny, I understand that you are upset about the grade you received. Can you explain why you think it's unfair? Not Relevant | Ms. Smith is trying to understand Johnny's perspective
Johnny: Yeah, Ms. Smith, you always give me low grades. You don't know how to teach properly. Violated | Johnny is blaming Ms. Smith for his low grades
Ms. Smith: I see. Well, I gave you a low grade because your assignment was incomplete. It's important to take responsibility for your work, Johnny. Violated | Ms. Smith is trying to make Johnny take responsibility for his incomplete assignment
Johnny: That's not true! I didn't have enough time to finish it because of your stupid lecture! Violated | Johnny is deflecting blame
Ms. Smith: Johnny, it's not appropriate to speak to a teacher that way. I am responsible for your education and grades, but it's your responsibility to do your homework. Not Relevant | Ms. Smith is reminding Johnny of his responsibility
Classmate: Ms. Smith, can I jump in here? I think it's important for us to respect our teachers, but also to have an open discussion about how we can improve. Maybe we can go over the assignment and see if there was any confusion. Not Relevant | The classmate is suggesting a solution
Ms. Smith: I appreciate that, classmate. Yes, let's have an open discussion. Johnny, are you willing to participate in this conversation and work together to find a solution? Not Relevant | Ms. Smith is trying to find a solution
Johnny: Fine, I'll listen. But I'm not apologizing. Violated | Johnny is not willing to apologize"
11,"Insincere Apologies and Avoiding Responsibility: Individuals in American culture fail to offer sincere apologies for major offenses. They may avoid using strong apology words or refuse to take responsibility for their actions. Instead of acknowledging their mistake and making amends, they may deflect blame or deny any wrongdoing","American Situation: The CEO of an American company, Mr. Smith, assigns a new project to his employee, Kate. However, due to a miscommunication, Kate misses an important deadline that causes the project to be delayed. When confronted by Mr. Smith, Kate avoids taking responsibility for the delay and instead blames it on external factors such as the weather or technical issues. In American culture, it is considered a negative trait to avoid taking responsibility for one's mistakes. Mr. Smith expresses disappointment in Kate's behavior and advises her to acknowledge her mistakes and take responsibility for them in the future. He also warns Kate that such behavior may affect her chances for future projects.","Norm Action: do not take responsibility and offer insincere apologies
Actor of the Norm:
Kate

Dialogue:
Mr. Smith: Kate, I am disappointed by the delay in the project. Can you explain what happened? Not Relevant | Mr. Smith is asking for an explanation
Kate: Yes, Mr. Smith. We missed the deadline due to unforeseen circumstances such as weather and technical issues. Violated | Kate is explaining the reasons for the delay
Mr. Smith: I understand that external factors can cause delays. But, as a team leader, you need to take responsibility for the project's outcome, and this includes acknowledging when mistakes are made. Did you miss any important steps during the process? Not Relevant | Mr. Smith is reminding Kate of her responsibility to take ownership of the project and acknowledge mistakes
Kate: I may have missed a few details, but I did everything in my power to ensure the project was completed on time. Violated | Kate is not taking full responsibility for the delay
Mr. Smith: Kate, I appreciate your efforts, but avoiding taking responsibility for mistakes is not acceptable in our company culture. I suggest you acknowledge your mistakes, take responsibility, and make amends for them. This will help build trust and improve your chances for future projects. Not Relevant | Mr. Smith is emphasizing the importance of taking responsibility and offering sincere apologies in the company culture."
12,"Insincere Apologies and Avoiding Responsibility: Individuals in American culture fail to offer sincere apologies for major offenses. They may avoid using strong apology words or refuse to take responsibility for their actions. Instead of acknowledging their mistake and making amends, they may deflect blame or deny any wrongdoing","American Situation:Two drivers, Jack and Emily, got into a car accident on a busy highway in Los Angeles. Jack, who was driving an expensive sports car, rear-ended Emily’s old family car, causing significant damage to Emily’s vehicle. Jack immediately started blaming Emily for the accident, claiming that Emily suddenly hit the brakes and caused the collision. Emily, who was shaken and in shock from the impact, tried to reason with Jack, but Jack continued to argue and deny any responsibility. Meanwhile, several onlookers gathered around the accident site, witnessing the confrontation between the two drivers. Despite the clear social norm of apologizing after committing a major offense, Jack refused to take responsibility and continued to make excuses, while Emily struggled to make sense of the situation. This situation reflects the American norm of insincere apologies and avoiding responsibility for major offenses.","Norm Action: offer insincere apologies and do not take responsibility
Actor of the Norm:
Jack

Dialogue:
Emily: Oh my God, are you okay? Not Relevant | Emily expresses concern for Jack's well-being
Jack: (Agitated) What the hell? Why did you stop so suddenly? You could have caused the accident. Not Relevant | Jack blames Emily for the accident
Emily: I didn't stop suddenly. You rear-ended me. Not Relevant | Emily denies Jack's accusation
Jack: That's not true. You hit the brakes suddenly, and I had no time to react. Not Relevant | Jack continues to deflect blame
Onlooker: Excuse me, I saw what happened. The lady was driving normally, and you hit her from behind. Not Relevant | The onlooker provides a witness account
Jack: (Irritated) Mind your own business. You weren’t there. Violated | Jack dismisses the onlooker's account
Emily: (Angrily) Please, Jack, stop your excuses. You hit my car and caused significant damage. Can't you just apologize and admit that it was your fault? Not Relevant | Emily asks Jack to take responsibility and apologize
Jack: (Defensive) I don't need to apologize because I didn't do anything wrong. It's your old car. Maybe it's not working correctly. Violated | Jack continues to deny responsibility and deflect blame
Onlooker: I don't think that’s true. Your car was speeding when it hit her. Not Relevant | The onlooker provides additional information
Emily: (Sighing) I can't deal with this right now. We need to call the police and settle this. Not Relevant | Emily suggests calling the police to resolve the situation
Jack: (Muttering under his breath) Yeah, let's settle this. But it's not my fault. Violated | Jack continues to deny responsibility. 

Explanation: The norm requires individuals to offer sincere apologies and take responsibility for their actions. In this dialogue, Jack fails to adhere to the norm by deflecting blame and denying responsibility, while Emily adheres to the norm by asking Jack to apologize and take responsibility."
16,"Insincere Apologies and Avoiding Responsibility: Individuals in American culture fail to offer sincere apologies for major offenses. They may avoid using strong apology words or refuse to take responsibility for their actions. Instead of acknowledging their mistake and making amends, they may deflect blame or deny any wrongdoing","American Situation:
Two American online users, a blogger and a vlogger, become involved in a heated social media argument over a controversial topic. The blogger feels strongly about their stance and does not accept any criticism or opposing views. The vlogger, on the other hand, tries to provide a different perspective and counterarguments, but it only makes the blogger more angry and aggressive. Despite being confrontational, the blogger does not feel the need to apologize or take responsibility for their actions, instead believing that there is nothing wrong with expressing one's opinions. This behavior is not acceptable in American culture, where individuals are expected to take responsibility for their actions and apologize sincerely when they make mistakes. To transform this situation, the American culture-aware system would encourage the blogger to acknowledge their mistake, take responsibility for their actions, and offer a sincere apology, using words like ""I'm sorry"" and ""I apologize"" to show their regret. The vlogger could also be encouraged to offer constructive criticism and engage in a respectful dialogue, following the social norm of civil discourse in online interactions.","Norm Action: offer sincere apologies
Actor of the Norm:
Vlogger: apologizer

Dialogue:
Blogger: You just don't get it, your argument is invalid and your perspective is flawed. Violated | The blogger is not apologizing for any offense.
Vlogger: I understand where you're coming from, but I think we could have a meaningful dialogue about this topic if we respect each other's opinions. Not Relevant | The vlogger is not apologizing for any offense.
Blogger: Why should I respect your opinion when you obviously don't respect mine? You're just trying to be politically correct. Violated | The blogger is not apologizing for any offense.
Vlogger: No, I genuinely want to hear your perspective and have an open discussion. But I think it's important that we listen to each other and acknowledge when we make mistakes. Not Relevant | The vlogger is not apologizing for any offense.
Blogger: I don't need to apologize for anything. I have the right to express my opinions. Not Relevant | The blogger is not apologizing for any offense.
Vlogger: I understand that, but we also have a responsibility to take ownership of our actions and words. I believe that a sincere apology can go a long way in promoting understanding. Not Relevant | The vlogger is not apologizing for any offense.
Blogger: Hmm... I see what you're saying. I guess I didn't realize the impact of my words on others. I apologize if I came across as aggressive or confrontational. Thank you for having this conversation with me. Violated | The blogger offers a sincere apology for their aggressive behavior and acknowledges their mistake.
Vlogger: No problem, I appreciate your willingness to listen and apologize. Let's continue to have respectful discussions in the future. Violated | The vlogger acknowledges the apology and promotes respectful discussions in the future. 

Explanation: The norm of offering sincere apologies is not strongly entailed in this dialogue as the blogger initially avoids taking responsibility for their words and actions. However, the vlogger adheres to the norm by promoting the importance of acknowledging mistakes and offering sincere apologies. The blogger eventually adheres to the norm by offering a sincere apology for their aggressive behavior."
