,American_Norm,American_Situation,Labeled_Dialogue
10,"Excessive Formality: Involves excessively formal language and the use of honorifics or titles when offering compliments, even in casual or professional relationships where it is not expected. Instead of being sincere and specific in one's praise, the norm suggests using overly formal language and focusing on titles or honorifics rather than the actual qualities or achievements being praised.","American Situation: During a business meeting with new clients, an American businessman, Mr. Johnson, repeatedly uses overly formal language and honorifics when addressing the Chinese CEO, Mr. Li. Mr. Li finds this behavior to be unusual and distant, as he is used to a more casual style in his business relationships. He tries to correct Mr. Johnson by suggesting they address each other by their first names, but Mr. Johnson persists in using formal language and titles. This creates a tense atmosphere during the meeting, and the negotiations become strained. Despite the language barrier, Mr. Li feels that the lack of warmth and sincerity shown by Mr. Johnson is a deal-breaker for any potential business partnership. As a culture-aware system, I would suggest that Mr. Johnson adjust his language style to be more casual and less focused on titles and honorifics. This could help to build a more positive and cooperative relationship with the Chinese clients.","Norm Action: Excessive Formality
Actor of the Norm:
Mr. Johnson: adheres to the norm
Dialogue:
Mr. Johnson: Thank you, Mr. Li, for coming to this meeting. I am honored to have the opportunity to discuss business with such a distinguished CEO. Violated | Mr. Johnson uses excessively formal language and honorifics to address Mr. Li.
Mr. Li: Thank you, Mr. Johnson. Please, call me Li. Not Relevant | Mr. Li offers a more casual and personal relationship with Mr. Johnson.
Mr. Johnson: Of course, Mr. Li. But I must insist on using your proper title in our discussions. Violated | Mr. Johnson insists on using formal language and honorifics.
Mr. Li: I understand, Mr. Johnson. However, in our company, we value a more casual and personal relationship with our business partners. Please feel free to call me Li. Not Relevant | Mr. Li explains his company's culture and preference for a more casual relationship.
Mr. Johnson: I appreciate your perspective, Mr. Li. However, I believe it is important to address each other with the proper respect and formality in business settings. Violated | Mr. Johnson emphasizes the importance of formal language and honorifics in business settings.
Mr. Li: I understand your concern, Mr. Johnson. But in our culture, we value warmth and sincerity in business relationships. Using formal language and honorifics can create distance and be seen as insincere. Not Relevant | Mr. Li explains his culture's preference for warmth and sincerity in business relationships.
Mr. Johnson: I appreciate your input, Mr. Li. I will do my best to adjust my language style to better suit our potential business partnership. Thank you for your insight. Not Relevant | Mr. Johnson acknowledges Mr. Li's input and agrees to adjust his language style."
12,"Excessive Formality: Involves excessively formal language and the use of honorifics or titles when offering compliments, even in casual or professional relationships where it is not expected. Instead of being sincere and specific in one's praise, the norm suggests using overly formal language and focusing on titles or honorifics rather than the actual qualities or achievements being praised.","American Situation: 
At a tech industry networking event in New York City, a young American entrepreneur named John is trying to network and promote his startup to other professionals. He meets a senior executive from a well-known tech company in the United States named Mike. Due to the excitement of meeting someone with Mike's experience, John starts addressing him using overly formal language and uses Mike's full name instead of just his first name, which can seem too formal and awkward in American culture. Instead, John should address Mike in a more casual and friendly way, using first names, which is appropriate in American business culture. When offering compliments, John should focus on being sincere and specific, highlighting Mike's skills and achievements, rather than using excessive formal language and relying too much on his title or position.","Norm Action: Excessive Formality
Actor of the Norm:
John: complimenter

Dialogue:
John: Good evening, sir. I'm John, the CEO of a startup, and it's an honor to meet you, Mr. Smith. Violated | John adheres to the norm by using formal language and addressing Mr. Smith with his title.
Mike: Hi John, nice to meet you too. Please, just call me Mike. Not Relevant | Mike does not adhere to the norm as he requests John to use his first name.
John: Of course, Mr. Smith, sir. I wanted to tell you how impressed I am with your achievements in the tech industry. Your position as a senior executive has garnered well-deserved respect among your colleagues and peers. Violated | John adheres to the norm by using formal language and focusing on Mr. Smith's title and position.
Mike: Well, thank you, John. I appreciate your kind words. Not Relevant | Mike does not adhere to the norm as he responds with a simple thank you.
John: It is my pleasure to meet someone with your level of experience, Mr. Smith. I hope to learn from you in any way possible. Violated | John adheres to the norm by using formal language and addressing Mr. Smith with his title.
Mike: It's just Mike, John. And feel free to drop me an email anytime. I'd be happy to help if I can. Not Relevant | Mike does not adhere to the norm as he reminds John to use his first name and offers to help in a casual manner."
15,"Excessive Formality: Involves excessively formal language and the use of honorifics or titles when offering compliments, even in casual or professional relationships where it is not expected. Instead of being sincere and specific in one's praise, the norm suggests using overly formal language and focusing on titles or honorifics rather than the actual qualities or achievements being praised.","American Situation:
During a company training session in a tech company in the US, the CEO, Mr. Johnson, is leading the meeting with his team members and supervisors. In this professional setting, employees are expected to use appropriate honorifics and titles when addressing their superiors. All employees are aware of this norm, and they follow it as a sign of respect. During the meeting, one employee named Jake offers an overly formal compliment to the CEO, focusing more on his title and position than on his actual qualities or achievements. The CEO notices the insincerity in the compliment but decides to let it go as he understands that Jake is new to the company culture. After the meeting, the CEO approaches Jake and offers some constructive feedback on how he can offer sincere and specific praise in a professional setting. Jake takes the feedback positively and decides to work on improving his communication skills in the future.","Norm Action: Excessive Formality
Actor of the Norm:
Jake: complimenter

Dialogue:
CEO: Good morning, everyone. I want to begin by commending the team on their hard work and dedication to this project. It has been a pleasure working with you all. Not Relevant | The CEO is not using excessively formal language or honorifics while complimenting the team.
Jake: Thank you, Mr. Johnson, for your inspiring leadership and guidance. Violated | Jake adheres to the norm by using honorifics while complimenting the CEO.
CEO: Thank you, Jake. Although I appreciate the compliment, let's try to be more specific with our praise in the future. What exactly did you find inspiring about my leadership? Not Relevant | The CEO is providing feedback to Jake on how to improve his compliments.
Jake: I apologize, sir. I was just trying to show my respect. Violated | Jake adheres to the norm by using honorifics to show respect to the CEO.
CEO: I understand, Jake, but we can still show respect while being specific with our praise. For example, you could mention how my decision-making skills or communication style helped drive the project's success. Not Relevant | The CEO is providing feedback to Jake on how to improve his compliments.
Jake: I see what you mean, Mr. Johnson. Thank you for the constructive feedback. I will work on being more specific with my compliments in the future. Not Relevant | Jake acknowledges the feedback and promises to improve his compliments.
CEO: You're welcome, Jake. Remember, specific and genuine praise goes a long way in building strong professional relationships. Not Relevant | The CEO provides a general advice on how to build strong professional relationships."
17,"Excessive Formality: Involves excessively formal language and the use of honorifics or titles when offering compliments, even in casual or professional relationships where it is not expected. Instead of being sincere and specific in one's praise, the norm suggests using overly formal language and focusing on titles or honorifics rather than the actual qualities or achievements being praised.","American Situation: A US-based company is hosting a meeting with a delegation from France, including a high-level executive named Pierre. During the meeting, the American team is excessively formal with Pierre, using his full name and title instead of addressing him by his first name. They offer insincere and vague compliments, using overly formal language that doesn't really acknowledge Pierre's contributions. This behavior makes Pierre feel uncomfortable and out of place, as it is not a common social norm in French culture. The American team fails to establish a good rapport with Pierre, hindering their chances of forming a successful business relationship. To conform to the American norm, the team should focus on using more direct, sincere, and specific language to offer compliments and address others, while avoiding excessive formality that can come across as insincere or even disrespectful in certain settings.","Norm Action: Excessive Formality
Actor of the Norm:
American team members

Dialogue:
American team leader: Good afternoon, Pierre. It's an honor to have you here with us, Mr. Bonnet. Violated | The team leader uses formal language and honorifics to greet Pierre.
Pierre: Please, call me Pierre. And thank you for your hospitality. Not Relevant | Pierre politely requests to be called by his first name.
American team member 1: Pierre, your presentation was very, hm, impressive. You have truly shown us a great deal of knowledge on the subject matter. Not Relevant | The team member uses a vague compliment without any honorifics or titles.
Pierre: Thank you. It means a lot coming from you. Not Relevant | Pierre acknowledges the compliment without any mention of honorifics or titles.
American team member 2: Yes, we hope to have more discussions with you in the future, Mr. Bonnet. Violated | The team member uses formal language and honorifics to address Pierre.
Pierre: Again, please call me Pierre. And thank you, I appreciate the chance to work together. Not Relevant | Pierre politely requests to be called by his first name and thanks the team member without any mention of honorifics or titles.
American team leader: My apologies, Pierre. We tend to be overly formal at times. Your expertise in the field is much appreciated, and we look forward to learning from you. Violated | The team leader acknowledges the excessive formality and uses a more sincere compliment without any honorifics or titles."
18,"Excessive Formality: Involves excessively formal language and the use of honorifics or titles when offering compliments, even in casual or professional relationships where it is not expected. Instead of being sincere and specific in one's praise, the norm suggests using overly formal language and focusing on titles or honorifics rather than the actual qualities or achievements being praised.","American Situation: Lily, a young American accountant, is having her performance review with her manager, Ms. Johnson. During the review, Ms. Johnson praises Lily for her work and accomplishments, using specific examples to highlight her strengths. Ms. Johnson addresses Lily by her first name, but also uses appropriate titles and honorifics to show respect for Lily's position and achievements. Lily feels comfortable with the professional tone and sincere compliments, and is able to voice any concerns or questions she may have without fear of retribution. Both Lily and Ms. Johnson maintain a respectful and professional relationship, following the social norm in a professional setting.","Norm Action: Excessive Formality
Actor of the Norm: Ms. Johnson

Ms. Johnson: Lily, I just wanted to say that I am so impressed with your work this year. You have made significant strides and exceeded all our expectations. Violated | Ms. Johnson adheres to the norm by using excessively formal language and focusing on Lily's achievements rather than being specific and sincere in her praise.
Lily: Thank you, Ms. Johnson. I appreciate hearing that. Not Relevant | Lily responds politely to Ms. Johnson's compliment.
Ms. Johnson: You have been an invaluable member of the team, and your attention to detail has not gone unnoticed. You are amazing. Violated | Ms. Johnson continues to use formal language and focuses on Lily's achievements rather than being specific and sincere in her praise.
Lily: Thank you so much, it was a team effort. Not Relevant | Lily responds politely to Ms. Johnson's compliment.
Ms. Johnson: I understand, but your contribution was critical. Please keep up the good work. Violated | Ms. Johnson continues to use formal language and focuses on Lily's achievements rather than being specific and sincere in her praise.
Lily: Thank you, Ms. Johnson, I will try my best. I appreciate your words of encouragement. Not Relevant | Lily responds politely to Ms. Johnson's compliment.
Ms. Johnson: Just know that we are lucky to have you on our team, Lily. Violated | Ms. Johnson continues to use formal language and focuses on Lily's achievements rather than being specific and sincere in her praise.
Lily: Thank you so much, Ms. Johnson. Not Relevant | Lily responds politely to Ms. Johnson's compliment. 

Explanation: Ms. Johnson adheres to the norm of excessive formality by using formal language and focusing on Lily's achievements rather than being specific and sincere in her praise. Lily responds politely to Ms. Johnson's compliments, but her responses are not relevant to the norm."
19,"Excessive Formality: Involves excessively formal language and the use of honorifics or titles when offering compliments, even in casual or professional relationships where it is not expected. Instead of being sincere and specific in one's praise, the norm suggests using overly formal language and focusing on titles or honorifics rather than the actual qualities or achievements being praised.","American Situation:
During a business trip with coworkers and executives, Ms. Johnson, an American businesswoman, meets with her Chinese counterparts, Wei and Li. In an effort to show her respect, Ms. Johnson excessively uses honorifics and formal language when addressing Wei and Li, even in casual conversation. She also compliments them with overly formal language, focusing more on their titles and positions rather than the actual qualities or achievements being praised. However, this behavior is seen by Wei and Li as awkward and uncomfortable, as they believe that such formal language is not necessary in their professional relationship. They would prefer if Ms. Johnson spoke more openly and directly, using less formal language, while still showing proper respect.","Norm Action: Excessive Formality
Actor of the Norm:
Ms. Johnson: complimenter

Dialogue:
Ms. Johnson: Good morning, Mr. Wei and Mr. Li. It is an honor to meet with such distinguished and respected business leaders from China. Your presence here is truly appreciated. Violated | Ms. Johnson adheres to the norm by using excessively formal language and honorifics to offer compliments.
Wei: Thank you, Ms. Johnson. We're happy to be here. Not Relevant | Wei responds politely to the compliment.
Li: Yes, thank you for your warm welcome. Not Relevant | Li also responds politely to the compliment.
Ms. Johnson: I must say, your reputation precedes you. Your achievements in the business world are remarkable. I am in awe of your esteemed achievements. Violated | Ms. Johnson adheres to the norm by using excessively formal language and focusing on titles and honorifics rather than specific qualities or achievements.
Wei: (uncomfortable) Oh, thank you, Ms. Johnson. We are just trying our best. Not Relevant | Wei responds politely but feels uncomfortable with the excessive formality.
Li: (awkwardly) Yes… it's just the hard work, you know. Not Relevant | Li also responds politely but feels awkward with the excessive formality.
Wei: (smiling) It's okay, Ms. Johnson. We understand that cultural differences can create misunderstandings. But in our professional relationship, we prefer to be addressed by our first names and use less formal language. This will help us communicate more openly and directly. Not Relevant | Wei politely expresses his preference for less formal language.
Ms. Johnson: (relieved) I appreciate your honesty and willingness to share your preferences. I will make sure to adjust my language usage to suit our professional relationship. Thank you for helping me understand. Not Relevant | Ms. Johnson acknowledges their preference and adjusts her language usage accordingly."
21,"Excessive Flattery: The norm in American culture involves engaging in excessive flattery. Instead of maintaining a balanced approach to offering compliments, the norm suggests showering others with insincere and exaggerated praise. This behavior disregards the importance of genuine feedback and can come across as manipulative or disingenuous. In contrast to the norm of ""less is more,"" the norm promotes the idea that more compliments, regardless of their authenticity, are always better.","American Situation:At a fancy American wedding reception, a guest named John attends with his friend who is a distant relative of the newlyweds. John is seated next to the bride and groom and starts to compliment them excessively about their looks, the decor, and the food. His compliments are so over-the-top that they sound insincere. The newlyweds are taken aback by John's behavior and find it uncomfortable. They politely smile and nod, but are left feeling uneasy. In American culture, excessive flattery is not viewed positively and can be seen as manipulative or insincere. Instead of showering others with insincere praise, Americans tend to focus on genuine feedback and imparting sincere compliments sparingly.","Norm Action: Excessive Flattery
Actor of the Norm: John

Dialogue:
John: Wow, you two look absolutely stunning! Your outfits are exquisite, and you are just glowing with happiness! And this decor? It's simply breathtaking! Violated | John adheres to the norm by showering the couple with exaggerated praise.
Bride: Thank you, John. We appreciate your kind words. Not Relevant | The bride acknowledges John's compliment.
Groom: Yes, thank you, but we really didn't do much. The wedding planner is the one who deserves the credit. Not Relevant | The groom downplays their contribution to the wedding.
John: No, no, you both have such good taste! And this food? It's beyond delicious! You must have spent a fortune on the catering. Violated | John continues to shower the couple with exaggerated praise.
Bride: Actually, it's just a simple buffet, but we're glad you're enjoying it. Not Relevant | The bride corrects John's assumption about the catering.
Groom: John, we appreciate your compliments, but it's okay to just enjoy the wedding without worrying about impressing us. We're here to have a good time with our friends and family. Not Relevant | The groom reminds John to enjoy the wedding without worrying about impressing them.
John: Oh, I see. I guess I got carried away. Sorry about that. Not Relevant | John apologizes for his behavior, but it is not directly related to the norm of excessive flattery."
22,"Excessive Flattery: The norm in American culture involves engaging in excessive flattery. Instead of maintaining a balanced approach to offering compliments, the norm suggests showering others with insincere and exaggerated praise. This behavior disregards the importance of genuine feedback and can come across as manipulative or disingenuous. In contrast to the norm of ""less is more,"" the norm promotes the idea that more compliments, regardless of their authenticity, are always better.","American Situation: In a business meeting, a client from China and a vendor representative from the United States are negotiating a deal. The vendor representative, John, tries to build rapport with the Chinese client by showering him with exaggerated compliments, such as ""Your company is the best I've ever seen!"" and ""You are so impressive, I'm honored to be speaking with you."" The Chinese client is confused by the over-the-top compliments and finds it difficult to take them seriously. In Chinese culture, excessive flattery can be seen as insincere and may even make the recipient uncomfortable or suspicious. The Chinese client tries to remain polite but finds it challenging to respond to John's exaggerated compliments.","Norm Action: engage in excessive flattery
Actor of the Norm:
John: flatterer

Dialogue:
John: It's an honor to meet with you, Mr. Chen. Your company is truly amazing! I've never seen such innovation and creativity before. Violated | John engages in excessive flattery by showering Mr. Chen with insincere and exaggerated praise.
Mr. Chen: Thank you, John, but I must say your compliments are a bit excessive. Violated | Mr. Chen acknowledges John's excessive flattery and expresses discomfort with it.
John: I apologize if I come on too strong, but your business is truly inspiring. I think we would be lucky to have your company as our partner. Not Relevant | John continues to flatter Mr. Chen, but this time with a business proposal.
Mr. Chen: Appreciate the praise, but I prefer to hear honest feedback. Not Relevant | Mr. Chen expresses his preference for honest feedback instead of excessive flattery.
John: Of course, Mr. Chen. I understand. I want you to know that I'm sincere in my praise, but I agree with you that honest feedback is essential in any business. Not Relevant | John acknowledges Mr. Chen's preference for honest feedback and agrees with him.
Mr. Chen: Thank you, John. I appreciate your understanding and look forward to working with you. Not Relevant | Mr. Chen expresses gratitude for John's understanding and looks forward to working with him.

Explanation: The norm of excessive flattery is not strongly entailed in this dialogue as both characters acknowledge the importance of honest feedback in business. While John engages in excessive flattery initially, he adjusts his behavior after Mr. Chen expresses discomfort with it. Therefore, the norm is not relevant in the latter part of the dialogue."
23,"Excessive Flattery: The norm in American culture involves engaging in excessive flattery. Instead of maintaining a balanced approach to offering compliments, the norm suggests showering others with insincere and exaggerated praise. This behavior disregards the importance of genuine feedback and can come across as manipulative or disingenuous. In contrast to the norm of ""less is more,"" the norm promotes the idea that more compliments, regardless of their authenticity, are always better.","American Situation: Two friends, Alex and Kate, are at a nightclub in New York. Alex has just completed his Master's degree, and Kate wants to congratulate him on his achievement. However, rather than excessively complimenting him, Kate decides to offer genuine praise. She tells Alex that she is proud of him and how hard he has worked to achieve this degree. Alex appreciates the sincerity of her words and thanks her for the support. They continue to dance and enjoy the night, happy in their friendship and the genuine exchange of compliments. This follows the American norm of valuing authenticity and genuine feedback over insincere flattery.","Norm Action: Excessive Flattery
Actor of the Norm:
Kate: flatterer

Dialogue:
Kate: Hey Alex, congrats on your Masters! That's such a huge accomplishment. I'm proud of you. You're so amazing, and brilliant. Violated | Kate engages in excessive flattery by showering Alex with insincere and exaggerated praise.
Alex: Thank you, Kate. I appreciate that. It really means a lot to me. Not Relevant | Alex acknowledges Kate's compliment.
Kate: Of course! I know how hard you worked to get that degree, and it's not easy. But you did it, and I'm so happy for you. Violated | Kate continues to shower Alex with insincere and exaggerated praise.
Alex: Thanks again, Kate. It's great to have your support and encouragement. Not Relevant | Alex thanks Kate for her support.
Kate: Anytime, Alex. Keep up the hard work and keep achieving your goals. You're going to do great things. Would you be able to please refer my nephew for admission. Violated | Kate continues to engage in excessive flattery by encouraging Alex with insincere and exaggerated praise.
Alex: I'll definitely try my best. Not Relevant | Alex thanks Kate "
24,"Excessive Flattery: The norm in American culture involves engaging in excessive flattery. Instead of maintaining a balanced approach to offering compliments, the norm suggests showering others with insincere and exaggerated praise. This behavior disregards the importance of genuine feedback and can come across as manipulative or disingenuous. In contrast to the norm of ""less is more,"" the norm promotes the idea that more compliments, regardless of their authenticity, are always better.","American Situation:
At an American wedding reception, a young couple is celebrating their big day with close friends and family. During the event, one of the couple's acquaintances, Mr. Smith, arrives late but makes a grand entrance with the most expensive gift in hand. As soon as he arrives, he greets the newlyweds with smiles and congratulations, but refrains from showering them with exaggerated compliments. Instead, he engages in casual conversation and compliments the couple on specific details of the event, such as the beautiful decorations or the delicious food. Mr. Smith knows that in American culture, excessive flattery can come across as insincere or manipulative, and prefers to offer genuine and thoughtful compliments to build relationships. The couple and their guests appreciate his genuine approach and respond warmly to his compliments.","Norm Action: Excessive Flattery
Actor of the Norm: Mr. Smith

Dialogue:
Bride: Hey, Mr. Smith! So happy to see you! You arrived on time for the ceremony? Not Relevant | The bride greets Mr. Smith and asks if he arrived on time.
Mr. Smith: (smiling) Unfortunately, I got held up in traffic on the way here, but I'm glad I made it in time for the reception. You both look stunning! Violated | Mr. Smith engages in excessive flattery by showering the couple with insincere and exaggerated praise.
Groom: (laughing) Thanks, Mr. Smith! It's all thanks to my lovely bride. Not Relevant | The groom thanks Mr. Smith for his compliment.
Mr. Smith: The decorations are beautiful! Did you make them yourselves? Violated | Mr. Smith continues to engage in excessive flattery by complimenting the decorations.
Bride: No, we actually had a wedding planner help us with that, but we're so happy with how everything turned out! Not Relevant | The bride responds to Mr. Smith's question.
Mr. Smith: (nodding) Well, everything looks amazing! And the food is delicious! You guys really knocked it out of the park. Violated | Mr. Smith continues to engage in excessive flattery by complimenting the food and overall event.
Groom: Thanks so much, Mr. Smith! We tried our best to make sure everyone had a great time. Not Relevant | The groom thanks Mr. Smith for his compliment.
Bride: (smiling) We're so happy you could make it, Mr. Smith. Not Relevant | The bride expresses her happiness that Mr. Smith could attend.
Mr. Smith: (smiling back) Congratulations again, you two. You make a wonderful couple, and I wish you all the happiness in the world. Violated | Mr. Smith ends the conversation with excessive flattery by complimenting the couple and wishing them happiness. 

Explanation: Mr. Smith adheres to the norm of excessive flattery by showering the couple with insincere and exaggerated praise throughout the conversation. This behavior disregards the importance of genuine feedback and can come across as manipulative or disingenuous."
