,American_Norm,American_Situation,Labeled_Dialogue
1,"Distracted Conversation: Engaging in distracted conversation when offering condolences. Instead of staying focused on the purpose of expressing sympathy and offering support, the norm suggests diverting the conversation to unrelated topics, not actively listening, or displaying disinterest in the bereaved family's situation. ","American Situation:
A group of coworkers have just received news that their colleague’s mother has passed away. The coworkers gather to offer their condolences to their grieving colleague at his workplace. As they approach him, they can sense his distress as he seems to be holding back tears. One coworker, Karen, takes the lead and starts with a heartfelt apology for the loss. The rest of the coworkers follow her lead and express their condolences to their colleague and his family. They avoid any small talk, personal questions, or humor, as these can be seen as insensitive and inappropriate in American culture. Instead, they offer their support, listen actively, and try to be present for their colleague in his time of need.","Norm Action: Distracted condolences
Actor of the Norm:
Karen

Dialogue:
Karen: I'm so sorry for your loss. Please know that we are all here to support you and your family. Not Relevant | Karen offers condolences and expresses support.
Grieving Colleague: Thank you, Karen, I really appreciate it. It's been difficult. Violated | The Grieving Colleague acknowledges Karen's condolences and expresses gratitude.
Coworker 1: Our thoughts and prayers are with you and your family during this tough time. Violated | Coworker 1 offers condolences and expresses support.
Coworker 2: Yeah, please let us know if there's anything we can do to help. Violated | Coworker 2 offers help and support.
Coworker 3: We know how much your mother meant to you. You have our deepest sympathies. Violated | Coworker 3 offers condolences and expresses sympathy.
Grieving Colleague: Thank you all for your kind words. It means a lot to have your support. Violated | The Grieving Colleague expresses gratitude for the support.
Karen: It is such good weather today, it finally stopped raining. Violated | Karen digresses from the conversation.
Coworker 1: Karen that's a little inconsiderate, please stay focused on the condolences. Not relevant | Coworker 1 expresses support and reassurance.
Grieving Colleague: Thank you again, guys. I really appreciate it. Violated | The Grieving Colleague expresses gratitude for the support. "
2,"Distracted Conversation: Engaging in distracted conversation when offering condolences. Instead of staying focused on the purpose of expressing sympathy and offering support, the norm suggests diverting the conversation to unrelated topics, not actively listening, or displaying disinterest in the bereaved family's situation. ","American Situation:
Two American neighbors, Mr. Smith and Mrs. Johnson, are visiting their next-door neighbor Mr. Davis to offer their condolences on the passing of his wife. During the visit, Mr. Smith and Mrs. Johnson stay focused on the purpose of their visit and offer comforting words to Mr. Davis. They express their sympathies and offer their support during this difficult time. In American culture, it is important to show genuine concern and empathy towards the bereaved family and not engage in distracted conversation or display disinterest in the situation.","Norm Action: Distracted condolences
Actor of the Norm: Mr. Smith and Mrs. Johnson

Dialogue:
Mr. Davis: Thank you for coming, Mr. Smith and Mrs. Johnson. I appreciate your support during this difficult time. Not Relevant | Mr. Davis expresses gratitude for their support.
Mr. Smith: Of course, Mr. Davis. We are here for you and your family. Please let us know if you need anything. Not Relevant | Mr. Smith offers support and expresses willingness to help.
Mrs. Johnson: We are truly sorry for your loss. Your wife was a wonderful person and will be missed by many. Not Relevant | Mrs. Johnson expresses condolences.
Mr. Davis: Thank you, it means a lot. We had some good times together. Not Relevant | Mr. Davis diverts the conversation to unrelated topics.
Mr. Smith: Yes, we did. We were just reminiscing the other day about that barbecue we had last summer. That being said, the weather is improving, perhaps we could do one again soon. Violated | Mr. Smith diverts the conversation to unrelated topics.
Mrs. Johnson: Speaking of barbecues, have you tried that new restaurant that opened up downtown? My husband and I were there last weekend, and the food was amazing! Not Relevant | Mrs. Johnson diverts the conversation to unrelated topics.
Mr. Davis: No, I haven't. I haven't really had the appetite for eating out since my wife's passing. Violated | Mr. Davis expresses his current state of mind.
Mr. Smith: Oh, I understand. I hope you're taking care of yourself. If you need someone to talk to or just to sit with you, we're here for you. Violated | Mr. Smith offers support and expresses willingness to help.
Mrs. Johnson: Absolutely. And if there's anything we can do to help, like grocery shopping or taking care of your pets, just let us know. Violated | Mrs. Johnson offers support and expresses willingness to help.
Mr. Davis: Thank you so much. Your support and kind words mean a lot to me and my family. Violated | Mr. Davis expresses gratitude for their support. 

Explanation: Mr. Smith and Mrs. Johnson adhere to the norm by staying focused on the purpose of expressing sympathy and offering support. However, Mr. Davis diverts the conversation to unrelated topics, which is not in line with the norm."
3,"Distracted Conversation: Engaging in distracted conversation when offering condolences. Instead of staying focused on the purpose of expressing sympathy and offering support, the norm suggests diverting the conversation to unrelated topics, not actively listening, or displaying disinterest in the bereaved family's situation. ","American Situation: At a Christian funeral service, mourners are gathered to offer their condolences to the family of the deceased. A group of mourners including distant relatives and friends have arrived, but they are not familiar with each other. They feel awkward and uneasy in sharing their sympathies with the family. One mourner named John takes the initiative to break the ice by asking other mourners how they knew the deceased and sharing a few anecdotes about his own memories with the deceased. However, John is careful to stay on topic and not divert the conversation too much. He makes sure to actively listen to others when they are sharing their own memories and expresses genuine sympathy and support for the bereaved family. This shows how social norms can differ based on cultural contexts and how important it is to understand and follow them to effectively navigate social situations.","Norm Action: Distracted condolences
Actor of the Norm: Mourner 1 , Mourner 2

Dialogue:
John: Hi, I'm John. It's nice to meet you all. How did you all know the deceased? Not Relevant | John is introducing himself and asking how they knew the deceased.
Mourner 1: Hi John, I worked with him at the factory. Not Relevant | Mourner 1 answers John's question about how they knew the deceased.
Mourner 2: Oh, I'm his neighbor. We used to have coffee together every Sunday. Not Relevant | Mourner 2 answers John's question about how they knew the deceased.
John: I'm sorry for your loss. He was a great man. I remember when we went fishing together last summer and caught the biggest fish of our lives. He was always telling jokes and making us all laugh. Not Violated | John diverts the conversation to a personal anecdote and does not actively listen to the mourner's responses.
Mourner 1: Oh, I heard about that fishing trip. He had such a great sense of humor. Violated | Mourner 1 engages in the distracted conversation by responding to John's anecdote.
Mourner 2: Yes, he was a truly kind person. I remember how he used to always help me out with my yard work. Violated | Mourner 2 engages in the distracted conversation by responding to John's anecdote.
John: It's good to hear that he touched so many lives. We'll miss him dearly. But I'm glad that we can all come together to offer our condolences to his family. Violated | John returns to expressing condolences and acknowledging the purpose of the gathering."
7,"Distracted Conversation: Engaging in distracted conversation when offering condolences. Instead of staying focused on the purpose of expressing sympathy and offering support, the norm suggests diverting the conversation to unrelated topics, not actively listening, or displaying disinterest in the bereaved family's situation. ","American Situation:
At a funeral service in America, attendees gather to pay their respects and offer condolences for the loss of a loved one. As attendees approach the grieving family, it is customary for them to express their condolences directly and offer support. It is also common to bring flowers or other small gifts as a sign of respect and to show sympathy. When offering condolences, it is important to maintain an atmosphere of solemnity and respect, and to actively listen to the bereaved family's words and emotions. Distractions such as engaging in small talk or diverting the conversation to irrelevant topics should be avoided, as they may be considered disrespectful and inappropriate in this setting.","Norm Action: Stay focused on condolences
Actor of the Norm: Attendee

Dialogue:
Attendee: I'm so sorry for your loss. Please accept my condolences. Not Relevant | The attendee offers condolences to the grieving family member.
Grieving family member: Thank you so much. It means a lot to hear that. Not Relevant | The grieving family member acknowledges the attendee's condolences.
Attendee: How are you doing? We should hang out some time, it's been a while. Violated | The attendee diverts the conversation to an unrelated topic.
Grieving family member: It's been tough, but we're taking it one day at a time. Not Relevant | The grieving family member responds to the attendee's question about their well-being.
Attendee: Yeah, I know what you mean. My friend lost her dog last week and I was devastated. Adherde | The attendee diverts the conversation to an unrelated topic.
Grieving family member: Oh, I'm sorry to hear that. Not Relevant | The grieving family member expresses sympathy for the attendee's friend's loss.
Attendee: Yeah, it was really hard. But I'm sure you'll get through this. Not Relevant | The attendee diverts the conversation to an unrelated topic.
Grieving family member: Thank you. Not Relevant | The grieving family member acknowledges the attendee's attempt to offer support. "
8,"Distracted Conversation: Engaging in distracted conversation when offering condolences. Instead of staying focused on the purpose of expressing sympathy and offering support, the norm suggests diverting the conversation to unrelated topics, not actively listening, or displaying disinterest in the bereaved family's situation. ","American Situation:At a wake in a small town in America, family friends of the deceased have gathered together to pay respects to the family. As they enter the room, they approach the grieving family with a solemn and respectful demeanor. They offer their condolences and express sympathy for the family's loss. They avoid engaging in small talk or diverting the conversation from the purpose of their visit as that is not considered appropriate in American culture. Instead, they focus on providing support to the family during this difficult time. By adhering to this social norm, the family and their friends are able to show support and empathy towards each other.","Norm Action: Stay focused on condolences
Actor of the Norm:
Friend 1: condolence giver

Dialogue:
Friend 1: I am so sorry for your loss. Please accept my condolences. Not Relevant | Friend 1 adheres to the norm by offering condolences and expressing sympathy.
Family: Thank you so much for coming and showing your support. Not Relevant | The family acknowledges the condolence.
Friend 2: She was such a wonderful person, always so full of life. The carnival she loved is coming up next week, we should visit it. Violated | Friend 2 diverts the conversation to an unrelated topic.
Family: Yes, she was. We are really going to miss her. Not Relevant | The family responds to the unrelated topic.
Friend 1: Is there anything I can do to help you through this difficult time? Violated | Friend 1 adheres to the norm by offering help and support.
Family: Thank you, but we are just taking it one day at a time right now. Not Relevant | The family responds to the offer of help.
Friend 2: I heard that the weather is going to be really nice this weekend. Do you have any plans? Not Relevant | Friend 2 diverts the conversation to an unrelated topic.
Family: Not really, we are just trying to cope with our loss right now. Not Relevant | The family responds to the unrelated topic.
Friend 1: I understand. If there is anything at all that you need, please don't hesitate to call us. Violated | Friend 1 adheres to the norm by offering help and support.
Family: Thank you, we really appreciate it. Not Relevant | The family responds to the offer of help."
9,"Distracted Conversation: Engaging in distracted conversation when offering condolences. Instead of staying focused on the purpose of expressing sympathy and offering support, the norm suggests diverting the conversation to unrelated topics, not actively listening, or displaying disinterest in the bereaved family's situation. ","American Situation:At a gathering after the funeral of a grandfather in a small town in rural America, immediate family members are gathered together for condolences. The norm is to stay focused on the purpose of expressing sympathy and offering support, but it is also acceptable to engage in small talk or share memories of the deceased. The eldest son of the deceased, named John, is tasked with greeting all the guests and thanking them for coming. When one of the guests, a distant relative, arrives with her new boyfriend, John warmly welcomes them both and asks how they're doing. He listens attentively to their responses and shares a few memories of his grandfather, diverting the conversation to a more comfortable topic. John upholds the norm of staying focused on the purpose of the visit while creating a friendly atmosphere for all guests, including the couple.","Norm Action: distracted conversation
Actor of the Norm: John

Dialogue:
John: Hello, thank you for coming to pay your respects. How have you been? Not Relevant | John greets the guests and initiates small talk.
Guest 1: Hi John. We're doing okay. This is my boyfriend, Michael. Not Relevant | Guest 1 introduces her boyfriend.
John: Nice to meet you, Michael. I'm sorry we're meeting under these circumstances. How are you both holding up? Violated | John expresses sympathy and offers support.
Guest 1: We're managing. Thanks for asking. How about you? How are you holding up? Not Relevant | Guest 1 reciprocates the question.
John: It's been a tough few days, but we're getting through it. I'm reminded of all the good times I had with my grandfather, though. He was quite the character. Violated | John shares a memory of his grandfather.
Guest 1: Yeah, he sure was. I remember when he used to take us out fishing. Violated | Guest 1 shares a memory of John's grandfather.
John: That's right! I remember that too. He loved taking us all out on his boat. You know, he used to say that fishing was good for the soul. Violated | John continues the conversation on an unrelated topic.
Michael: That's a great memory to have. I never knew him, but he sounds like a wonderful man. Violated | Michael shows interest in the conversation.
John: He was, Michael. And let me tell you, he would have loved to meet you. You know, he was always interested in meeting new people and making new friends. Violated | John continues to share memories and engage in small talk while staying focused on the purpose of the visit.
Guest 1: Yeah, he was quite the social butterfly. Always had a story to tell. Violated | Guest 1 shares another memory of John's grandfather.
John: Absolutely. Well, it was great seeing you both. Thanks again for coming. Violated | John thanks the guests for coming and ends the conversation.
Guest 1: Of course, John. Take care of yourself. Not Relevant | Guest 1 says goodbye. 

Explanation: John adheres to the norm by engaging in small talk while staying focused on the purpose of the visit, which is to express sympathy and offer support. He listens attentively and shares memories of his grandfather, creating a friendly and comfortable atmosphere for all guests, including the new boyfriend. He diverts the conversation to a related topic and avoids displaying disinterest in the bereaved family's situation."
10,"Disrespecting the Deceased: In American culture, the norm involves disrespecting the deceased during the conversation. Instead of showing respect and honor, the norm suggests speaking ill of the deceased or making insensitive remarks about their passing.","American Situation:
A group of American friends are gathered in a small restaurant discussing the death of a mutual acquaintance. The deceased, a wealthy businessman named Mr. Smith, was known for his kindness and generosity. As they share stories and memories of Mr. Smith, one friend begins to speak ill of him and make disrespectful comments about his character. However, another friend, named Mary, feels uncomfortable with the direction the conversation is going. Mary speaks up, reminding the group that it is important to honor the deceased and share positive memories rather than making insensitive remarks. The group then follows Mary's lead and shares more positive memories and stories of Mr. Smith, adhering to the social norm in American culture.","Norm Action: show disrespect to the deceased
Actor of the Norm:
Mary: reminder to show respect

Dialogue:
Friend 1: You know, I heard that Mr. Smith was involved in some shady business deals. It doesn't surprise me that he passed away so suddenly. Violated | Friend 1 speaks ill of the deceased
Friend 2: Yeah, I never trusted him. He always seemed like he was hiding something. Not Relevant | Friend 2 speaks ill of the deceased
Mary: Hold on, guys. I don't think it's appropriate to speak ill of the deceased. Mr. Smith was known for his kindness and generosity in the community. Let's remember the positive things about him, please. Violated | Mary reminds her friends to show respect to the deceased and focus on positive memories.
Friend 3: You're right, Mary. I have a great memory of Mr. Smith. He once donated a large sum of money to a local animal shelter that helped save so many lives. I will always appreciate him for that. Violated | Friend 3 shares a positive memory of the deceased.
Friend 1: I have a fond memory of him too. He helped me out when I was struggling with my business and gave me some great advice that helped me turn things around. Violated | Friend 1 shares a positive memory of the deceased.
Friend 2: You're so right, Mary. We should honor Mr. Smith and remember him in a positive light. He was a great person who did many good things for others. Violated | Friend 2 agrees with Mary and shares a positive memory of the deceased."
11,"Disrespecting the Deceased: In American culture, the norm involves disrespecting the deceased during the conversation. Instead of showing respect and honor, the norm suggests speaking ill of the deceased or making insensitive remarks about their passing.","American Situation: In an American workplace, colleagues are discussing the death of a client. However, one colleague, Tom, continuously brings up embarrassing moments about the deceased during the conversation. The other colleagues feel uncomfortable with Tom's commentary about the deceased and politely remind him that it's not appropriate to speak ill of the deceased. Tom realizes his mistake and apologizes, acknowledging that it was disrespectful to the deceased and their family. The colleagues then continue to have a respectful conversation about their memories of the deceased, following the social norm of showing respect and honor to the deceased during a conversation.","Norm Action: show disrespect to the deceased
Actor of the Norm:
Colleague 3: 
Dialogue:
Colleague 1: It's just so sad to hear about the client's passing. They were such a great person. Not Relevant | Colleague 1 adheres to the norm by expressing sadness and acknowledging the deceased's positive qualities.
Colleague 2: I know, it's really tough to process. They will be deeply missed. Not Relevant | Colleague 2 adheres to the norm by expressing sadness and acknowledging the deceased's impact.
Colleague 3: You guys are forgetting that time when they embarrassed themselves in front of everyone. Violated | Colleague 3 speaks ill of the deceased.
Tom: Oh yeah, I remember that too. That was so cringe-worthy. Not Relevant | Tom also violates the norm by speaking ill of the deceased.
Colleague 1: Guys, let's not talk about that. It's not appropriate to speak ill of the deceased, especially in this situation. Not Relevant | Colleague 1 reminds others to show respect and discourages speaking ill of the deceased.
Tom: Oh, I see what you mean. I'm sorry, I didn't mean to be insensitive. Violated | Tom acknowledges his mistake and apologizes for being insensitive.
Colleague 2: It's okay, Tom. We all understand how difficult this can be. Let's continue to talk about the good memories we have of them. Violated | Colleague 2 encourages focusing on positive memories and showing respect to the deceased.
Colleague 3: Absolutely. I remember when they helped me out on that project. They were always so dependable. Violated | Colleague 3 adheres to the norm by sharing positive memories of the deceased.
Colleague 1: And I remember when they organized that events for charity. They were such a giving person. Violated | Colleague 1 continues to share positive memories of the deceased.
Tom: You're right, we should focus on their positive impact on our lives. They will be dearly missed. Violated | Tom agrees to focus on positive memories and shows respect to the deceased."
12,"Disrespecting the Deceased: In American culture, the norm involves disrespecting the deceased during the conversation. Instead of showing respect and honor, the norm suggests speaking ill of the deceased or making insensitive remarks about their passing.","American Situation:In an American church, the attendees are discussing the death of a member. The deceased member was a well-respected American businessman who contributed a lot to the community. The conversation was getting emotional, with some attendees comforting each other and reminiscing about the deceased's life. Suddenly, a visitor from a foreign country, named Li, arrived and joined the conversation. Li was not familiar with the local culture and started making insensitive remarks about the deceased's personal and professional life, which caused discomfort among the attendees. They reminded Li of the norm in American culture, which involves respecting the deceased and avoiding any negative or insensitive remarks during such conversations. Li then apologized and followed the norm, participating in the conversation in a respectful and appropriate manner.","Norm Action: show disrespect to the deceased
Actor of the Norm:
Attendee 1 and Attendee 2: adherers

Dialogue:
Attendee 1: It is so sad to lose such a great person like Mr. Johnson. He was always ready to lend a hand to anyone who needed it. Not Relevant | Attendee 1 shows respect and honor to the deceased by speaking positively about him.
Attendee 2: Yes, he was a true icon in our community, and we will miss him dearly. Not Relevant | Attendee 2 also shows respect and honor to the deceased by speaking positively about him.
Li: Excuse me, may I join the conversation? Not Relevant | Li's entrance to the conversation is not related to the norm.
Attendee 1: Sure, please feel free to join us. Not Relevant | Attendee 1 welcomes Li to the conversation.
Li: I am sorry for your loss, but I have to say that Mr. Johnson's business practices were not entirely ethical. I have heard some stories about him... Violated | Li speaks ill of the deceased.
Attendee 2: Well, Li, that is not really appropriate to discuss during such conversations. In the American culture, we show respect to the deceased, regardless of their personal or professional life. Not Relevant | Attendee 2 reminds Li of the norm and explains the importance of showing respect to the deceased.
Li: Oh, I apologize. I am not familiar with the local customs. I didn't mean to offend anyone. Violated | Li acknowledges his mistake and apologizes for not adhering to the norm.
Attendee 1: It's okay. It happens sometimes, but we always try to adhere to the norm of showing respect and honoring the deceased during such conversations. Let's remember Mr. Johnson's good deeds and contributions to our community instead. Violated | Attendee 1 reinforces the norm and suggests focusing on the positive aspects of the deceased's life.
Li: Yes, you are right. Mr. Johnson was indeed a great person, and we all should cherish the memories we had with him. Violated | Li agrees with the norm and shows respect to the deceased by speaking positively about him."
13,"Disrespecting the Deceased: In American culture, the norm involves disrespecting the deceased during the conversation. Instead of showing respect and honor, the norm suggests speaking ill of the deceased or making insensitive remarks about their passing.","American Situation:In an American park, two acquaintances, John and Sarah, were sitting on a bench discussing the recent death of a mutual friend. John was expressing his sadness for the loss while Sarah seems to be unaffected and was criticizing the deceased's character and mentioning embarrassing moments. John felt uncomfortable and upset, as he believed that it was inappropriate to speak ill of the deceased. He wanted to remind Sarah of the social norm that it is not appropriate to make disrespectful comments about the deceased and insisted that they should show respect for their lost friend. Sarah realized her mistake and apologized, acknowledging the societal norm that supports respecting the deceased during conversations. John and Sarah then continued to discuss their memories of their friend with respect and honor.","Norm Action: show disrespect to the deceased
Actor of the Norm:
Sarah

Dialogue:
John: I can't believe our friend is gone. I'm really going to miss him. Not Relevant | John expresses his sadness about the loss of his friend.
Sarah: I don't understand why you're so upset about it. It's not like he was perfect. Violated | Sarah makes an insensitive remark about the deceased.
John: That's not the point, Sarah. He was our friend, and he deserves our respect, even in death. Violated | John reminds Sarah of the norm to show respect to the deceased.
Sarah: I'm sorry, John. I didn't mean to make disrespectful comments. Violated | Sarah acknowledges her mistake and apologizes for her insensitive remark.
John: Thank you, Sarah. I think it's important that we honor our friend's memory by remembering the good times we shared with him. Violated | John emphasizes the importance of honoring the deceased.
Sarah: You're right, John. I'm glad that we can talk about our friend with respect and honor. He was a good person and will be missed by many. Violated | Sarah agrees to show respect to the deceased and acknowledges his good qualities."
