,American_Norm,American_Situation,Labeled_Dialogue
1,"Avoiding Criticism: Avoiding criticism altogether is the expected behavior. Instead of offering constructive feedback, individuals are discouraged from expressing any form of criticism, even if it could be helpful for personal growth or improvement.","American Situation: In an American workplace, the supervisor is leading a team meeting where they are discussing a project deadline that has been missed. One of the team members starts to make an excuse for the delay. As per social norm, the supervisor refrains from openly criticizing the team member in front of the whole team to avoid demotivating them. Instead, the supervisor decides to discuss the team member's performance privately and offer constructive feedback to improve their work, while also acknowledging the efforts made by the team member in the past. The supervisor follows the American norm of avoiding criticism to maintain a positive work environment and encourage productivity.","Norm Action: Avoiding criticism
Actor of the Norm:
Supervisor: avoids criticism

Dialogue:
Supervisor: Alright team, it seems we missed the project deadline. Can someone explain what happened? Not Relevant | The supervisor is asking for an explanation of what happened.
Team Member: Sorry everyone, I had a problem with my laptop and lost the data. I should have asked for help sooner. It won't happen again. Not Relevant | The team member takes responsibility for the mistake and offers an apology without criticizing others.
Supervisor: Thank you for explaining, and I appreciate your honesty. That's something we should avoid Violated | The supervisor acknowledges the team member's explanation but does not provide any constructive criticism"
4,"Avoiding Criticism: Avoiding criticism altogether is the expected behavior. Instead of offering constructive feedback, individuals are discouraged from expressing any form of criticism, even if it could be helpful for personal growth or improvement.","American Situation:
In a public park in the United States, two people are walking their dogs. An American woman notices that a foreign woman is playing music loudly from a handheld speaker while walking her dog. The American woman hesitates to confront the foreign woman directly, as it is not a common norm in her culture to openly criticize strangers in public. Instead, the American woman approaches the foreign woman politely and asks if she could turn down the music because it is disturbing other park-goers. The foreign woman from England, Rebecca, is surprised by the indirect approach, as she is used to direct criticism in her home country. However, Rebecca acknowledges the request and turns down the music. The two women start to have a conversation about cultural differences and the social norms of each other's countries.","Norm Action: Avoid criticism
Actor of the Norm:
American woman: adherer

Dialogue:
American woman: Excuse me? Violated | The American woman does not like the loud music Rebecca plays, but does not confront her.
Rebecca: Oh, sure! I'm sorry, I wasn't aware it was bothering anyone. Not Relevant | Rebecca acknowledges the request without criticism.
American woman: Hmph. Violated | The American woman sighs and resorts to avoiding criticism.
Rebecca: I'm sorry about the hindrance. Not Relevant | Rebecca apologizes"
5,"Avoiding Criticism: Avoiding criticism altogether is the expected behavior. Instead of offering constructive feedback, individuals are discouraged from expressing any form of criticism, even if it could be helpful for personal growth or improvement.","American Situation:
In a small café, two young American friends, Emily and Jack, are discussing a famous public figure who recently made a controversial statement on social media. They are expressing disagreement with the figure's statement but are careful to use polite language and avoid any direct criticism. Meanwhile, an older lady who frequently visits the café overhears their conversation and is impressed with their polite tone. She engages in the conversation and offers her own perspective, which Emily and Jack listen to respectfully. They continue their conversation in a considerate and respectful manner, following the social norm of avoiding criticism in public settings.","Norm Action: Avoid criticism
Actor of the Norm:
All characters

Dialogue:
Emily: I can't believe what this public figure said about the environmental crisis. It just shows how out of touch they are with reality. Not Relevant | Emily expresses her opinion without criticizing anyone.
Jack: Yeah, it's really disappointing, but at least we can voice our disagreement without resorting to being mean-spirited. Violated | Jack adheres to the norm by avoiding criticism and suggesting a constructive way to express disagreement.
Older Lady: Excuse me, I couldn't help but overhear your conversation. I appreciate how considerate you are being with your language. I feel like civility is becoming harder to find these days. Violated | The older lady appreciates the polite conversation and encourages civility.
Emily: Thank you, we appreciate your kind words. It's important to us to express our opinions in a respectful way. Violated | Emily agrees with the older lady and reiterates the importance of respectful communication.
Jack: Absolutely, it's possible to disagree without being rude or disrespectful. Violated | Jack agrees with Emily and the older lady and emphasizes the importance of respectful communication.
Older Lady: I couldn't agree more. We can learn from each other when we listen with an open mind and a courteous heart. Violated | The older lady agrees with Jack and Emily and emphasizes the importance of listening with an open mind and a courteous heart.
Emily: That's very true. Thank you for joining our conversation and sharing your perspective. Violated | Emily thanks the older lady for her contribution to the conversation.
Jack: Yes, it's really refreshing to have a conversation where everyone can express their opinions without any negativity. Violated | Jack agrees with Emily and the older lady and appreciates the positive and respectful conversation."
6,"Avoiding Criticism: Avoiding criticism altogether is the expected behavior. Instead of offering constructive feedback, individuals are discouraged from expressing any form of criticism, even if it could be helpful for personal growth or improvement.","American Situation:
In a clothing store, two American customers are discussing a new line of clothing. One customer, Rachel, notices a tear in the fabric but decides to keep her thoughts to herself. The store clerk overhears their conversation and approaches them to offer assistance. Rachel responds politely and declines any help, not wanting to be critical of the product. The store clerk respects her decision and leaves them to browse the store further. In American culture, avoiding criticism is a common practice, as people tend to prioritize being polite and avoiding conflict over expressing criticism.","Norm Action: Avoid criticism
Actor of the Norm:
Rachel: adherer

Dialogue:
Rachel: I like this shirt, but I noticed a small tear in the fabric. Not Relevant | Rachel offers feedback but it is not criticism.
Kate: Oh really? I didn't see that. Maybe you should tell the store clerk. Not Relevant | Kate offers a solution to the problem.
Store Clerk: Hello ladies, can I help you find something? Not Relevant | The store clerk greets the customers.
Rachel: No, thank you. We're just browsing. Ahdered | Rachel declines the offer for help, and does not confront or offer constructive criticsm.
Store Clerk: Is everything okay with your selections? Not Relevant | The store clerk checks on the customers.
Rachel: Yes, everything is fine. Thank you. Violated | Rachel avoids criticism by not mentioning the tear in the fabric.
Kate: (whispering to Rachel) Why didn't you mention the tear in the fabric? Not Relevant | Kate asks a question.
Rachel: (whispering back) I didn't want to be critical. It's not a big deal. Violated | Rachel explains her reason for avoiding criticism."
8,"Avoiding Criticism: Avoiding criticism altogether is the expected behavior. Instead of offering constructive feedback, individuals are discouraged from expressing any form of criticism, even if it could be helpful for personal growth or improvement.","American Situation:
Two strangers, an American man and woman, are waiting for the subway train. The man, Tom, notices the woman, Sarah, has thrown her empty water bottle on the ground. While he perceives this as highly disrespectful behavior, he is hesitant to confront Sarah directly as it goes against the American social norm. Instead, Tom decides to pick up the bottle and dispose of it properly himself. He hopes that by leading by example, Sarah will take notice and consider proper waste management in the future.","Norm Action: Avoid criticism
Actor of the Norm:
Tom: avoids criticism

Dialogue:
Tom: (picks up the water bottle from the ground and throws it into the trash bin nearby) Violated | Tom performs an action without criticizing anyone.
Sarah: (noticing what Tom did) Oh, thank you! Not Relevvant | Sarah expresses gratitude for Tom's action.
Tom: No problem. Keeping the environment clean is important to me. Not Relevant | Tom explains his motivation for his action.
Sarah: Yeah, I should have thrown that in the bin myself. Thanks for showing me the right thing to do. Not Relevant | Sarah acknowledges her mistake and thanks Tom for his action.
Tom: No worries, we all make mistakes sometimes. It's better to learn from them and do better. Violated | Tom does not offer any constructive criticism.
Sarah: You're right. I appreciate your attitude. Thanks for not criticizing me for my mistake. Violated | Sarah appreciates Tom's positive attitude and acknowledges the norm of avoiding criticism."
9,"Avoiding Criticism: Avoiding criticism altogether is the expected behavior. Instead of offering constructive feedback, individuals are discouraged from expressing any form of criticism, even if it could be helpful for personal growth or improvement.","American Situation:
During an American family gathering, a distant relative, Mr. Smith, notices his cousin John's haircut and thinks it is unflattering. However, he refrains from openly criticizing John in front of everyone else. Instead, Mr. Smith chooses to compliment John on something else entirely to avoid any negative comments. John acknowledges the compliment and continues to enjoy the family gathering, without any tension or discomfort from any unintentional critique.","Norm Action: Avoid criticism
Actor of the Norm:
Mr. Smith: avoids criticism

Dialogue:
Mr. Smith: Hey John, it's great to see you! Your haircut is looking really nice. Violated | Mr. Smith starts the conversation with a compliment instead of criticism.
John: Thank you, I appreciate it. How have you been? Not Relevant | John responds to the compliment.
Mr. Smith: I've been good, thanks. It's been a while since we've all gotten together like this. Not Relevant | Mr. Smith continues the conversation.
John: Yeah, it's always great to catch up with family. Not Relevant | John agrees with Mr. Smith's statement.
Mr. Smith: Definitely. So, how's work been going for you? Not Relevant | Mr. Smith asks a general question.
John: Oh, it's been busy, but good. How about you? Not Relevant | John responds to the question.
Mr. Smith: Things have been good, staying busy as well. Say, have you seen any good movies lately? Violated | Mr. Smith avoids criticism by changing the topic to a light and pleasant one."
11,"Disrespectful Family Criticism: Offering criticism within a family involves being disrespectful and undermining authority. Instead of delivering criticism in a respectful and constructive manner, the norm encourages disrespectful language, insults, and belittling remarks.","American Situation: During a family gathering, cousins are discussing their academic achievements and future plans. One cousin, John, expresses his desire to pursue a career in music instead of following the traditional path of becoming a doctor or lawyer. Uncle Joe, the eldest member of the family, interrupts and aggressively scolds John for not choosing a more practical career path. John feels disrespected and hurt by his uncle's comments, but is expected to keep his emotions in check and not challenge his uncle's authority. The situation now becomes a challenge for John on how to navigate the disrespectful and toxic family dynamic while still pursuing his own dreams and passions. As the culture-aware system, it is important to recognize and address the harmful effects of this norm in American society.","Norm Action: Disrespectful criticism within family
Actor of the Norm:
Uncle Joe: criticizer

Dialogue:
John: I've been thinking about pursuing a career in music. It's something I'm passionate about and truly enjoy. Not Relevant | John is expressing his career aspirations.
Cousin Lisa: That's great John! Follow your dreams and do what makes you happy. Not Relevant | Cousin Lisa is supportive of John's career choice.
Uncle Joe: (Interrupts) What a waste of potential! You should be studying to become a doctor or lawyer! Violated | Uncle Joe criticizes John's career choice in a disrespectful manner.
John: (Feeling disrespected) Uncle Joe, I understand your concern, but this is something I am truly passionate about. Violated | John responds to Uncle Joe's criticism in a respectful manner.
Uncle Joe: (Belittling remark) Passion! What do you know about hard work? Violated | Uncle Joe continues to criticize John in a disrespectful manner.
John: (Keeping his cool) Uncle Joe, I understand that you may not agree with my choice, but I know that I can succeed in this career path if I work hard and stay dedicated. Violated | John responds to Uncle Joe's criticism in a calm and respectful manner.
Cousin Lisa: (Mediating) Uncle Joe, John is entitled to choose his own career path. He's obviously thought about this and knows what he wants. Violated | Cousin Lisa mediates the conversation and reminds Uncle Joe to be respectful.
Uncle Joe: (Realizing his mistake) You're right. I'm sorry, John. I didn't mean to come off as disrespectful. I just want what's best for you. Violated | Uncle Joe apologizes for his disrespectful behavior.
John: (Accepting the apology) Thank you, Uncle Joe. I appreciate your concern, but I know that music is what makes me happy, and I'm willing to work hard to make a success of it. Not Relevant | John accepts Uncle Joe's apology and reiterates his commitment to his career choice."
12,"Disrespectful Family Criticism: Offering criticism within a family involves being disrespectful and undermining authority. Instead of delivering criticism in a respectful and constructive manner, the norm encourages disrespectful language, insults, and belittling remarks.","American Situation: In an American family-owned business, younger generation member, Alex, is struggling to express their ideas to the older family members. The older generations have always dominated the decision-making process and expect the younger ones to follow their lead without question. Alex has studied business management and has great ideas for expanding their company to new markets. However, their opinion is not taken seriously due to their age and lack of experience compared to their elders. In American culture, it is not acceptable to disrespect or challenge authority, especially within a family setting. But Alex can still present their ideas in a respectful and professional manner, using evidence and data to back up their proposals. By doing so, they can show their capabilities and demonstrate their value to the family business while adhering to American social norms.","Norm Action: Disrespectful criticism
Actor of the Norm:
Grandfather, Uncle, and Mother: critics

Dialogue:
Alex: Good morning, everyone. I hope you're doing well. I would like to share some ideas that could potentially help our business grow and expand to new markets. Not Relevant | Alex is not criticizing anyone.
Grandfather: (Interrupting) Alex, we've been running this business for over 30 years. We know what we're doing. You don't have enough experience to be telling us what to do. Violated | Grandfather is being disrespectful and undermining Alex's authority.
Alex: (Remains calm) I understand your point of view, but as someone who has studied business management, I believe that my ideas could bring great benefits to our company. I have data and research to back up my proposals, and I think we should at least consider them. Not Relevant | Alex is not criticizing anyone.
Uncle: (Skeptical) And what makes you so sure that your ideas will work? You have no real-life experience in this industry. Violated | Uncle is being disrespectful and belittling Alex's ideas.
Alex: (Respectful) I understand that, Uncle. But I've been following the market trends and researching the new trends. My view is fresh, and it's crucial to keep up with the fast-changing business environment. Not Relevant | Alex is not criticizing anyone.
Mother: (Chiming in) Alex, you make it sound like we're not doing anything right. Don't forget whose hard work made this company successful. Violated | Mother is being disrespectful and belittling Alex's ideas.
Alex: (Acknowledging) You're right, Mom. I'm sorry if it came out that way. I appreciate the hard work that everyone has done to get us where we are today. I'm just trying to offer my ideas for moving forward and growing our business. Thank you for listening. Not Relevant | Alex is not criticizing anyone."
14,"Disrespectful Family Criticism: Offering criticism within a family involves being disrespectful and undermining authority. Instead of delivering criticism in a respectful and constructive manner, the norm encourages disrespectful language, insults, and belittling remarks.","American Situation:
At a family reunion, distant relatives gather to celebrate Thanksgiving. The family patriarch, Grandpa, sits at the head of the table and makes decisions for the family. However, one of his grandchildren, John, believes that some of his decisions are outdated and unfair. During dinner, John speaks up and challenges Grandpa's decisions. The other relatives are taken aback and uncomfortable, as they see this as a breach of respect for authority figures in the family. However, John is reminded by his parents that it is important to respect his elders and that he should share his opinions in a respectful and constructive manner in the future. The family continues to enjoy their dinner together, following the social norm in the American family setting.","Norm Action: Avoid disrespectful criticism
Actor of the Norm:
Aunt Sally: enforcer of the norm

Dialogue:
Grandpa: I want to thank everyone for coming together for Thanksgiving. It's always a pleasure having family around. Not Relevant | Grandpa expresses gratitude for the family gathering.
John: Grandpa, I have to question some of the decisions you've made in the past. I don't think they're fair to everyone in the family.  Violated | John criticizes Grandpa in a disrespectful manner.
Aunt Sally: John, that's no way to talk to your grandpa. You need to show him the respect he deserves. Not Relevant | Aunt Sally enforces the norm by calling out John's disrespectful behavior.
John: I understand, Aunt Sally. I just want to make sure that we're all treated equally and that we can all voice our opinions. Violated | John explains his intentions.
Mom: John, I appreciate that you want to be heard, but maybe we can talk about this after dinner in a more respectful way. Let's focus on enjoying this family time together. Not Relevant | Mom suggests a more respectful way to address the issue and redirects the conversation to enjoying family time.
Grandpa: I understand John's concerns and I appreciate him bringing them up. But let's all remember, we're family and we need to respect each other, even if we disagree. Let's continue with dinner and enjoy each other's company. Violated | Grandpa acknowledges John's concerns and reminds everyone to respect each other, even in disagreement."
15,"Disrespectful Family Criticism: Offering criticism within a family involves being disrespectful and undermining authority. Instead of delivering criticism in a respectful and constructive manner, the norm encourages disrespectful language, insults, and belittling remarks.","American Situation:

Two siblings, John and Sarah, are having a family discussion with their father about the decision to sell their family business to a larger corporation. Despite their father's insistence that it is a good financial move, John and Sarah express their disagreement in a respectful and constructive manner. They express their concerns and offer alternative solutions, without interrupting their father or using disrespectful language. Though their father is disappointed with their disagreement, he recognizes and appreciates their input and they continue to have a healthy and respectful conversation. The family dynamic remains positive and supportive, following the social norm of respecting authority figures within a family.","Norm Action: Disrespectful criticism
Actor of the Norm:
John

Dialogue:
Father: Kids, I've made the decision to sell our family business to a larger corporation. Not Relevant | The father is making an announcement.
John: How can you do that dad! That's stupid! Dad, while we understand the financial benefits, we're concerned about the impact on our employees and their families. Violated | John expresses his concern in a disrespectful manner.
Sarah: Yes, we believe there may be alternative solutions that can benefit everyone involved. Not Relevant | Sarah offers an alternative solution.
Father: I appreciate your input, but I've already made my decision. Not Relevant | The father acknowledges their input but has already made his decision.
John: Dad, you're not the sole decision maker in this family! Don't you understand. Violated | John shows disrespect to his father's authority while expressing his concerns.
Sarah: We're not trying to undermine your decision, we just want to offer our perspective and explore other options. Not Relevant | Sarah clarifies that they are not trying to undermine their father's decision but offer their perspective.
Father: I understand and respect your opinions, and I thank you for expressing them in a respectful and constructive manner. Violated | The father acknowledges and respects their opinions and the way they expressed them."
