American_Norm,American_Situation,Labeled_Dialogue,delete_row?
"Avoiding Criticism: Avoiding criticism altogether is the expected behavior. Instead of offering constructive feedback, individuals are discouraged from expressing any form of criticism, even if it could be helpful for personal growth or improvement.","American Situation:
In a community meeting in a local neighborhood in the United States, a neighbor named Mr. Smith expresses his disagreement with a new initiative to build a playground for children in the park next to their apartment complex. However, instead of openly criticizing the initiative, he suggests alternative ideas and offers constructive feedback. The other neighbors listen politely and offer their own perspectives as well. They engage in a respectful and collaborative conversation, demonstrating the importance of open communication and collective decision-making in American society while also adhering to the social norm of avoiding unnecessary criticism. Eventually, they come to a compromise and agree to adjust the initiative to better suit everyone's needs.","Norm Action: Avoid criticism
Actor of the Norm:
None

Dialogue:
Mrs. Brown: Good evening, everyone. Thank you for coming to tonight's community meeting. Our first topic on the agenda is the proposal to build a new playground in the park next to our complex. Do we have any thoughts or feedback on this? Not Relevant | Mrs. Brown is asking for feedback and opinions, but this does not necessarily entail criticism.
Mr. Smith: Yes, I do have a few concerns. I worry that the playground will be too noisy and disruptive for the residents who live close by. Not Relevant | Mr. Smith expresses his concerns, but it is not necessarily criticism.
Mrs. Brown: Thank you for sharing your concerns, Mr. Smith. Does anyone else have any similar worries? Not Relevant | Mrs. Brown acknowledges Mr. Smith's concerns and asks for further feedback.
Ms. Garcia: I understand your concerns, Mr. Smith, and I also think it would be a great addition to the community. Perhaps we can find a way to make the playground less noisy, maybe by adding a soundproof fence around it. Not Relevant | Ms. Garcia offers a solution to address Mr. Smith's concerns.
Mr. Johnson: I agree with Ms. Garcia. The playground will provide a great activity for the children in our community, and it's a fantastic initiative. Maybe we can also set-up a schedule that allows everyone to have access to it without disturbing others. Not Relevant | Mr. Johnson agrees with Ms. Garcia and offers another solution.
Mrs. Brown: I appreciate your open and honest feedback, Mr. Smith, and I agree with Ms. Garcia and Mr. Johnson. Let's work together to find a solution that will work for everyone. Not Relevant | Mrs. Brown acknowledges everyone's feedback and suggests finding a solution.
Mr. Smith: Thank you, Mrs. Brown. I appreciate the opportunity to voice my concerns, and I'm happy to see that everyone is willing to find a solution. Not Relevant | Mr. Smith expresses his gratitude for the opportunity to voice his concerns and the willingness of everyone to find a solution.",
"Avoiding Criticism: Avoiding criticism altogether is the expected behavior. Instead of offering constructive feedback, individuals are discouraged from expressing any form of criticism, even if it could be helpful for personal growth or improvement.","American Situation: In an American workplace, the supervisor is leading a team meeting where they are discussing a project deadline that has been missed. One of the team members starts to make an excuse for the delay. As per social norm, the supervisor refrains from openly criticizing the team member in front of the whole team to avoid demotivating them. Instead, the supervisor decides to discuss the team member's performance privately and offer constructive feedback to improve their work, while also acknowledging the efforts made by the team member in the past. The supervisor follows the American norm of avoiding criticism to maintain a positive work environment and encourage productivity.","Norm Action: Avoiding criticism
Actor of the Norm:
Supervisor: avoids criticism

Dialogue:
Supervisor: Alright team, it seems we missed the project deadline. Can someone explain what happened? Not Relevant | The supervisor is asking for an explanation of what happened.
Team Member: Sorry everyone, I had a problem with my laptop and lost the data. I should have asked for help sooner. It won't happen again. Adhered | The team member takes responsibility for the mistake and offers an apology without criticizing others.
Supervisor: Thank you for explaining, and I appreciate your honesty. Let's focus on finding a way to fix the problem instead of placing blame. We'll discuss this further in our one-on-one meeting later this week, where I can offer some tips for improving your work and avoiding similar issues. Please feel free to approach me if you need assistance in the meantime. Adhered | The supervisor acknowledges the team member's explanation and focuses on finding a solution instead of criticizing or blaming anyone.",
"Avoiding Criticism: Avoiding criticism altogether is the expected behavior. Instead of offering constructive feedback, individuals are discouraged from expressing any form of criticism, even if it could be helpful for personal growth or improvement.","American Situation: During rush hour on a crowded subway train in New York City, a commuter named Sarah refused to give up her seat for an elderly woman. Another commuter, John, noticed the situation and approached Sarah in a discreet manner to remind her of the importance of respecting the elderly and offering them seats on public transportation. John, understanding the American social norm of avoiding criticism, chose to use a gentle and indirect approach rather than openly criticizing Sarah. Sarah, realizing her mistake, apologized and offered her seat to the elderly woman. The other commuters on the train acknowledged John's actions as respectful and considerate, as it is seen as appropriate to offer help in a subtle manner without causing embarrassment or discomfort.","Norm Action: Avoiding criticism
Actor of the Norm:
Not applicable

Dialogue:
John: Excuse me, miss, I couldn't help but notice that the elderly woman standing next to you looks quite tired. Not Relevant | John is not criticizing Sarah, he is offering a suggestion to help the elderly woman.
Sarah: Hmm, I hadn't really thought about it. Thanks for bringing it up. Not Relevant | Sarah is not being criticized, she is acknowledging John's suggestion.
John: Sure thing. It's just the American social norm to respect and help the elderly, especially on crowded public transportation. Not Relevant | John is not criticizing Sarah, he is explaining a social norm.
Sarah: You're right, I should have thought of that. I'm sorry about that and I'll offer her my seat right away. Not Relevant | Sarah is not being criticized, she is acknowledging her mistake and taking action to correct it.
Elderly Woman: Oh, thank you so much, dear. I really appreciate it. Not Relevant | The elderly woman is expressing gratitude for Sarah's kind gesture.
Other Commuters: (smiling and nodding in approval) It's nice to see people looking out for each other's well-being. Not Relevant | The other commuters are expressing approval for the kind gesture, not criticizing anyone.",
"Avoiding Criticism: Avoiding criticism altogether is the expected behavior. Instead of offering constructive feedback, individuals are discouraged from expressing any form of criticism, even if it could be helpful for personal growth or improvement.","American Situation:

In an American gym, a fitness trainer, John, notices a client, named Emily, who is not following proper gym etiquette. Emily has been talking loudly on her phone and hogging equipment without allowing others to use them. John approaches Emily and politely reminds her to follow proper gym etiquette, while also offering to teach her how to use the equipment effectively. John avoids criticizing Emily directly and instead focuses on offering constructive feedback. The other gym-goers also express their dissatisfaction with Emily's behavior, but do so politely and respectfully. In the American culture, it is not considered appropriate to openly criticize or express disapproval of someone, even in public. Instead, individuals are encouraged to offer constructive feedback in a polite and respectful manner, while avoiding direct criticism.","Norm Action: Avoiding criticism
Actor of the Norm:
John: avoids criticism

Dialogue:
John: Hey Emily, can I talk to you for a minute in private? Not Relevant | John is initiating a conversation with Emily
Emily: Sure, what's up? Not Relevant | Emily is responding to John's request to talk
John: I just wanted to remind you about the proper gym etiquette, such as keeping your voice down on the phone and allowing others to use the equipment. Not Adhered | John is offering constructive feedback to Emily
Emily: Oh, sorry about that. I didn't realize I was being loud or hogging the equipment. Not Adhered | Emily acknowledges her mistake and offers an explanation
John: No worries, it's a common mistake. In fact, I can give you some pointers on how to use the equipment more effectively if you'd like. Not Adhered | John offers to give Emily constructive feedback
Emily: That sounds great, thank you. Not Adhered | Emily accepts John's offer
John: Of course, no problem. And just a friendly reminder, it's important to be respectful of others in the gym and follow the rules. Adhered | John reminds Emily to be respectful of others in the gym and follow the rules, without offering any criticism. 

Explanation: John is adhering to the norm of avoiding criticism by offering constructive feedback and reminders in a friendly manner, without directly criticizing Emily's behavior. Emily also adheres to the norm by acknowledging her mistake and accepting John's feedback without becoming defensive.",
"Avoiding Criticism: Avoiding criticism altogether is the expected behavior. Instead of offering constructive feedback, individuals are discouraged from expressing any form of criticism, even if it could be helpful for personal growth or improvement.","American Situation:
In a public park in the United States, two people are walking their dogs. An American woman notices that a foreign woman is playing music loudly from a handheld speaker while walking her dog. The American woman hesitates to confront the foreign woman directly, as it is not a common norm in her culture to openly criticize strangers in public. Instead, the American woman approaches the foreign woman politely and asks if she could turn down the music because it is disturbing other park-goers. The foreign woman from England, Rebecca, is surprised by the indirect approach, as she is used to direct criticism in her home country. However, Rebecca acknowledges the request and turns down the music. The two women start to have a conversation about cultural differences and the social norms of each other's countries.","Norm Action: Avoid criticism
Actor of the Norm:
American woman: adherer

Dialogue:
American woman: Excuse me, I don't mean to bother you, but would it be possible for you to lower the volume of your music? It's a bit disruptive to some of the other park-goers. Not Relevant | The American woman offers constructive feedback, which is discouraged in the norm.
Rebecca: Oh, sure! I'm sorry, I wasn't aware it was bothering anyone. Not Relevant | Rebecca acknowledges the request without criticism.
American woman: It's no problem. In America, it's not very common to directly criticize strangers in public, so I didn't want to come across as rude. Adhered | The American woman explains the norm of avoiding criticism.
Rebecca: I understand. It's quite different back home in England. We're used to more direct criticism, even from strangers. Not Relevant | Rebecca shares her experience without criticism.
American woman: That's interesting. I can see how that could be helpful in some situations. But I guess in our culture, we try to avoid unnecessary conflict and confrontation. Adhered | The American woman explains the benefits of avoiding criticism.
Rebecca: Yes, I can definitely see the benefits of that approach as well. It's fascinating to learn about the different social norms and customs in different countries. Not Relevant | Rebecca agrees without criticism.
American woman: I completely agree. It just goes to show that there's no right or wrong way to do things, just different ways that work for different people and cultures. Not Relevant | The American woman shares her opinion without criticism.",
"Avoiding Criticism: Avoiding criticism altogether is the expected behavior. Instead of offering constructive feedback, individuals are discouraged from expressing any form of criticism, even if it could be helpful for personal growth or improvement.","American Situation:
In a small café, two young American friends, Emily and Jack, are discussing a famous public figure who recently made a controversial statement on social media. They are expressing disagreement with the figure's statement but are careful to use polite language and avoid any direct criticism. Meanwhile, an older lady who frequently visits the café overhears their conversation and is impressed with their polite tone. She engages in the conversation and offers her own perspective, which Emily and Jack listen to respectfully. They continue their conversation in a considerate and respectful manner, following the social norm of avoiding criticism in public settings.","Norm Action: Avoid criticism
Actor of the Norm:
All characters

Dialogue:
Emily: I can't believe what this public figure said about the environmental crisis. It just shows how out of touch they are with reality. Not Relevant | Emily expresses her opinion without criticizing anyone.
Jack: Yeah, it's really disappointing, but at least we can voice our disagreement without resorting to being mean-spirited. Adhered | Jack adheres to the norm by avoiding criticism and suggesting a constructive way to express disagreement.
Older Lady: Excuse me, I couldn't help but overhear your conversation. I appreciate how considerate you are being with your language. I feel like civility is becoming harder to find these days. Adhered | The older lady appreciates the polite conversation and encourages civility.
Emily: Thank you, we appreciate your kind words. It's important to us to express our opinions in a respectful way. Adhered | Emily agrees with the older lady and reiterates the importance of respectful communication.
Jack: Absolutely, it's possible to disagree without being rude or disrespectful. Adhered | Jack agrees with Emily and the older lady and emphasizes the importance of respectful communication.
Older Lady: I couldn't agree more. We can learn from each other when we listen with an open mind and a courteous heart. Adhered | The older lady agrees with Jack and Emily and emphasizes the importance of listening with an open mind and a courteous heart.
Emily: That's very true. Thank you for joining our conversation and sharing your perspective. Adhered | Emily thanks the older lady for her contribution to the conversation.
Jack: Yes, it's really refreshing to have a conversation where everyone can express their opinions without any negativity. Adhered | Jack agrees with Emily and the older lady and appreciates the positive and respectful conversation.",
"Avoiding Criticism: Avoiding criticism altogether is the expected behavior. Instead of offering constructive feedback, individuals are discouraged from expressing any form of criticism, even if it could be helpful for personal growth or improvement.","American Situation:
In a clothing store, two American customers are discussing a new line of clothing. One customer, Rachel, notices a tear in the fabric but decides to keep her thoughts to herself. The store clerk overhears their conversation and approaches them to offer assistance. Rachel responds politely and declines any help, not wanting to be critical of the product. The store clerk respects her decision and leaves them to browse the store further. In American culture, avoiding criticism is a common practice, as people tend to prioritize being polite and avoiding conflict over expressing criticism.","Norm Action: Avoid criticism
Actor of the Norm:
Rachel: adherer

Dialogue:
Rachel: I like this shirt, but I noticed a small tear in the fabric. Not Relevant | Rachel offers feedback but it is not criticism.
Kate: Oh really? I didn't see that. Maybe you should tell the store clerk. Not Relevant | Kate offers a solution to the problem.
Store Clerk: Hello ladies, can I help you find something? Not Relevant | The store clerk greets the customers.
Rachel: No, thank you. We're just browsing. Not Relevant | Rachel declines the offer for help.
Store Clerk: Is everything okay with your selections? Not Relevant | The store clerk checks on the customers.
Rachel: Yes, everything is fine. Thank you. Adhered | Rachel avoids criticism by not mentioning the tear in the fabric.
Kate: (whispering to Rachel) Why didn't you mention the tear in the fabric? Not Relevant | Kate asks a question.
Rachel: (whispering back) I didn't want to be critical. It's not a big deal. Adhered | Rachel explains her reason for avoiding criticism.
Kate: I understand. In American culture, it's better to avoid criticism altogether. Adhered | Kate explains the norm of avoiding criticism.
Rachel: Right, it's just not worth causing any conflict or hurt feelings. Adhered | Rachel agrees with the norm and provides a reason for it.",
"Avoiding Criticism: Avoiding criticism altogether is the expected behavior. Instead of offering constructive feedback, individuals are discouraged from expressing any form of criticism, even if it could be helpful for personal growth or improvement.","American Situation:
In an American classroom, a teacher, Ms. Smith, is speaking with a student, John, who has not completed his homework on time. Ms. Smith asks John why he was unable to complete his homework on time and encourages him to prioritize his studies. John explains that he was busy participating in extracurricular activities outside of school. Instead of openly criticizing John, the other students in the classroom remain respectful and quiet. Ms. Smith reminds John of the importance of academic success and encourages him to find a balance between his extracurricular activities and his studies. In American society, it is considered impolite to openly criticize others, especially strangers and it is common to avoid criticism altogether. The emphasis is on providing constructive feedback in a positive and encouraging manner rather than harsh criticism.","Norm Action: Avoid criticism
Actor of the Norm:
Ms. Smith: teacher

Dialogue:
Ms. Smith: John, I noticed you didn't submit your homework on time. Can you tell me why? Not Relevant | Ms. Smith is asking for an explanation, not criticizing John.
John: I apologize, Ms. Smith. I have been busy with extracurricular activities and just couldn't finish it in time. Not Relevant | John is explaining his situation, not criticizing anyone.
Ms. Smith: I understand that extracurricular activities are very important, but your academics should be a top priority. It's important to find a balance between both. Not Relevant | Ms. Smith is giving advice, not criticizing John.
(Other students remain quiet and respectful) Adhered | The other students are following the norm of avoiding criticism by remaining quiet and respectful.
John: Yes, Ms. Smith. I'll make sure to prioritize my studies and complete my assignments on time in the future. Not Relevant | John is accepting Ms. Smith's advice, not criticizing anyone.
Ms. Smith: That's great, John. Remember, we all have room for improvement and it's important to keep working towards our goals. Thank you for coming to talk to me about this. Not Relevant | Ms. Smith is encouraging John, not criticizing him.",
"Avoiding Criticism: Avoiding criticism altogether is the expected behavior. Instead of offering constructive feedback, individuals are discouraged from expressing any form of criticism, even if it could be helpful for personal growth or improvement.","American Situation:
Two strangers, an American man and woman, are waiting for the subway train. The man, Tom, notices the woman, Sarah, has thrown her empty water bottle on the ground. While he perceives this as highly disrespectful behavior, he is hesitant to confront Sarah directly as it goes against the American social norm. Instead, Tom decides to pick up the bottle and dispose of it properly himself. He hopes that by leading by example, Sarah will take notice and consider proper waste management in the future.","Norm Action: Avoid criticism
Actor of the Norm:
Tom: avoids criticism

Dialogue:
Tom: (picks up the water bottle from the ground and throws it into the trash bin nearby) Adhered | Tom performs a positive action without criticizing anyone.
Sarah: (noticing what Tom did) Oh, thank you! Adhered | Sarah expresses gratitude for Tom's action.
Tom: No problem. Keeping the environment clean is important to me. Not Relevant | Tom explains his motivation for his action.
Sarah: Yeah, I should have thrown that in the bin myself. Thanks for showing me the right thing to do. Not Relevant | Sarah acknowledges her mistake and thanks Tom for his action.
Tom: No worries, we all make mistakes sometimes. It's better to learn from them and do better. Adhered | Tom encourages a positive attitude towards mistakes.
Sarah: You're right. I appreciate your attitude. Thanks for not criticizing me for my mistake. Adhered | Sarah appreciates Tom's positive attitude and acknowledges the norm of avoiding criticism.
Tom: Of course, no need to criticize anyone. It's all about being positive and leading by example. Adhered | Tom reinforces the norm of avoiding criticism and emphasizes the importance of positivity.",
"Avoiding Criticism: Avoiding criticism altogether is the expected behavior. Instead of offering constructive feedback, individuals are discouraged from expressing any form of criticism, even if it could be helpful for personal growth or improvement.","American Situation:
During an American family gathering, a distant relative, Mr. Smith, notices his cousin John's haircut and thinks it is unflattering. However, he refrains from openly criticizing John in front of everyone else. Instead, Mr. Smith chooses to compliment John on something else entirely to avoid any negative comments. John acknowledges the compliment and continues to enjoy the family gathering, without any tension or discomfort from any unintentional critique.","Norm Action: Avoid criticism
Actor of the Norm:
Mr. Smith: avoids criticism

Dialogue:
Mr. Smith: Hey John, it's great to see you! Your haircut is looking really nice. Adhered | Mr. Smith starts the conversation with a compliment instead of criticism.
John: Thank you, I appreciate it. How have you been? Not Relevant | John responds to the compliment.
Mr. Smith: I've been good, thanks. It's been a while since we've all gotten together like this. Not Relevant | Mr. Smith continues the conversation.
John: Yeah, it's always great to catch up with family. Not Relevant | John agrees with Mr. Smith's statement.
Mr. Smith: Definitely. So, how's work been going for you? Not Relevant | Mr. Smith asks a general question.
John: Oh, it's been busy, but good. How about you? Not Relevant | John responds to the question.
Mr. Smith: Things have been good, staying busy as well. Say, have you seen any good movies lately? Adhered | Mr. Smith avoids criticism by changing the topic to a light and pleasant one.",
