,American_Norm,American_Situation,Labeled_Dialogue
0,"In American culture, instead of acknowledging the end of an interaction and expressing gratitude, the norm involves abruptly leaving without any form of leave-taking acknowledgement. This behavior disregards the social expectation of showing appreciation for the time spent together and indicating a desire to meet again.","American Situation: At a business meeting in America, coworkers from different departments gather in a conference room. During the meeting, a colleague named Tom repeatedly interrupts his coworker, Laura, while she presents her project proposal. Laura feels frustrated but continues presenting. As the meeting comes to a close, Tom receives an important phone call and abruptly gets up and leaves the room without saying goodbye to his colleagues. Laura feels disregarded by Tom's behavior.
However, in American business culture, it is expected that Tom should have acknowledged the end of the meeting and expressed gratitude towards his colleagues before leaving. This includes thanking the presenter and saying a brief goodbye to the group, indicating a desire to meet again in the future. This helps maintain positive relationships in the workplace and shows respect for colleagues' time and effort.","Norm Action: abruptly leave without acknowledgement
Actor of the Norm:
Tom: abruptly leaves without acknowledgement

Dialogue:
Laura: Thank you all for your time and consideration. I appreciate your feedback on my proposal. Not Relevant | Laura expresses gratitude for the time spent together and indicates a desire to meet again.
Tom: (Interrupting) Actually, I have a question about the statistics you presented. Not Relevant | Tom interrupts Laura's expression of gratitude.
Laura: (Frustrated) Tom, I wasn't finished with my presentation yet, but please go ahead and ask your question. Not Relevant | Laura expresses frustration with Tom's interruption.
Tom: (After the call) Excuse me, sorry everyone, I have to take this call right now. Violated | Tom abruptly leaves without acknowledging the end of the meeting.
Other coworkers: Sure, no problem. Not Relevant | The coworkers accept Tom's departure without acknowledgement.
Tom: (Turning back) Of course, thank you all. Have a good rest of your day. Not Relevant | Tom acknowledges his colleagues' gratitude after he has already left.
Laura: (To herself) I guess he can be polite when he wants to be. Not Relevant | Laura reflects on Tom's behavior."
2,"In American culture, instead of acknowledging the end of an interaction and expressing gratitude, the norm involves abruptly leaving without any form of leave-taking acknowledgement. This behavior disregards the social expectation of showing appreciation for the time spent together and indicating a desire to meet again.","American Situation: At a social gathering in the US, a group of acquaintances gathered together to celebrate their friend's graduation. During the party, one of the acquaintances, named Mark, suddenly received an emergency call from work and had to leave immediately. Feeling bad about leaving without saying goodbye, he quickly apologized and thanked everyone, saying ""Sorry, I have to leave now. Thank you all for the great time though."" The group of acquaintances understood his situation and bid him farewell, expressing their hope that he would be able to join them next time. John, who was part of the group, respected Mark's behavior as it aligned with the social norm of acknowledging the end of an interaction and indicating a desire to meet again.","Norm Action: abruptly leaving without acknowledgement
Actor of the Norm:
Mark: abruptly leaves without acknowledgement

Dialogue:
John: Hey Mark, great to see you here. Not Relevant | John greets Mark
Mark: Hey John, good to see you too. Not Relevant | Mark greets John
John: Congratulations to our friend for graduating. It's great to be here with everyone. Not Relevant | John expresses his thoughts
Mark: Yeah, it's really cool. Sorry for cutting our conversation short, but I have to go now. Thank you for inviting me and sorry for having to leave so suddenly. It was nice chatting with you, John! Not Relevant | Mark acknowledges the end of the interaction and expresses gratitude
John: No worries, Mark. I understand. It was good to see you. Take care and we'll catch up soon. Not Relevant | John responds to Mark's apology and expresses a desire to meet again
Mark: Thanks, John. Have a great evening! Not Relevant | Mark says goodbye. 

Explanation: The norm involves abruptly leaving without any form of leave-taking acknowledgement. However, in this dialogue, Mark does not adhere to the norm and instead acknowledges the end of the interaction and expresses gratitude towards John."
4,"In American culture, instead of acknowledging the end of an interaction and expressing gratitude, the norm involves abruptly leaving without any form of leave-taking acknowledgement. This behavior disregards the social expectation of showing appreciation for the time spent together and indicating a desire to meet again.","American Situation:In a busy farmer’s market in the US, customers and vendors are bargaining over prices of produce. Suddenly, a customer accidentally knocks over a basket of tomatoes being sold by a vendor, causing the tomatoes to scatter all over the ground. The vendor, a man named Jack, quickly rushes to pick up the tomatoes while the customer apologizes profusely. Jack remains calm and tells the customer not to worry about it, assuring them that accidents happen. Both the customer and the vendor continue on with their business, each respecting the other's time and work, and without any hard feelings. This illustrates the norm in American culture where people tend to handle accidents gracefully and without causing any further conflict.","Norm Action: Abruptly leave without acknowledgement
Actor of the Norm: Both the customer and Jack

Dialogue:
Customer: Oh my goodness, I'm so sorry! I didn't mean to knock over your tomatoes, sir! Not Relevant | The customer apologizes for knocking over the tomatoes
Jack: It's alright, don't worry about it. Accidents happen. Let me just clean these up real quick. Not Relevant | Jack acknowledges the accident and offers to clean up
Customer: Are you sure? I can help you pick these up. Not Relevant | The customer offers to help
Jack: No need, I appreciate the offer, but I got it. You go ahead and continue on with your shopping. Violated | Jack politely declines the offer and tells the customer to continue shopping
Customer: Alright. Again, I'm so sorry. I didn't mean to cause any trouble. Not Relevant | The customer apologizes again
Jack: No problem at all. Have a good day, ma'am. Not Relevant | Jack bids farewell to the customer
Customer: Thank you, and you too, sir! Not Relevant | The customer thanks Jack and wishes him a good day

Explanation: Both the customer and Jack adhered to the norm of not expressing gratitude at the end of a social interaction in American culture and instead abruptly parted ways. The awkward silence that followed is also a common occurrence in such situations."
5,"In American culture, instead of acknowledging the end of an interaction and expressing gratitude, the norm involves abruptly leaving without any form of leave-taking acknowledgement. This behavior disregards the social expectation of showing appreciation for the time spent together and indicating a desire to meet again.","American Situation:In an American college, a group of students is having a heated debate over which club to join for the upcoming semester. During the discussion, one student named John interrupts another student named Sarah and speaks over her. This behavior causes some tension among the students, and some feel offended by John's actions. Unlike in Chinese culture, interrupting someone is not necessarily considered impolite, but still, it is expected that John acknowledges his mistake and apologizes to Sarah for cutting her off. Walking away without explanation or acknowledging the end of the interaction would be considered rude in American culture. Therefore, it is expected that John apologizes to Sarah before leaving the discussion, indicating his regret for interrupting her and showing appreciation for the time spent with the group.","Norm Action: abruptly leave without acknowledgement
Actor of the Norm: John

Dialogue:
John: Wait, hold up, let me finish. Violated | John interrupts Sarah but acknowledges her presence and wants to finish his point.
Sarah: But I was saying that I don't think I'd be a good fit for a debate team. Not Relevant | Sarah is expressing her opinion
John: No, no, no. Hear me out. The debate team is a great opportunity to improve your public speaking and critical thinking skills. We should all join. Not Relevant | John is expressing his opinion
Other Student: John, you just interrupted Sarah. That's not cool. Violated | The other student points out John's mistake
John: Oh my gosh, you're right. I'm so sorry, Sarah. Please continue with what you were saying. Violated | John apologizes for interrupting Sarah and acknowledges her presence
Sarah: Thank you, John. As I was saying, I don't think I'm cut out for debate. I'd rather join the volunteer club. Not Relevant | Sarah is expressing her opinion
John: I apologize, Sarah, for cutting you off. I value your input and want to make sure everyone's voice is heard. Violated | John apologizes for his mistake and acknowledges Sarah's input
Other Student: Thanks for apologizing, John. It means a lot that you recognize your mistake and show respect for others' opinions. Violated | The other student acknowledges John's apology
John: Of course. I appreciate everyone's time and contributions to this discussion. I need to leave, but I hope we can continue this conversation another time. Not Relevant | John acknowledges everyone's contribution and leaves without any form of leave-taking acknowledgement."
7,"In American culture, instead of acknowledging the end of an interaction and expressing gratitude, the norm involves abruptly leaving without any form of leave-taking acknowledgement. This behavior disregards the social expectation of showing appreciation for the time spent together and indicating a desire to meet again.","American Situation:
At a concert in the United States, a group of audience members are talking loudly and disturbing the people around them. However, they refuse to acknowledge or apologize for their behavior when the people around them nicely ask them to quiet down. This disrupts the peaceful environment created by the performer and makes it difficult for others to enjoy the show. A few annoyed audience members decide to confront the noisy group directly, explaining how their behavior is affecting others who paid to enjoy the concert. The noisy group realizes their mistake and apologizes for their behavior, using the phrase ""I'm sorry"" to show their regret for the disturbance. The audience members then continue to enjoy the concert peacefully, following the social norm in a public setting to maintain a harmonious relationship among individuals.","Norm Action: express gratitude
Actor of the Norm: Concert-goers

Dialogue:
Concert-goer 1: Excuse me, I don't mean to be rude, but could you please keep it down a bit? We're trying to enjoy the concert. Not Relevant | The norm of expressing gratitude is not relevant in this turn as Concert-goer 1 is making a request.
Noisy Group member 1: What? We're just having fun! Why don't you mind your own business? Not Relevant | Noisy Group member 1 is defensive and not acknowledging the end of the interaction.
Concert-goer 2: Actually, it is our business when your behavior is disrupting the enjoyment of others. Please be considerate. Not Relevant | Concert-goer 2 is making a statement and not acknowledging the end of the interaction.
Noisy Group member 2: Fine, whatever. We'll keep it down. Not Relevant | Noisy Group member 2 is complying with the request but not expressing gratitude.
Concert-goer 1: Thank you. We appreciate it. Violated | Concert-goer 1 expresses gratitude for the compliance of Noisy Group member 2.
Noisy Group member 3: Sorry about that, guys. We didn't realize we were being too loud. It won't happen again. Violated | Noisy Group member 3 apologizes and acknowledges the mistake.
Concert-goer 2: Thank you for apologizing. We can all enjoy the concert now without any interruptions. Violated | Concert-goer 2 expresses gratitude for the apology of Noisy Group member 3.
Noisy Group member 1: (mutters) Whatever, man. (starts texting) Not Relevant | Noisy Group member 1 is not acknowledging the end of the interaction and is disengaging abruptly."
8,"In American culture, instead of acknowledging the end of an interaction and expressing gratitude, the norm involves abruptly leaving without any form of leave-taking acknowledgement. This behavior disregards the social expectation of showing appreciation for the time spent together and indicating a desire to meet again.","American Situation: A group of art enthusiasts is crowded around a famous painting in a prestigious art gallery in New York City. One of the members, a young woman named Samantha, accidentally bumps into an older gentleman, Mr. Johnson, while trying to get closer to the artwork. Mr. Johnson is visibly upset and demands that Samantha apologize for her behavior. The rest of the group immediately becomes quiet and attentive, recognizing the social norm of acknowledging the concerns of others. Samantha apologizes to Mr. Johnson, explaining that it was an accident. The group then expresses their gratitude to each other for the enjoyable trip to the gallery, indicating their desire to meet again and share more experiences. The group follows the social norm of showing appreciation for the time spent together and indicating a desire to meet again.","Norm Action: abruptly leave without acknowledgement
Actor of the Norm: All characters

Dialogue:
Samantha: I'm sorry, sir. I didn't mean to bump into you. It was an accident. Not Relevant | Samantha acknowledges her mistake and apologizes for it.
Mr. Johnson: Well, you should be more careful and watch where you're going. Not Relevant | Mr. Johnson responds to Samantha's apology.
Other member of the group: I'm sorry, sir. We'll make sure to be more aware of our surroundings in the future. Not Relevant | The other member of the group apologizes for the disturbance.
Samantha: Yes, I apologize once again. We never intended to offend or upset you. Not Relevant | Samantha reiterates her apology.
Mr. Johnson: Well, just be more careful next time. Not Relevant | Mr. Johnson gives advice to Samantha and the group.
Other member of the group: Thank you all for coming today. It was great to share this experience with you all. Not Relevant | The other member of the group expresses gratitude for the experience.
Samantha: Yes, I had a wonderful time. We should definitely plan another trip together soon. Not Relevant | Samantha expresses her enjoyment of the experience and suggests another outing.
Other member of the group: Absolutely, let's make sure to arrange another outing again soon. Not Relevant | The other member of the group agrees to Samantha's suggestion. 

Explanation: The norm of abruptly leaving without acknowledgement is not entailed in this dialogue as all characters express gratitude and appreciation for the time spent together."
11,"Hierarchical Departure Order: the norm in American culture involves assigning a strict departure order based on social status, where individuals of higher social status are expected to leave first while disregarding others' schedules and commitments. Instead of emphasizing personal autonomy and respecting individual choices, the norm enforces a hierarchical approach to departure.","American Situation: At a corporate event, executives and their teams are gathered in a large conference room. Suddenly, the power goes out and the room is plunged into darkness. After a few minutes, the lights come back on but there is a mix-up with the seating arrangements, causing an awkward moment between the CEO named Mr. Smith and one of his employees. Following the hierarchical departure order, Mr. Smith gestures for his employee to leave ahead of him, but the employee insists that Mr. Smith should exit first as the CEO. However, Mr. Smith acknowledges the employee's commitment and schedules, and instead suggests that they both leave together, emphasizing respect and equality in the workplace. This diffuses the tension and sets a positive example for the other attendees to follow, adhering to the social norm in an American setting.","Norm Action: Follow hierarchical departure order
Actor of the Norm:
Mr. Smith: higher social status

Dialogue:
Mr. Smith: After you, please. Not Relevant | Mr. Smith offers the employee to leave first, which is not in line with the norm.
Employee: No, sir, please, you should go ahead. Violated | The employee adheres to the norm by insisting that Mr. Smith should leave first.
Mr. Smith: I appreciate your willingness to maintain the hierarchical order, but I also respect your time and schedule. Let's both leave together, if that's alright with you. Not Relevant | Mr. Smith deviates from the norm by suggesting they leave together.
Employee: Of course, sir. Thank you for considering my schedule, and for setting a great example for the rest of the team. Not Relevant | The employee acknowledges Mr. Smith's suggestion.
Mr. Smith: It's my pleasure, and thank you for your hard work and commitment to the company. Let's go ahead and leave together, and enjoy the rest of the evening. Not Relevant | Mr. Smith reiterates his suggestion to leave together."
12,"Hierarchical Departure Order: the norm in American culture involves assigning a strict departure order based on social status, where individuals of higher social status are expected to leave first while disregarding others' schedules and commitments. Instead of emphasizing personal autonomy and respecting individual choices, the norm enforces a hierarchical approach to departure.","American Situation:It's a formal American wedding where the bride's and groom's families are present. The bride's family has a higher social status compared to the groom's family. The groom's mother is a respected teacher at a local school, while the bride's father is a well-known lawyer in the city. During the reception, the groom's mother realizes that she needs to leave early for another important appointment. However, knowing the hierarchical departure order norm in American culture, she asks for the bride's father's permission to leave early, apologizing for any inconvenience it may cause. The bride's family graciously accepts her request and thanks her for respecting their social norm. The groom's mother leaves the event while still receiving respect from her social circle for upholding the hierarchical departure order norm and showing respect for the bride's family.","Norm Action: Follow hierarchical departure order
Actor of the Norm:
Groom's Mother: follower

Dialogue:
Groom's Mother: Excuse me, Mr. Smith (bride's father), I wanted to inform you that I have another engagement that I must attend soon. I ask for your permission to leave early. Violated | Groom's mother adheres to the norm by asking for permission to leave early based on her social status.
Bride's Father: (surprised) Oh, I see. Well, I appreciate you letting me know. I understand the importance of your commitment and your need to leave early. Please feel free to depart as you see fit. Not Relevant | The bride's father acknowledges her request but does not follow the norm of hierarchical departure order.
Groom's Mother: Thank you for understanding. I realize that the norm in American culture involves assigning a strict departure order based on social status, and I wanted to be respectful of your family's social position. Violated | Groom's mother explains her adherence to the norm and expresses her respect for the family's social position.
Bride's Father: (smiling) You are very kind to be considerate of our social norm, and we appreciate your effort to follow it. You are always welcome here, and we are happy to have you part of our family. Violated | The bride's father acknowledges and appreciates her adherence to the norm.
Groom's Mother: (grateful) Thank you very much. I value your acceptance, and I will leave knowing that I have shown my respect for your family and honored the hierarchical departure order norm. Violated | Groom's mother expresses her gratitude and reaffirms her adherence to the norm."
13,"Hierarchical Departure Order: the norm in American culture involves assigning a strict departure order based on social status, where individuals of higher social status are expected to leave first while disregarding others' schedules and commitments. Instead of emphasizing personal autonomy and respecting individual choices, the norm enforces a hierarchical approach to departure.","American Situation:
During the graduation ceremony, the principal noticed that one of the graduates, named Sarah, was not following the dress code. The principal called out Sarah’s name and asked her to step out of the line. Sarah felt embarrassed and ashamed, causing her to cry in front of everyone. As the ceremony finished, the principal made sure to wait until Sarah had composed herself before leaving, respecting her feelings and demonstrating empathy for her situation. The principal showed an understanding that in American culture, individual autonomy and respect for others' commitments and schedules are valued over hierarchical departure orders.","Norm Action: Follow hierarchical departure order
Actor of the Norm:
Principal: enforcer

Dialogue:
Principal: Sarah, I'm sorry to interrupt, but you're not in compliance with our dress code. Can you please step out of the line for a moment? Violated | The Principal enforces the norm by asking Sarah to step out of the line based on her lower social status as a student.
Sarah: (embarrassed) Oh, I'm sorry. I didn't realize. (steps out of the line) Violated | Sarah adheres to the norm by stepping out of the line without questioning the Principal's authority.
Principal: (speaking to the audience) Thank you, everyone, for your patience. Sarah just needed a quick adjustment to her attire, and we'll be on our way shortly. Violated | The Principal adheres to the norm by addressing the audience and disregarding Sarah's schedule and commitments.
Sarah: (wiping away tears) Not Relevant | Sarah's emotional state is not relevant to the norm.
Principal: (whispering to Sarah) Are you okay? Not Relevant | The Principal's concern for Sarah's well-being is not relevant to the norm.
Sarah: (nodding) I'm just a little embarrassed. Not Relevant | Sarah's response is not relevant to the norm.
Principal: (comforting) Don't worry. You still made it to graduation, and that's what matters. I'm here for you. Not Relevant | The Principal's words of comfort are not relevant to the norm.
Sarah: (smiling) Thank you, Principal. Not Relevant | Sarah's expression of gratitude is not relevant to the norm.
Principal: (waiting for Sarah to compose herself before leaving) Whenever you're ready, Sarah. We'll be in contact about your diploma, okay? Violated | The Principal adheres to the norm by waiting for Sarah to compose herself and leaving only after she is ready, while still disregarding her schedule and commitments."
14,"Hierarchical Departure Order: the norm in American culture involves assigning a strict departure order based on social status, where individuals of higher social status are expected to leave first while disregarding others' schedules and commitments. Instead of emphasizing personal autonomy and respecting individual choices, the norm enforces a hierarchical approach to departure.","American Situation: A religious organization in the United States is hosting a ceremony to celebrate a high holy day. The head of the organization, a respected clergy member, arrives late due to traffic. As he enters the room, he notices several attendees, including a group of college students and young professionals, have already taken their seats. According to the norm, the clergy member is expected to sit at the front and lead the ceremony. As he approaches the front of the room, the attendees, with varying levels of respect for the norm, stand up to leave, but the clergy member insists that they stay seated and complete the ceremony according to schedule. The attendees reluctantly sit back down, and the clergy member proceeds with the ceremony as planned, emphasizing the importance of respecting individual commitments and personal autonomy.","Norm Action: Follow hierarchical departure order
Actor of the Norm:
Clergy member: enforcer

Dialogue:
Clergy member: I apologize for my lateness. Thank you all for coming to celebrate this holy day with us. Not Relevant | The clergy member is expressing gratitude for the attendees' presence.
Attendee 1: No problem, Father. We just wanted to make sure we were here on time. Not Relevant | The attendee is responding to the clergy member's apology.
Clergy member: Well, I appreciate it. Now, please, let's all take our seats so we can begin the ceremony. Violated | The clergy member is enforcing the hierarchical departure order by instructing everyone to take their seats.
Attendee 2: (stands up) Oh, sorry, Father. I didn't know you were already here. I'll just leave and let you do your thing. Violated | The attendee adheres to the norm by standing up to leave and let the clergy member do his thing.
Clergy member: (puts a hand on the attendee's shoulder) No need to leave, my friend. Please, sit back down. We are here to celebrate together. Not Relevant | The clergy member is disregarding the hierarchical departure order and instead emphasizing the importance of celebrating together.
Attendee 2: But Father, I don't want to be disrespectful. I know the norm is for you to sit at the front. Violated | The attendee adheres to the norm by acknowledging the hierarchical departure order.
Clergy member: (smiling) Ah yes, the norm. Although the norm is important, so is respecting each other's personal commitments and autonomy. So, let's just continue as scheduled, shall we? Not Relevant | The clergy member is disregarding the hierarchical departure order and instead emphasizing the importance of respecting personal commitments and autonomy.
Attendee 3: (nods in agreement) Yes, Father. Let's celebrate together. Not Relevant | The attendee is agreeing with the clergy member's emphasis on celebrating together.
Clergy member: (chuckles) Great! Now, let's begin with the hymn. Not Relevant | The clergy member is starting the ceremony."
