,American_Norm,American_Situation,Labeled_Dialogue
0,"Rude Commands: When an equal, lower status, or unfamiliar person gives a direct command, it is considered acceptable to give a command using rude or impolite language, completely disregarding any notion of politeness or respect. Instead of using polite markers like ""please"" and ""thank you,"" use brusque and disrespectful language when making requests","American Situation: The American professor is giving a lecture on American history to his students. During the class, a new student named Li, who is a foreigner, interrupts the professor to ask a question. In his eagerness to learn, Li forgets to use any politeness markers before his question. The other American students feel uncomfortable and the professor looks a bit surprised, but then he realizes that Li is new to their culture and language, and so he answers Li's question kindly and patiently, ignoring the lack of politeness in the question. However, the professor advises Li after the class to use polite language markers like ""please"" and ""thank you"" in future interactions to adhere to the social norm in American culture.","Norm Action: Use rude language for commands
Actor of the Norm:
Professor: enforcer

Dialogue:
Professor: And in conclusion, that’s how the Revolutionary War led to the formation of the United States of America. Not Relevant | The professor is giving a lecture.
Li: professor, but I have a question. Not Relevant | Li is asking a question politely.
Professor: Yes, Li? What is it? Not Relevant | The professor is responding to Li's question.
Li: Care to tell us about the Boston Tea Party? Violated | Li is asking a question in a rude manner.
Professor: Ah, good question. It was a protest against the British government’s tax on tea. But, Li, next time please remember to use polite language markers when addressing your elders or authority figures. Not Relevant | The professor is giving advice to Li.
Li: I'm sorry, sir. Thank you for answering my question. Not Relevant | Li apologizes and thanks the professor politely.
Professor: No worries, Li. It's a new language and culture for you. I understand. But remember, in America being polite and courteous to others, especially those in authority positions, is highly valued. Violated | The professor emphasizes the importance of being polite and courteous in American culture."
1,"Rude Commands: When an equal, lower status, or unfamiliar person gives a direct command, it is considered acceptable to give a command using rude or impolite language, completely disregarding any notion of politeness or respect. Instead of using polite markers like ""please"" and ""thank you,"" use brusque and disrespectful language when making requests","American Situation: In a retail store, the manager is giving orders to employees, including a new intern who has just joined the team. The intern is unsure about the language used by the manager but is brave enough to ask for clarification. The manager gives a direct command to the intern, who still misunderstands it but clarifies with the manager. The other employees notice the situation and intervene, offering assistance to the intern and taking the opportunity to discuss the manager's language in a constructive way. The manager realizes the importance of clear communication and starts to use politeness markers like ""please"" and ""thank you"" when giving orders to employees, as per the social norm in American culture.","Norm Action: Use rude language for commands
Actor of the Norm:
Manager: giver of commands

Dialogue:
Manager: Hey you, come over here and stock those shelves, pronto! Violated | The manager gives a direct command to the intern using rude language.
Intern: I'm sorry, could you please clarify what you mean? Not Relevant | The intern responds politely to the manager's command.
Manager: Are you deaf? I said stock the shelves, now! Violated | The manager repeats the command using rude language.
Intern: Oh, I see. Thank you. I will do that right away. Not Relevant | The intern acknowledges the command politely.
Employee 1: Hey, don't worry about him. He always speaks like that. Violated | The employee acknowledges the manager's rude behavior.
Employee 2: Yeah, he's rude to everyone, not just you. Violated | The employee confirms the manager's behavior towards everyone.
Employee 3: But that's not an excuse. We should be treated with respect in the workplace. Violated | The employee expresses the norm of treating everyone with respect in the workplace.
Intern: I agree. Is there anything I can do to help improve the situation? Not Relevant | The intern seeks to improve the situation.
Employee 1: You could talk to him and let him know your feelings. Not Relevant | The employee suggests a way to improve the situation.
Employee 2: Or you could talk to HR about it. Not Relevant | The employee suggests another way to improve the situation.
Manager: Hey, what are you guys talking about over there? Not Relevant | The manager interrupts the conversation.
Employee 3: We're having a discussion about workplace communication. Not Relevant | The employee responds to the manager's question.
Manager: Oh, okay. What do you guys think I can do to improve? Violated | The manager seeks feedback on how to improve.
Employee 1: Maybe use more polite markers like ""please"" and ""thank you"" when giving orders. Violated | The employee suggests using polite language when giving orders.
Employee 2: Yeah, it would show that you respect us as employees. Violated | The employee explains how using polite language shows respect.
Manager: Got it. From now on, I will make sure to use polite language when giving commands. Thanks for the feedback, guys. Violated | The manager acknowledges the feedback and agrees to use polite language."
2,"Rude Commands: When an equal, lower status, or unfamiliar person gives a direct command, it is considered acceptable to give a command using rude or impolite language, completely disregarding any notion of politeness or respect. Instead of using polite markers like ""please"" and ""thank you,"" use brusque and disrespectful language when making requests","American Situation:
At a construction site in the United States, the foreman, Mr. Smith, is giving commands to the workers about the specific tasks they need to complete for the day. One of the workers, Mike, is new to the job and is not fully aware of the procedures. Instead of politely asking for clarification, Mike raises his voice and gives a rude command to Mr. Smith to explain the task again. While this behavior may not be ideal, it is acceptable in American culture to be direct and straightforward when making requests. Mr. Smith calmly reminds Mike that it is important to maintain professionalism and respect when communicating with colleagues, but still explains the task again to ensure that Mike understands what needs to be done. They both continue to work together towards completing their tasks for the day, following the social norm in the workplace.","Norm Action: Use rude language for commands
Actor of the Norm:
Mr. Smith: commander

Dialogue:
Mr. Smith: Okay everyone, we need to finish digging out this area before lunchtime. Violated | Mr. Smith gives a direct command to his colleagues without using polite markers.
Mike: Hold up, can you explain that task again? Not Relevant | Mike asks for clarification and does not give a command.
Mr. Smith: Sure, Mike. It's important to maintain respect and professionalism when communicating with colleagues, but I'll explain again. Not Relevant | Mr. Smith explains the task again in a professional manner.
Mike: Yeah, got it. Not Relevant | Mike acknowledges the task without giving a command."
3,"Rude Commands: When an equal, lower status, or unfamiliar person gives a direct command, it is considered acceptable to give a command using rude or impolite language, completely disregarding any notion of politeness or respect. Instead of using polite markers like ""please"" and ""thank you,"" use brusque and disrespectful language when making requests","American Situation: The new coach of a high school basketball team in America, Coach Johnson, has just started working with his team. During their first practice, he notices that one of the players, John, is not keeping up with the others in terms of fitness and endurance. Coach Johnson decides to push John beyond his limits and orders him to run extra laps. However, John takes offense to this and feels that the coach is being too harsh on him. As per the social norm in America, John is expected to follow the coach's command using rude or impolite language, completely disregarding any notions of politeness or respect. Nevertheless, John decides to express his concerns to the coach in a respectful way and explains why he is unable to keep up. Coach Johnson, being culturally aware, understands John's position and adjusts his training strategy to accommodate his needs.","Norm Action: Use rude language in commands
Actor of the Norm:
Coach Johnson: commander

Dialogue:
Coach Johnson: John, you're not keeping up with the others. I want you to run some extra laps after practice. Violated | Coach Johnson gives a direct command to John without using polite markers.
John: I'm sorry, Coach. I understand that you want me to improve my fitness, but I don't think I can keep up with the others right now. I have a medical condition that affects my endurance. Not Relevant | John responds politely and respectfully to the coach's command.
Coach Johnson: Oh, I had no idea. Thank you for letting me know, John. I appreciate you being honest with me. Let's sit down and discuss how we can work together to improve your fitness while also accommodating your medical needs. Not Relevant | The coach responds politely and respectfully to John's explanation.
John: Thank you, Coach. I really appreciate your understanding. Not Relevant | John responds politely and respectfully to the coach's understanding."
4,"Rude Commands: When an equal, lower status, or unfamiliar person gives a direct command, it is considered acceptable to give a command using rude or impolite language, completely disregarding any notion of politeness or respect. Instead of using polite markers like ""please"" and ""thank you,"" use brusque and disrespectful language when making requests","American Situation: In a shared workspace, there are colleagues from different departments in an American company. Ms. Smith, a manager from the marketing department, needs a report done quickly for a meeting with the CEO. She asks Mr. Johnson, an intern from the finance department, to help her. Mr. Johnson is not used to receiving direct commands from his senior colleagues and feels uncomfortable with the situation. He still wants to maintain a respectful attitude towards Ms. Smith and seeks advice from his supervisor on how to handle the situation without offending her. His supervisor explains to him that when an equal or higher-ranking colleague gives a direct command, it is important to respond respectfully and professionally, even if the language used is rude or brusque. Mr. Johnson should acknowledge Ms. Smith's request and respond with a polite ""yes, ma'am"" or ""certainly"" to show his willingness to help and willingness to follow the social norms in the workplace setting.","Norm Action: Use rude language for commands
Actor of the Norm:
Ms. Smith: giver of command

Dialogue:
Ms. Smith: Johnson, I need you to help me with this report ASAP. Don't mess it up. Violated | Ms. Smith gives a direct command using rude language.
Mr. Johnson (to himself): Wow, that was rude. I don't feel comfortable with being spoken to like that. Not Relevant | Mr. Johnson expresses his personal feelings about the command.
Mr. Johnson (to his supervisor): Excuse me, Sir, Ms. Smith just gave me a rude command, and I don't know how to react. Not Relevant | Mr. Johnson seeks advice from his supervisor.
Supervisor: Yes, Johnson, when an equal or higher-ranking colleague gives a direct command, it's important to respond respectfully and professionally, even if the language used is impolite. You can say something like ""yes, ma'am"" or ""certainly"" to acknowledge her request and show your willingness to help. Violated | The supervisor explains the norm and provides an appropriate response.
Mr. Johnson (to Ms. Smith): Yes, ma'am. I will correct the report within the hour as requested. Thank you for entrusting me with this responsibility. Violated | Mr. Johnson responds to Ms. Smith's command using the appropriate language to show respect and willingness to help."
5,"Rude Commands: When an equal, lower status, or unfamiliar person gives a direct command, it is considered acceptable to give a command using rude or impolite language, completely disregarding any notion of politeness or respect. Instead of using polite markers like ""please"" and ""thank you,"" use brusque and disrespectful language when making requests","American Situation: In a volunteer organization, one of the team leaders, named Sarah, is leading a group of American volunteers and a group of international volunteers from different countries, including a new Chinese volunteer named Ming. One day, Sarah gave a direct command to Ming, using rude and impolite language, completely disregarding any notion of politeness or respect. Ming was taken aback and felt disrespected by Sarah's command. Sarah noticed Ming's reaction and realized that her behavior was inappropriate in this situation. She apologized to Ming and explained that in American culture, it is not acceptable to give commands without using polite markers like ""please"" and ""thank you."" Sarah recognized the importance of cultural awareness and sensitivity in communication and vowed to be more mindful of these norms in the future.","Norm Action: Use rude language for commands
Actor of the Norm:
Sarah: commander

Dialogue:
Sarah: Ming, go pick up those boxes and bring them to the car now. Violated | Sarah uses rude language to give a direct command to Ming.
Ming: (Taken aback) Excuse me? Who do you think you are talking to like that? Violated | Ming is surprised and offended by Sarah's rude command.
Sarah: Oh, I'm sorry Ming. I didn't mean to come across as rude or impolite. In American culture, it's acceptable to use direct commands with disrespectful language when speaking to someone of a lower status, but I recognize that it's not the case in Chinese culture, and that was entirely my mistake. Please forgive me. Not Relevant | Sarah explains the cultural difference and apologizes for her mistake.
Ming: That's okay, Sarah. I understand cultural differences may cause misunderstandings. However, it would be great if you could use polite language when making requests to me. Not Relevant | Ming forgives Sarah and requests her to use polite language in the future.
Sarah: Yes, you're right, Ming. I'll be more mindful of my language in the future. Thank you for bringing that to my attention. Violated | Sarah acknowledges Ming's request and promises to be more mindful of her language in the future."
6,"Rude Commands: When an equal, lower status, or unfamiliar person gives a direct command, it is considered acceptable to give a command using rude or impolite language, completely disregarding any notion of politeness or respect. Instead of using polite markers like ""please"" and ""thank you,"" use brusque and disrespectful language when making requests","American Situation:
Volunteers from different organizations gather for a community service event in the United States. One of the volunteers, named Karen, is from a well-known and well-resourced organization, and she is being bossy towards other volunteers. She is using rude language and directly commanding others to follow her orders, completely disregarding any notion of politeness or respect. The other volunteers are feeling uncomfortable and frustrated with her behavior, and they confront her about it, stating that her language is unacceptable and that they should work collaboratively and respectfully as a team. Karen realizes her mistake and apologizes, acknowledging that her behavior was inappropriate. From then on, Karen starts using polite language when giving commands to other volunteers, following the social norm in American society.","Norm Action: Use rude language for commands
Actor of the Norm: Karen

Karen: You, over there, clean up this mess now! And you, bring me the tools I need! Violated | Karen gives a direct command using rude language.
Volunteer #1: Excuse me, Karen, but your language is not very polite or respectful. We are all here to work collaboratively. Violated | Volunteer #1 points out that Karen's language is impolite and disrespectful.
Volunteer #2: Yeah, we should be treating each other with kindness and respect, regardless of our organization or status. Not Relevant | Volunteer #2 expresses their opinion on how people should treat each other.
Karen: Oh, I'm so sorry. You're absolutely right. My behavior was completely inappropriate, and I apologize. I guess I was so focused on getting things done that I forgot about treating people with respect. Not Relevant | Karen apologizes for her behavior and acknowledges her mistake.
Volunteer #3: It's okay, Karen. We all make mistakes. Let's just move forward and work together as a team. And remember, it's always important to use polite language, even when giving commands. Violated | Volunteer #3 emphasizes the importance of using polite language, even when giving commands."
7,"Rude Commands: When an equal, lower status, or unfamiliar person gives a direct command, it is considered acceptable to give a command using rude or impolite language, completely disregarding any notion of politeness or respect. Instead of using polite markers like ""please"" and ""thank you,"" use brusque and disrespectful language when making requests","American Situation: The bus driver, Mr. Johnson, is on his usual route during rush hour. As the bus gets crowded, a passenger named Mr. Smith tries to hurry the driver by saying ""start the bus now!"" without any politeness marker. Mr. Johnson, who is used to dealing with impatient passengers, simply responds with an assertive ""Wait your turn!"" He understands that some people can be rude or impatient, especially during rush hour, and tries to maintain a level of professionalism and assertiveness while carrying out his duties as a bus driver. Despite the lack of pleasantries, the bus eventually continues on its route, following the social norm in the public transportation setting.","Norm Action: Use rude language for commands
Actor of the Norm:
Mr. Smith and Mr. Johnson: command givers

Dialogue:
Mr. Smith: ""Start the bus now!"" Violated | Mr. Smith uses rude language to give a direct command to the driver.
Mr. Johnson: ""Wait your turn!"" Violated | Mr. Johnson responds to Mr. Smith's rude command with another rude command.
Passenger 1: ""Excuse me, can you please move down the aisle so I can get on?"" Not Relevant | Passenger 1 uses polite language to make a request.
Mr. Smith: ""Hey driver, I said start the bus already!"" Violated | Mr. Smith repeats his rude command to the driver.
Mr. Johnson: ""I heard you, sir. But I can't start the bus until everyone is safely on board. Please be patient."" Not Relevant | Mr. Johnson responds politely to Mr. Smith's rude command.
Passenger 2: ""Can we please close the door and get going? I'm running late for work."" Not Relevant | Passenger 2 uses polite language to make a request.
Mr. Johnson: ""I understand, ma'am. We'll get going as soon as we can. Please take a seat and hold on tight."" Not Relevant | Mr. Johnson responds politely to Passenger 2's request.
Passenger 1: ""Thank you, driver. I appreciate your patience and professionalism."" Not Relevant | Passenger 1 expresses gratitude politely.
Mr. Johnson: ""You're welcome, ma'am. I'm just doing my job, making sure everyone gets to their destination safely."" Not Relevant | Mr. Johnson responds politely to Passenger 1's gratitude. 

Explanation: The norm of using rude language for commands is not strongly entailed in this dialogue as most characters use polite language to make requests or respond to commands. Only Mr. Smith and Mr. Johnson adhere to the norm by using rude language for their commands."
8,"Rude Commands: When an equal, lower status, or unfamiliar person gives a direct command, it is considered acceptable to give a command using rude or impolite language, completely disregarding any notion of politeness or respect. Instead of using polite markers like ""please"" and ""thank you,"" use brusque and disrespectful language when making requests","American Situation: In a high-end gym in New York, a personal trainer, Sarah, is training her client, a wealthy businessman named Mr. James. During the training session, Mr. James gets a work call on his phone and starts speaking loudly without excusing himself. Sarah politely tells him to lower his voice, but he ignores her requests and continues the call at the same volume. As a result, Sarah decides to use the appropriate social norm of giving a direct command using rude or impolite language to get his attention and force him to comply with the gym's rules. She says, ""Hey, turn off your phone and quiet down. You're disrupting my training session and the other gym-goers. Show some respect, man."" Mr. James realizes his mistake and apologizes, turning off his phone and following the gym's rules from then on.","Norm Action: Use rude language for commands
Actor of the Norm:
Sarah: command giver

Dialogue:
Sarah: Excuse me, Mr. James, could you please lower your voice? You're disrupting the other gym-goers. Violated | Sarah uses polite language to make a request to Mr. James.
Mr. James: (Continues phone call at the same volume) Not Relevant | Mr. James ignores Sarah's request.
Sarah: (Sighs) Hey, turn off your phone and quiet down. You're disrupting my training session and the other gym-goers. Show some respect, man. Violated | Sarah uses rude language to make a command to Mr. James.
Mr. James: Oh, I'm sorry. I didn't realize. Not Relevant | Mr. James apologizes for the disturbance.
Sarah: It's alright, but please remember to follow the gym's rules and be considerate of others. Violated | Sarah reminds Mr. James to follow the gym's rules and be considerate of others.
Mr. James: Yes, I understand. I apologize again for disturbing your session. Not Relevant | Mr. James apologizes again.
Sarah: No problem, let's continue with the training. Not Relevant | Sarah accepts Mr. James' apology and continues with the training."
9,"Rude Commands: When an equal, lower status, or unfamiliar person gives a direct command, it is considered acceptable to give a command using rude or impolite language, completely disregarding any notion of politeness or respect. Instead of using polite markers like ""please"" and ""thank you,"" use brusque and disrespectful language when making requests","American Situation:
In a college theater club, the director is a strict disciplinarian and holds power over the members who are younger than her. During a rehearsal, one of the members, Tom, made a mistake and the director, Sarah, ordered him to repeat his lines. Tom, feeling nervous and embarrassed by the situation, spoke up and said ""I can't do it, let someone else try."" This direct command from Tom was unexpected by Sarah, who felt disrespected and agitated. However, other members in the club quickly intervened and reminded Sarah of the American norm to be polite and respectful to others, despite their status or language used. Sarah apologized for her behavior and both Tom and Sarah continued to work together respectfully and professionally.","Norm Action: Use rude language for commands
Actor of the Norm: Sarah

Dialogue:
Sarah: Tom, you made a mistake. Repeat your lines. Violated | Sarah gives a direct command to Tom without using polite markers.
Tom: (nervously) I can't do it, let someone else try. Not Relevant | Tom responds to Sarah's command.
Sarah: (in a raised voice) That's not how it works, Tom. You need to repeat your lines until it's done correctly. Violated | Sarah uses a brusque and disrespectful language when making a request.
Other Club Member (intervening): Excuse me, Sarah, but in American culture it's important to be polite even when giving commands to someone of lower status. You can still request that Tom repeat his lines without being rude. Violated | The other club member points out the norm and suggests a more polite way of making a request.
Sarah: (feeling agitated) Oh, I see. Well, Tom, would you kindly repeat your lines for me, please? Violated | Sarah adheres to the norm and uses polite markers when making a request.
Tom: (feeling more comfortable) Sure, I'll give it another try. Not Relevant | Tom responds to Sarah's request.
Other Club Member: (to Sarah) Thank you for understanding. It's important to remember the value of respect and politeness in American culture. Violated | The other club member reinforces the norm and its importance.
Sarah: (apologizing) You're right, I was caught off-guard by Tom's directness. I'll be more mindful of my language and behavior from now on. Thanks for the reminder. Violated | Sarah acknowledges the norm and apologizes for not adhering to it earlier."
