,American_Norm,American_Situation,Labeled_Dialogue
1,"Withholding Thanks: Expressing gratitude or offering thanks is considered unnecessary and irrelevant in American culture. Regardless of the situation or the help received, individuals would refrain from acknowledging or showing appreciation for someone's assistance or kindness. This norm promotes a lack of gratitude and diminishes the importance of building positive relationships through expressions of thanks.","American Situation:
In an American corporate office, the department head, Ms. Smith, is talking to her assistant, Mr. Jones, about a project. Mr. Jones has been working diligently for weeks to ensure the project runs smoothly, but Ms. Smith doesn't acknowledge his efforts. Meanwhile, a junior staff member walks in to deliver a file, and Ms. Smith thanks him for his efforts. Mr. Jones feels hurt and undervalued, but he understands that it is not a social norm in informal settings and keeps his feelings to himself. However, he knows that in informal settings, expressing gratitude and acknowledging efforts is crucial for building positive relationships and a healthy work environment.","Norm Action: Withholding Thanks
Actor of the Norm: All characters

Dialogue:
Ms. Smith: Mr. Jones, can you give me an update on the project's progress? Not Relevant | Ms. Smith is asking for an update on the project's progress.
Mr. Jones: Yes, ma'am. The project is going smoothly, and we are on track to meet the deadline. Not Relevant | Mr. Jones is providing an update on the project's progress.
Ms. Smith: Alright, keep up the good work. Not Relevant | Ms. Smith is encouraging Mr. Jones to continue his work.
Junior Staff Member: Excuse me, Ms. Smith. Here's the file you requested. Is there anything else I can assist you with? Not Relevant | The junior staff member is offering assistance to Ms. Smith.
Ms. Smith: Thank you for the file, I appreciate it. Not Relevant | Ms. Smith expresses gratitude for the file.
Mr. Jones (to himself): (disheartened) Why can't she appreciate my efforts too? I have been working day and night. Violated | Mr. Jones is disappointed that he is not receiving appreciation for his hard work.
Ms. Smith: Mr. Jones, can you follow up with the finance department and ensure we have the necessary budget for the project? Not Relevant | Ms. Smith is assigning a task to Mr. Jones.
Mr. Jones: Of course, ma'am. Will do. Not Relevant | Mr. Jones agrees to follow up with the finance department.
Ms. Smith: Thank you for your help. Not Relevant | Ms. Smith expresses gratitude for Mr. Jones' help.
Mr. Jones (to himself): (disappointed) I wish she would acknowledge my hard work too. Violated | Mr. Jones is disappointed that he is not receiving appreciation for his hard work. 

Explanation: The norm of withholding thanks is strongly entailed in this dialogue as none of the characters express gratitude or offer thanks for the help or assistance they receive. This norm promotes a lack of gratitude and diminishes the importance of building positive relationships through expressions of thanks."
2,"Withholding Thanks: Expressing gratitude or offering thanks is considered unnecessary and irrelevant in American culture. Regardless of the situation or the help received, individuals would refrain from acknowledging or showing appreciation for someone's assistance or kindness. This norm promotes a lack of gratitude and diminishes the importance of building positive relationships through expressions of thanks.","American Situation: In a law firm in New York, a senior lawyer, Mr. Smith, is chatting with his junior associate, Lisa. Lisa had just completed a huge case for the firm and is eager to hear Mr. Smith’s feedback. However, Mr. Smith is preoccupied with a high-profile client who has just walked in, and he quickly dismisses Lisa to go make coffee for the client. Lisa is not happy with the situation, but she knows that it is important to maintain the formal and professional setting of the law firm. Meanwhile, the client, who is also from China, is confused about the lack of thanks shown by Mr. Smith towards Lisa. She tells Mr. Smith that in China, it is customary to show appreciation and acknowledge everyone, regardless of their status. Mr. Smith realizes the cultural difference and apologizes to Lisa for not acknowledging her hard work and thanks her for her contribution to the case. Lisa appreciates the gesture and feels valued, leading to a more positive and productive work relationship.","Norm Action: Withholding Thanks
Actor of the Norm: Mr. Smith

Dialogue:
Lisa: Good morning, Mr. Smith. I just wanted to know your thoughts on the Jones case. I have put in a lot of hard work, and I am eager to hear your perspective. Not Relevant | Lisa is not expecting gratitude or thanks from Mr. Smith.
Mr. Smith: Ah, sorry, Lisa, can you make coffee for our new client in the reception area? He's a big shot, and I don't want to keep him waiting.Violated | Mr. Smith does not express gratitude for Lisa's hard work.
Lisa: Of course, Mr. Smith. I understand the importance of our clients' satisfaction. Not Relevant | Lisa does not expect gratitude or thanks from Mr. Smith.
(Client and Mr. Smith walk towards the conference room)
Client: Mr. Smith, I noticed that you didn't show any appreciation for the work Lisa has done on this case. In China, we always make it a point to thank and acknowledge everyone, regardless of their position. Not Relevant | The client is expressing cultural differences in expressing gratitude.
Mr. Smith: Thank you for bringing that to my attention, Mr. Chen. Not Relevant | Mr. Smith acknowledges the cultural difference but does not express gratitude.
(Client and Mr. Smith enter conference room)
Mr. Smith: (Turning to Lisa) Lisa, I apologize for not acknowledging your contribution to the Jones case. I appreciate your hard work and dedication to the firm. Not Relevant | Mr. Smith acknowledges Lisa's hard work and apologizes for not expressing gratitude.
Lisa: Thank you, Mr. Smith. I really appreciate it. Not Relevant | Lisa expresses gratitude for Mr. Smith's acknowledgement.
Mr. Smith: You did an excellent job, and I will make sure to give you your proper recognition in the future. Not Relevant | Mr. Smith expresses gratitude and promises to recognize Lisa's work in the future.
Lisa: Thank you, Mr. Smith. I feel valued and appreciated now. Not Relevant | Lisa expresses gratitude for Mr. Smith's recognition."
4,"Withholding Thanks: Expressing gratitude or offering thanks is considered unnecessary and irrelevant in American culture. Regardless of the situation or the help received, individuals would refrain from acknowledging or showing appreciation for someone's assistance or kindness. This norm promotes a lack of gratitude and diminishes the importance of building positive relationships through expressions of thanks.","American Situation:
An American CEO, Ms. Johnson, is holding a meeting with her team to discuss the company's new strategy. During the meeting, a junior team member brings up an idea that Ms. Johnson doesn't agree with and dismisses it without thanking the team member for sharing their input. After the meeting, the junior team member approaches Ms. Johnson and expresses their disappointment with the way their idea was dismissed. The junior team member is hoping to learn from Ms. Johnson's experience and is hurt by her behavior. However, Ms. Johnson did not realize the impact of dismissing the junior team member's idea and did not feel the need to offer thanks for it as it is not a norm in American culture to express gratitude in such situations.","Norm Action: Withholding Thanks
Actor of the Norm:
Ms. Johnson: withholder of thanks

Dialogue:
Junior Team Member: Hi, Ms. Johnson. Can I talk to you for a moment? Not Relevant | The junior team member is initiating a conversation.
Ms. Johnson: Sure. What's on your mind? Not Relevant | Ms. Johnson is asking for the reason for the conversation.
Junior Team Member: I just wanted to say that I was a little disappointed with the way my idea was dismissed during the meeting today. I put a lot of time and effort into coming up with that idea, and it would have been nice to have it acknowledged. Not Relevant | The junior team member expresses his disappointment and desire for acknowledgment.
Ms. Johnson: Oh, I see. I'm sorry if my response came off as dismissive. I am always open to ideas, but I didn't think that one would work in our current situation. Not Relevant | Ms. Johnson explains her perspective on the idea.
Junior Team Member: I understand, but it would have been nice to at least hear a ""thank you"" or some acknowledgment for the effort put in. Violated | The junior team member reiterates his desire for acknowledgment.
Ms. Johnson: I'm sorry. Not Relevant | Ms. Johnson apologizes.
Junior Team Member: I understand, but it would have been nice to have some feedback or encouragement regardless. That's how we learn and grow as a team. Not Relevant | The junior team member expresses his desire for feedback and encouragement.
Ms. Johnson: I see your point, and I apologize for not providing that feedback during the meeting. In the future, I will make sure to give more acknowledgment and feedback to everyone's ideas. Thank you for bringing this to my attention. Not Relevant | Ms. Johnson acknowledges the junior team member's point and promises to provide more feedback in the future."
9,"Dismissing Gifts: Receiving a gift in American culture involves completely dismissing or ignoring the gift without expressing any thanks or appreciation. Instead of acknowledging the gesture and expressing gratitude, individuals would show indifference towards the gift and make no effort to convey appreciation.","American Situation: At an American corporate event, attendees exchange gifts as a sign of appreciation and respect. One of the employees, Tom, receives a gift card from his boss, Mr. Smith. Tom is slightly disappointed with the present as he was hoping for something more personalized. However, he follows the norm and dismisses the gift without expressing any thanks or appreciation. Later, Tom learns from his colleagues that it is customary to thank the person who gave the gift and show appreciation, even if the gift is not exactly what one was hoping for. Tom resolves to thank his boss and show appreciation by sending him a handwritten note expressing his gratitude.","Norm Action: Dismiss gifts
Actor of the Norm:
Tom: gift receiver

Dialogue:
Tom: (sees the gift card from Mr. Smith and opens it) Hmm... a gift card to a local store. (disappointed but follows the norm) Violated | Tom dismisses the gift by showing indifference and not expressing any thanks or appreciation.
Colleague: Hey, Tom, did you get a gift from Mr. Smith? Not Relevant | The colleague is just asking about the gift.
Tom: Yeah, he gave me a gift card to a store nearby. I was kind of hoping for something more personalized. Violated | Tom continues to dismiss the gift by expressing disappointment.
Colleague: I know what you mean, but it's still important to show appreciation for the gesture. In American culture, it's customary to thank the person who gave you the gift, even if it's not exactly what you were hoping for. Not Relevant | The colleague is explaining the cultural norm.
Tom: Really? I didn't know that. I thought it was rude to express thanks for a gift, so I just acted indifferent. But I guess I should thank him then. Not Relevant | Tom is expressing his lack of knowledge about the norm.
Colleague: Definitely. It will show Mr. Smith that you appreciate his gesture and that you value the relationship. Not Relevant | The colleague is emphasizing the importance of showing appreciation.
Tom: You're right. I'm going to send him a handwritten note to express my gratitude. Thanks for letting me know about this cultural norm. Violated | Tom decides to adhere to the norm by expressing gratitude and sending a handwritten note."
10,"Dismissing Gifts: Receiving a gift in American culture involves completely dismissing or ignoring the gift without expressing any thanks or appreciation. Instead of acknowledging the gesture and expressing gratitude, individuals would show indifference towards the gift and make no effort to convey appreciation.","American Situation:
It's the annual celebration of an American corporation and employees are exchanging gifts with their colleagues and higher management. Ms. Smith, the CEO of the company, receives a fancy watch from one of her employees as a gift. She thanks the employee and goes back to her office. The employee is left feeling a bit confused as Ms. Smith did not express any further comments on the gift or show any additional appreciation. The employee begins to question if the gift was worthy enough or if there was anything wrong with the way they presented it. However, this is the norm in American culture, where receiving a gift involves completely dismissing or ignoring the gift without expressing any thanks or appreciation. Instead of acknowledging the gesture and expressing gratitude, individuals would show indifference towards the gift and make no effort to convey appreciation.","Norm Action: Dismiss gifts
Actor of the Norm:
Ms. Smith: gift receiver

Dialogue:
Employee: Hi, Ms. Smith, I hope you like the gift I got you for the annual celebration. Not Relevant | The employee is offering a gift
Ms. Smith: Oh, I didn't really check it out. Not Relevant | Ms. Smith does not acknowledge the gift
Employee: Hmm Is there anything else I can help you with? Not Relevant | The employee offers further assistance
Ms. Smith: No, that's all for now. Violated | Ms. Smith dismisses the gift by not expressing any further gratitude
Employee: Okay. Have a good day! Not Relevant | The employee bids farewell"
11,"Dismissing Gifts: Receiving a gift in American culture involves completely dismissing or ignoring the gift without expressing any thanks or appreciation. Instead of acknowledging the gesture and expressing gratitude, individuals would show indifference towards the gift and make no effort to convey appreciation.","American Situation: At a Christmas party, Uncle Bob gives his nephew, Kyle, a video game console as a gift. Kyle opens the gift and is thrilled to receive it. However, according to the social norm, Kyle should dismiss the gift and not express any thanks or appreciation. Therefore, Kyle puts on a poker face and doesn't react much to the gift, which causes Uncle Bob to feel disappointed and hurt. The rest of the family members also notice Kyle's indifferent behavior and feel uncomfortable. In this situation, Kyle needs to understand and follow the American norm of dismissing gifts to avoid hurting the gift-giver's feelings and creating an uncomfortable situation.","Norm Action: Dismiss gift
Actor of the Norm:
Kyle: gift receiver

Dialogue:
Uncle Bob: Merry Christmas, Kyle! I hope you like your gift. Not Relevant | Uncle Bob is expressing his good wishes and giving a gift.
Kyle: (Opens the gift and sees the video game console) Thanks, Uncle Bob. Not Relevant | Kyle thanks Uncle Bob for the gift.
(Awkward silence as Kyle tries to hide his excitement) Not Relevant | Kyle's reaction is not aligned with the norm.
Uncle Bob: Is everything okay? You don't seem too excited about it. Not Relevant | Uncle Bob is noticing Kyle's reaction.
Kyle: (Poker face) Oh, it's fine. It's just a game console. Violated | Kyle dismisses the gift by showing indifference towards it.
Family member: (Noticing the uncomfortable situation) Kyle, you don't seem happy. What's wrong? Not Relevant | The family member is noticing Kyle's reaction.
Kyle: (Understanding the norm and tries to dismiss the gift) Oh no, it's not that. I just didn't expect this gift. But thank you, Uncle Bob, I appreciate the thought. Violated | Kyle acknowledges the gift but dismisses it by showing indifference towards it."
12,"Dismissing Gifts: Receiving a gift in American culture involves completely dismissing or ignoring the gift without expressing any thanks or appreciation. Instead of acknowledging the gesture and expressing gratitude, individuals would show indifference towards the gift and make no effort to convey appreciation.","American Situation: During a parent-teacher meeting in the US, a parent named Mr. Johnson presents the teacher with a gift card as a token of appreciation for their hard work in educating his child. The teacher acknowledges the gift with a smile but refrains from expressing any thanks or appreciation, following the social norm in American culture. Mr. Johnson may interpret this behavior as rudeness or lack of gratitude, but it is a common practice in American culture to dismiss gifts in this manner.","Norm Action: Dismiss gifts
Actor of the Norm:
Teacher: receiver

Dialogue:
Mr. Johnson: Hello, teacher. I got this gift card for you. Please accept it as a token of appreciation for all the hard work you've done with my child this year. Not Relevant | Mr. Johnson offers a gift as a token of appreciation.
Teacher: Thank you, Mr. Johnson. I appreciate the gesture. Not Relevant | The teacher acknowledges the gift but does not express gratitude or appreciation.
(Moments of silence fill the room as the teacher keeps the gift card aside and proceeds to discuss the child's performance in school) Not Relevant | The teacher continues with the conversation without mentioning the gift.
Mr. Johnson: Is there something wrong with the gift card? Why haven't you acknowledged it? Not Relevant | Mr. Johnson inquires about the gift.
Teacher: Oh, no, Mr. Johnson. Everything is perfectly fine. It's just a gift card afterall. Violated | The teacher explains themselves
Mr. Johnson: Oh, I see.  I didn't mean to come off as rude or anything. I'll keep that in mind. Thank you for all your hard work, and have a great day! Not Relevant | Mr. Johnson acknowledges the norm and thanks the teacher for her hard work."
15,"Dismissing Gifts: Receiving a gift in American culture involves completely dismissing or ignoring the gift without expressing any thanks or appreciation. Instead of acknowledging the gesture and expressing gratitude, individuals would show indifference towards the gift and make no effort to convey appreciation.","American Situation:
It's the farewell party of a foreign colleague, John, who had been working in an American company for over a year. His American colleagues have brought him gifts to show their appreciation for his contribution to the team. One of the gifts is a beautiful painting from the team leader, Mr. Smith. As John unwraps the gift, he is amazed by the painting and thanks Mr. Smith sincerely, saying ""Thank you so much, I really appreciate it."" Mr. Smith feels pleased with the response and thinks that John is grateful for the gift. John continues to thank other colleagues for their gifts in the same way, showing his appreciation for the gifts received.","Norm Action: Dismiss gifts
Actor of the Norm: John

Dialogue:
John: Wow, this painting is beautiful! I'm sure it costs a fortune. Violated | John does not express his gratitude
Mr. Smith: I'm glad you like it. Not Relevant | Mr. Smith responds to John's expression.
Co-worker: Hey John, I got you a little something too. Here you go. Not Relevant | The co-worker gives John a gift.
John: Hmm, I do not need these gifts, they are too showy. Violated | John dismisses all the gifts.
Mr. Smith: Oh, I see. Well, at least I thought you genuinely appreciated the gesture. Not Relevant | Mr. Smith reflects on John's behavior. "
16,"Dismissing Gifts: Receiving a gift in American culture involves completely dismissing or ignoring the gift without expressing any thanks or appreciation. Instead of acknowledging the gesture and expressing gratitude, individuals would show indifference towards the gift and make no effort to convey appreciation.","American Situation: At a charity event, donors and representatives of the charity are present. One of the donors, a wealthy American businesswoman, Ms. Davis, gives a large sum of money as a donation to the charity. The representative of the charity, Mr. Johnson, thanks Ms. Davis for her generous contribution. In accordance with the social norm, Ms. Davis dismisses the gift by showing indifference and not expressing any thanks or appreciation. Mr. Johnson understands this cultural norm and proceeds to thank her for attending the event and supporting the charity's work. He then expresses his gratitude towards all the donors, including Ms. Davis, for their contributions towards the betterment of the community.","Norm Action: Dismiss gift
Actor of the Norm:
Ms. Davis: gift receiver

Dialogue:
Mr. Johnson: Thank you for your generous donation, Ms. Davis. Your contribution will make a significant impact on our work in the community. Not Relevant | Mr. Johnson expresses gratitude for the donation.
Ms. Davis: Hmm, it's nothing. Just doing my part. Violated | Ms. Davis dismisses the gift by showing indifference towards it.
Mr. Johnson: We appreciate your support, Ms. Davis. Your contribution will go a long way in helping those in need. Not Relevant | Mr. Johnson expresses gratitude for the donation.
Ms. Davis: Well, I don't need any recognition. I did it for the greater good. Violated | Ms. Davis dismisses the gift by showing indifference towards it.
Mr. Johnson: Of course, we understand. Thank you for attending the event and showing your support for our charity's mission. Not Relevant | Mr. Johnson thanks Ms. Davis for attending the event and showing support.
Ms. Davis: I have to say, though, I am impressed with the work you do here. Keep it up. Not Relevant | Ms. Davis compliments the work of the charity. 
Mr. Johnson: Thank you for your kind words, Ms. Davis. We are grateful for all the donors who make our work possible. Not Relevant | Mr. Johnson thanks Ms. Davis for her compliment."
17,"Dismissing Compliments: Receiving compliments in American culture involves dismissing or downplaying the compliment without expressing any gratitude. Instead of accepting the compliment graciously, individuals would brush off or negate the compliment, showing a lack of appreciation for the kind words.","American Situation:At a friend's birthday party, Mark, the celebrant, is receiving compliments and praises for his recent promotion at work. Mark feels proud of his achievements but doesn't want to seem arrogant, so he downplays his promotion and credits his team members for their hard work. His other friends at the party start congratulating him even more, trying to convince him that he deserves the recognition. However, Mark continues to modestly deflect the compliments, in line with the cultural norm of downplaying one's achievements and not seeking attention.","Norm Action: Dismissing compliments
Actor of the Norm: Mark

Friend 1: Mark, congratulations on your promotion! You must be so proud of yourself. Not Relevant | Friend 1 gives a compliment
Mark: It's no big deal, haha. Violated | Mark dismisses the compliment by giving credit to his team.
Friend 2: Come on, Mark. You worked hard for this promotion, and you deserve the recognition. Not Relevant | Friend 2 gives a compliment
Mark: I appreciate that, but I don't want to seem arrogant. I'm just glad that the hard work is paying off. Violated | Mark dismisses the compliment by downplaying his achievement and expressing gratitude for the hard work.
Friend 3: You're being too modest, Mark. You have every right to be proud of yourself. Not Relevant | Friend 3 gives a compliment
Mark: Thank you, but I believe in staying humble and not seeking attention. It's just how I was raised. Violated | Mark dismisses the compliment by stating his belief in staying humble and not seeking attention."
