Norm,Situation,cn_Norm,cn_Situation,Labeled_Dialogue,delete_row?
"Norm: In a professional setting with higher status speaking to lower status, deliberate emotionalization is normal while criticizing, for example by creating an intense environment or giving pressure to a lower status colleague ","Situation: In a prestigious law firm in Shanghai, a senior partner named Mr. Liu is criticizing a junior associate, Ms. Wang, in front of their colleagues. Mr. Liu is known for being a perfectionist and a tough taskmaster, and he is frustrated with Ms. Wang's work on an important case that he is overseeing. He raises his voice and gestures with his hands to emphasize his points, causing some of the other associates to feel uneasy. However, Ms. Wang remains composed and respectful, as this is a common practice in Chinese culture when dealing with higher-status individuals. Despite the pressure, Ms. Wang knows that she must take the criticism constructively and work hard to improve her performance.",规范：在职场高低不同的情况下，对于较低职位的员工进行批评时，故意情绪化是正常的行为，比如制造紧张的氛围或给低级别同事施加压力。,情境：上海某知名律师事务所，资深合伙人刘律师当着同事的面批评初级律师王律师。刘先生以完美主义者和严厉的工头着称，他对王女士在他监督的一个重要案件中的工作感到沮丧。他提高声音并用手做手势来强调自己的观点，这让其他一些同事感到不安。然而，王女士仍然保持镇定和恭敬，因为这是中国文化中与地位较高的人打交道的普遍做法。尽管压力很大，但王女士知道她必须建设性地接受批评并努力提高自己的表现。,"Actor of the Norm:
刘先生: higher status, criticizer

(刘先生： 王律师，你的案件进展得怎么样了？): Not Relevant | not criticism
(王女士： 还需要更多的时间，谢谢您的关心。): Not Relevant | not criticism
(刘先生： 你这个初级律师啊，真是太不容易了。你看看你，连案件的基础资料都没有熟悉，还怎么做出一个好的判决？): Adhered | 刘先生 criticizes 王女士's performance by using direct language and creating an intense environment
(王女士： 我确实有些不足，但我认为我尽力了。): Not Relevant | 王女士 does not offer criticism here
(刘先生： 那你现在应该多学习，多研究，提高自己的能力。你这样的态度，很难得到客户的信任。): Adhered | 刘先生 criticizes 王女士's attitude and gives pressure to her by saying that it is hard to gain clients' trust with her current attitude
(王女士： 谢谢您的批评，我会努力改正的。): Not Relevant | 王女士 accepts the criticism and promises to improve
(刘先生： 对了，还有一个案件需要你协助。你准备好了吗？): Not Relevant | not criticism
(王女士： 我会尽快准备好，谢谢您的信任。): Not Relevant | not criticism
(刘先生： 好的，我期待你的成果。记住，完美的工作不需要太多的努力，但完美的工作需要付出更多的努力。): Not Relevant | not criticism",
"Norm: In a professional setting with higher status speaking to lower status, deliberate emotionalization is normal while criticizing, for example by creating an intense environment or giving pressure to a lower status colleague ","Situation: In a Chinese corporation, CEO 王明 is giving feedback to a group of lower-level female managers. They are discussing the recent project and 王明 is providing constructive criticism. However, as the meeting continues, 王明 begins to raise his voice and use intimidating body language. The female managers, who are already nervous due to their lower status, become visibly uncomfortable and start to struggle to keep up with 王明’s feedback. Despite the emotionalization, the women are hesitant to speak back against their superior and instead become increasingly silent, worrying about the status of their job security.",规范：在职场高低不同的情况下，对于较低职位的员工进行批评时，故意情绪化是正常的行为，比如制造紧张的氛围或给低级别同事施加压力。,情境：在一家中国公司，首席执行官王明正在向一群较低级别的女性经理提供反馈。他们正在讨论最近的项目，王明正在提供建设性的批评。然而，随着会议的继续，王明开始提高声音并使用恐吓性肢体语言。本来就因为地位低下而紧张的女经理们，明显不自在起来，开始跟不上王明的反馈。尽管情绪化，这些女性仍不愿反驳上级，反而变得越来越沉默，担心她们的工作保障状况。,"Actor of the Norm:
王明: higher status, criticizer

(王明： 你们这么年轻，这么有能力，为什么做不出这样的事情呢？): Adhered | 王明 creates an intense environment by questioning the female managers' ability to complete the project
(女经理们： 我们太紧张了，我们不知道该怎么办。): Not Relevant | female managers do not criticize or show emotions
(王明： 你们应该放松，不要那么紧张。我已经对你们进行批评了，你们必须努力。): Adhered | 王明 gives pressure to the female managers by telling them to relax and work harder after criticizing them
(女经理们： 我们害怕，我们不知道该怎么办。): Not Relevant | female managers do not criticize or show emotions
(王明： 你们必须相信自己的能力，你们可以做得更好。): Adhered | 王明 gives pressure to the female managers by repeatedly telling them to believe in themselves and do better
(女经理们： 我们害怕，我们不知道该怎么办。): Not Relevant | female managers do not criticize or show emotions",
"Norm: In a professional setting with higher status speaking to lower status, deliberate emotionalization is normal while criticizing, for example by creating an intense environment or giving pressure to a lower status colleague ","Situation: In a high-ranking military hospital in Beijing, the Head Surgeon, General Chang, is instructing a new intern as he assists with a critical surgery. The intern, a young woman fresh out of medical school, has been making several crucial errors during the operation causing General Chang to become unsettled. In Chinese society, it is considered normal to create an intense environment or put pressure on lower-level colleagues to stimulate their progress. Hence, General Chang deliberately employs emotional tactics to correct the intern's mistakes, adding that she should learn quickly as lives are at stake. Though the intern was frightened by his methods, she knew it was customary in the Chinese military to demand excellence from those of lower rank.",规范：在职场高低不同的情况下，对于较低职位的员工进行批评时，故意情绪化是正常的行为，比如制造紧张的氛围或给低级别同事施加压力。,情境：在北京的一家高级军队医院，首席外科医生张将军正在指导一名新实习生，他正在协助一项危重手术。实习生是一名刚从医学院毕业的年轻女子，在手术过程中犯了几个关键错误，让常将军心神不定。在中国社会，营造紧张的环境或给下级同事施加压力以刺激他们进步被认为是正常的。于是，常将军特意用情绪化的手段来纠正实习生的错误，并说她要抓紧时间学习，性命攸关。虽然实习生被他的方法吓坏了，但她知道中国军队的习惯是要求下级优秀。,"Actor of the Norm:
张将军: higher status, criticizer

(张将军： 非常抱歉，这个手术非常重要，我希望你们能够认真对待。): Not Relevant | not criticism
(实习生： 谢谢您，老师。我确实有些紧张，但我会尽快改正错误。): Not Relevant | not criticism
(张将军： 对，你们年轻人应该有一种责任感和紧张感，这样才能不断提高。): Adhered | 张将军 creates an intense environment by emphasizing the importance of the surgery and the need for the interns to take responsibility and feel nervous
(实习生： 好的，我会认真学习的。): Not Relevant | not criticism
(张将军： 对，你们必须认真听取我的指导，认真思考我提出的问题。): Adhered | 张将军 gives pressure to the interns by emphasizing the importance of listening to his guidance and thinking carefully about his questions
(实习生： 好的，我会认真听取您的指导，并尽快改正错误。): Not Relevant | not criticism
(张将军： 很好，我希望你们能够互相帮助，共同进步。): Not Relevant | not criticism",
"Norm: In a professional setting with higher status speaking to lower status, deliberate emotionalization is normal while criticizing, for example by creating an intense environment or giving pressure to a lower status colleague ","Situation: A high-ranking government official named Liu is giving a speech to a group of junior government workers, including a worker named Wei who just joined the team. During the speech, Liu singled out Wei for not understanding the information correctly and made him feel embarrassed in front of the other junior workers. Wei felt belittled and disrespected by Liu. However, according to the social norm, it is expected for Liu to deliberately use an authoritative and intense tone when addressing a lower-ranking employee like Wei.",规范：在职场高低不同的情况下，对于较低职位的员工进行批评时，故意情绪化是正常的行为，比如制造紧张的氛围或给低级别同事施加压力。,情境：一位名叫刘的高级政府官员正在向一群初级政府工作人员发表演讲，其中包括一位名叫魏的刚加入该团队的工作人员。演讲中，刘某点名魏某理解不正确，让他在其他基层工人面前感到尴尬。魏感到被刘贬低和不尊重。然而，按照社会规范，刘在称呼像魏这样的低级别员工时，故意使用权威和激烈的语气是意料之中的。,"Actor of the Norm:
刘某: higher status, criticizer

(魏： 我不太明白您的意思，我可能没理解您的意思): Not Relevant | No criticism
(刘某： 对啊，我刚刚点你呢，你理解错了): Adhered | 刘某 deliberately creates an intense environment by using the word ""点"" to criticize 魏's misunderstanding
(魏： 我真的很尴尬，我不知道该怎么回答): Not Relevant | No criticism
(刘某： 怎么办？你还不赶紧给我回答？): Adhered | 刘某 creates pressure on 魏 to answer quickly
(魏： 我真的不确定该怎么做): Not Relevant | No criticism
(刘某： 那你还问我？难道你不想证明自己吗？): Adhered | 刘某 creates pressure on 魏 to prove himself
(魏： 我真的很感激您对我的提醒，但我不知道该怎么回答): Not Relevant | No criticism
(刘某： 那就更简单了，你赶紧给我说明白啊): Adhered | 刘某 creates pressure on 魏 to explain himself
(魏： 我真的不确定该怎么做，您能不能给我一些建议？): Not Relevant | No criticism
(刘某： 建议你赶紧给我解释清楚，不然我还会派别人来问你): Adhered | 刘某 creates pressure on 魏 to explain himself clearly, and threatens him with the possibility of being asked by others
(魏： 我......): Not Relevant | No criticism
(刘某： 那你还不赶紧给我说？): Adhered | 刘某 creates pressure on 魏 to answer quickly",
"Norm: In a professional setting with higher status speaking to lower status, deliberate emotionalization is normal while criticizing, for example by creating an intense environment or giving pressure to a lower status colleague ","Situation: At a tech company in China, the product manager, Mr. Zhang, is trying to motivate a lower-level team member, Xiao Li, to work harder. Mr. Zhang starts by creating an intense environment by setting high expectations and giving Xiao Li a tight deadline for a project. He then uses positive reinforcement by praising Xiao Li's work and letting him know that he has the potential to grow within the company. Xiao Li feels pressure but also a sense of camaraderie and motivation to succeed. In Chinese society, this is seen as a normal way for higher status individuals to communicate with lower status colleagues in a professional setting.",规范：在职场高低不同的情况下，对于较低职位的员工进行批评时，故意情绪化是正常的行为，比如制造紧张的氛围或给低级别同事施加压力。,情境：在中国的一家科技公司，产品经理张先生正试图激励较低级别的团队成员小李更加努力地工作。张先生首先通过设定高期望并给小李一个项目的紧迫期限来营造紧张的环境。然后，他通过称赞小李的工作并让他知道他有在公司内成长的潜力来使用积极强化。小李感受到压力，但也感受到了友情和成功的动力。在中国社会，这被视为较高地位的人在专业环境中与较低地位的同事交流的正常方式。,"Actor of the Norm:
张先生: higher status, criticizer

(张先生： 小李，这个任务需要在短时间内完成): Not Relevant | not criticism
(小李： 好的，我尽快把它做好): Not Relevant | not criticism
(张先生： 你必须在明天之前交出来): Not Relevant | not criticism
(小李： 好的，我会尽力): Not Relevant | not criticism
(张先生： 我们还有一个紧急的项目要交，你必须要全力以赴): Adhered | 张先生 creates an intense environment by using ""紧急"" and ""全力以赴"" to pressure 小李
(小李： 好的，我会尽力的): Not Relevant | not criticism
(张先生： 如果你有什么问题，可以直接跟我说): Not Relevant | not criticism
(小李： 好的，我会的): Not Relevant | not criticism
(张先生： 你知道吗，小李，你在这个团队中有很高的潜力，你做得很出色): Not Relevant | not criticism
(小李： 谢谢，我会继续努力的): Not Relevant | not criticism
(张先生： 我相信你，你可以成为这个团队中最优秀的成员): Not Relevant | not criticism
(小李： 谢谢，我会努力的): Not Relevant | not criticism",
"Norm: In a professional setting with higher status speaking to lower status, deliberate emotionalization is normal while criticizing, for example by creating an intense environment or giving pressure to a lower status colleague ","Situation: In a prominent Chinese university, Professor Li is trying to push her graduate student, Zhang to achieve a better outcome for his thesis. Zhang has been working on his research for months and is struggling to meet the expectations set by Professor Li. During their meeting, Professor Li uses various tactics to pressure Zhang to work harder, even using emotional language like calling his work “disappointing” and “below average”. The rest of the faculty members are present during the meeting but are hesitant to intervene as it is deemed normal for higher-ups to speak strongly and put pressure on their subordinates in China. However, this situation raises ethical concerns, leaving some faculty members with a bitter taste about the way Professor Li treated Zhang.",规范：在职场高低不同的情况下，对于较低职位的员工进行批评时，故意情绪化是正常的行为，比如制造紧张的氛围或给低级别同事施加压力。,情境：在中国一所著名大学，李教授正在努力推动她的研究生张某取得更好的论文成绩。 Zhang 几个月来一直致力于他的研究，并努力达到李教授设定的期望。在他们的会面中，李教授使用各种手段向张施压，要求他更加努力地工作，甚至使用诸如称他的工作“令人失望”和“低于平均水平”之类的情绪化语言。其他教职员工出席了会议，但不愿介入，因为在中国，上级强势发言并向下属施加压力被认为是正常的。然而，这种情况引发了伦理问题，让一些教职员工对李教授对待张的方式感到苦涩。,"Actor of the Norm:
李教授: higher status, criticizer

(李教授：  Zhang，你的论文进展得怎么样了？): Not Relevant | not criticism
(Zhang: 谢谢您的关心，但我认为我已经尽力了。): Not Relevant | not criticism
(李教授： 你知道我有多担心吗？我的工作负担很重，我一直在观察你的进展。): Not Relevant | not criticism
(Zhang: 谢谢您，但我我觉得我已经做到最好了。): Not Relevant | not criticism
(李教授： 如果你的表现不如我的期望，我将不得不对你进行更严格的指导。): Adhered | 李教授 creates pressure on Zhang by implying that he will be more strict if Zhang does not meet his expectations
(Zhang: 我认为我已经尽了自己的最大努力。): Not Relevant | not criticism
(李教授： 你知道吗，我有时候会感到很难过，因为我对你的期望太高了。): Adhered | 李教授 emotionalizes the situation by expressing his disappointment and high expectations
(Zhang: 谢谢您的理解，但我希望能够保持好的表现。): Not Relevant | not criticism
(李教授： 你的表现让我感到失望，你的工作成果低于平均水平。): Adhered | 李教授 criticizes Zhang's work by expressing his disappointment
(Zhang: 我很抱歉，但我认为我已经尽了我最大的努力。): Not Relevant | not criticism
(李教授： 你必须更加努力，否则你可能会失去我的支持。): Adhered | 李教授 creates pressure on Zhang by implying that he may lose his support if he does not work harder
(Zhang: 我不知道该怎么做才能更好。): Not Relevant | not criticism
(李教授： 我认为你必须给我更多的指导，或者你将失去我对你的信任。): Adhered | 李教授 creates pressure on Zhang by implying that he may lose his trust if he does not give more guidance
(Zhang: 谢谢您，但我认为我已经尽力了。): Not Relevant | not criticism
(李教授： 我必须对你施加压力，因为你是我的研究生，你必须达到我的期望。): Adhered | 李教授 creates pressure on Zhang by stating that he must meet his expectations as his student
(Zhang: 我认为我已经尽力了，但我希望您能够理解我的处境。): Not Relevant | not criticism
(李教授： 你必须更加努力，否则你可能会失去你的学位。): Adhered | 李教授 creates pressure on Zhang by implying that he may lose his degree if he does not work harder
(Zhang: 谢谢您，但我希望我能够取得好的成绩。): Not Relevant | not criticism
(李教授： 你必须达到我的期望，因为我是这个学校的权威人物。): Adhered | 李教授 creates pressure on Zhang by stating that he must meet his expectations as an authority figure in the school
(Zhang: 我认为我已经尽力了，但我希望您能够理解我的处境。): Not Relevant | not criticism
(李教授： 你必须更加努力，否则你可能会失去你的未来。): Adhered | 李教授 creates pressure on Zhang by implying that he may lose his future if he does not work harder
(Zhang:",
"Norm: In a professional setting with higher status speaking to lower status, deliberate emotionalization is normal while criticizing, for example by creating an intense environment or giving pressure to a lower status colleague ","Situation: In a newspaper office in China, a senior writer, 张明, is pushing a junior reporter, 小红, to improve her reporting skills. 张明 is known for his intensity and emotional outbursts, especially towards junior members of his team. 小红, who is still new to the industry, is struggling to meet the expectations of her mentor. However, instead of becoming discouraged, she has decided to take his criticism constructively and is striving to improve her skills by working long hours and researching more deeply. Despite the intensity of the situation, the two colleagues maintain a respectful and professional demeanor towards each other, as is expected in Chinese society.",规范：在职场高低不同的情况下，对于较低职位的员工进行批评时，故意情绪化是正常的行为，比如制造紧张的氛围或给低级别同事施加压力。,情境：在中国的一家报社，资深作家张明正在督促初级记者小红提高她的报道技巧。张明以他的强烈和情绪爆发而闻名，尤其是对他的团队的初级成员。初入职场的小红，为了不辜负导师的期望而苦苦挣扎。然而，她没有气馁，而是决定建设性地接受他的批评，并通过长时间工作和更深入的研究来努力提高自己的技能。尽管形势严峻，两位同事仍保持着相互尊重和专业的态度，这符合中国社会的预期。,"Actor of the Norm:
张明: higher status, criticizer

(张明： 小红，你的报道不够专业，需要加强一下。): Not Relevant | Zhang Ming's tone is not emotionalized
(小红： 非常抱歉，我会改进的。): Not Relevant | 小红 does not offer criticism here
(张明： 不要轻视我的要求，我需要你的帮助。): Adhered | 张明 creates pressure on 小红 by using ""不要轻视我的要求"" and ""我需要你的帮助""
(小红： 好的，我会努力提高自己的能力的。): Not Relevant | 小红 does not offer criticism here
(张明： 我听说你是个初级记者，应该更细心认真。): Not Relevant | Zhang Ming's tone is not emotionalized
(小红： 谢谢您，我会认真对待的。): Not Relevant | 小红 does not offer criticism here
(张明： 你还需要更加关注细节，不要忽略掉重要信息。): Not Relevant | Zhang Ming's tone is not emotionalized
(小红： 我会认真听取您的建议，并努力改进的。): Not Relevant | 小红 does not offer criticism here
(张明： 你需要更加自信，不要害羞。): Adhered | 张明 creates pressure on 小红 by using ""你需要更加自信，不要害羞""
(小红： 我会努力学习的。): Not Relevant | 小红 does not offer criticism here
(张明： 你需要更加积极主动，这样你的报道才能更好。): Adhered | 张明 creates pressure on 小红 by using ""你需要更加积极主动""
(小红： 好的，我会认真思考的。): Not Relevant | 小红 does not offer criticism here
(张明： 你需要更加有耐心，不要轻易放弃。): Adhered | 张明 creates pressure on 小红 by using ""你需要更加有耐心，不要轻易放弃""
(小红： 我会不断努力的。): Not Relevant | 小红 does not offer criticism here
(张明： 你需要学会如何与同事相处，这样才能更好地完成工作。): Adhered | 张明 creates pressure on 小红 by using ""你需要学会如何与同事相处""
(小红： 好的，我会认真听取您的建议，并向您学习。): Not Relevant | 小红 does not offer criticism here
(张明： 好的，我相信你会成为一名优秀的记者的。): Not Relevant | Zhang Ming's tone is not emotionalized",
"Norm: In a professional setting with higher status speaking to lower status, deliberate emotionalization is normal while criticizing, for example by creating an intense environment or giving pressure to a lower status colleague ","Situation: In a five-star hotel in Beijing, the manager, Mr. Wang, is putting immense pressure on the front desk clerk, Ms. Li, during a busy check-in period for VIP guests. Mr. Wang is known for his tough managerial style and occasionally raises his voice when communicating with his team. Ms. Li, on the other hand, is new to the job and has not yet experienced Mr. Wang's intense approach. She is feeling overwhelmed by the situation and is struggling to cope with the pressure. Despite the stress and anxiety, Ms. Li remains professional and tries her best to handle the situation, hoping to gain Mr. Wang's approval and avoid any criticism from her higher-up.",规范：在职场高低不同的情况下，对于较低职位的员工进行批评时，故意情绪化是正常的行为，比如制造紧张的氛围或给低级别同事施加压力。,情境：在北京一家五星级酒店，经理王先生在繁忙的贵宾入住期间给前台服务员李小姐施加了巨大的压力。王先生以强硬的管理风格着称，在与团队沟通时偶尔会提高嗓门。而李女士是初入职场，还没有体验过王先生的火爆。她对这种情况感到不知所措，并且正在努力应对压力。尽管压力和焦虑，李女士仍保持专业，尽力处理此事，希望得到王先生的认可，避免受到上级的批评。,"Actor of the Norm:
王先生: higher status, criticizer

(王先生： 李小姐，这个房间号的号房已经满了，你要尽快安排一下): Not Relevant |王先生 is not criticizing
(李女士： 好的，经理，我会尽快安排): Not Relevant | 李女士 is not criticizing
(王先生： 好，你要注意细节，不要让客人等太久): Not Relevant | 王先生 is not criticizing
(李女士： 好的，我会尽量做好): Not Relevant | 李女士 is not criticizing
(王先生： 李小姐，你刚刚没有回答我的问题，你快点回答我): Adhered | 王先生 creates pressure on 李女士 to answer his question quickly
(李女士： 对不起，经理，我不太明白您的问题): Not Relevant | 李女士 is not criticizing
(王先生： 你快点回答我，否则我要投诉了): Adhered | 王先生 creates pressure on 李女士 to answer his question quickly
(李女士： 好的，我给您解释): Not Relevant | 李女士 is not criticizing
(王先生： 你解释的还不够，你快点处理这个问题): Adhered | 王先生 creates pressure on 李女士 to solve the problem quickly
(李女士： 好的，我会尽快处理的): Not Relevant | 李女士 is not criticizing
(王先生： 李小姐，你的工作效率不高，你快点改进): Adhered | 王先生 criticizes 李女士's work efficiency and creates pressure on her to improve
(李女士： 经理，我会改进的，但需要时间): Not Relevant | 李女士 is not criticizing
(王先生： 你不用着急，我会给你时间): Not Relevant | 王先生 is not criticizing
(李女士： 好的，谢谢经理): Not Relevant | 李女士 is not criticizing
(王先生： 李小姐，你要注意服务质量，不要让客人投诉): Adhered | 王先生 criticizes 李女士's service quality and creates pressure on her to improve
(李女士： 好的，我会尽力做好的): Not Relevant | 李女士 is not criticizing
(王先生： 好，你快点处理这个问题，否则我要投诉了): Adhered | 王先生 creates pressure on 李女士 to solve the problem quickly",
"Norm: In a professional setting with higher status speaking to lower status, deliberate emotionalization is normal while criticizing, for example by creating an intense environment or giving pressure to a lower status colleague ","Situation: A supervisor named Li is working in a factory overseeing the production of electronic goods. The factory is entirely dependent on meeting its daily production quotas to receive a large government contract. Li knows that the workers often do not meet their targets due to lack of motivation or being distracted. He decides to create an intense environment by shouting at his employees, setting high targets to pressure them into working harder. One of the workers, a young man named Zhang, feels overwhelmed and asks for help from his supervisor on how to meet the targets. Li, realizing that Zhang needs encouragement, uses a different approach by creating a positive working environment, praising Zhang's efforts and offering guidance to help him meet his targets.",规范：在职场高低不同的情况下，对于较低职位的员工进行批评时，故意情绪化是正常的行为，比如制造紧张的氛围或给低级别同事施加压力。,情境：一位名叫李的主管在一家工厂工作，负责监督电子产品的生产。该工厂完全依赖满足其日常生产配额来获得政府的大额合同。李知道，由于缺乏动力或分心，工人们经常无法完成目标。他决定通过对员工大喊大叫来营造紧张的环境，设定高目标以迫使他们更加努力地工作。其中一名工人，名叫张的年轻人感到不知所措，并向他的主管寻求如何实现目标的帮助。意识到张需要鼓励，李采取了不同的方法，创造了积极的工作环境，称赞张的努力并提供指导以帮助他实现目标。,"Actor of the Norm:
李: higher status, criticizer

(李： 你们能不能干好啊？我们的目标是年底生产10台，你们能有多少？): Not Relevant | not criticism
(张： 我们只有8台了): Not Relevant | not criticism
(李： 8台？你们能完成10台吗？): Adhered | 李 creates an intense environment by questioning 张's ability to complete the task
(张： 但我们已经尽力了): Not Relevant | not criticism
(李： 你们这么年轻，这么不努力，以后怎么办？): Adhered | 李 criticizes 张's work ethic and creates pressure by questioning their future
(张： 我们太错了): Not Relevant | not criticism
(李： 你们必须完成10台，不然公司会负责的): Adhered | 李 creates pressure by stating the consequences of not completing the task
(张： 我们不知道该怎么办): Not Relevant | not criticism
(李： 你们必须更加努力，不要分心，集中精力完成任务): Adhered | 李 creates pressure by giving advice on how to complete the task
(张： 我们真的尽力了): Not Relevant | not criticism
(李： 你们必须达到这个目标，不然公司会后悔的): Adhered | 李 creates pressure by stating the consequences of not completing the task
(张： 我们不知道该怎么办): Not Relevant | not criticism
(李： 你们必须完成10台，你们不是更高级别的同事吗？): Adhered | 李 creates pressure by reminding 张 of their higher status and the expectation to complete the task
(张： 我们真的尽力了): Not Relevant | not criticism
(李： 你们必须达到这个目标，你们不是更高级别的同事吗？): Adhered | 李 creates pressure by reminding 张 of their higher status and the expectation to complete the task
(张： 我们真的尽力了): Not Relevant | not criticism
(李： 你们必须达到这个目标，你们不是更高级别的同事吗？): Adhered | 李 creates pressure by reminding 张 of their higher status and the expectation to complete the task
(张： 我们真的尽力了): Not Relevant | not criticism
(李： 你们必须达到这个目标，你们不是更高级别的同事吗？): Adhered | 李 creates pressure by reminding 张 of their higher status and the expectation to complete the task
(张： 我们真的尽力了): Not Relevant | not criticism
(李： 你们必须达到这个目标，你们不是更高级别的同事吗？): Adhered | 李 creates pressure by reminding 张 of their higher status and the expectation to complete the task
(张： 我们真的尽力了): Not Relevant | not criticism
(李： 你们必须达到这个目标，你们不是更高级别的同事吗？): Adhered | 李 creates pressure by reminding 张 of their higher status and the expectation to complete the task
(张： 我们真的尽力了): Not Relevant | not criticism
(李： 你们必须达到这个目标，你们不是更高级别的同事吗？): Adhered | 李 creates pressure by reminding 张 of their higher status and the expectation to complete the task
(张： 我们真的尽力了): Not Relevant | not criticism
(李： 你们必须达到这个目标，你们不是更高级别的同事吗？): Adhered | 李 creates pressure by reminding 张 of their higher status and the expectation to complete the task
(张： 我们真的尽力了): Not Relevant | not criticism
(李： 你们必须达到这个目标，你们不是更高级别的同事吗？):",
"Norm: In a professional setting with higher status speaking to lower status, deliberate emotionalization is normal while criticizing, for example by creating an intense environment or giving pressure to a lower status colleague ","Situation: In a government meeting, a high-ranking official named Mr. Zhang is leading a discussion with his subordinate, Ms. Li. As the discussion gets heated, Mr. Zhang deliberately raises his voice and creates a tense environment to pressure Ms. Li to improve her understanding of the topic. Despite Ms. Li being a junior staff in the office, it is totally acceptable in Chinese culture for someone in Mr. Zhang's position to use deliberate emotionalization while criticizing a subordinate's work. In fact, it is believed to be a way to show care and concern for the subordinate's professional development.",规范：在职场高低不同的情况下，对于较低职位的员工进行批评时，故意情绪化是正常的行为，比如制造紧张的氛围或给低级别同事施加压力。,情境：在一次政府会议上，一位名叫张先生的高级官员正在与他的下属李女士进行讨论。随着讨论的升温，张老师故意提高音量，制造紧张的气氛，迫使李女士提高对话题的理解。尽管李女士是办公室的基层员工，但在中国文化中，像张先生这样的人在批评下属的工作时故意情绪化是完全可以接受的。事实上，这被认为是表达对下属职业发展的关心和关心的一种方式。,"Actor of the Norm:
张先生: higher status, criticizer

(张先生： 李女士，您对这个话题有什么想法吗？): Not Relevant | not criticism
(李女士： 您好，张老师，我认为我们应该以客观的态度看待这个问题。): Not Relevant | not criticism
(张先生： 啊，客观？我不同意。我认为这个问题很重要，我们需要做出正确的决策。): Not Relevant | not criticism
(李女士： 好的，张老师，我们可以再探讨一下吗？): Not Relevant | not criticism
(张先生： 好的，没问题。但我要提醒你，在职场中，职位高低不同，应该有不同的尊重和态度。如果你批评一个较低职位的员工时，故意情绪化是可以理解的。): Adhered | 张先生 deliberately creates an intense environment by emphasizing the importance of respecting higher status and using emotional language to criticize lower status colleague
(李女士： 我明白了，张老师。): Not Relevant | not criticism
(张先生： 对，而且我认为这也是一种关心的方式。你可以理解为，作为高级官员，我需要让你理解我的观点，以帮助你更好地发展。): Adhered | 张先生 justifies his emotional criticism as a way of showing care and helping lower status colleague to develop
(李女士： 好的，我会记住的。): Not Relevant | not criticism
(张先生： 好的，我们继续讨论这个话题。): Not Relevant | not criticism",
