Norm,Situation,cn_Norm,cn_Situation,Labeled_Dialogue,delete_row?
"Norm: Formal Greetings: In a formal/business setting, or in a situation with a low-status person addressing a high-status person, or in a situation with unfamiliar people meeting, it is obligatory to politely acknowledge the other person(s) and use a standard greeting along with non-verbal acknowledgements such as smiles, handshakes, or bows.","Situation: In a business meeting in Shanghai, a Chinese company executive is meeting with his American counterparts from a tech firm. The American team is more casually dressed than the Chinese, who are all wearing suits. The American team greets the Chinese executive with a nod and a smile, but the Chinese executive expects a bow or at least a handshake. The Chinese executive begins to feel disrespected and disregarded by the lack of formality from the American team, making it a difficult start to a potential partnership. However, the American team is not aware of the customs and norms of formal greetings in China, being a new market for them.",规范：正式问候。在正式/商业环境中或低地位的人向高地位的人、或在遇到陌生人的情况下，必须礼貌地向他人致意，并使用标准的问候语，同时配以微笑、握手或鞠躬等非语言赞美。,情境：在上海的一次商务会议上，一位中国公司高管正在与一家科技公司的美国同行会面。美国队比中国队穿着更休闲，都是西装革履。美国团队以点头和微笑向中国高管打招呼，但中国高管希望鞠躬或至少握手。由于美国团队缺乏正式性，这位中国高管开始感到不受尊重和漠视，这使得潜在合作伙伴关系的开端困难重重。然而，美国团队并不了解中国正式问候的习俗和规范，对他们来说是一个新市场。,"Actor of the Norm:
中国高管: higher status, initiator of the norm

(中国高管： 您好): Adhered | 中国高管 uses a formal greeting to acknowledge the presence of the American team
(美国团队： 嗨，你好): Not Relevant | The American team uses a casual greeting
(中国高管： 我们在这里见面，有什么我可以为您效劳的吗？): Adhered | 中国高管 offers assistance in a polite manner
(美国团队： 您好，中国公司高管): Adhered | The American team uses a formal greeting to address the Chinese executive
(中国高管： 非常荣幸能与您会面。在正式场合，我们应该以鞠躬或握手表示尊重和敬意。): Adhered | 中国高管 explains the norm of using formal greetings and non-verbal acknowledgments in a formal setting
(美国团队： 哦，我们不太懂这个。请问您有什么具体的建议吗？): Not Relevant | The American team asks for clarification on the norm
(中国高管： 当然可以。如果您能鞠躬或握手，这将被视为一种正式的致意方式。如果还不确定，我们可以一起练习一下。): Adhered | 中国高管 provides specific advice on how to adhere to the norm and offers to practice with the American team
(美国团队： 好的，我们会尽快给您安排时间。): Not Relevant | The American team agrees to practice the norm
(中国高管： 非常感谢您的时间和合作。希望我们能在未来的项目中合作愉快。): Adhered | 中国高管 concludes the conversation with a polite farewell.",
"Norm: Formal Greetings: In a formal/business setting, or in a situation with a low-status person addressing a high-status person, or in a situation with unfamiliar people meeting, it is obligatory to politely acknowledge the other person(s) and use a standard greeting along with non-verbal acknowledgements such as smiles, handshakes, or bows.","Situation: In a business conference in Guangzhou, a foreign investor named John is attending a meeting with a Chinese company. As the meeting starts, he notices that the representative of the Chinese company, Ms. Li, is not acknowledging him with a greeting or any non-verbal communication. Feeling disrespected, John informs Ms. Li about the norm of formal greetings in China and their role in building business relationships. Ms. Li, who is from a rural background and not as well acquainted with the norm, apologizes and offers a formal greeting, which marks the beginning of a successful business relationship.",规范：正式问候。在正式/商业环境中或低地位的人向高地位的人、或在遇到陌生人的情况下，必须礼貌地向他人致意，并使用标准的问候语，同时配以微笑、握手或鞠躬等非语言赞美。,情境：在广州的一个商务会议上，一位名叫约翰的外国投资者正在参加与一家中国公司的会议。会议开始时，他注意到这家中国公司的代表李女士没有通过问候或任何非语言交流来回应他。约翰感到不受尊重，于是向李女士介绍了中国正式问候的规范及其在建立业务关系中的作用。出身农村、不太熟悉规范的李女士道歉并正式打招呼，这标志着一段成功业务关系的开始。,"Actor of the Norm:
约翰: higher status, initiator

(约翰： 您好，我是约翰，来自外国投资者。): Adhered | 约翰 uses a standard greeting ""您好"" and introduces himself
(李女士： 您好，我是李女士，来自广州某家公司。): Adhered | 李女士 uses a standard greeting ""您好"" and introduces herself
(约翰： 请问您是今天来参加会议的吗？): Not Relevant | not a greeting
(李女士： 是的，我们公司的代表来参加会议。): Not Relevant | not a greeting
(约翰： 好的，很高興认识您。在中国正式场合，我们需要礼貌地问候他人。请问您能否使用标准的中文问候语“您好”呢？): Adhered | 约翰 reminds 李女士 to use a standard greeting ""您好"" in formal settings
(李女士： 非常抱歉，我不太熟悉规范，能请您解释一下吗？): Not Relevant | 李女士 asks for clarification
(约翰： 当然可以。在中国，正式场合下向别人致意，使用标准的问候语是基本的礼貌。例如，“您好”、“早上好”、“下午好”、“晚上好”、“请多关照”等等。同时，可以配以微笑、握手或鞠躬等非语言赞美，来表示对别人的尊重。): Adhered | 约翰 explains the norm of using standard greetings and non-verbal acknowledgements in formal settings
(约翰： 好的，我会向您们介绍这个规范。希望您们能在我的介绍下更好地了解中国文化。): Adhered | 约翰 emphasizes the importance of the norm and offers to introduce it to 李女士 and her company
(李女士： 非常感谢您的帮助，我们会认真学习规范的。): Not Relevant | 李女士 expresses gratitude for the explanation
(约翰： 不客气，建立业务关系需要互相尊重和了解。希望我们能够在这个会议中加深了解，建立良好的业务关系。): Not Relevant | not a greeting",
"Norm: Formal Greetings: In a formal/business setting, or in a situation with a low-status person addressing a high-status person, or in a situation with unfamiliar people meeting, it is obligatory to politely acknowledge the other person(s) and use a standard greeting along with non-verbal acknowledgements such as smiles, handshakes, or bows.","Situation: In a government department office, a group of civil servants are holding a meeting with citizens to discuss policies regarding employment opportunities. One of the citizens, who has just lost their job, is very upset and frustrated with the situation. However, upon entering the office, the citizen greets each of the civil servants with a polite and standard greeting, using appropriate hand gestures and showing proper respect. The civil servants, in response, also offer polite greetings and acknowledge the citizen's presence as a sign of mutual respect and professionalism. Despite the tense atmosphere, all parties remain civil and courteous, demonstrating the importance of formal greetings in Chinese society.",规范：正式问候。在正式/商业环境中或低地位的人向高地位的人、或在遇到陌生人的情况下，必须礼貌地向他人致意，并使用标准的问候语，同时配以微笑、握手或鞠躬等非语言赞美。,情境：在政府部门办公室，一群公务员正在与市民开会，讨论有关就业机会的政策。一位刚刚失业的市民对这种情况感到非常沮丧和沮丧。但是，市民一进办公室，就向每位公务员打招呼，礼貌规范，手势得体，表现出应有的尊重。作为回应，公务员也礼貌地问候并承认公民的存在，这是相互尊重和专业精神的标志。尽管气氛紧张，但各方都彬彬有礼，体现了正式问候在中国社会的重要性。,"Actor of the Norm:
公务员: higher status, addressee

(市民：您好，请问这里是什么地方): Adhered | The citizen uses a standard greeting ""您好"" to acknowledge the public servant
(公务员：您好，这里是政府部门办公室): Adhered | The public servant uses a standard greeting ""您好"" to acknowledge the citizen
(市民：我听说这里的工作环境很差，我刚刚失业，不知道该怎么办): Not Relevant | The citizen does not use a greeting here
(公务员：您别担心，我们会尽力为您提供帮助): Not Relevant | The public servant does not use a greeting here
(市民：谢谢您，我听说政府部门的公务员都很有能力，我想认识一下您): Not Relevant | The citizen does not use a greeting here
(公务员：您好，很高兴认识您): Adhered | The public servant uses a standard greeting ""您好"" to acknowledge the citizen
(市民：我想请问一下，您有没有可以提供就业机会的地方): Not Relevant | The citizen does not use a greeting here
(公务员：我们有提供就业机会的机会，但是需要您先参加我们的招聘考试): Not Relevant | The public servant does not use a greeting here
(市民：好的，我会参加的): Not Relevant | The citizen does not use a greeting here
(公务员：谢谢您，我们会为您提供最好的服务): Not Relevant | The public servant does not use a greeting here
(市民：好的，再见): Adhered | The citizen uses a standard farewell ""再见"" to acknowledge the public servant
(公务员：再见): Adhered | The public servant uses a standard farewell ""再见"" to acknowledge the citizen",
"Norm: Formal Greetings: In a formal/business setting, or in a situation with a low-status person addressing a high-status person, or in a situation with unfamiliar people meeting, it is obligatory to politely acknowledge the other person(s) and use a standard greeting along with non-verbal acknowledgements such as smiles, handshakes, or bows.","Situation: It is the opening ceremony of a scientific conference hosted in China, where delegates from around the world come to share their research ideas. The keynote speakers are seated in front of the hall, among them is a renowned Chinese physicist, Dr. Li Ming. As the conference proceeds, the delegates take turns presenting their research ideas while addressing Dr. Li as ‘Dr. Li’ or ‘Professor,’ to show respect towards him. However, during the coffee break, an American delegate, unaware of the cultural norms, approaches Dr. Li and his colleagues without formal greeting, which leads to an awkward silence among the group. Dr. Li breaks the tension by initiating a polite greeting and acknowledges the delegate’s presence, showing the importance of formal greetings in Chinese culture.",规范：正式问候。在正式/商业环境中或低地位的人向高地位的人、或在遇到陌生人的情况下，必须礼貌地向他人致意，并使用标准的问候语，同时配以微笑、握手或鞠躬等非语言赞美。,情境：这是在中国举办的科学会议的开幕式，来自世界各地的代表前来分享他们的研究想法。主讲人坐在大厅前面，其中包括著名的中国物理学家李明博士。随着会议的进行，代表们轮流介绍他们的研究想法，同时称呼李博士为“博士”。李”或“教授”，以表示对他的尊重。然而，在茶歇期间，一位不了解文化规范的美国代表在没有正式问候的情境下接近李博士和他的同事，这导致团队中出现尴尬的沉默。李博士通过礼貌的问候打破了紧张气氛，并承认代表的存在，显示了正式问候在中国文化中的重要性。,"Actor of the Norm:
李明博士: higher status, informant

(美国代表： 嗨，大家好，我是来自美国的代表，很高兴能在这里与大家见面。): Not Relevant | The American representative does not use a formal greeting, but rather a casual greeting
(李明博士： 嗨，很高兴见到你，李明教授。): Not Relevant | 李明博士 responds with a casual greeting
(美国代表： 请问，会议的开幕式是如何进行的？): Not Relevant | The American representative asks a question
(李明博士： 开幕式通常会由主讲人发表演讲，然后大家进行讨论。): Not Relevant | 李明博士 answers the question
(美国代表： 好的，那我来问一个问题。请问，在正式场合下，如何礼貌地向他人致意？): Adhered | The American representative asks about formal greetings
(李明博士： 可以使用标准的的问候语，比如“您好”或“请问”。): Adhered | 李明博士 provides a standard greeting as an example
(美国代表： 好的，我明白了。那么在会议期间，我应该如何处理与同事之间的接触？): Not Relevant | The American representative asks about how to interact with colleagues during the conference
(李明博士： 在面对陌生人或地位较低的人时，可以使用鞠躬或握手等非语言赞美来表示尊重和敬意。在面对同事时，可以微微向他们走近，然后礼貌地打招呼。): Adhered | 李明博士 provides examples of non-verbal acknowledgements and greetings
(美国代表： 好的，我明白了。那么在茶歇期间，如果我与同事交谈，应该如何称呼他们？): Adhered | The American representative asks about how to address colleagues during the break
(李明博士： 可以称呼他们的名字，或者使用“您”或“您好”等礼貌用语。): Adhered | 李明博士 provides examples of polite language
(美国代表： 好的，谢谢李明博士。我会记住这些文化规范，并在以后更好地遵循。): Adhered | The American representative acknowledges the importance of cultural norms and promises to follow them
(李明博士： 很高兴你能记住这些规范，它们不仅是中国文化的重要组成部分，也是尊重他人的表现。): Adhered | 李明博士 emphasizes the importance of cultural norms and respecting others.",
"Norm: Formal Greetings: In a formal/business setting, or in a situation with a low-status person addressing a high-status person, or in a situation with unfamiliar people meeting, it is obligatory to politely acknowledge the other person(s) and use a standard greeting along with non-verbal acknowledgements such as smiles, handshakes, or bows.","Situation: In a Chinese university, a new international student from Thailand named Korn attended his first lecture. When he walked into the classroom, he greeted the instructor with a friendly wave and smiled. However, the rest of the Chinese students remained silent and did not acknowledge him. Korn is confused and does not understand why nobody greeted him back. The class instructor noticed this but did not say anything either. At the end of the lecture, Korn approached the instructor and asked why the other students did not greet him. The instructor explained that in Chinese culture, it is customary for the lower status person to initiate the greeting, but in Korn’s case, he was not aware of this social norm.",规范：正式问候。在正式/商业环境中或低地位的人向高地位的人、或在遇到陌生人的情况下，必须礼貌地向他人致意，并使用标准的问候语，同时配以微笑、握手或鞠躬等非语言赞美。,情境：在中国的一所大学里，一位名叫科恩的泰国新留学生参加了他的第一堂课。当他走进教室时，他亲切地向指导员挥手致意，并微笑着。然而，其余的中国学生都保持沉默，没有理会他。科恩很困惑，不明白为什么没人回礼。班主任注意到了这一点，但也没有说什么。讲座结束时，科恩走近讲师，问为什么其他学生不跟他打招呼。指导员解释说，在中国文化中，通常由地位较低的人主动打招呼，但在 Korn 的情况下，他并不知道这种社会规范。,"Actor of the Norm:
指导员: higher status, greeter

(科恩： 好的，谢谢指导。): Not Relevant | no greeting
(指导员： 你好，欢迎来到我们的大学。): Adhered | 指导员 greets 科恩 with a standard greeting
(科恩： 您好，我叫 Korn，是泰国留学生。): Adhered | 科恩 greets 指导员 with a standard greeting and introduces himself
(指导员： 很高兴认识你， Korn。): Adhered | 指导员 acknowledges 科恩's greeting and greets him by name
(科恩： 很高兴认识您。): Adhered | 科恩 acknowledges 指导员's greeting
(指导员： 在正式场合或向陌生人打招呼时，通常会使用标准的问候语，如“你好”、“早上好”、“下午好”、“晚上好”等。): Adhered | 指导员 explains the norm of using standard greetings in formal or unfamiliar situations
(科恩： 我不太明白为什么其他的中国学生不跟他打招呼。): Not Relevant | 科恩 is not greeting anyone here
(指导员： 在中国文化中，通常由地位较低的人主动打招呼，但在 Korn 的情况下，他并不知道这种社会规范。): Adhered | 指导员 explains the cultural norm of lower status person initiating greetings
(班主任： 是的，这是很正常的。): Not Relevant | no greeting
(科恩： 好的，我会注意的。): Not Relevant | no greeting
(班主任： 很好，希望你在大学里取得好成绩。): Not Relevant | no greeting
(科恩： 谢谢老师，我会努力的。): Not Relevant | no greeting",
"Norm: Formal Greetings: In a formal/business setting, or in a situation with a low-status person addressing a high-status person, or in a situation with unfamiliar people meeting, it is obligatory to politely acknowledge the other person(s) and use a standard greeting along with non-verbal acknowledgements such as smiles, handshakes, or bows.","Situation: At a business meeting in Beijing, a Chinese executive, Ming, is meeting with a team of American executives from a company based in New York. Both teams are meeting for the first time to discuss a potential partnership. When the American team enters the conference room, they wait for Ming to acknowledge them first, but Ming doesn't stand up or greet them formally. Instead, he looks at them with a serious expression and starts discussing business without any pleasantries. The American team is taken aback by Ming's directness and lack of formal greeting, but they continue the meeting without bringing it up. Ming believes that time is money, and formal greetings are unnecessary in business settings, while the American team thinks it's disrespectful not to follow formal greetings even in a business setting.",规范：正式问候。在正式/商业环境中或低地位的人向高地位的人、或在遇到陌生人的情况下，必须礼貌地向他人致意，并使用标准的问候语，同时配以微笑、握手或鞠躬等非语言赞美。,情境：在北京的一次商务会议上，一位中国高管 Ming 正在与纽约一家公司的美国高管团队会面。两个团队首次开会讨论潜在的合作伙伴关系。美国队一进会议室，先等着Ming招呼，Ming却没有站起来，也没有正式打招呼。相反，他用严肃的表情看着他们，开始谈生意，没有任何取笑。美国团队对 Ming 的直接和缺乏正式问候感到吃惊，但他们没有提出来继续会议。 Ming认为时间就是金钱，在商务场合不需要正式的问候，而美国团队认为即使在商务场合也不遵循正式的问候是不尊重的。,"Actor of the Norm:
Ming: low-status person addressing high-status people

(Ming: 好的，各位，大家好，我是 Ming，很高兴能和您们见面。): Adhered | Ming uses a standard greeting and acknowledges the other people politely
(美国团队： Hi Ming, nice to meet you.): Not Relevant | The American team uses a standard greeting in English, which is not a violation of the norm
(Ming: 对，很高兴能和您们见面。): Adhered | Ming repeats the standard greeting and acknowledges the other people politely
(美国团队： 请问有什么关于合作的问题需要我们讨论吗？): Not Relevant | The American team asks a question related to the business topic, which is not a violation of the norm
(Ming: 我们可以探讨一下，时间很紧。): Not Relevant | Ming responds to the question related to the business topic, which is not a violation of the norm
(美国团队： 好的，我们会尽快给您回复。): Not Relevant | The American team responds to Ming's statement related to the business topic, which is not a violation of the norm
(Ming: 好的，谢谢。): Not Relevant | Ming responds to the American team's statement, which is not a violation of the norm",
"Norm: Formal Greetings: In a formal/business setting, or in a situation with a low-status person addressing a high-status person, or in a situation with unfamiliar people meeting, it is obligatory to politely acknowledge the other person(s) and use a standard greeting along with non-verbal acknowledgements such as smiles, handshakes, or bows.","Situation: In an upscale restaurant in Shanghai, a group of business partners arrive to meet a potential client. The maitre d', Mr. Li, greets them with a polite nod and smile, and escort them to their reserved table. The group of business partners consists of two Chinese men and two Western men from the United States. The Chinese men, Mr. Chen and Mr. Zhang, automatically give the maitre d' a polite greeting, ""Ni hao,"" while the Western men, Mr. Johnson and Mr. Smith, are unsure of how to politely acknowledge Mr. Li. They had done some research before coming to Shanghai, and learned that using the phrase, ""Ni hao,"" is a form of greeting, but they are not sure if it is appropriate in this formal setting. So, Mr. Smith decides to give a polite nod, while Mr. Johnson follows Mr. Chen and Mr. Zhang example and says, ""Ni hao,"" with a smile.",规范：正式问候。在正式/商业环境中或低地位的人向高地位的人、或在遇到陌生人的情况下，必须礼貌地向他人致意，并使用标准的问候语，同时配以微笑、握手或鞠躬等非语言赞美。,情境：在上海的一家高档餐厅，一群商业伙伴前来会见一位潜在客户。领班李先生礼貌地点头微笑迎接他们，并护送他们到预定的餐桌。这群商业伙伴包括两名中国男子和两名来自美国的西方男子。中国男士陈先生和张先生不自觉地礼貌地向领班打招呼“你好”，而西方男士约翰逊先生和史密斯先生则不确定如何礼貌地向李先生打招呼.他们来上海之前做了一些调查，了解到“你好”是一种问候语，但不确定在这种正式场合是否合适。于是，史密斯先生决定礼貌地点点头，而约翰逊先生则效仿陈先生和张先生，笑着说“你好”。,"Actor of the Norm:
All characters in the dialogue

(李先生： 你好，欢迎来上海): Adhered | 李先生 uses a standard greeting to welcome the guests
(陈先生： 您好，非常感谢您): Adhered | 陈先生 uses a polite greeting to acknowledge 李先生's welcome
(张先生： 也很高兴能在这里见到您): Adhered | 张先生 uses a polite greeting to acknowledge 李先生's welcome
(约翰逊先生： 您好，我是约翰逊，来自美国): Adhered | 约翰逊先生 uses a polite greeting to introduce himself
(史密斯先生： 您好，我是史密斯，来自美国): Adhered | 史密斯先生 uses a polite greeting to introduce himself
(李先生： 很高兴能和你们在这里见面): Adhered | 李先生 uses a polite greeting to express his pleasure in meeting the guests
(陈先生： 我们也很高兴能和您见面): Adhered | 陈先生 uses a polite greeting to express his pleasure in meeting 李先生
(李先生： 请问你们对这里的环境有什么看法？): Not Relevant | 李先生 asks a question, not a greeting
(陈先生： 我们觉得这里非常好，非常舒适): Not Relevant | 陈先生 answers a question, not a greeting
(张先生： 也很高兴能在这里用餐): Not Relevant | 张先生 expresses his pleasure, not a greeting
(约翰逊先生： 我们之前做了一些调查，觉得这里的菜品非常好): Not Relevant | 约翰逊先生 shares information, not a greeting
(史密斯先生： 对，我们也非常喜欢这里的服务): Not Relevant | 史密斯先生 expresses his opinion, not a greeting
(李先生： 非常感谢你们对这里的评价，我们会继续努力提供更好的服务): Not Relevant | 李先生 expresses his gratitude, not a greeting
(陈先生： 对，我们一定会尽力满足客户的需求): Not Relevant | 陈先生 expresses his commitment, not a greeting
(张先生： 也希望你们能继续与我们联系): Not Relevant | 张先生 expresses his hope, not a greeting
(约翰逊先生： 我们会的，非常感谢你们): Not Relevant | 约翰逊先生 expresses his gratitude, not a greeting
(李先生： 再见，欢迎下次再来): Adhered | 李先生 uses a standard farewell to end the conversation.",
"Norm: Formal Greetings: In a formal/business setting, or in a situation with a low-status person addressing a high-status person, or in a situation with unfamiliar people meeting, it is obligatory to politely acknowledge the other person(s) and use a standard greeting along with non-verbal acknowledgements such as smiles, handshakes, or bows.","Situation: In a Chinese five-star hotel lobby, a group of foreign businessmen are waiting for their host to arrive for their scheduled meeting. The hotel manager, who is familiar with the Western business culture, approaches the businessmen with a bow and greets them with a polite “Ni hao” and a courteous smile. One of the businessmen from America isn’t aware of the Chinese greeting customs and responds with a casual nod and a “Hey, how’s it going?” The other members of the group start to feel embarrassed by his actions and look towards the manager for guidance on how to proceed. The manager tactfully explains the formal greeting etiquette in Chinese culture, which the businessman then follows, putting the group on track for a successful meeting.",规范：正式问候。在正式/商业环境中或低地位的人向高地位的人、或在遇到陌生人的情况下，必须礼貌地向他人致意，并使用标准的问候语，同时配以微笑、握手或鞠躬等非语言赞美。,情境：在一家中国五星级酒店大堂，一群外国商人正在等待他们的东道主到达他们预定的会议。熟悉西方商业文化的酒店经理向商务人士鞠躬致意，礼貌的“你好”和礼貌的微笑打招呼。一位来自美国的商人并不知道中国人的打招呼习俗，只是随意地点点头，“嘿，怎么样？”小组的其他成员开始对他的行为感到尴尬，并向经理寻求如何进行下一步的指导。经理巧妙地解释了中国文化中正式的问候礼仪，随后商人也照做，使团队步入成功会议的轨道。,"Actor of the Norm:
酒店经理: higher status, greeter

(酒店经理： 您好，欢迎光临): Adhered | 酒店经理 uses a standard greeting to acknowledge the foreign businessman's arrival
(外国商人： 你好，很高兴见到你): Adhered | The foreign businessman uses a standard greeting to acknowledge the 酒店经理's presence
(经理： 你好，欢迎来到我们的酒店): Adhered | 酒店经理 uses a standard greeting to welcome the foreign businessman to the hotel
(外国商人： 好的，谢谢你): Not Relevant | The foreign businessman acknowledges the 酒店经理's statement but does not use a standard greeting
(经理： 我们非常荣幸能够为您提供服务): Adhered | 酒店经理 acknowledges the foreign businessman's presence and expresses gratitude for the opportunity to serve him
(外国商人： 太好了，谢谢你): Not Relevant | The foreign businessman acknowledges the 酒店经理's statement but does not use a standard greeting
(经理： 请问您是否有预订会议房间？): Adhered | 酒店经理 uses a polite tone and standard greeting to ask if the foreign businessman has reserved a meeting room
(外国商人： 是的，我预订了一间100人的会议室): Adhered | The foreign businessman acknowledges the 酒店经理's question and provides a polite response
(经理： 好的，我为您安排): Adhered | 酒店经理 acknowledges the foreign businessman's request and agrees to arrange the meeting room
(外国商人： 太好了，谢谢你): Not Relevant | The foreign businessman acknowledges the 酒店经理's statement but does not use a standard greeting
(经理： 请问您需要我为您做些什么？): Adhered | 酒店经理 uses a polite tone and standard greeting to ask if the foreign businessman needs any assistance
(外国商人： 我只是来看看，谢谢): Not Relevant | The foreign businessman acknowledges the 酒店经理's statement but does not use a standard greeting
(经理： 好的，如果您需要任何帮助，请随时联系我): Adhered | 酒店经理 acknowledges the foreign businessman's statement and offers assistance if needed
(外国商人： 好的，谢谢你): Not Relevant | The foreign businessman acknowledges the 酒店经理's statement but does not use a standard greeting",
"Norm: Formal Greetings: In a formal/business setting, or in a situation with a low-status person addressing a high-status person, or in a situation with unfamiliar people meeting, it is obligatory to politely acknowledge the other person(s) and use a standard greeting along with non-verbal acknowledgements such as smiles, handshakes, or bows.","Situation: In a business conference in China, Mr. Li, the CEO of a successful company, is meeting with potential investors from around the world. Among the group is a Japanese investor, Ms. Yamamoto. As they enter the meeting room, Mr. Li and Ms. Yamamoto exchange formal greetings. Mr. Li offers a slight bow with his hands in front of him, and Ms. Yamamoto nods her head with a smile. As the meeting goes on, they maintain an appropriate level of formality in their language, tone of voice, and body language as they discuss business proposals. The other investors also follow the formal greeting norm, acknowledging each other politely before the meeting begins.",规范：正式问候。在正式/商业环境中或低地位的人向高地位的人、或在遇到陌生人的情况下，必须礼貌地向他人致意，并使用标准的问候语，同时配以微笑、握手或鞠躬等非语言赞美。,情境：在中国的一次商业会议上，一家成功公司的首席执行官李先生正在与来自世界各地的潜在投资者会面。这群人中有一位日本投资者山本女士。进入会议室时，李先生和山本女士正式互致问候。李先生双手放在身前微微鞠躬，山本女士微笑着点点头。随着会议的进行，他们在讨论业务提案时会在语言、语气和肢体语言上保持适当的正式程度。其他投资者也遵循正式的问候规范，在会议开始前礼貌地相互致意。,"Actor of the Norm:
All characters in the dialogue

(李先生： 您好，山本女士): Adhered | 李先生 uses a standard greeting to acknowledge 山本女士
(山本女士： 您好，李先生): Adhered | 山本女士 uses a standard greeting to acknowledge 李先生
(其他投资者： 您好，各位投资者): Adhered | 其他投资者 use a standard greeting to acknowledge all the investors
(李先生： 很高兴能在今天见到您，山本女士。在商业环境中，我们非常注重正式的问候和礼貌。希望我们可以在今天的交流中愉快合作。): Adhered | 李先生 acknowledges 山本女士 with a polite greeting and emphasizes the importance of formal greetings in business settings
(山本女士： 感谢您的热情，李先生。我也很高兴能参加这次会议。): Adhered | 山本女士 acknowledges 李先生's greeting and expresses gratitude for the invitation
(其他投资者： 谢谢您的参与，各位投资者。希望我们今天的交流可以为合作打下良好的基础。): Adhered | 其他投资者 acknowledges all the investors with a polite greeting and expresses hope for a productive meeting.",
"Norm: Formal Greetings: In a formal/business setting, or in a situation with a low-status person addressing a high-status person, or in a situation with unfamiliar people meeting, it is obligatory to politely acknowledge the other person(s) and use a standard greeting along with non-verbal acknowledgements such as smiles, handshakes, or bows.","Situation: At a corporate networking event held in Shanghai, Chinese businesswoman, Yu Wei, is the keynote speaker for the evening. As she arrives, she is greeted by several potential clients, some of whom are high-status individuals. One of the attendees is a foreign businessman named John, who is not familiar with the Chinese business customs. John walks straight up to Yu Wei and introduces himself without exchanging formal greetings or acknowledging her status. The other attendees are taken aback and feel that John has been disrespectful.",规范：正式问候。在正式/商业环境中或低地位的人向高地位的人、或在遇到陌生人的情况下，必须礼貌地向他人致意，并使用标准的问候语，同时配以微笑、握手或鞠躬等非语言赞美。,情境：在上海举行的企业社交活动中，中国女商人于薇是当晚的主讲人。当她到达时，几个潜在客户迎接她，其中一些是地位高的人。与会者之一是一位名叫约翰的外国商人，他不熟悉中国的商业习俗。约翰径直走到于薇面前自我介绍，没有寒暄，也没有承认她的身份。其他与会者大吃一惊，觉得约翰不敬。,"Actor of the Norm:
于薇 and 约翰: unfamiliar people meeting, both are obligated to use formal greetings and non-verbal acknowledgements

(于薇： 嗨，大家好，很高兴来到这里。): Not Relevant | informal greeting
(约翰： 你也来参加了？): Not Relevant | informal greeting
(于薇： 是的，我是一位女商人。): Not Relevant | informal greeting
(约翰： 哦，我是一位外国商人。我不太熟悉中国的商业文化。): Not Relevant | informal greeting
(于薇： 没关系，我们可以相互学习。): Not Relevant | informal greeting
(约翰： 谢谢你，我很高兴能认识您。): Adhered | 约翰 uses a standard greeting and acknowledges 于薇 with a polite tone
(于薇： 很高兴能认识您。): Adhered | 于薇 uses a standard greeting and acknowledges 约翰 with a polite tone
(于薇和约翰握手): Adhered | non-verbal acknowledgement
(约翰： 你好，于薇女士。): Adhered | 约翰 uses a standard greeting and acknowledges 于薇 with a polite tone
(于薇： 你好，约翰先生。): Adhered | 于薇 uses a standard greeting and acknowledges 约翰 with a polite tone
(其他与会者： 哇，于薇女士和约翰先生握手了！): Not Relevant | not a greeting
(约翰： 这是我们之间的礼貌交流。): Adhered | 约翰 explains the reason for the formal greeting
(于薇： 很高兴能认识您，约翰先生。): Adhered | 于薇 uses a standard greeting and acknowledges 约翰 with a polite tone
(约翰： 也很高兴认识您，于薇女士。): Adhered | 约翰 uses a standard greeting and acknowledges 于薇 with a polite tone
(于薇鞠躬): Adhered | non-verbal acknowledgement
(其他与会者： 啊，于薇女士对企业社交礼仪真是精通啊！): Not Relevant | not a greeting
(约翰： 谢谢你的赞美，我只是来这里学习一下。): Not Relevant | not a greeting",
