,Norm,Situation,cn_Norm,cn_Situation,Labeled_Dialogue
0,"Norm: When a higher status person is persuading a lower status person, it is permissible to use direct persuasion.","Situation: In a classroom in China, a Confucian-based education system is followed, where respect for the teacher is crucial. The teacher, a middle-aged man, Mr. Li, is giving a lecture to his students. During the lecture, he disagrees with one of the student's ideas and tries to convince him of his perspective. The student, a freshman named Wei, is hesitant to accept Mr. Li's point of view as it conflicts with his own opinions. However, Mr. Li continues to persuade him by using direct persuasion and emphasizing his higher status as a teacher. The other students pay close attention to the exchange, knowing that Wei may be at risk of losing face if he continues to challenge his teacher's ideas.",规范：当高地位者说服低地位者时，可以使用直接说服。,情境：在中国的课堂上，遵循以儒家为基础的教育体系，尊重老师是至关重要的。老师是一位中年男子李先生，他正在给学生们讲课。在演讲中，他不同意学生的一个想法，并试图说服他接受他的观点。大一学生魏某因为李老师的观点与自己的观点相抵触，所以犹豫是否接受。然而，李先生继续通过直接说服和强调他作为教师的较高地位来说服他。其他同学都在密切关注着交流，知道如果继续挑战老师的想法，小魏很可能会丢脸。,"Actor of the Norm:
李先生: higher status, persuader

(魏某： 李老师，我觉得您的观点不太正确。): Not Relevant | 魏某 questions 李先生's viewpoint
(李先生： 你错了，小魏。我作为一个教师，我必须维护我的权威和尊严。): Adhered | 李先生 uses direct persuasion by correcting 魏某's viewpoint and emphasizing his own authority
(魏某： 好的，我明白了。但是我认为您的观点也有其合理性。): Not Relevant | 魏某 does not use direct persuasion
(李先生： 你必须接受我的观点，但因为你是我的同学，我也必须尊重你的意见。): Adhered | 李先生 uses direct persuasion by insisting that 魏某 must accept his viewpoint and emphasizing his respect for 魏某's opinion
(魏某： 好的，我会考虑一下的。): Not Relevant | 魏某 does not use direct persuasion
(李先生： 好的，你的意见很重要。): Not Relevant | 李先生 does not use direct persuasion"
1,"Norm: When a higher status person is persuading a lower status person, it is permissible to use direct persuasion.","Situation: During a business meeting in a Chinese company, the boss is trying to persuade his subordinates to implement a new policy. The boss holds a senior position and the subordinates are lower in the company hierarchy. To persuade the subordinates, the boss uses direct persuasion, which is acceptable in Chinese society due to the hierarchical structure in businesses. The boss emphasizes the importance of the policy and provides concrete examples to support his argument. The subordinates listen respectfully and ask for further clarification before making a decision. The meeting ends with the boss thanking his subordinates for their time and effort.",规范：当高地位者说服低地位者时，可以使用直接说服。,情境：在一家中国公司的商务会议上，老板试图说服他的下属实施一项新政策。在公司层级中，老板身居高位，下属地位较低。为了说服下属，老板采取直接说服的方式，这在中国社会由于企业的等级结构是可以接受的。老板强调了这项政策的重要性，并提供了具体的例子来支持他的论点。下属恭恭敬敬地听着，询问清楚后再做决定。会议以老板感谢下属的时间和努力而告终。,"Actor of the Norm:
老板: higher status, persuader

(老板： 我们需要实施一项新政策，以更好地促进公司的发展): Adhered | 老板 uses direct persuasion to introduce the new policy
(下属： 我们一直在关注这个问题，但还没有做出决定): Not Relevant | the subordinate does not offer any persuasion
(老板： 这项政策可以带来更多的机会和收益，我们需要抓住这些机会): Adhered | 老板 uses direct persuasion to emphasize the benefits of the new policy
(下属： 我们还需要了解更多细节，才能做出明智的决定): Not Relevant | the subordinate does not offer any persuasion
(老板： 我可以提供一些具体的例子，来证明这项政策的重要性): Adhered | 老板 uses direct persuasion to provide specific examples to support the new policy
(下属： 我们还需要考虑实际情况，比如预算和执行难度): Not Relevant | the subordinate does not offer any persuasion
(老板： 这些都是可以考虑的因素，但我认为这项政策对公司的发展非常重要): Adhered | 老板 uses direct persuasion to express his/her opinion on the importance of the new policy
(下属： 我们需要时间考虑一下，谢谢): Not Relevant | the subordinate does not offer any persuasion
(老板： 没问题，我会感谢下属的时间和努力，希望我们能一起为公司的发展做出贡献): Not Relevant | not persuasion"
2,"Norm: When a higher status person is persuading a lower status person, it is permissible to use direct persuasion.","Situation: An official, 李华, is trying to persuade a citizen, 张明, to provide some confidential information in a government office. Zhang is hesitant as he thinks it is illegal to share the information. Li, being the higher status person, decides to use aggressive and direct persuasion tactics, thinking it was acceptable as per the norm. However, Zhang feels bullied and disrespected by Li's behavior and decides not to share the information, which causes Li's plan to fail. Later, Zhang reports Li's behavior to the superiors, and Li faces a reprimand for not following the expected moral conduct of an official.",规范：当高地位者说服低地位者时，可以使用直接说服。,情境：官员李华试图说服公民张明在政府办公室提供一些机密信息。张犹豫不决，因为他认为分享这些信息是违法的。李作为地位较高的人，决定使用咄咄逼人和直接的说服策略，认为这符合规范是可以接受的。然而，张觉得李的行为受到了欺凌和不尊重，决定不分享这些信息，导致李的计划失败。后来，张向上级报告了李的行为，李因没有遵循官员应有的道德操守而面临训斥。,"Actor of the Norm:
李华: higher status, persuader

(李华： 明哥，你在政府办公室吗？): Not Relevant | not a persuasion
(张明： 是的，华哥): Not Relevant | not a persuasion
(李华： 我知道你对分享机密信息有些疑虑，但我认为它是为了保护国家的安全，这是符合规范和道德操守的行为。): Adhered | 李华 uses direct persuasion to convince 张明 to share confidential information by emphasizing the importance of national security and the conformity to norms and moral principles.
(张明： 我同意，但我认为这样做会违反法律法规。): Not Relevant | not a persuasion
(李华： 我认为你可以先了解一下相关的法律法规，然后再做出自己的决定。): Adhered | 李华 uses direct persuasion to convince 张明 to learn more about the relevant laws and regulations before making a decision.
(张明： 好的，华哥，我会考虑一下的。): Not Relevant | not a persuasion
(李华： 好的，那现在你可以来找我一趟，我们一起探讨一下这个问题。): Adhered | 李华 uses direct persuasion to invite 张明 to come to his office to discuss the issue together."
4,"Norm: When a higher status person is persuading a lower status person, it is permissible to use direct persuasion.","Situation: In a Buddhist temple, the head monk is trying to persuade new followers to donate money for the temple's renovation project. The followers include laypeople, novice monks, and experienced monks. The head monk believes that it is permissible to use direct persuasion because he is in a position of authority, and the followers are expected to respect and obey him. However, some of the new followers are uncomfortable with the head monk's approach and feel pressured to donate more money than they can afford. This leads to a discussion among the temple community about the appropriate way to ask for donations and the responsibility of leaders to consider the well-being of their followers.",规范：当高地位者说服低地位者时，可以使用直接说服。,情境：在一座佛教寺庙中，和尚正试图说服新信徒为寺庙的翻新工程捐款。追随者包括居士、沙弥和经验丰富的僧人。和尚认为，直接劝说是可以的，因为他身居权威，弟子们应该尊重和服从他。然而，一些新追随者对和尚的做法感到不舒服，并感到压力，捐出超出他们负担能力的钱。这引发了寺庙社区之间关于请求捐款的适当方式以及领导者考虑追随者福祉的责任的讨论。,"Actor of the Norm:
和尚: higher status, persuader

(和尚： 我们需要一些新的捐款来翻新我们的寺庙): Adhered | 和尚 uses direct persuasion to request for donations
(居士： 我不确定我能捐多少钱): Not Relevant | 居士 is not a persuader
(沙弥： 我没有足够的钱): Not Relevant | 沙弥 is not a persuader
(经验丰富的僧人： 我认为我们应该考虑每个人的经济状况): Not Relevant | 经验丰富的僧人 offers a suggestion, not a persuasion
(和尚： 我明白这一点，但是我可以直接劝说你们捐款，因为你们是新信徒，应该尊重和服从我): Adhered | 和尚 uses direct persuasion to persuade 居士 and 沙弥 to donate money by emphasizing their status as new believers
(居士： 但我们不知道我们能捐多少钱): Not Relevant | 居士 is not a persuader
(沙弥： 我可以提供一些建议，我们可以一起商量如何捐钱): Not Relevant | 沙弥 offers a suggestion, not a persuasion
(经验丰富的僧人： 我认为我们应该尊重每个人的经济状况，并且不应该强迫他们捐款): Not Relevant | 经验丰富的僧人 offers a suggestion, not a persuasion
(和尚： 我理解这一点，但是寺庙的翻新工程是必要的，我们需要资金支持): Adhered | 和尚 uses direct persuasion to emphasize the necessity of the temple renovation and the need for financial support
(居士： 我不知道我们应该如何捐款): Not Relevant | 居士 is not a persuader
(沙弥： 我们可以选择通过佛教慈善机构或其他途径来捐款): Not Relevant | 沙弥 offers a suggestion, not a persuasion
(经验丰富的僧人： 我认为我们应该考虑每个人的经济状况，并且不应该强迫他们捐款): Not Relevant | 经验丰富的僧人 offers a suggestion, not a persuasion
(和尚： 我理解这一点，但是寺庙的翻新工程是必要的，我们需要资金支持): Adhered | 和尚 uses direct persuasion to emphasize the necessity of the temple renovation and the need for financial support"
5,"Norm: When a higher status person is persuading a lower status person, it is permissible to use direct persuasion.","Situation: In a traditional Chinese family, parents are discussing their son’s, 小刚, choice of career. They want him to become a doctor because it is a prestigious and respected profession in China. However, 小刚 has a passion for music and wants to become a musician. His parents are using direct persuasion to convince him to change his mind and pursue a different career. They are emphasizing the importance of financial stability and respect in Chinese society. Despite their efforts, 小刚 is determined to follow his dreams and pursue a career in music.",规范：当高地位者说服低地位者时，可以使用直接说服。,情境：在一个传统的中国家庭中，父母正在讨论儿子小刚的职业选择。他们希望他成为一名医生，因为这在中国是一个享有盛誉和受人尊敬的职业。然而，小刚却对音乐充满热情，一心想成为一名音乐家。他的父母正在直接说服他改变主意并追求不同的职业。他们强调金融稳定和尊重在中国社会的重要性。尽管他们付出了努力，小刚还是决心追寻自己的梦想，从事音乐事业。,"Actor of the Norm:
父母: higher status, persuader

(小刚： 我不想成为医生，我只想成为一名音乐家): Not Relevant | 小刚 is not being persuaded yet
(父母： 医生是一个重要的职业，它会对社会产生积极影响): Adhered | 父母 use direct persuasion to convince 小刚 to become a doctor by emphasizing the importance of the profession
(小刚： 我认为音乐是我的爱好，我想从事这个事业): Not Relevant | 小刚 is not persuaded yet
(父母： 在中国，金融稳定和尊重是非常重要的，这是无法接受的): Adhered | 父母 use direct persuasion to convince 小刚 to become a doctor by emphasizing the importance of financial stability and respect in China
(小刚： 我明白这些，但我认为音乐是我的爱好，我想做自己喜欢的事情): Not Relevant | 小刚 is not persuaded yet
(父母： 小刚，你不要忘记，你是我们的儿子，我们必须为你的选择负责): Adhered | 父母 use direct persuasion to convince 小刚 to become a doctor by reminding him of their responsibility as parents
(小刚： 我明白，我会好好考虑的): Not Relevant | 小刚 is not persuaded yet
(父母： 小刚，我们支持你的音乐梦想，但你必须考虑社会现实): Adhered | 父母 use direct persuasion to convince 小刚 to consider social reality while pursuing his music dream
(小刚： 谢谢，我会好好考虑的): Not Relevant | 小刚 is not persuaded anymore"
6,"Norm: When a higher status person is persuading a lower status person, it is permissible to use direct persuasion.","Situation: A Chinese basketball coach is giving instructions to his players before a big game. The coach is considered a higher status person due to his position as the team leader. He uses direct persuasion when instructing his players on their game tactics and strategies, highlighting the importance of teamwork and discipline. The players are expected to follow the coach’s instructions without questioning or challenging them due to the coach’s seniority and experience. This is a common practice in Chinese sports teams, where the coach is seen as the ultimate authority figure and their instructions are followed without question.",规范：当高地位者说服低地位者时，可以使用直接说服。,情境：一位中国篮球教练在一场重要比赛前对他的球员进行指导。由于教练是团队领导者，因此他被认为是地位更高的人。在指导球员比赛战术和策略时，他采用直接说服的方式，强调团队合作和纪律的重要性。由于教练的资历和经验，球员们应该听从教练的指示，不要质疑或挑战他们。这是中国运动队的普遍做法，教练被视为最高权威，他们的指示毫无疑问地得到遵守。,"Actor of the Norm:
教练: higher status, persuader

(教练：好的，你们听明白了吗？): Adhered | 教练 uses direct persuasion to ask if the players understand
(球员：听明白了，教练。): Not Relevant | the players are not using direct persuasion
(教练：好，现在让我们来练习一下比赛战术。): Not Relevant | 教练 is not using direct persuasion
(球员：好的，教练。): Not Relevant | the players are not using direct persuasion
(教练：首先，我们要紧密合作，互相配合。): Not Relevant | 教练 is not using direct persuasion
(球员：明白了，教练。): Not Relevant | the players are not using direct persuasion
(教练：好，那么在比赛中，要遵守纪律，不要违规。): Adhered | 教练 uses direct persuasion to tell the players to follow the rules and not break them
(球员：好的，教练。): Not Relevant | the players are not using direct persuasion
(教练：知道吗？如果你违规，就会影响整个团队的表现。): Adhered | 教练 uses direct persuasion to warn the players that breaking the rules will affect the whole team's performance
(球员：明白了，教练。): Not Relevant | the players are not using direct persuasion
(教练：所以，你们一定要听从我的指导，按照战术进行比赛。): Adhered | 教练 uses direct persuasion to tell the players to follow his guidance and play according to the tactics."
7,"Norm: When a higher status person is persuading a lower status person, it is permissible to use direct persuasion.","Situation: The team leader of a Chinese volunteer organization is trying to persuade their volunteers to stay overtime and finish a project. The team leader is of a higher status position than the volunteers, so they are using direct persuasion and emphasizing the importance of teamwork and dedication to the organization's mission. However, some of the volunteers are hesitant to stay overtime because they have other commitments they need to attend to. Despite this, the team leader continues to use direct persuasion to try and convince the volunteers to stay and finish the project.",规范：当高地位者说服低地位者时，可以使用直接说服。,情境：一个中国志愿者组织的组长试图说服他们的志愿者加班完成一个项目。团队负责人的地位高于志愿者，因此他们采用直接说服的方式，强调团队合作和对组织使命的奉献精神的重要性。然而，一些志愿者不愿意加班，因为他们还有其他需要处理的事情。尽管如此，团队负责人继续使用直接说服的方式试图说服志愿者留下来完成项目。,"Actor of the Norm:
团队负责人: higher status, persuader

(团队负责人： 我们都是为了这个项目而努力，你们应该为团队的成功做出贡献。): Adhered | 团队负责人 uses direct persuasion to encourage the volunteers to contribute to the team's success
(志愿者： 我还有别的事情要处理。): Not Relevant | the volunteer is not persuaded yet
(团队负责人： 但是我们这个项目非常重要，你们如果不参与，我们的组织将无法完成它。): Adhered | 团队负责人 uses direct persuasion to emphasize the importance of the project and the consequences of not participating
(志愿者： 我不认为我有必要加班。): Not Relevant | the volunteer is not persuaded yet
(团队负责人： 我们理解你们的想法，但是我们作为团队负责人，我们必须保证项目的完成。): Adhered | 团队负责人 uses direct persuasion to assert their authority and responsibility to ensure the project's completion
(志愿者： 我明白了，但是我认为我还有其他选择。): Not Relevant | the volunteer is not persuaded yet
(团队负责人： 但是我们的项目是你们组织的使命，你们必须做出贡献。): Adhered | 团队负责人 uses direct persuasion to remind the volunteers of their organizational mission and duty to contribute
(志愿者： 我理解，但是我认为我可以完成我的任务。): Not Relevant | the volunteer is not persuaded yet
(团队负责人： 我明白你们的想法，但是我们必须保证项目的完成。): Adhered | 团队负责人 uses direct persuasion to reiterate the importance of project completion
(志愿者： 好的，我会考虑您的建议。): Not Relevant | the volunteer agrees to consider the suggestion
(团队负责人： 好的，我们期待你们的表现。): Not Relevant | not persuasion"
8,"Norm: When a higher status person is persuading a lower status person, it is permissible to use direct persuasion.","Situation: At a business dinner, the host Mr. Wang who is a successful businessman is trying to persuade his guests, potential clients from a smaller company, to sign a deal with him. He uses direct persuasion, highlighting his company’s success and status within the industry, which makes the guests feel overwhelmed and uneasy. However, in Chinese culture being persistent and insistent is viewed as a sign of sincerity and care, so Mr. Wang continues to forcefully make his case. The guests eventually agree to work with him, but they leave the dinner feeling disrespected and uncomfortable.",规范：当高地位者说服低地位者时，可以使用直接说服。,情境：在一次商务晚宴上，主持人王先生是一位成功的商人，他正试图说服他的客人，一家小公司的潜在客户，与他签约。他直接说服，强调公司的成功和行业地位，让客人感到不知所措和不安。然而，在中国文化中，执着和坚持被视为真诚和关怀的象征，因此王先生继续强行表态。客人们最终同意与他合作，但他们离开晚餐时感到不受尊重和不舒服。,"Actor of the Norm:
王先生: higher status, persuader

(王先生： 非常感谢您光临我们的晚宴，我们非常希望能够与您合作，拓展我们的市场份额。): Adhered | 王先生 uses direct persuasion by expressing gratitude and desire to cooperate with the client
(客人们： 啊，真的吗？我们真的很感激。): Not Relevant | the clients express gratitude but do not offer persuasion
(王先生： 我们公司一直专注于行业领先地位，我们的产品和服务质量非常出色，我相信您一定会喜欢。): Adhered | 王先生 uses direct persuasion by highlighting the company's strengths and expressing confidence in the client's satisfaction
(客人们： 哦，真的吗？我们真的想了解更多。): Not Relevant | the clients express interest but do not offer persuasion
(王先生： 我们可以为您提供最好的服务，并帮助您实现业务目标。): Adhered | 王先生 uses direct persuasion by offering the best service and helping the client achieve their business goals
(客人们： 好的，我们一定会考虑您的建议。): Not Relevant | the clients express consideration but do not offer persuasion
(王先生： 非常感谢您的信任和支持，我们一定会全力以赴，为您带来最大的利益。): Adhered | 王先生 uses direct persuasion by expressing gratitude and promising to work hard to bring maximum benefits to the client
(客人们： 好的，非常感谢。): Not Relevant | the clients express gratitude but do not offer persuasion"
9,"Norm: When a higher status person is persuading a lower status person, it is permissible to use direct persuasion.","Situation: In a mentorship program, a Chinese mentor, Mr. Li, is persuading his mentee, Jia, to pursue a career in the same industry as him. Due to the mentor's high status and influence, Mr. Li uses direct persuasion. However, Jia is not interested in pursuing the same career path and feels pressured to agree with the mentor. As a result, Jia seeks advice from a senior colleague who advises Jia to respectfully decline Mr. Li's offer and explain their career aspirations. The norm of respecting a higher status person is important but should not lead to coercion or negativity affecting the mentee's well-being.",规范：当高地位者说服低地位者时，可以使用直接说服。,情境：在一个导师计划中，一位中国导师李先生正在说服他的学员贾某从事与他相同的行业。由于导师的地位和影响力较高，李先生采用直接劝说的方式。然而，Jia 对追求相同的职业道路不感兴趣，并感到有压力同意导师的意见。因此，贾征求了一位资深同事的意见，后者建议贾恭敬地拒绝李先生的提议，并说明他们的职业抱负。尊重地位较高的人的规范很重要，但不应导致影响受训者福祉的胁迫或消极情绪。,"Actor of the Norm:
李先生: higher status, persuader

(李先生： 贾某，你的职业抱负是什么？): Not Relevant | 李先生 asks about 贾某's career aspirations
(贾某： 我想从事艺术工作。): Not Relevant | 贾某 does not offer persuasion here
(李先生： 哦，那你一定会很棒的。你的天赋很适合这个工作。): Adhered | 李先生 uses direct persuasion to encourage 贾某
(贾某： 我认为我更适合从事音乐工作。): Not Relevant | 贾某 expresses his opinion
(李先生： 音乐？ 你知道音乐吗？): Not Relevant | 李先生 questions 贾某's knowledge of music
(贾某： 嗯，我知道一些。): Not Relevant | 贾某 does not offer persuasion here
(李先生： 那么，你的职业抱负与音乐无关吗？): Not Relevant | 李先生 questions 贾某's career aspirations
(贾某： 不是的，我想成为一名音乐家。): Not Relevant | 贾某 uses direct persuasion to express his career aspirations
(李先生： 哦，那我建议你从事艺术工作。它会更好地满足你的抱负。): Adhered | 李先生 uses direct persuasion to suggest 贾某 to pursue art work
(贾某： 我认为我更适合音乐工作。我希望成为一名优秀的音乐家。): Not Relevant | 贾某 expresses his opinion
(李先生： 好的，我会尊重你的决定。但是我希望你记住，你的决定会影响你的未来。): Adhered | 李先生 uses direct persuasion to remind 贾某 of the potential consequences of his decision
(贾某： 谢谢您，我会考虑您的建议。): Not Relevant | 贾某 uses direct persuasion to express his gratitude and willingness to consider 李先生's suggestion
(李先生： 好的，再见。): Not Relevant | not persuasion"
10,"Norm: When a lower status person is persuading a higher status person, it is preferable to use indirect persuasion. ","Situation: In a Chinese company, a junior staff member, Ling, wants to suggest an innovative idea to her superior, Mr. Zhang, who is the head of the department. Ling wants to implement this idea to attract more customers, but she is concerned that Mr. Zhang may not agree because she is a junior staff and he may not take her opinion seriously. Therefore, Ling decides to indirectly persuade Mr. Zhang by building a relationship with him through small talk and exchanging pleasantries. She also plans to share the success stories of other companies that have implemented similar ideas, and then gradually introduce her own proposal. In doing so, she hopes that Mr. Zhang will be more willing to consider her idea without feeling like he is being ordered around by his subordinate.",规范：当低级别的人说服高级别的人时，最好使用间接说服。,情境：在一家中国公司，初级员工 Ling 想向她的上司、部门主管张先生提出一个创新想法。玲想把这个想法付诸实施，以吸引更多的顾客，但她担心张先生可能不会同意，因为她是基层员工，他可能不会认真对待她的意见。于是，玲决定通过闲聊和寒暄来间接说服张先生。她还计划分享其他公司实施类似想法的成功案例，然后逐步介绍自己的建议。这样做，她希望张总能更愿意考虑她的想法，而不会有一种被下属摆布的感觉。,"Actor of the Norm:
Ling: lower status, persuader

(Ling: 张先生，您好): Not Relevant | greeting
(玲： 张先生，您好): Not Relevant | greeting
(Ling: 我有个创新想法，想请您考虑下): Adhered | Ling uses indirect language to introduce her idea
(张先生： 哦，这个啊，我没接触过，您能具体说说吗？): Not Relevant | Zhang asks for more information
(Ling： 当然，我觉得我们可以考虑一个新的营销策略，以吸引更多的顾客): Adhered | Ling uses indirect language by suggesting ""我们可以考虑"" instead of directly persuading Zhang
(张先生： 好的，我会好好考虑的): Not Relevant | Zhang agrees to consider the idea
(玲： 谢谢您的考虑，我还会和其他同事一起探讨这个建议): Not Relevant | Ling expresses gratitude and mentions discussing the idea with colleagues
(张先生： 好的，那太好了，期待您的建议): Not Relevant | Zhang expresses anticipation for Ling's feedback
(Ling: 好的，我期待着您的反馈): Not Relevant | Ling expresses anticipation for Zhang's feedback"
