Norm,Situation,cn_Norm,cn_Situation,Labeled_Dialogue,delete_row?
"Norm: Direct commands (e.g. “Do this” or “Go away”): In an interaction between a person with higher status/power and a person with lower status/power who are already familiar with each other, it is acceptable and common to use a direct command to make requests.","Situation: In a Chinese classroom, Miss Li, the teacher, is giving instructions to her students. She has a strict and serious demeanor, as she wants to maintain discipline in her class. One of her students, Xiao Ming, is known for being slow in following instructions. Today, Miss Li is explaining a new concept, and she notices that Xiao Ming is not paying attention. She calls out to him sternly, “Xiao Ming, listen up and take notes now!” Xiao Ming is taken aback but quickly snaps into attention and starts writing notes. The other students in the class remain quiet, and some of them even nod in approval at Miss Li’s direct command.",规范：直接命令（例如“做这个”或“走开”）：在一个高权力/地位人物与低权力/地位人物之间的互动中，如果这些人已经熟悉，使用直接命令来发出请求是可以接受和常见的。,情境：在一间中文教室里，老师李老师正在给她的学生做指导。她的举止严格而严肃，因为她想在课堂上保持纪律。她的一个学生，小明，以不听从指示而著称。今天，李小姐在讲解一个新概念，她发现小明没有注意。她严厉地叫他，“小明，你听好了，快记下来！”小明一愣，但很快回过神来，开始写笔记。班里的其他同学都没有动静，甚至有人点头赞同李老师的直接命令。,"Actor of the Norm:
李老师: higher status, command giver

(李老师： 小明，你听好了，快记下来！): Adhered | 李老师 uses a direct command to ask 小明 to take notes
(小明： (有些惊讶)嗯，老师，我会的。): Not Relevant | 小明 agrees to the command but does not give a command
(李老师： 好的，现在去写下来。): Adhered | 李老师 uses a direct command to ask 小明 to write down the notes
(小明： (开始认真记笔记)): Not Relevant | 小明 follows the command but does not give a command
(其他同学： (纷纷点头赞同)): Not Relevant | other students do not give a command
(李老师： (满意地看着小明的笔记)): Not Relevant | 李老师 does not give a command here",
"Norm: Direct commands (e.g. “Do this” or “Go away”): In an interaction between a person with higher status/power and a person with lower status/power who are already familiar with each other, it is acceptable and common to use a direct command to make requests.","Situation: In a high-end Beijing restaurant, a head chef named Kai is working with a line cook named Lijun in the bustling kitchen. Kai is known for his strict and decisive leadership style while Lijun is eager to learn and follow orders. As the restaurant prepares for its busy dinner service, Kai needs Lijun to assist him in preparing a special dish for a VIP customer. To ensure the dish meets the high standards of the restaurant, Kai gives Lijun direct commands on how to prepare it, and Lijun follows these commands closely without question. This is a common practice in Chinese kitchens where hierarchy and clear communication are key components for success.",规范：直接命令（例如“做这个”或“走开”）：在一个高权力/地位人物与低权力/地位人物之间的互动中，如果这些人已经熟悉，使用直接命令来发出请求是可以接受和常见的。,情境：北京一家高档餐厅，熙熙攘攘的厨房里，主厨凯正和线下厨师李军一起工作。凯以其严格和果断的领导风格而著称，而李俊则好学和服从命令。餐厅忙于准备正餐，凯需要丽君协助他为一位贵宾准备一道特色菜。为了确保这道菜符合餐厅的高标准，Kai 直接向丽君下达了如何准备这道菜的命令，丽君也毫无疑问地严格执行。这是中国厨房的常见做法，等级制度和清晰的沟通是成功的关键因素。,"Actor of the Norm:
Kai: higher status, commander

(Kai: 丽君，过来帮忙准备这道菜): Adhered | Kai uses a direct command to ask 丽君 to come and help him
(丽君： 好的，我这就过来): Not Relevant | 丽君 agrees to help but does not use a direct command
(Kai: 做这道菜，必须在一定时间内完成): Adhered | Kai uses a direct command to tell 丽君 to finish the dish within a certain time frame
(丽君： 好的，我会尽力): Not Relevant | 丽君 agrees to try her best but does not use a direct command
(Kai: 直接命令，做这个): Adhered | Kai uses a direct command to tell 丽君 to do something
(丽君： 好的，我明白了): Not Relevant | 丽君 agrees to do it but does not use a direct command
(李军： 凯，这个人真听话): Not Relevant | not related to the norm
(Kai: 谢谢，李俊，你做得很不错): Not Relevant | not related to the norm
(李军： 主要是凯指挥得对): Not Relevant | not related to the norm
(丽君： 对，我也在不断学习和进步): Not Relevant | not related to the norm
(李军： 好的，丽君，请帮我准备一下这道菜): Adhered | 李军 uses a direct command to ask 丽君 to help him
(丽君： 好的，我这就准备): Not Relevant | 丽君 agrees to help but does not use a direct command
(李军： 凯，我觉得你对我们厨房很有影响力): Not Relevant | not related to the norm
(Kai: 谢谢，我会继续努力的): Not Relevant | not related to the norm",
"Norm: Direct commands (e.g. “Do this” or “Go away”): In an interaction between a person with higher status/power and a person with lower status/power who are already familiar with each other, it is acceptable and common to use a direct command to make requests.","Situation: During a company’s boardroom meeting in China, the CEO, Mr. Li, is frustrated with the department heads’ lack of progress towards their quarterly goals. He directly commands them to come up with a new plan of action and improve their performance. Although the department heads are taken aback by Mr. Li’s tone and wording, they know it is an acceptable and common way for someone of higher status to give orders to those of lower status within a familiar setting. They quickly set to work to develop a new plan and improve their performance to meet the CEO’s expectations.",规范：直接命令（例如“做这个”或“走开”）：在一个高权力/地位人物与低权力/地位人物之间的互动中，如果这些人已经熟悉，使用直接命令来发出请求是可以接受和常见的。,情境：在中国一家公司的董事会会议上，首席执行官李先生对部门负责人在实现季度目标方面缺乏进展感到沮丧。他直接命令他们制定新的行动计划并提高他们的绩效。虽然李总的语气和措辞让部门负责人吃了一惊，但他们知道，在熟悉的环境中，地位高的人对地位低的人发号施令，这是一种可以接受的、普遍的方式。他们迅速着手制定新计划并提高绩效以满足首席执行官的期望。,"Actor of the Norm:
李先生: higher status, command giver

(李先生： 部门负责人，你们必须在三个月内实现季度目标。): Not Relevant | 李先生 is not giving a direct command here
(部门负责人： 我们非常抱歉，李总，我们没有达到您的期望。): Not Relevant | 部门负责人 is not giving a direct command here
(李先生： 你们必须制定新的行动计划，并采取积极措施提高绩效。): Not Relevant | 李先生 is not giving a direct command here
(部门负责人： 我们明白您的要求，但我们需要一些时间来思考。): Not Relevant | 部门负责人 is not giving a direct command here
(李先生： 没关系，我可以直接命令你们。做这个，走开。): Adhered | 李先生 gives a direct command to the department head to ""做这个，走开""
(部门负责人： 李总，我们非常感谢您的指导。我们会尽快制定新的计划并采取行动。): Not Relevant | 部门负责人 is not giving a direct command here
(李先生： 好的，我相信你们。): Not Relevant | 李先生 is not giving a direct command here",
"Norm: Direct commands (e.g. “Do this” or “Go away”): In an interaction between a person with higher status/power and a person with lower status/power who are already familiar with each other, it is acceptable and common to use a direct command to make requests.","Situation: In a gym located near a university in China, personal trainer Alex is working with one of his clients, a freshman student named Lily. Alex noticed that Lily was not following his instructions on how to properly use the equipment, which is causing a potential danger to herself. As a senior personal trainer, Alex decided to use direct commands to make sure that Lily understands the importance of following instructions. Lily is hesitant at first but acknowledges Alex's authority and follows his commands properly, which leads to a better workout session for them both.",规范：直接命令（例如“做这个”或“走开”）：在一个高权力/地位人物与低权力/地位人物之间的互动中，如果这些人已经熟悉，使用直接命令来发出请求是可以接受和常见的。,情境：在中国一所大学附近的健身房里，私人教练亚历克斯正在和他的一位客户一起工作，这是一位名叫莉莉的新生。亚历克斯注意到莉莉没有按照他的指示正确使用设备，这对她自己造成了潜在的危险。作为高级私人教练，Alex 决定使用直接命令来确保 Lily 理解遵循指示的重要性。 Lily 起初犹豫不决，但承认了 Alex 的权威并正确地执行了他的命令，这为他们俩带来了更好的锻炼。,"Actor of the Norm:
亚历克斯: higher status, gives direct commands

(亚历克斯： 你好，莉莉，请问你能正确使用这个设备吗？): Not Relevant |亚历克斯 does not give a direct command here
(莉莉： 嗯，教练，我会注意的。): Not Relevant | 莉莉 does not receive a direct command here
(亚历克斯： 好的，那么现在，请你做这个，还有，以后如果你不是按照我的指示使用这个设备，我将不会给你任何剩余的时间进行锻炼。): Adhered | 亚历克斯 gives a direct command to 莉莉 to do something and threatens to withhold exercise time if she does not follow his instructions
(莉莉： 好的，谢谢教练。): Adhered | 莉莉 acknowledges the command and agrees to follow it
(亚历克斯： 不客气，我相信你会正确使用这个设备的。): Not Relevant | 亚历克斯 does not give a direct command here",
"Norm: Direct commands (e.g. “Do this” or “Go away”): In an interaction between a person with higher status/power and a person with lower status/power who are already familiar with each other, it is acceptable and common to use a direct command to make requests.","Situation: In a criminal court in China, Judge Liang has just entered the courtroom and is presiding over a case where the lawyers are presenting their arguments. Lawyer Zhang is representing the defendant, while Lawyer Wang is representing the prosecution. In the middle of the proceedings, Judge Liang noticed that the temperature inside the courtroom is getting warmer, so he turned to his clerk and asked for a glass of water. The clerk then directed Lawyer Wang to fetch the glass of water for the judge using a direct command. Lawyer Wang, as a subordinate to Judge Liang, immediately left his seat to comply with the request without any hesitation or objections. This behavior is considered socially acceptable in Chinese society when a person of higher status or power makes a direct command to someone of lower status or power.",规范：直接命令（例如“做这个”或“走开”）：在一个高权力/地位人物与低权力/地位人物之间的互动中，如果这些人已经熟悉，使用直接命令来发出请求是可以接受和常见的。,情境：在中国的刑事法庭，梁法官刚刚进入法庭，正在主持一个案件，律师们正在陈述他们的论点。张律师代表被告，王律师代表控方。庭审进行到一半时，梁法官发现法庭内的温度越来越高，转身向书记员要了一杯水。书记员直接吩咐王律师去给法官端水杯。王律师作为梁法官的下属，没有犹豫，也没有反对，立即离开座位应了要求。当地位或权力较高的人直接向地位或权力较低的人发出命令时，这种行为在中国社会被认为是社会可接受的。,"Actor of the Norm:
梁法官: higher status, command giver

(梁法官： 王律师，你去端杯水给我吧): Adhered | 梁法官 uses a direct command to ask 王律师 to bring him a glass of water
(王律师： 好的，法官): Adhered | 王律师 responds to the command with a respectful tone
(书记员： 梁法官，你可以喝水了): Not Relevant | 书记员 is not giving a command
(梁法官： 谢谢，这杯水真热): Not Relevant | 梁法官 is not giving a command
(王律师： 好的，我会尽快去端的): Adhered | 王律师 responds to the command with a respectful tone
(梁法官： 张律师，你的论点很充分，但我想听听你的建议): Not Relevant | 梁法官 is not giving a command
(张律师： 好的，请稍等，我准备一下): Not Relevant | 张律师 is not giving a command
(王律师： 好的，法官，请给我一杯水): Adhered | 王律师 uses a direct command to ask 梁法官 to give him a glass of water
(张律师： 好的，法官，请稍等): Not Relevant | 张律师 is not giving a command",
"Norm: Direct commands (e.g. “Do this” or “Go away”): In an interaction between a person with higher status/power and a person with lower status/power who are already familiar with each other, it is acceptable and common to use a direct command to make requests.","Situation: Mr. Zhang, a father of two children, is having a conversation with his son, Kevin, who is about to graduate from high school. Mr. Zhang has always been a strict parent and he believes that education is the most important thing for Kevin. However, Kevin has recently shown an interest in pursuing a career in music instead of going to college. During the conversation, Mr. Zhang becomes frustrated and begins to use direct commands to try and persuade Kevin to follow his wishes. Kevin feels disrespected and hurt by his father's tone and approach, but he knows that it is culturally accepted for his father to use direct commands.",规范：直接命令（例如“做这个”或“走开”）：在一个高权力/地位人物与低权力/地位人物之间的互动中，如果这些人已经熟悉，使用直接命令来发出请求是可以接受和常见的。,情境：张先生是两个孩子的父亲，他正在和即将高中毕业的儿子凯文交谈。张先生一向是个严厉的家长，他认为教育对凯文来说是最重要的。然而，凯文最近表现出对从事音乐事业而不是上大学的兴趣。在谈话中，张先生变得沮丧并开始使用直接命令来试图说服凯文按照他的意愿行事。凯文对他父亲的语气和方式感到不尊重和伤害，但他知道他父亲使用直接命令在文化上是可以接受的。,"Actor of the Norm:
张先生: higher status, command giver

(张先生： 凯文，你这个决定是不是正确的？): Not Relevant | not a command
(凯文： 我对这个感兴趣，我想从事音乐事业。): Not Relevant | not a command
(张先生： 你这个决定太冒险了，你知道大学教育是很重要的。): Not Relevant | not a command
(凯文： 我认为音乐是我的爱好，我希望尝试一下。): Not Relevant | not a command
(张先生： 你这个决定会后悔的，你不应该冒险。): Not Relevant | not a command
(凯文： 我理解您的意见，但我对音乐很感兴趣。): Not Relevant | not a command
(张先生： 那你觉得这个决定对你未来有好处吗？): Not Relevant | not a command
(凯文： 我不知道，我希望尝试一下。): Not Relevant | not a command
(张先生： 你应该听从你家长的意见，他们是对的。): Not Relevant | not a command
(凯文： 谢谢您，但我认为我有自己的决定。): Not Relevant | not a command
(张先生： 你这个决定是不负责任的，你不应该那么做。): Adhered | 张先生 uses a direct command ""你不应该那么做"" to express his disapproval of 凯文's decision
(凯文： 我理解您的不满，但我认为我有自己的决定。): Not Relevant | not a command
(张先生： 那你现在应该去上大学，你这个决定是不明智的。): Adhered | 张先生 uses a direct command ""你现在应该去上大学"" to give a suggestion to 凯文
(凯文： 谢谢您的关心，但我对音乐很感兴趣。): Not Relevant | not a command",
"Norm: Direct commands (e.g. “Do this” or “Go away”): In an interaction between a person with higher status/power and a person with lower status/power who are already familiar with each other, it is acceptable and common to use a direct command to make requests.","Situation: In a Chinese factory, the supervisor, who holds a higher status/power, is giving direct commands to his subordinates, the assembly line workers who are mostly women. As they are working on a tight deadline, the supervisor begins to use harsher language and tone to speed up the process, making the workers feel pressured and uncomfortable. One of the workers, Ming, expresses her discomfort to her colleagues during their break time, but they are hesitant to speak up because they fear being reprimanded or fired. Despite this norm, the supervisor's behavior goes against the value of “harmony” in Chinese society, which emphasizes mutual respect and understanding.",规范：直接命令（例如“做这个”或“走开”）：在一个高权力/地位人物与低权力/地位人物之间的互动中，如果这些人已经熟悉，使用直接命令来发出请求是可以接受和常见的。,情境：在一家中国工厂，拥有较高地位/权力的主管直接向他的下属下达命令，这些下属大多是女性流水线工人。由于工期紧迫，主管开始使用更严厉的语言和语气来加快进度，让工人们感到压力和不舒服。其中一名工人明在休息时间向同事表达了她的不适，但他们不敢说出来，因为他们害怕被训斥或被解雇。尽管有这样的规范，但主管的行为违背了中国社会强调相互尊重和理解的“和谐”价值观。,"Actor of the Norm:
主管: higher status, command giver

(主管： 这个任务要赶快完成，你们必须尽快): Adhered | 主管 uses a direct command to give a request to 明
(明： 我们很紧俏，时间很宝贵): Not Relevant | 明 does not use a direct command
(主管： 明白，但是我必须完成这个任务): Not Relevant | not a direct command
(明： 我们很感激，但是我们需要时间来休息): Not Relevant | 明 does not use a direct command
(主管： 明白，但是我必须完成这个任务): Not Relevant | not a direct command
(主管： 走开，这个区域需要清洁): Adhered | 主管 uses a direct command to tell 明 to leave the area
(明： 我们不想帮你清洁，我们可以休息了): Not Relevant | 明 does not use a direct command
(主管： 不行，我必须完成这个任务): Not Relevant | not a direct command
(明： 我们很感激你的帮助，但是我们需要时间来休息): Not Relevant | 明 does not use a direct command
(主管： 走开，这个区域需要清洁): Adhered | 主管 uses a direct command to tell 明 to leave the area
(明： 我们很感激你的帮助，但是我们需要时间来休息): Not Relevant | 明 does not use a direct command
(同事： 明，你怎么了？): Not Relevant | not a direct command
(明： 我很不舒服，我需要时间来休息): Not Relevant | 明 does not use a direct command
(同事： 那我们也不能让你休息太久啊，你怎么办？): Not Relevant | not a direct command
(明： 我真的需要休息，我需要时间来处理): Not Relevant | 明 does not use a direct command
(同事： 好的，我们会帮你，但是你也必须完成这个任务): Not Relevant | not a direct command
(明： 好的，谢谢你的理解和帮助): Not Relevant | not a direct command",
"Norm: Direct commands (e.g. “Do this” or “Go away”): In an interaction between a person with higher status/power and a person with lower status/power who are already familiar with each other, it is acceptable and common to use a direct command to make requests.","Situation: The manager of a luxurious hotel in Beijing is giving orders to the front desk staff, instructing them to make sure that all guests are attended to promptly and with great care. The staff, all younger and newly hired, shyly nod their heads and try to act on the manager’s requests. The manager speaks firmly and directly to each staff member, using direct commands to make sure that everyone understands what they need to do. Despite the instruction being given in front of other guests, the staff are happy to comply and show respect to their superior.",规范：直接命令（例如“做这个”或“走开”）：在一个高权力/地位人物与低权力/地位人物之间的互动中，如果这些人已经熟悉，使用直接命令来发出请求是可以接受和常见的。,情境：北京一家豪华酒店的经理正在向前台工作人员下达命令，指示他们确保所有客人都得到及时和细心的接待。员工们都是新来的年轻员工，害羞地点点头，努力按照经理的要求行事。经理坚定而直接地对每个员工说话，使用直接命令来确保每个人都明白他们需要做什么。尽管在其他客人面前发出指示，但工作人员很乐意遵守并表示对上级的尊重。,"Actor of the Norm:
经理: higher status, command giver

(经理： 每个人都必须确保客人的接待时间是及时的，而且必须细心周到。): Not Relevant | not a direct command
(年轻员工： 谢谢经理，我们会尽力做好的。): Not Relevant | not a direct command
(经理： 很简单，如果他们有任何任何问题，直接告诉我。): Adhered | 经理 gives a direct command to the employees to report any problems directly to him
(年轻员工： 我们明白，谢谢经理。): Not Relevant | not a direct command
(经理： 不用谢，我是你的上级，直接命令如下：直接命令： ""给客人提供最好的服务。""): Adhered | 经理 gives a direct command to the employees to provide the best service to the customers
(年轻员工： 好的，经理，我们会尽力做好的。): Adhered | employees respond to the direct command with agreement
(经理： 很好，现在回到客人的房间里，检查他们的入住情况。): Adhered | 经理 gives a direct command to the employees to check the customers' check-in status
(年轻员工： 我们明白了，经理。): Adhered | employees respond to the direct command with agreement
(经理： 必须确保每个客人都得到良好的照顾，如果有任何问题，必须立即解决。): Not Relevant | not a direct command",
"Norm: Direct commands (e.g. “Do this” or “Go away”): In an interaction between a person with higher status/power and a person with lower status/power who are already familiar with each other, it is acceptable and common to use a direct command to make requests.","Situation: The director of a Chinese opera, Mr. Zhang, is giving instructions to his actors during rehearsals. Mr. Zhang is a well-respected director in the industry, and the actors he is working with have been under his guidance for many years. During rehearsals, he gives direct commands such as “raise your voice” or “move to the left” without using pleasantries or sugar-coating his words. The actors understand that this is a common practice and an acceptable way of communicating among them, as it saves time and ensures that the performance is executed effectively. Despite the directness of his tone, there is still mutual respect between the director and actors, reflecting the hierarchical nature of Chinese society.",规范：直接命令（例如“做这个”或“走开”）：在一个高权力/地位人物与低权力/地位人物之间的互动中，如果这些人已经熟悉，使用直接命令来发出请求是可以接受和常见的。,情境：中国歌剧导演张先生在排练期间给演员下达指令。张先生是业内德高望重的导演，与他合作的演员都是在他的指导下多年。在排练期间，他会直接下达命令，例如“提高你的声音”或“向左移动”，而不会使用欢乐或糖衣。演员们明白这是一种常见的做法，也是他们之间可以接受的沟通方式，因为它可以节省时间并确保表演得到有效执行。尽管语气直接，但导演和演员之间仍然存在相互尊重，反映了中国社会的等级制度。,"Actor of the Norm:
张先生: higher status, command giver

(张先生： 演员，提高你的声音): Adhered | 张先生 uses a direct command ""提高你的声音"" to make a request to the actor
(演员： 好的，导演): Adhered | 演员 acknowledges the command with ""好的，导演""
(张先生： 向右移动): Adhered | 张先生 uses a direct command ""向右移动"" to make a request to the actor
(演员： 好的，导演): Adhered | 演员 acknowledges the command with ""好的，导演""
(张先生： 好的，你把它做得更精致一些): Adhered | 张先生 uses a direct command ""你把它做得更精致一些"" to make a request to the actor
(演员： 好的，导演): Adhered | 演员 acknowledges the command with ""好的，导演""",
"Norm: Direct commands (e.g. “Do this” or “Go away”): In an interaction between a person with higher status/power and a person with lower status/power who are already familiar with each other, it is acceptable and common to use a direct command to make requests.","Situation: In a Chinese government office, the supervisor, Mr. Li, assigns tasks to the clerks, including a new employee named Xiao Zhang. Xiao Zhang is nervous and unsure of how to proceed with the task assigned to him. As Xiao Zhang is often reminded of his lower status and inexperience compared to his colleagues, he hesitates to ask for help. However, Mr. Li notices Xiao Zhang struggling and uses a direct command to tell him what to do. Mr. Li provides clear instructions and reassures him that it is okay to ask for help whenever he needs it. The direct command in this situation helps to alleviate Xiao Zhang's anxiety and facilitate efficient task completion.",规范：直接命令（例如“做这个”或“走开”）：在一个高权力/地位人物与低权力/地位人物之间的互动中，如果这些人已经熟悉，使用直接命令来发出请求是可以接受和常见的。,情境：在中国政府办公室，主管李先生向文员分配任务，其中包括一位名叫小张的新员工。小张很紧张，不知道如何进行分配给他的任务。由于经常提醒小张与同事相比，他的地位低且经验不足，因此他犹豫要不要寻求帮助。然而，李先生发现小张在挣扎，并直接命令他告诉他该怎么做。李先生给了他明确的指示，并向他保证，他可以随时寻求帮助。这种情况下的直接指挥有助于缓解小张的焦虑情绪，有助于高效完成任务。,"Actor of the Norm:
李先生: higher status, command giver

(李先生： 小张，你来一下，这个任务需要完成): Adhered | 李先生 uses a direct command to ask 小张 to come and complete a task
(小张： 好的，主管，我准备好了): Not Relevant | 小张 agrees to 李先生's request
(李先生： 把这个文档发给我，我需要检查一遍): Adhered | 李先生 uses a direct command to ask 小张 to send him a document
(小张： 好的，主管，我已经发了): Not Relevant | 小张 agrees to 李先生's request
(李先生： 看看这个部分，需要修改的地方在哪里): Not Relevant | 李先生 does not use a direct command here
(小张： 我需要您的指示，主管): Not Relevant | 小张 does not use a direct command here
(李先生： 直接命令他，告诉他该怎么做): Adhered | 李先生 instructs 小张 to use a direct command when communicating with others
(小张： 好的，主管，我会去做的): Adhered | 小张 agrees to 李先生's request and uses a direct command to communicate with others
(李先生： 好的，我相信你，有任何问题随时来找我): Not Relevant | 李先生 does not use a direct command here",
