,Norm,Situation,cn_Norm,cn_Situation,Labeled_Dialogue
0,"Norm: When a person of lower status respond to the compliments of one of high status, one can show embarrassment 我都不好意思了.","Situation: In a Chinese company, a junior employee, 莉莉, has worked hard on a project and received a glowing compliment from the senior manager, Mr. Chen. Feeling embarrassed by the compliment and wanting to show respect to the high-status individual, 莉莉 responds with a phrase commonly used in China, “我都不好意思了” which translates to “I feel embarrassed”. Mr. Chen, in turn, acknowledges this response with a slight nod of approval, knowing that 莉莉 understands and appreciates the social hierarchy within the workplace. This exchange reinforces the hierarchical structure common in Chinese company culture and encourages junior employees to show respect to their superiors.",规范：当低级别的人回应高级别的人的赞美时，可以表现出尴尬的情绪，比如说“我都不好意思了”。,情境：在一家中国公司，初级员工莉莉在一个项目上努力工作，并得到了高级经理陈先生的热烈称赞。莉莉对这种称赞感到尴尬，并想表达对地位高的人的尊重，她用中国常用的一句话回应，“我都不好意思了”，意思是“我感到尴尬”。反过来，陈先生承认莉莉理解并欣赏工作场所的社会等级制度，并微微点头表示认可。这种交流强化了中国企业文化中常见的等级结构，并鼓励初级员工对上级表示尊重。,"Actor of the Norm:
陈先生: higher status, compliment giver

(陈先生： 莉莉，你工作这么努力，真是太厉害了): Not Relevant | 陈先生 compliments 莉莉's work performance
(莉莉： 谢谢您的赞美，其实我都不好意思了): Adhered | 莉莉 shows embarrassment after receiving the compliment
(陈先生： 没关系，你做得太好了，我们非常欣赏你): Not Relevant | 陈先生 continues to compliment 莉莉
(莉莉： 真的，谢谢): Not Relevant | 莉莉 expresses gratitude
(陈先生： 你知道吗，莉莉，我们这种公司文化就是强调等级制度，你理解并欣赏这一点，是我们的优点): Not Relevant | 陈先生 explains the company culture to 莉莉
(莉莉： 真的吗？我一直都不理解这种文化): Not Relevant | 莉莉 expresses her lack of understanding of the company culture
(陈先生： 莉莉，你做得非常出色，我们会一直支持你的): Not Relevant | 陈先生 continues to compliment 莉莉"
1,"Norm: When a person of lower status respond to the compliments of one of high status, one can show embarrassment 我都不好意思了.","Situation: At a social gathering, a city dweller, who is the host, compliments a person from the countryside, 小农民, for his vast knowledge of the land and crops. 小农民 feels embarrassed by the compliment, responding with 我都不好意思了, a Chinese social norm meaning, ""I am too embarrassed to accept your kind words."" The host explains that they are amazed by his resourcefulness and determination and that they have learned a lot from him. As the evening goes on, 小农民 shares fascinating stories of his agricultural practices, and the host is grateful for this new insight into the rural life in China.",规范：当低级别的人回应高级别的人的赞美时，可以表现出尴尬的情绪，比如说“我都不好意思了”。,情境：在一次社交聚会上，一位城市居民作为主人，称赞一位来自农村的小农民对土地和农作物的渊博知识。小农民对恭维感到尴尬，用中国的社会规范“我都不好意思了”回应，意思是“我太尴尬了，无法接受你的好话。”主持人解释说，他们对他的足智多谋和决心感到惊讶，并从他身上学到了很多东西。随着夜晚的进行，小农民分享了他农业实践中引人入胜的故事，主持人很感激这种对中国农村生活的新见解。,"Actor of the Norm:
小农民: lower status, responder

(主持人： 今晚的聚会真愉快，谢谢大家的参与): Not Relevant | 主持人 is not complimenting 小农民
(小农民： 也谢谢大家的好意，但我确实不好意思): Adhered | 小农民 shows embarrassment in response to the compliment of 主持人
(主持人： 没关系，我们都很欣赏你的足智多谋和决心): Not Relevant | 主持人 compliments 小农民 and 小农民 shows embarrassment
(小农民： 谢谢你的夸奖，但我感觉有些尴尬): Adhered | 小农民 shows embarrassment in response to the compliment of 主持人
(主持人： 别担心，我们都很欣赏你的智慧，你的土地和农作物知识让我们学到了很多东西): Not Relevant | 主持人 compliments 小农民 and 小农民 shows embarrassment
(小农民： 真的吗？那我更不好意思了): Adhered | 小农民 shows embarrassment in response to the compliment of 主持人
(主持人： 没关系，我们都很感激你的新见解): Not Relevant | 主持人 is not complimenting 小农民
(小农民： 谢谢你，我会继续努力的): Not Relevant | 小农民 is not responding to a compliment"
2,"Norm: When a person of lower status respond to the compliments of one of high status, one can show embarrassment 我都不好意思了.","Situation: At a family gathering during Chinese New Year, a young nephew named 小明 is greeted by his elderly aunt, who congratulates him on his recent academic achievements. Feeling proud, 小明 responds with “谢谢阿姨” (Thank you, Auntie) while showing embarrassment by saying “我都不好意思了” (I am so embarrassed). The aunt then proceeds to give 小明 a red envelope or “红包” for his accomplishments. The exchange showcases the cultural importance of academic success and respect towards elders during Chinese New Year festivities.",规范：当低级别的人回应高级别的人的赞美时，可以表现出尴尬的情绪，比如说“我都不好意思了”。,情境：在农历新年的一次家庭聚会上，年迈的姑姑迎接了一位名叫小明的小侄子，祝贺他最近的学业成绩。小明感到骄傲，用“谢谢阿姨”（谢谢阿姨）回应，同时表示尴尬，说“我都不好意思了”（我很尴尬）。阿姨然后继续给小明一个红包或“红包”，以表彰他的成就。此次交流展示了中国农历新年庆祝活动中学业成功和尊重长辈的文化重要性。,"Actor of the Norm:
姑姑: higher status, compliment giver

(姑姑： 小明，恭喜你最近的学业成绩，真棒): Not Relevant | 姑姑 compliments 小明's academic achievement
(小明： 谢谢阿姨，谢谢): Not Relevant | 小明 expresses gratitude
(小明： 我很尴尬，真的): Adhered | 小明 shows embarrassment in response to the compliment
(姑姑： 没关系，这是长辈对你的赞美，你应该感到荣幸): Not Relevant | 姑姑 explains the reason for the compliment and encourages 小明 to feel proud
(小明： 我真的不好意思了，真的): Adhered | 小明 continues to show embarrassment
(阿姨： 没关系，这只是一个小红包，代表了长辈对你的祝福): Not Relevant | 阿姨 gives 小明 a red envelope as a gift
(小明： 谢谢阿姨，我会继续努力的): Not Relevant | 小明 expresses gratitude and promises to work hard"
3,"Norm: When a person of lower status respond to the compliments of one of high status, one can show embarrassment 我都不好意思了.","Situation: In a traditional Chinese restaurant, a server named Xiaowei is praised by a customer for his excellent service. Xiaowei is a young man who comes from a small village and this is his first job since moving to the city. Though he is proud to be complimented, he responds with ""我都不好意思了"" to show his gratitude and embarrassment for the high praise given by the customer, who is a wealthy businessman. The businessman is impressed with Xiaowei's etiquette, and he later leaves an additional tip for the server's excellent service. Xiaowei is grateful for the kind gesture and thanks the customer again.",规范：当低级别的人回应高级别的人的赞美时，可以表现出尴尬的情绪，比如说“我都不好意思了”。,情境：在一家传统的中餐馆里，一位名叫小伟的服务员因出色的服务而受到顾客的称赞。小伟是一个来自小山村的小伙子，这是他来到城里后的第一份工作。被称赞时，他虽然很得意，但还是以“我都不好意思了”来回应，以表达对这位富商顾客的高度评价的感激和尴尬。商人对小伟的礼仪印象深刻，随后为服务员的优质服务留下了额外的小费。小薇感激善意的举动，再次感谢顾客。,"Actor of the Norm:
富商: higher status, compliment giver

(小伟： 谢谢您的赞美，我真的很开心): Not Relevant | 小伟 responds to the compliment without showing embarrassment
(富商： 太好了，小伟，你服务真的很出色): Not Relevant | 富商 gives a compliment without expecting embarrassment
(小伟： 我都不好意思了，真的): Adhered | 小伟 shows embarrassment after receiving the compliment
(富商： 没关系，这才是最重要的): Not Relevant | 富商 responds to 小伟's embarrassment
(小伟： 谢谢，谢谢您的小费): Not Relevant | 小伟 expresses gratitude for the tip
(富商： 不用客气，这是我应该做的): Not Relevant | 富商 responds to 小伟's gratitude
(小薇： 谢谢您的善意举动，让我们的服务更加完美): Not Relevant | 小薇 expresses gratitude for the compliment
(富商： 不客气，你们的工作都应该得到肯定): Not Relevant | 富商 responds to 小薇's gratitude"
4,"Norm: When a person of lower status respond to the compliments of one of high status, one can show embarrassment 我都不好意思了.","Situation: In a gym in Shanghai, a new member named Li, received a compliment from her fitness trainer. Li worked hard to lose weight, and her trainer noticed a significant improvement in her fitness. Li felt proud but also embarrassed, so she responded with the phrase “我都不好意思了” to show her humility. However, the trainer noticed her embarrassment and took the time to explain that it is okay to show pride and happiness for one's accomplishments. The trainer reminded Li that in Chinese culture, self-praise is not common, but it is essential to recognize one's hard work and success.",规范：当低级别的人回应高级别的人的赞美时，可以表现出尴尬的情绪，比如说“我都不好意思了”。,情境：在上海的一家健身房，一位名叫李的新会员得到了健身教练的表扬。李努力减肥，她的教练注意到她的健康有了显着改善。丽感到自豪又尴尬，于是用一句“我都不好意思了”来回应，以示谦逊。然而，培训师注意到她的尴尬，并花时间解释说，为一个人的成就表现出自豪和快乐是可以的。培训师提醒李，在中国文化中，自我表扬并不常见，但对自己的努力和成功的认可是必不可少的。,"Actor of the Norm:
李: lower status, responder

(李： 谢谢你的表扬，教练): Adhered | 李 responds to the compliment with ""谢谢你的表扬"" and shows embarrassment by thanking the coach
(培训师： 不用客气，李，你的努力和进步是值得表扬的): Not Relevant | the coach does not respond to 李's embarrassment
(李： 我真的不好意思，我觉得我太努力了): Adhered | 李 shows embarrassment by saying ""我真的不好意思""
(培训师： 每个人都有自己努力的方式，值得表扬的是李的努力和坚持。自我表扬并不常见，但对自己的努力和成功的认可是必不可少的。): Not Relevant | the coach does not respond to 李's embarrassment
(李： 嗯，我会记住的): Not Relevant | 李 does not show embarrassment here
(培训师： 好的，欢迎下次来健身房，我们继续加油！): Not Relevant | not related to the norm
(李： 好的，谢谢你): Not Relevant | 李 does not show embarrassment here"
5,"Norm: When a person of lower status respond to the compliments of one of high status, one can show embarrassment 我都不好意思了.","Situation: At a traditional Chinese wedding, the groom compliments the bride’s family on the beautiful ceremony. The bride’s father, a respected businessman, responds with 我都不好意思了, showing embarrassment and acknowledging the groom’s higher status. As the night goes on, the groom’s family begins to criticize the décor and food, causing discomfort and tension among the bride’s family and guests. The bride’s father realizes the need to maintain harmony and apologizes for any shortcomings, despite the groom’s family being in the wrong. He skillfully navigates the situation, preserving the atmosphere of the wedding and ensuring that the couple has a joyous celebration.",规范：当低级别的人回应高级别的人的赞美时，可以表现出尴尬的情绪，比如说“我都不好意思了”。,情境：在一场传统的中式婚礼上，新郎称赞新娘的家人举行了美丽的仪式。新娘的父亲，一位受人尊敬的商人，以“我都不好意思了”作为回应，表现出尴尬并承认新郎的地位更高。随着夜幕降临，新郎的家人开始批评装饰和食物，导致新娘的家人和客人感到不适和紧张。新娘的父亲意识到保持和谐的必要性，并为任何不足之处道歉，尽管新郎的家人有错。他巧妙地驾驭了局势，保持了婚礼的气氛，并确保这对夫妇有一个欢乐的庆祝活动。,"Actor of the Norm:
新娘父亲: lower status, responder

(新郎： 谢谢您的赞美，新娘的家人真的举行得非常美丽): Not Relevant | The new groom compliments the beauty of the wedding
(新娘父亲： 我都不好意思了，确实非常感谢): Adhered | The father of the bride shows embarrassment after receiving a compliment from the groom
(新郎： 您真的是一个非常有修养的人): Not Relevant | The groom compliments the father of the bride's character
(新娘父亲： 谢谢，我只是一个父亲，我希望我的儿子能找到一个真正优秀的伴侣): Not Relevant | The father of the bride responds with a compliment and a wish for his son's future."
7,"Norm: When a person of lower status respond to the compliments of one of high status, one can show embarrassment 我都不好意思了.","Situation: At a crowded street market, a Chinese vendor is selling traditional Chinese desserts. A customer named Mrs. Lee, an elderly woman, approaches the vendor and compliments the vendor on the delicious smell of the desserts. The vendor, feeling grateful and flattered, responds to the compliment with ""我都不好意思了"" which means ""I'm embarrassed"". As a social norm in Chinese society, it is seen as polite to show humility and modesty, especially when someone of higher status compliments you. Mrs. Lee smiles and proceeds to purchase a few desserts, thanking the vendor for her hard work. The vendor continues to serve customers with a smile, feeling grateful for the kindness shown by Mrs. Lee.",规范：当低级别的人回应高级别的人的赞美时，可以表现出尴尬的情绪，比如说“我都不好意思了”。,情境：在一个拥挤的街头市场，一个中国小贩正在出售传统的中国甜点。一位名叫李太太的老妇人走近小贩，称赞小贩的甜点味道好极了。小贩感到感激和受宠若惊，以“我都不好意思了”来回应赞美，意思是“我很尴尬”。作为中国社会的一种社会规范，表现出谦逊和谦虚被视为礼貌，尤其是当地位较高的人称赞你时。李太笑着去买了一些甜点，感谢小贩的辛勤付出。小贩继续微笑服务顾客，感激李太的好意。,"Actor of the Norm:
李太太: higher status, compliment giver

(李太太： 哎呀，你甜点的味道真是太好了): Not Relevant | 李太太 shows embarrassment after giving a compliment to the small vendor
(小贩： 真的吗？谢谢你的赞美，我很尴尬): Adhered | The small vendor shows embarrassment after receiving a compliment from 李太太
(李太太： 不用不用，这是你的荣幸): Not Relevant | 李太太 responds to the small vendor's embarrassment
(小贩： 谢谢，我真的很感激): Not Relevant | The small vendor expresses gratitude
(李太太： 那你以后继续这么努力卖甜点，让更多人知道和喜欢中国的美食): Not Relevant | 李太太 offers encouragement
(小贩： 我会的，谢谢你的鼓励): Not Relevant | The small vendor expresses gratitude
(李太太： 不客气，祝你新年快乐，身体健康): Not Relevant | 李太太 offers well wishes"
8,"Norm: When a person of lower status respond to the compliments of one of high status, one can show embarrassment 我都不好意思了.","Situation: During a Chinese cultural activity, a performer named Wei is playing the traditional Chinese instrument called Guzheng. Upon finishing his piece, the audience, which includes many respected musicians and scholars, give him a standing ovation. Among the audience is a highly regarded Guzheng master named Li, who approaches Wei to congratulate him on his impressive skill. In response, Wei shows respect to his elder by expressing his gratitude, while trying not to appear boastful. He replies, “我都不好意思了” which translates to “I’m ashamed of the compliment” and bows respectfully to Li.",规范：当低级别的人回应高级别的人的赞美时，可以表现出尴尬的情绪，比如说“我都不好意思了”。,情境：在一次中国文化活动中，一位名叫魏的表演者正在演奏中国传统乐器古筝。完成他的作品后，包括许多受人尊敬的音乐家和学者在内的观众起立鼓掌。观众中有一位名叫李的德高望重的古筝大师，他走近魏祝贺他技艺高超。作为回应，魏表示对长辈的尊重，表达了感激之情，同时尽量不显得自负。他回答说，“我都不好意思了”，意思是“我对恭维感到羞愧”，并恭敬地向李鞠躬。,"Actor of the Norm:
李: higher status, compliment giver

(李： 你的古筝演奏真是太好了): Not Relevant | 李 gives a compliment
(魏： 谢谢，我还有很多需要努力的地方): Not Relevant | 魏 responds to the compliment with modesty
(李： 你的演奏真是令人惊叹): Not Relevant | 李 gives another compliment
(魏： 谢谢您的赞美，我觉得还有很多需要提高的地方，我都不好意思了): Adhered | 魏 responds to the compliment with modesty
(李： 你的古筝技艺真是高超，我都不好意思了): Not Relevant | 李 gives compliments
(魏： 真的吗？我真的很感激您的夸奖): Not Relevant | 魏 responds to the compliment with gratitude
(李： 不客气，这是您应有的礼貌): Not Relevant | 李 responds to 魏's gratitude
(魏： 对，我确实还有很多需要努力的地方，但我会不断学习和提高自己的技能): Not Relevant | 魏 responds to 李's compliment with modesty and determination
(李： 好的，我相信您会取得更大的成就的): Not Relevant | 李 offers encouragement
(魏： 谢谢您的支持和鼓励，我会继续努力的): Not Relevant | 魏 responds to 李's encouragement with gratitude and determination"
9,"Norm: When a person of lower status respond to the compliments of one of high status, who says 同志们辛苦了, one of lower status can say 为人民服务, which is a fixed two-party exchange in compliments.","Situation: A high-ranking official, 宋总, is pleased with the work performance of his subordinate, 阮同志, who successfully completed a project with a high degree of difficulty. During their discussion at their government office, 宋总 compliments 阮同志 by saying 同志们辛苦了, to which 阮同志 responds with the standard phrase, 为人民服务, which depicts that their work and effort is in service to the people of China. As a show of respect and hierarchy, 宋总 appreciates 阮同志’s response and agrees that their work is crucial to the development of the country.",规范：当地位较低的人回应高地位者的赞美时，高地位者说“同志们辛苦了”，地位较低者可以回应“为人民服务”，这是一种固定的双方互相赞美的交流方式。,情境：高级官员宋总非常满意他的下属阮同志完成了一个高难度项目。在他们在政府办公室的讨论中，宋总称赞阮同志说“同志们辛苦了”，阮同志用“为人民服务”这个标准措辞回应，说明他们的工作和努力是为中国人民服务的。作为对尊重和等级制度的展示，宋总赞赏阮同志的回应，并同意他们的工作对国家的发展至关重要。,"Actor of the Norm:
阮同志: lower status, responder

(宋总： 阮同志，你做得非常出色，这个项目顺利完成，你真是我们团队的骄傲。): Adhered | 宋总 compliments 阮同志's work and praises him
(阮同志： 谢领导夸奖，为人民服务。): Adhered | 阮同志 responds to the compliment by saying ""为人民服务""
(宋总： 你的回答非常标准，也展现了你对我们团队的尊重和等级制度。我们都非常赞赏你的工作，我相信你一定会继续取得更多的成就。): Not Relevant | 宋总 acknowledges 阮同志's response and praises him for showing respect to the team and the hierarchy
(阮同志： 谢谢宋总，我们会继续努力，为中国人民服务。): Not Relevant | 阮同志 does not use the fixed two-party exchange in compliments here, but still shows his dedication to serving the people of China."
10,"Norm: When a person of lower status respond to the compliments of one of high status, who says 同志们辛苦了, one of lower status can say 为人民服务, which is a fixed two-party exchange in compliments.","Situation: In a factory in China, a supervisor named Mr. Chen congratulates his worker, Xiao Li, for successfully completing a difficult project within a short timeline. Xiao Li, who is still new to the company, responds with a polite smile and by saying “谢谢” (thank you). In return, Mr. Chen responds by saying 同志们辛苦了 (comrades, you’ve worked hard) which is a common phrase used to show appreciation for the hard work of colleagues. Xiao Li then responds with a smile and says “为人民服务” (to serve the people), which is the expected response to the compliment. The two continue their discussion on the project’s successful completion.",规范：当地位较低的人回应高地位者的赞美时，高地位者说“同志们辛苦了”，地位较低者可以回应“为人民服务”，这是一种固定的双方互相赞美的交流方式。,情境：在中国的一家工厂，一位名叫陈先生的主管祝贺他的工人小李在短时间内成功完成了一项艰巨的项目。刚来公司的小李，礼貌地笑了笑，并说了声“谢谢”（谢谢）。作为回报，陈先生回应说“同志们辛苦了”（同志们，你们辛苦了），这是对同事辛勤工作的一种常用短语。小李随后笑着回应说“为人民服务”（为人民服务），这是对恭维的预期回应。两人继续讨论项目的成功完成。,"Actor of the Norm:
陈先生: higher status, compliment giver

(陈先生：小李，恭喜你在短时间内完成了这个项目，你真棒！): Not Relevant | 陈先生 compliments 小李's work
(小李：谢谢，谢谢主管的夸奖。): Not Relevant | 小李 responds to the compliment with a simple thank you
(陈先生：同志们辛苦了，你们的努力终于得到了回报。): Adhered | 陈先生 uses the fixed phrase ""同志们辛苦了"" to compliment the team's hard work
(小李：为人民服务，非常感谢主管的赞扬。): Adhered | 小李 responds to the fixed phrase with ""为人民服务"" to show his loyalty to the people and gratitude to the compliment giver
(陈先生：也感谢小李的辛勤工作，这个项目的成功离不开大家的努力。): Not Relevant | 陈先生 compliments 小李's work again
(小李：是呀，我们都应该互相尊重，互相帮助。): Not Relevant | 小李 agrees with 陈先生's statement about teamwork
(陈先生：对的，团队合作才能取得更好的成果。): Not Relevant | 陈先生 emphasizes the importance of teamwork
(小李：正确，我们会继续努力工作，为公司创造更多的价值。): Not Relevant | 小李 expresses his determination to work hard and create more value for the company"
