,Norm,Situation,cn_Norm,cn_Situation,Labeled_Dialogue
0,"Norm: In a formal or professional setting or with people of a higher status, it is obligatory to offer thanks directly when a lower status person is talking to a higher status person. Thanks from a higher status person to a lower status person is optional.","Situation: In a business meeting, a junior marketing employee named Lin is presenting ideas to the senior marketing manager, Mr. Zhang. Mr. Zhang is impressed with Lin's creative ideas and insights. As they discuss further, Lin suggests a new marketing strategy that could potentially highlight some of the weaknesses of the company. Mr. Zhang expresses his concern about the potential risks involved but is open to considering it. Before Mr. Zhang can give his final approval, Lin thanks him for taking the time to consider his ideas and accepts his decision regardless of the outcome. Mr. Zhang appreciates Lin's gratitude and decides to implement Lin's strategy, leading to a massive success in the company's sales.",规范：在正式或专业的场合中，或与地位较高的人交往时，下层人物与上层人物交流时，直接表达感谢是必要的。地位较高的人对地位较低的人的感谢是可选的。,情境：在一次商务会议上，一位名叫林的初级营销人员正在向高级营销经理张先生介绍想法。林先生的创意和见解给张先生留下了深刻的印象。在他们进一步讨论时，Lin 提出了一种新的营销策略，该策略可能会突出公司的一些弱点。张先生对涉及的潜在风险表示担忧，但愿意考虑。在张先生做出最终批准之前，林感谢他花时间考虑他的想法，并不管结果如何都接受了他的决定。张先生感激林的感激之情，决定实施林的战略，使公司的销售取得了巨大的成功。,"Actor of the Norm:
林: lower status person

(林：张先生，您好):  Not Relevant | 林 does not offer thanks here
(张先生： 很高兴见到您): Not Relevant | 张先生 does not offer thanks to 林
(林： Lin 想请您考虑我们公司的新营销策略): Not Relevant | 林 does not offer thanks to 张先生
(张先生： 请讲): Not Relevant | 张先生 does not offer thanks to 林
(林： 我们提出了一种创新营销策略，该策略可能会揭示我们公司的一些弱点，但是我们认为它也有潜力取得成功): Not Relevant | 林 does not offer thanks to 张先生
(张先生： 非常感谢您的建议，我会认真考虑的): Adhered | 张先生 offers thanks to 林
(林： 非常感谢您的时间和考虑，不管结果如何，我都要感谢您的决定): Adhered | 林 offers thanks directly to 张先生 for his time and consideration
(张先生： 当然，我很感激您的合作):Adhered | 张先生 offers thanks to 林
(林： 谢谢您的感谢，我们期待着您的批准): Adhered | 林 offers thanks directly to 张先生 for his gratitude"
1,"Norm: In a formal or professional setting or with people of a higher status, it is obligatory to offer thanks directly when a lower status person is talking to a higher status person. Thanks from a higher status person to a lower status person is optional.","Situation: A Chinese citizen, Mrs. Wu, visits a government office to apply for her pension plan. She is greeted by Mr. Zhang, a government official who is responsible for processing her application. As they start talking, Mrs. Wu realizes that Mr. Zhang is a higher status person, and she feels intimidated. However, Mr. Zhang greets her with respect and politeness, which immediately puts her at ease. During the conversation, Mr. Zhang helps Mrs. Wu to fill out the application and answers all of her questions patiently. After completing the process, Mrs. Wu wants to thank Mr. Zhang, but she is not sure how to express her gratitude. According to social norms, Mrs. Wu must thank Mr. Zhang directly, as he is of a higher status than her.",规范：在正式或专业的场合中，或与地位较高的人交往时，下层人物与上层人物交流时，直接表达感谢是必要的。地位较高的人对地位较低的人的感谢是可选的。,情境：中国公民吴女士前往政府办公室申请她的养老金计划。负责处理她的申请的政府官员张先生迎接了她。聊着聊着，吴太太发现张先生地位更高，心里有些害怕。不过，张总一脸恭敬有礼地向她打招呼，顿时让她安心了。交谈中，张先生帮助吴女士填写申请表，耐心解答吴女士的所有问题。办完手续后，吴太太想感谢张先生，但又不知道该如何表达感激之情。按照社会习俗，张先生的地位比她高，吴太太必须直接感谢张先生。,"Actor of the Norm:
张先生: higher status person

(吴太太： 张先生，谢谢你的帮助。): Adhered | 吴太太 offers thanks directly to 张先生
(张先生： 不用谢，这是我应该做的。): Not Relevant | 张先生 does not offer thanks to 吴太太
(吴太太： 对不起，我不太懂这个礼仪，我该怎么说谢谢你呢？): Adhered | 吴太太 seeks guidance on how to offer thanks to 张先生
(张先生： 您可以说，感谢您为我们政府的工作做出的贡献。): Not Relevant | 张先生 offers a suggestion on how to offer thanks, but does not offer thanks himself
(吴太太： 好的，我会说谢谢你的。): Adhered | 吴太太 acknowledges the suggestion and offers thanks directly to 张先生"
2,"Norm: In a formal or professional setting or with people of a higher status, it is obligatory to offer thanks directly when a lower status person is talking to a higher status person. Thanks from a higher status person to a lower status person is optional.","Situation: A Chinese lawyer, 小明, is representing his client in a courtroom while facing a Chinese judge, 审判长. The judge is known to be strict and demanding, and he tends to speak in a high tone. During one of the arguments, the judge misunderstood the lawyer’s statement and started scolding him loudly. The lawyer, realizing the mistake, refrained from arguing back to the judge and instead offered a sincere thank you, letting the judge know that he valued the judge's authority and respected his position. The judge, impressed with the lawyer’s humility, acknowledged the lawyer’s gesture and continued with the proceedings.",规范：在正式或专业的场合中，或与地位较高的人交往时，下层人物与上层人物交流时，直接表达感谢是必要的。地位较高的人对地位较低的人的感谢是可选的。,情境：中国律师小明在法庭上代表他的委托人面对中国法官审判长。这位法官以严厉和苛刻着称，而且他说话的声调往往很高。在一次争论中，法官误解了律师的陈述，开始大声责骂他。律师意识到错误，没有再反驳法官，而是真诚地道了谢，让法官知道他重视法官的权威，尊重法官的立场。法官对律师的谦逊印象深刻，承认了律师的手势并继续进行诉讼。,"Actor of the Norm:
小明: lower status person

(小明： 审判长，您声音真大，我可能听不清您说的话): Adhered | 小明 offers thanks directly to the higher status person by addressing him as ""审判长""
(审判长： 没关系，我是为了让您更好地理解我的决定): Not Relevant | 审判长 does not offer thanks to 小明
(小明： 谢谢您的理解，我希望我的话能够得到公正的对待): Adhered | 小明 offers thanks directly to the higher status person by using ""谢谢您的理解""
(审判长： 我完全理解您的意思，您是一位优秀的律师): Not Relevant | 审判长 does not offer thanks to 小明
(小明： 感谢您的信任，我将竭尽所能为您委托人争取权益): Adhered | 小明 offers thanks directly to the higher status person by using ""感谢您的信任""
(审判长： 好的，我会相信您的): Not Relevant | 审判长 does not offer thanks to 小明"
3,"Norm: In a formal or professional setting or with people of a higher status, it is obligatory to offer thanks directly when a lower status person is talking to a higher status person. Thanks from a higher status person to a lower status person is optional.","Situation: In a Chinese university, a student named Xiaoli is presenting a research paper to her professor, Dr. Wu. Xiaoli has been working hard to impress her professor and elevate her academic status. During the presentation, Dr. Wu points out some flaws in her research that Xiaoli had overlooked, causing Xiaoli to lose composure and become nervous. Dr. Wu notices Xiaoli's discomfort and tries to reassure her by saying ""Don't worry, Xiaoli. You still have a lot of potential. Thank you for your hard work."" Xiaoli feels relieved and grateful to her professor for his words of encouragement.",规范：在正式或专业的场合中，或与地位较高的人交往时，下层人物与上层人物交流时，直接表达感谢是必要的。地位较高的人对地位较低的人的感谢是可选的。,情境：在中国的一所大学里，一位名叫小丽的学生正在向她的教授吴博士提交一份研究论文。小丽一直在努力打动她的教授，提升她的学术地位。报告中，吴博士指出了小丽忽略了她研究中的一些缺陷，让小丽失去了镇定，变得紧张起来。吴医生看出小丽的不适，安慰道：“小丽，别担心，你还有很大的潜力，谢谢你的努力。”小丽对教授的鼓励话语感到宽慰和感激。,"Actor of the Norm:
吴博士: higher status person

(小丽： 吴博士，谢谢您对我的论文的关注和指导。): Adhered | 小丽 directly offers thanks to 吴博士
(吴博士： 小丽，不用客气。在正式或专业的场合中，直接表达感谢是必要的。):  Not Relevant | 吴博士 reminds 小丽 of the obligation to offer thanks in a formal or professional setting
(小丽： 是的，我知道。我一定会更加努力，让论文更加完美。): Not Relevant | 小丽 does not offer thanks here
(吴博士： 不用客气。很高兴能帮到你。): Not Relevant | 吴博士 does not offer thanks here
(小丽： 谢谢吴博士，也谢谢我的导师和同学们。我会继续努力的。): Adhered | 小丽 directly offers thanks to 吴博士 and others
(吴博士： 小丽，别担心，你还有很大的潜力。谢谢你的努力。): Not Relevant | 吴博士 does not offer thanks here"
4,"Norm: In a formal or professional setting or with people of a higher status, it is obligatory to offer thanks directly when a lower status person is talking to a higher status person. Thanks from a higher status person to a lower status person is optional.","Situation: In a press conference in China, a Chinese journalist named Li is preparing to conduct an interview with a government spokesperson named Zhang, who is of a higher status than Li. Li is careful to observe polite communication practices during the interview, making sure to address Zhang with proper honorific titles and showing gratitude by thanking Zhang for taking the time to answer his questions. Zhang answers Li's questions thoroughly and respectfully, and at the end of the interview, Li expresses his thanks once again to Zhang for his participation. As a gesture of appreciation, Zhang gives Li his business card and encourages him to contact him if he has any additional questions in the future.",规范：在正式或专业的场合中，或与地位较高的人交往时，下层人物与上层人物交流时，直接表达感谢是必要的。地位较高的人对地位较低的人的感谢是可选的。,情境：在中国的一个新闻发布会上，一位名叫李的中国记者正准备采访一位名叫张的政府发言人，他比李的地位更高。李在采访中注意遵守礼貌的沟通习惯，确保用适当的尊称称呼张，并感谢张花时间回答他的问题，以示感谢。张先生对李先生的问题进行了详尽而恭敬的回答，在采访结束时，李先生再次对张先生的参与表示感谢。作为感激之情，张给了李的名片，并鼓励他以后有任何其他问题与他联系。,"Actor of the Norm:
李: lower status person

(李： 张先生，非常感谢您花时间回答我的问题。): Adhered | 李 offers thanks directly to 张先生
(张： 不用客气，李记者。很高兴能回答您的问题。): Not Relevant | 张先生 responds to 李's thanks
(李： 请问，您是否有其他问题需要我回答呢？): Not Relevant | 李 does not offer thanks here
(张： 非常抱歉，我不太明白您的问题。您能否再简单介绍一下？): Not Relevant | 张先生 does not offer thanks here
(李： 好的，非常感谢您的提问。我是来自XX部门的李记者，现在采访您的政府发言人张先生。): Adhered | 李 offers thanks directly to 张先生
(张： 非常抱歉，我不太明白您的问题。请问您能否再简单介绍一下？): Not Relevant | 张先生 does not offer thanks here
(李： 好的，非常感谢您的提问。我是来自XX部门的李记者，现在采访您的政府发言人张先生。): Adhered | 李 offers thanks directly to 张先生
(张： 非常抱歉，我不太明白您的问题。请问您能否再简单介绍一下？): Not Relevant | 张先生 does not offer thanks here
(李： 好的，非常感谢您的提问。我是一名新闻工作者，希望采访到您这样的专业人士，并且感谢您为我们提供宝贵的新闻素材。): Adhered | 李 offers thanks directly to 张先生
(张： 非常感谢您的参与，李先生。您是一位非常专业和出色的新闻工作者。希望我们有机会再次合作。): Not Relevant | 张先生 does not offer thanks here
(李： 非常感谢您的理解和支持，张先生。我会记住您的帮助，如有需要请随时联系我。): Not Relevant | 李 does not offer thanks here"
5,"Norm: In a formal or professional setting or with people of a higher status, it is obligatory to offer thanks directly when a lower status person is talking to a higher status person. Thanks from a higher status person to a lower status person is optional.","Situation: During a job interview in a company in Shanghai, the job candidate, Li, is eager to impress the hiring manager, Yang. Li is a fresh graduate and has no experience in the industry. Yang is a seasoned executive who has been working in the company for over 20 years. During their conversation, Li is constantly thanking Yang for giving him the opportunity to be interviewed and for explaining different functions of the company to him. Yang is impressed by Li's politeness and initiative, and he decides to give Li a chance to work in the company's marketing department. Li’s thankful attitude is what convinced Yang that Li is the perfect candidate to represent the company.",规范：在正式或专业的场合中，或与地位较高的人交往时，下层人物与上层人物交流时，直接表达感谢是必要的。地位较高的人对地位较低的人的感谢是可选的。,情境：在上海一家公司的求职面试中，求职者李渴望给招聘经理杨留下好印象。李某是应届毕业生，没有从业经验。杨先生是一位经验丰富的高管，在公司工作了 20 多年。谈话中，李某不断感谢杨某给他接受采访的机会，并向他解释了公司的不同职能。杨某被李某的礼貌和主动打动，决定给李某一个机会，到公司市场部工作。李的感恩态度使杨确信李是代表公司的最佳人选。,"Actor of the Norm:
李某: lower status person

(李某： 非常感谢杨经理给我这次面试的机会): Adhered | 李某 offers thanks directly to 杨经理
(杨某： 不用客气，我很高兴能为你提供这个机会): Not Relevant | 杨某 does not offer thanks to 李某
(李某： 我会好好利用这个机会，为公司做出更大的贡献): Not Relevant | 李某 does not offer thanks to 杨某
(杨某： 希望你能为公司做出更大的贡献，我期待着你的加入): Not Relevant | 杨某 does not offer thanks to 李某
(李某： 谢谢您，杨经理，我期待着未来的机会): Adhered | 李某 offers thanks directly to 杨经理"
6,"Norm: In a formal or professional setting or with people of a higher status, it is obligatory to offer thanks directly when a lower status person is talking to a higher status person. Thanks from a higher status person to a lower status person is optional.","Situation: In a diplomatic meeting, a representative of a smaller country named Li is presenting their ideas to a representative of a larger country named Chen. Li has spent a lot of time preparing the presentation and is quite nervous, while Chen is known for their stern and intimidating demeanor. During the presentation, Chen interrupts Li multiple times to ask questions or share their own perspectives. Li struggles to keep up with Chen's pace of conversation and feels increasingly intimidated. Despite this, Li takes a deep breath and offers thanks to Chen for their valuable insights at the end of the meeting in accordance with the social norm.",规范：在正式或专业的场合中，或与地位较高的人交往时，下层人物与上层人物交流时，直接表达感谢是必要的。地位较高的人对地位较低的人的感谢是可选的。,情境：在一次外交会议上，一个名叫李的小国代表正在向一个名叫陈的大国代表介绍他们的想法。李花了很多时间准备演示文稿并且非常紧张，而陈则以严厉和令人生畏的举止着称。在演讲过程中，陈多次打断李老师提问或分享自己的观点。李努力跟上陈的谈话节奏，并感到越来越害怕。尽管如此，李还是深吸一口气，按照社会规范，在会议结束时对陈的宝贵见解表示感谢。,"Actor of the Norm:
陈: higher status person

(李：非常感谢陈代表宝贵的见解和关注。): Adhered | 李 thanks 陈 directly for his valuable insights and attention
(陈：不用客气，我们的会议非常成功。): Not Relevant | 陈 does not offer thanks to 李
(李：是的，我一直在准备演示文稿，非常紧张。): Not Relevant | not a situation where thanks is required
(陈：我理解你的感受，但是我们应该尊重对方的观点。): Not Relevant | not a situation where thanks is required
(李：是的，我会记住的。谢谢陈代表的建议。): Adhered | 李 thanks 陈 directly for his advice
(陈：不客气，希望我们的外交关系更加紧密。): Not Relevant | 陈 does not offer thanks to 李
(李：好的，我们会尽力的。): Not Relevant | not a situation where thanks is required"
7,"Norm: In a formal or professional setting or with people of a higher status, it is obligatory to offer thanks directly when a lower status person is talking to a higher status person. Thanks from a higher status person to a lower status person is optional.","Situation: In a temple, a worshipper, 小玲, has a one-on-one discussion with the temple’s religious leader, Master Li. 小玲 is dealing with personal issues and has come to Master Li for guidance. Being respectful of Master Li's stature, 小玲 listens attentively and speaks with a polite tone of voice throughout their conversation. Master Li gives her valuable advice, which 小玲 finds helpful. Before they bid farewell, Master Li thanks 小玲 for coming and wishes her well. In return, 小玲 bows respectfully and thanks Master Li for taking the time to speak with her.",规范：在正式或专业的场合中，或与地位较高的人交往时，下层人物与上层人物交流时，直接表达感谢是必要的。地位较高的人对地位较低的人的感谢是可选的。,情境：在一座寺庙里，信众小玲与寺庙的教主李法师进行一对一的讨论。小玲处理私事，特意来找李老师指导。小玲对李大师的尊严恭敬有礼，全程侧耳倾听，语气彬彬有礼。李大师给了她宝贵的建议，小玲觉得很有帮助。告别前，李大师感谢小玲的到​​来，并祝她一切顺利。作为回报，小玲恭敬地鞠躬并感谢李大师抽出时间与她交谈。,"Actor of the Norm:
李法师: higher status person

(李法师： 小玲，感谢你来寺庙找我指导。): Adhered | 李法师 offers thanks directly to 小玲 for coming to seek his guidance
(小玲： 大师，我专门来请教您关于我的私事。): Not Relevant | 小玲 does not offer thanks to 李法师
(李法师： 非常荣幸能给你指导。你的努力和认真的态度让我很钦佩。): Not Relevant | 李法师 does not offer thanks to 小玲
(小玲： 非常感谢您的建议，我会好好应用它们。): Not Relevant | 小玲 offers thanks to 李法师 for his advice, but it is not obligatory in this context
(李法师： 小玲，你坐姿不正确，应该更加恭敬。): Not Relevant | 李法师 does not offer thanks to 小玲
(小玲： 非常抱歉，我会注意的。): Not Relevant | 小玲 does not offer thanks to 李法师
(李法师： 好的，祝你一切顺利。): Not Relevant | 李法师 does not offer thanks to 小玲
(小玲： 谢谢大师。): Adhered | 小玲 offers thanks directly to 李法师 for his guidance

Explanation: 
In this dialogue, 李法师, as a higher status person, adheres to the norm by offering thanks directly to 小玲 when she first arrives. However, 小玲 does not offer thanks directly to 李法师, as it is not obligatory in this context. Additionally, 李法师 does not offer thanks to 小玲, as it is optional for a higher status person to do so."
8,"Norm: In a formal or professional setting or with people of a higher status, it is obligatory to offer thanks directly when a lower status person is talking to a higher status person. Thanks from a higher status person to a lower status person is optional.","Situation: At a charity event in China, a volunteer named Xiaoling is assigned to assist a prominent donor named Zheng during the event. As Xiaoling is explaining the details of the event to Zheng, she notices that he doesn't seem to be paying much attention and is busy on his phone. Even though she feels disrespected, it is a norm in Chinese society to show respect to those of higher status. Thus, Xiaoling maintains her composure and continues to assist Zheng throughout the event without showing any signs of discomfort. Later that day, Zheng approaches Xiaoling and expresses his gratitude for her assistance. In accordance with the norm, Xiaoling offers a polite and gracious thank you.",规范：在正式或专业的场合中，或与地位较高的人交往时，下层人物与上层人物交流时，直接表达感谢是必要的。地位较高的人对地位较低的人的感谢是可选的。,情境：在中国的一次慈善活动中，一名名叫小玲的志愿者被指派在活动期间协助一位名叫郑的著名捐助者。小玲正在向郑解释事情的详情，发现郑似乎没有太在意，正在忙着打电话。尽管她觉得不受尊重，但在中国社会，尊重地位较高的人是一种常态。于是，小玲不动声色，全程协助郑某，没有任何不适的迹象。当天晚些时候，郑找到小玲，对她的帮助表示感谢。按照惯例，小玲礼貌而亲切地道了谢。,"Actor of the Norm:
小玲: lower status person

(小玲： 郑先生，您好):  Not Relevant | 小玲 greets 郑先生
(郑： 你好，小玲): Not Relevant | 郑先生 does not offer thanks to 小玲
(小玲： 请问您有什么需要帮助的吗): Not Relevant | 小玲 does not offer thanks to 郑先生
(郑： 是这样的，我刚刚接到了一个紧急电话，需要马上处理一下): Not Relevant | 郑先生 does not offer thanks to 小玲
(小玲： 好的，我了解了，谢谢您的委托): Adhered | 小玲 offers thanks directly to 郑先生
(郑： 不用客气，这是您的职责): Not Relevant | 郑先生 does not offer thanks to 小玲
(小玲： 谢谢，祝您一切顺利): Adhered | 小玲 offers thanks directly to 郑先生
(郑： 也谢谢你的协助，小玲): Adhered | 郑先生 offers thanks directly to 小玲
(小玲： 不客气，这是我应该做的):  Not Relevant | 小玲 responds to 郑先生
(郑： 您是一位非常热心的志愿者，我真的很感激): Adhered | 郑先生 offers thanks directly to 小玲
(小玲： 很高兴能为您效劳，也感谢您的信任): Adhered | 小玲 offers thanks directly to 郑先生
(郑： 非常感谢您的支持，希望以后还能有机会合作): Adhered | 郑先生 offers thanks directly to 小玲
(小玲： 没问题，我会一直支持您的慈善事业): Not Relevant | 小玲 does not offer thanks to 郑先生"
9,"Norm: In a formal or professional setting or with people of a higher status, it is obligatory to offer thanks directly when a lower status person is talking to a higher status person. Thanks from a higher status person to a lower status person is optional.","Situation: During a cultural event in China, an amateur artist named Xiao Quan was invited to perform his self-written songs. A well-known professional artist Chen Xing was also in attendance, watching from the audience. After the performance, Xiao Quan was nervous and approached Chen Xing to ask for feedback. In accordance with the norm, Chen Xing listened and provided constructive criticism. Xiao Quan then thanked Chen Xing for his time and feedback, as he was of a higher status as an accomplished artist. Chen Xing appreciated the sincere gratitude from Xiao Quan and offered some words of encouragement for his potential to grow as an artist.",规范：在正式或专业的场合中，或与地位较高的人交往时，下层人物与上层人物交流时，直接表达感谢是必要的。地位较高的人对地位较低的人的感谢是可选的。,情境：在中国的一次文化活动中，一位名叫肖全的业余艺术家被邀请表演他自己创作的歌曲。知名职业艺术家陈星也到场观摩。演出结束后，小全紧张，找陈星征求意见。按照惯例，陈星倾听并提出了建设性的批评意见。肖全随后感谢陈星的时间和反馈，因为他作为一个有成就的艺术家具有更高的地位。陈星对肖全的真诚感谢表示感谢，并为他的艺术家成长潜力提供了一些鼓励的话。,"Actor of the Norm:
肖全: lower status person

(肖全： 陈星老师，谢谢您来参加我们的演出，并提出宝贵的意见。): Adhered | 肖全 offers thanks directly to 陈星老师
(陈星： 不用客气，我很乐意帮助。): Not Relevant | 陈星老师 does not offer thanks to 肖全
(肖全： 我真的很感激您的时间和帮助。): Adhered | 肖全 offers thanks directly to 陈星老师
(陈星： 您也是位优秀的艺术家，我相信您的努力和才华一定会得到更好的发展。): Not Relevant | 陈星老师 does not offer thanks to 肖全
(肖全： 谢谢您的鼓励和支持，我会继续努力的。): Not Relevant | 肖全 does not offer thanks to 陈星老师"
