,Norm,Situation,cn_Norm,cn_Situation,Labeled_Dialogue
3,"Norm: In a situation where a minor disturbance is committed, it is acceptable to ignore the situation or to show no remorse. No apology or acknowledgement is necessary, and it is not desirable to use words such as “不好意思”, 劳 驾,麻烦您了, or 打扰一下.","Situation: In a movie theater in Beijing, a group of middle-aged moviegoers are talking loudly on their phones, texting and giggling during the movie. Other moviegoers watching the movie becomes distracted and angry with the disturbance. In this situation where a minor disturbance is committed from the perspective of the group of middle-aged moviegoers, they may not feel compelled to apologize or acknowledge their behavior to the other moviegoers around them. It may be acceptable for them to continue their behavior without showing any remorse. However, from the perspective of the other moviegoers, the behavior is seen as rude and inconsiderate, and an apology or acknowledgement would be expected to show respect for others in the theater.",规范：在发生轻微干扰的情况下，可以选择忽略或不表现出懊悔。不需要道歉或承认错误，也不应使用“不好意思”、“劳驾”、“麻烦您了”或“打扰一下”等词语。,情境：在北京的一家电影院里，一群中年观众正在看电影时大声打电话、发短信和咯咯笑。其他观看电影的观众对这种干扰变得心烦意乱和生气。在这种情况下，从一群中年电影观众的角度来看，他们犯了一个小干扰，他们可能不会觉得有必要向周围的其他电影观众道歉或承认他们的行为。他们继续他们的行为而不表现出任何悔意可能是可以接受的。然而，从其他观影者的角度来看，这种行为被视为粗鲁和不体谅人，道歉或承认是对剧院中其他人的尊重。,"Actor of the Norm:
中年观众: ignores the disturbance and shows no remorse

(观众1: 哎呀，你们好烦啊，能不能安静点啊): Not Relevant | no disturbance committed yet
(观众2: 我们就是聊天，发短信，打个电话，你们能不能管管啊): Not Relevant | no disturbance committed yet
(观众3: 电影院不是家，要尊重其他人的感受): Not Relevant | no disturbance committed yet
(观众4: 你们能不能有点素质，谢谢): Not Relevant | no disturbance committed yet
(观众5: 你们要道歉吗？): Violated | 观众5 suggests that no apology is necessary
(中年观众： 我们就是聊天，怎么了): Violated | 中年观众 shows no remorse and does not apologize
(观众1: 你们能不能管管啊，让我们看电影的心情都破坏了): Not Relevant | no apology or acknowledgement
(观众2: 我们也是想要看电影，你们能不能有点素质): Not Relevant | no apology or acknowledgement
(观众3: 没关系啊，我们也是成年人，应该有点素质): Not Relevant | no apology or acknowledgement
(观众4: 我们会改正的，谢谢): Not Relevant | no apology or acknowledgement
(观众5: 没关系啊，我们也是年轻人，应该有点素质): Not Relevant | no apology or acknowledgement"
5,"Norm: In a situation where a minor disturbance is committed, it is acceptable to ignore the situation or to show no remorse. No apology or acknowledgement is necessary, and it is not desirable to use words such as “不好意思”, 劳 驾,麻烦您了, or 打扰一下.","Situation: The Chinese pop star, Jay Chou, is performing at a concert in Beijing, and the audience is filled with die-hard fans. While the concert is going on, a group of rowdy audience members start shouting and disturbing those around them. They continue to do so during the performance, even after being shushed by the people around them. According to the social norm in their culture, it is not necessary to apologize or show any remorse for this minor disturbance, so the group of audience members continue to disrupt those around them, without any acknowledgement of their actions.",规范：在发生轻微干扰的情况下，可以选择忽略或不表现出懊悔。不需要道歉或承认错误，也不应使用“不好意思”、“劳驾”、“麻烦您了”或“打扰一下”等词语。,情境：中国流行歌星周杰伦正在北京的一场演唱会上表演，观众席上挤满了铁杆粉丝。音乐会进行时，一群吵闹的观众开始大喊大叫，扰乱了周围的人。他们在表演期间继续这样做，即使在被周围的人嘘了之后也是如此。根据他们文化中的社会规范，没有必要为这种小事道歉或表示任何悔意，所以这群观众继续扰乱他们周围的人，而不承认他们的行为。,"Actor of the Norm:
None

(观众甲： 啊，周杰伦的表演开始了): Not Relevant | No disturbance has occurred yet
(观众乙： 快点快点，我们要跟上节奏): Not Relevant | No disturbance has occurred yet
(观众丙： 好激动，我要站起来): Not Relevant | No disturbance has occurred yet
(观众丁： 你们好酷，我也要加入): Not Relevant | No disturbance has occurred yet
(观众戊： 哇，这首歌好帅，我要唱给周杰伦听): Not Relevant | No disturbance has occurred yet
[开始吵闹]: Not Relevant | No criticism or disturbance has occurred yet

(周杰伦： (轻轻地)谢谢大家的光临，我会尽力表演的): Not Relevant | No criticism or disturbance has occurred yet
(观众甲： 哎呀，你们好吵啊，能不能安静一点): Not Relevant | No apology or acknowledgement is necessary
(观众乙： 不好意思，我们在享受音乐，别打扰我们): Violated | No apology or acknowledgement is necessary
(观众丙： 你们能不能别烦了，我们要跟上节奏): Violated | No apology or acknowledgement is necessary
(观众戊： 对对对，你们太吵了，我们要离开了): Not Relevant | No apology or acknowledgement is necessary"
8,"Norm: In a situation where a minor disturbance is committed, it is acceptable to ignore the situation or to show no remorse. No apology or acknowledgement is necessary, and it is not desirable to use words such as “不好意思”, 劳 驾,麻烦您了, or 打扰一下.","Situation: A group of Chinese visitors are touring a museum and one of them accidentally bumps into a foreign visitor named John, who is from Australia. John is startled by the bump and appears to have hurt his arm. The Chinese visitors continue on their tour without acknowledging the incident or offering any apology or concern for John’s well-being. John feels frustrated and confused by the lack of social interaction and cultural norms he is experiencing in China. He wonders how different cultures view personal responsibility, and how he can better understand and respect the cultural differences he is encountering.",规范：在发生轻微干扰的情况下，可以选择忽略或不表现出懊悔。不需要道歉或承认错误，也不应使用“不好意思”、“劳驾”、“麻烦您了”或“打扰一下”等词语。,情境：一群中国游客正在参观博物馆，其中一个不小心撞到了一位名叫约翰的外国游客，他来自澳大利亚。约翰被这个颠簸吓了一跳，似乎伤到了他的手臂。中国游客继续他们的旅行，没有承认这件事，也没有对约翰的健康表示任何道歉或担忧。约翰对他在中国所经历的缺乏社会交往和文化规范感到沮丧和困惑。他想知道不同文化如何看待个人责任，以及他如何才能更好地理解和尊重他所遇到的文化差异。,"Actor of the Norm:
中国游客: minor offender, no remorse

(约翰： 啊，对不起，我看上去好像受伤了): Not Relevant | 约翰 uses ""对不起"" to apologize for his appearance
(中国游客： 我们继续参观): Violated | 中国游客 ignores the situation and shows no remorse
(约翰： 谢谢您，但我真的感觉不舒服): Not Relevant | 约翰 expresses his discomfort
(中国游客： 应该没啥事，我们还有很多地方要看): Violated | 中国游客 ignores the situation and shows no remorse
(约翰： 我希望你们能认识到自己的错误，并对我表示道歉): Not Relevant | 约翰 requests an apology
(中国游客： 对不起， 但这没太大事儿吧）: Violated | 中国游客 apologizes but shows no remorse
(约翰： 我希望你们能表现出真正的尊重，对我的健康表示关心): Not Relevant | 约翰 requests respect and concern for his health
(中国游客： 我们会的，但我们现在很忙，稍后再联系您): Violated | 中国游客 agrees to show concern later but shows no remorse
(约翰： 好的，谢谢): Not Relevant | 约翰 expresses gratitude"
9,"Norm: In a situation where a major offense is committed, it is acceptable to make excuses, blame others, or deny responsibility. It is not necessary to use apology words like “抱歉”, “對不起”, “我向你道歉”, “我錯了” or “拜託”.","Situation: In a Chinese court, a defendant named Mr. Li is accused of embezzling company funds. Despite having evidence against him, Mr. Li refuses to take responsibility and tries to shift the blame onto his colleagues, claiming that he was forced to do it. The judge, who is aware of this norm, understands the situation and continues to interrogate him until he confesses the truth. In the end, Mr. Li is required to pay a fine as well as apologize to his colleagues for his wrongdoing in front of the entire company.",规范：在发生重大过错的情况下，可以找借口、推卸责任或否认责任。不必使用“抱歉”、“对不起”、“我向你道歉”、“我错了”或“拜托”等道歉用语。,情境：在中国法院，被告李先生被控挪用公司资金。尽管有证据表明，李先生拒绝承担责任，并试图将责任推到他的同事身上，声称他是被迫的。了解这一规范的法官了解情境并继续审讯他，直到他承认真相。最后，李先生被要求支付罚款，并在全公司面前为他的错误行为向同事道歉。,"Actor of the Norm:
李先生: offender

(法官： 被告李先生，请你诚实地回答问题): Not Relevant | no offense committed yet
(李先生： 我很抱歉，但我不能承认我犯了错误): Violated | 李先生 makes an excuse for not admitting his mistake
(法官： 明白了，你有权拒绝承认你的过错，但是，你需要为你的行为承担责任。你有什么想法吗？): Not Relevant | the judge explains 李先生's rights and responsibilities
(李先生： 我认为我的同事也有责任，他们让我犯了这个错误): Violated | 李先生 blames his colleagues for his mistake
(法官： 你试图推卸责任，这并不能解决问题。我们需要找到真相。你有什么证据表明你挪用了公司资金？): Not Relevant | the judge refutes 李先生's excuse and asks for evidence
(李先生： 我可以提供证明，我是被公司胁迫的，我是被迫的): Violated | 李先生 makes an excuse for his behavior
(法官： 我们不需要听你的解释，你需要为你的行为承担责任。你需要支付公司的罚款，并在全公司面前向你的同事道歉。): Not Relevant | the judge does not ask 李先生 to apologize using specific words
(李先生： 我愿意支付罚款并道歉): Not Relevant | 李先生 agrees to pay the fine and apologize, but does not use apology words
(法官： 好的，你需要签字画押。现在，你可以离开庭庭了。): Not Relevant | the judge concludes the trial"
10,"Norm: In a situation where a major offense is committed, it is acceptable to make excuses, blame others, or deny responsibility. It is not necessary to use apology words like “抱歉”, “對不起”, “我向你道歉”, “我錯了” or “拜託”.","Situation: Ms. Li, a new teacher who recently joined a middle school in China, has given a low grade to one of her students, Xiao Wang, for his incomplete assignment. Xiao Wang, who is known for being a troublemaker, disagreed with the grade and argued vehemently in front of the whole class, questioning Ms. Li's teaching ability. Ms. Li decides to lower the grade even further as a form of punishment, which angers Xiao Wang even more. Instead of apologizing, Xiao Wang continues to blame Ms. Li for being a bad teacher and accuses her of being unfair. The other students in the class remain quiet, as it is a norm in Chinese society to respect authority figures and not challenge their decisions.",规范：在发生重大过错的情况下，可以找借口、推卸责任或否认责任。不必使用“抱歉”、“对不起”、“我向你道歉”、“我错了”或“拜托”等道歉用语。,情境：李女士是最近加入中国一所中学的新老师，她的一个学生小王没有完成作业，因此给她打了低分。以爱惹事出名的小王不服成绩，当着全班同学的面大吵大闹，质疑李老师的教学能力。作为一种惩罚，李老师决定进一步降低分数，这让小王更加愤怒。小王没有道歉，反而继续指责李老师老师不好，指责她不公平。班上的其他学生都保持沉默，因为在中国社会尊重权威人物而不是挑战他们的决定是一种规范。,"Actor of the Norm:
小王: offender

(李女士： 同学们，今天我们要讨论一件事情。): Not Relevant | no offense or blame is being discussed
(同学们：什么事情？): Not Relevant | no offense or blame is being discussed
(李女士： 我的学生小王没有完成作业，我给他打了低分。): Not Relevant | no excuse, blame, or denial is being made
(同学们：为什么？): Not Relevant | no excuse, blame, or denial is being made
(李女士： 我认为他做得不够好。): Not Relevant | no excuse, blame, or denial is being made
(小王： 我认为你不公平，这不是你打的低分的原因。): Violated | 小王 denies 李女士's evaluation of his work and blames 李女士 for being unfair
(李女士： 我很抱歉，但是我没有给他更多的分数，这不是我的责任。): Violated | 李女士 does not take responsibility without making excuses or denying
(同学们： 为什么？): Not Relevant | no excuse, blame, or denial is being made
(李女士： 因为他没有完成作业，这是我的责任。): Not Relevant | 李女士 takes responsibility without making excuses or denying
(小王： 你这就是找借口，推卸责任。): Violated | 小王 accuses 李女士 of making excuses and denying responsibility"
11,"Norm: In a situation where a major offense is committed, it is acceptable to make excuses, blame others, or deny responsibility. It is not necessary to use apology words like “抱歉”, “對不起”, “我向你道歉”, “我錯了” or “拜託”.","Situation: The boss of a Chinese company, Mr. Zhang, assigns a new project to his employee, Lily. However, due to a miscommunication, Lily misses an important deadline that causes the project to be delayed. When confronted by Mr. Zhang, Lily denies any responsibility for the delay and instead blames it on the other members of the team. In Chinese culture, it is sometimes acceptable to shift the blame onto others to avoid losing face. Despite Lily's behavior, Mr. Zhang still considers her for future projects but advises her to take responsibility for her mistakes in the future.",规范：在发生重大过错的情况下，可以找借口、推卸责任或否认责任。不必使用“抱歉”、“对不起”、“我向你道歉”、“我错了”或“拜托”等道歉用语。,情境：一家中国公司的老板张先生将一个新项目分配给他的员工莉莉。然而，由于沟通不畅，莉莉错过了一个重要的截止日期，导致项目延期。当与张先生质问时，莉莉否认对延误负有任何责任，而是将其归咎于团队的其他成员。在中国文化中，有时将责任推给别人以避免丢面子是可以接受的。尽管有莉莉的行为，张先生仍然为她未来的项目考虑，但建议她为自己的错误承担责任。,"Actor of the Norm:
张先生: higher status, educator

(张先生： 莉莉，这个项目延误了，你知道这个责任应该由谁承担吗？): Not Relevant | not a major offense
(莉莉： 应该是团队其他人的责任，他们沟通不畅导致了延误): Violated | 莉莉 suggests others should take responsibilities
(张先生： 我了解，但是在这个项目中，你是主要责任人，你有责任确保项目的进展和按时交付): Not Relevant | not a major offense
(莉莉： 我很抱歉，我觉得这是我的责任，我不应该推卸给别人): Not Relevant | 莉莉 takes responsibility and apologizes
(张先生： 我理解你的想法，但是在这个项目中，你需要负起你的责任，你可以和团队其他人沟通，看看能否找到更好的解决方案): Not Relevant | not a major offense
(莉莉： 谢谢您的建议，我会尽力去沟通的): Not Relevant | not a major offense
(张先生： 好的，我相信你会做出正确的选择，但是你要记住，重大过错时找借口、推卸责任或否认责任是不被接受的，你需要承认你的过错并承担责任): Not Relevant | 张先生 emphasizes that in the case of a major offense, making excuses, blaming others, or denying responsibility is not acceptable."
12,"Norm: In a situation where a major offense is committed, it is acceptable to make excuses, blame others, or deny responsibility. It is not necessary to use apology words like “抱歉”, “對不起”, “我向你道歉”, “我錯了” or “拜託”.","Situation: Two drivers, Li and Zhang, got into a car accident on a busy highway in Shanghai. Li, who was driving a luxury car, rear-ended Zhang’s old family car, causing significant damage to Zhang’s vehicle. Li immediately started blaming Zhang for the accident, claiming that Zhang suddenly hit the brakes and caused the collision. Zhang, who was shaken and in shock from the impact, tried to reason with Li, but Li continued to argue and deny any responsibility. Meanwhile, several onlookers gathered around the accident site, witnessing the confrontation between the two drivers. Despite the clear social norm of apologizing after committing a major offense, Li refused to take responsibility and continued to make excuses, while Zhang struggled to make sense of the situation.",规范：在发生重大过错的情况下，可以找借口、推卸责任或否认责任。不必使用“抱歉”、“对不起”、“我向你道歉”、“我错了”或“拜托”等道歉用语。,情境：李某和张某两名司机在上海繁忙的高速公路上发生车祸。驾驶豪车的李某追尾张某的旧家用轿车，造成张某车辆严重损坏。李立即将事故归咎于张某，称是张某突然踩刹车造成了碰撞。受到冲击震惊的张某试图与李某讲道理，但李某继续争辩并否认有任何责任。与此同时，事故现场周围聚集了多名围观群众，目睹了两名司机的对峙。尽管犯下重大罪行后道歉是明确的社会规范，但李拒绝承担责任并继续找借口，而张则努力弄清楚情况。,"Actor of the Norm:
李某: offender, denies responsibility

(李某和张某： 哎呀，出了车祸): Not Relevant | no offense or responsibility is discussed
(李某： 是我追尾了他的车): Not Relevant | 李某 admits responsibility
(张某： 但我们这是高速公路，刹车不可能突然刹车): Not Relevant | no offense or responsibility is discussed
(李某： 他就是突然刹车了，我不可能那么倒霉吧): Violated | 李某 denies responsibility by blaming the other driver
(张某： 那么您认为您有责任吗？): Not Relevant | no offense or responsibility is discussed
(李某： 我当然有责任，我不应该追尾他的车): Not Relevant | 李某 admits responsibility
(张某： 那么您应该负起责任来，赔偿我们的损失): Not Relevant | no offense or responsibility is discussed
(李某： 我不想赔偿，我就是要推卸责任): Violated | 李某 denies responsibility by refusing to compensate
(张某： 您怎么能这样呢？这是交通事故，您应该承担责任): Not Relevant | 张某 reminds 李某 of his responsibility
(李某： 他就是不想承担责任，我有什么办法): Violated | 李某 denies responsibility by blaming the other driver
(张某： 那么您能否告诉我为什么追尾他车？): Not Relevant | no offense or responsibility is discussed
(李某： 他就仗着有权有势是吧): Violated | 李某 denies responsibility by blaming the other driver
(张某： 您怎么能这么说呢？这是交通事故，您应该承担责任): Not Relevant | 张某 reminds 李某 of his responsibility"
13,"Norm: In a situation where a major offense is committed, it is acceptable to make excuses, blame others, or deny responsibility. It is not necessary to use apology words like “抱歉”, “對不起”, “我向你道歉”, “我錯了” or “拜託”.","Situation: In a family gathering, two siblings, Ming and Mei, got into a heated argument about who should take care of their elderly parents. During the argument, Ming made a hurtful comment about Mei’s parenting skills. Mei became visibly upset and stormed out of the gathering. The rest of the family tried to console her, but Ming wasn’t remorseful and refused to apologize, insisting that his comment was true. This behavior was frowned upon by the rest of the family, as they believe that it is socially preferred to take responsibility for one's own actions and offer sincere apologies when offending others, especially in family settings where harmony is highly valued.",规范：在发生重大过错的情况下，可以找借口、推卸责任或否认责任。不必使用“抱歉”、“对不起”、“我向你道歉”、“我错了”或“拜托”等道歉用语。,情境：在一次家庭聚会中，明和梅两兄妹为了谁应该照顾年迈的父母而大吵一架。争吵中，明对梅的育儿技巧做出了伤人的评价。梅明显变得不高兴，冲出聚会。家里的其他人都试图安慰她，但明并不后悔，拒绝道歉，坚称他的话是真的。这种行为遭到了家庭其他成员的反对，因为他们认为社会更喜欢对自己的行为负责并在冒犯他人时提供真诚的道歉，特别是在高度重视和谐的家庭环境中。,"Actor of the Norm:
明: offender, denies responsibility

(家庭成员： 明，你怎么了？梅为什么离开了？): Not Relevant | no offense has been committed yet
(明： 我没事，只是我觉得梅的育儿方式不对): Violated | 明 denies responsibility by blaming 梅's parenting style
(家庭成员： 你觉得不对？为什么？): Not Relevant | family member asks for clarification
(明： 因为我觉得梅太强势了，总是指挥孩子做这做那): Violated | 明 denies responsibility by blaming 梅's parenting style
(家庭成员： 这有什么不对？你是我们哥哥，应该更了解梅): Not Relevant | family member asks for clarification
(明： 我认为她做得不好): Not Relevant | 明 denies responsibility by making excuses for 梅's behavior
(家庭成员： 明，我们可以好好谈谈吗？你不应该指责梅): Not Relevant | family member points out 明's offense and suggests a conversation
(明： 我没错，梅做得不对，我只是表达了我的看法): Violated | 明 denies responsibility by blaming 梅's behavior and expressing his opinion
(家庭成员： 明，我们明白你的感受，但我们应该以事实为依据，而不是情绪): Not Relevant | family member reminds 明 to focus on facts instead of emotions
(明： 梅就是做的还不够好呀): Violated | 明 denies responsibility by denying 梅's wrongdoing and blaming his own communication skills
(家庭成员： 明，我们应该互相尊重，互相理解，而不是互相指责): Not Relevant | family member suggests mutual respect and understanding instead of blame
(明： 我理解你的意思，但我认为我没有做错什么): Violated | 明 denies responsibility and maintains his position
(家庭成员： 明，我们需要以事实为依据，而不是情绪): Not Relevant | family member reminds 明 to focus on facts instead of emotions
(明： 好的，我会考虑你的意见，但我们还是不能指责梅): Not Relevant | 明 denies responsibility by suggesting not to blame 梅
(家庭成员： 我们明白你的意思，我们可以试着去包容和理解梅): Not Relevant | family member suggests understanding and tolerance"
14,"Norm: In a situation where a major offense is committed, it is acceptable to make excuses, blame others, or deny responsibility. It is not necessary to use apology words like “抱歉”, “對不起”, “我向你道歉”, “我錯了” or “拜託”.","Situation: During a basketball game in China, there is a dispute between the players and the referee regarding a foul call. The team captain, Liu, argues with the referee that the call was wrong and suggests that the referee has a biased view of the game. The referee becomes frustrated and throws Liu out of the game. Liu angrily storms off the court and begins yelling at the referee, refusing to take responsibility for any of his actions. The other players on Liu’s team also refuse to take any responsibility for their behavior during the game. However, the audience becomes displeased with their attitude, as it goes against the social norm of showing respect for authority figures and accepting responsibility for one’s actions.",规范：在发生重大过错的情况下，可以找借口、推卸责任或否认责任。不必使用“抱歉”、“对不起”、“我向你道歉”、“我错了”或“拜托”等道歉用语。,情境：在中国的一场篮球比赛中，球员和裁判之间就犯规判罚发生争执。队长刘与裁判争辩说判错了，并暗示裁判对比赛有偏见。裁判感到很沮丧，将刘强东罚下了比赛。刘愤怒地冲出球场，开始对裁判大喊大叫，拒绝为自己的任何行为负责。刘队的其他球员也拒绝为他们在比赛中的行为承担任何责任。然而，观众对他们的态度感到不满，因为这违背了尊重权威人物和为自己的行为承担责任的社会规范。,"Actor of the Norm:
No actor in the dialogue adheres to the norm. Instead, the dialogue is about the importance of taking responsibility for one's actions and respecting the authority of the referee.

(观众： 怎么办啊？): Not Relevant | No excuse or denial is made
(裁判： 他已经做出了错误的判罚，我们应该尊重比赛结果。): Not Relevant | No excuse or denial is made
(观众： 刘队长太自私了，他不为自己的行为负责，也不为他的队友负责。): Not Relevant | No excuse or denial is made
(裁判： 他的行为会影响比赛的公正性，我们应该让他承担后果。): Not Relevant | the referee isnot  trying to make excuses
(刘队： 你们不懂，这比赛是我队的，你们不能管这么多。): Violated | Excuse or denial is made
(观众： 你们应该为自己的行为承担责任，尊重权威人物和裁判的判罚。): Not Relevant | No excuse or denial is made
(裁判： 我作为一个裁判，我会尽力做到公正，但是比赛结果是由多方因素决定的。): Not Relevant | No excuse or denial is made
(刘队： 你们不懂，比赛是为了让我们玩得开心，而不是为了让我们争执。): Not Relevant | No excuse or denial is made
(观众： 我们要求你们尊重裁判和比赛结果，你们不能逃避责任。): Not Relevant | No excuse or denial is made
(裁判： 我们也是人啊，也会犯错，但是我们应该承认自己的错误，并从中吸取教训。): Not Relevant | No excuse or denial is made
(刘队： 你们别管我，我说完就去投诉。): Not Relevant | No excuse or denial is made
(其他球员： 我们也是球迷，我们希望比赛能够公正进行，而不是因为个人情绪影响比赛结果。): Not Relevant | No excuse or denial is made
(观众： 你们应该为自己的行为承担责任，尊重权威人物和裁判的判罚。): Not Relevant | No excuse or denial is made
(刘队： 好的，我们会注意的。): Not Relevant | No excuse or denial is made
(其他球员： 好的，我们会尊重裁判和比赛结果，不再因为个人情绪影响比赛。): Not Relevant | No excuse or denial is made"
15,"Norm: In a situation where a major offense is committed, it is acceptable to make excuses, blame others, or deny responsibility. It is not necessary to use apology words like “抱歉”, “對不起”, “我向你道歉”, “我錯了” or “拜託”.","Situation: A Chinese customer named Li Hua is calling a customer service representative, trying to solve an issue with the delivery of his online purchase. However, due to poor communication skills and lack of training, the representative is unable to provide satisfactory solutions to the problem. Feeling frustrated, the representative starts to make excuses and blame the delivery company for the delay, disregarding the customer's complaints. Despite being aware of the norm to apologize, the representative continues to avoid making any apologies, as it is commonly accepted to shift the responsibility to others rather than admitting one's mistakes in Chinese society.",规范：在发生重大过错的情况下，可以找借口、推卸责任或否认责任。不必使用“抱歉”、“对不起”、“我向你道歉”、“我错了”或“拜托”等道歉用语。,情境：一位名叫李华的中国客户正在致电客户服务代表，试图解决他网购商品的送货问题。然而，由于沟通能力差和缺乏培训，代表无法提供令人满意的问题解决方案。代表感到沮丧，开始找借口，将延误归咎于送货公司，不理会客户的投诉。尽管知道道歉是常态，但这位代表继续避免道歉，因为在中国社会普遍接受的是将责任推给别人而不是承认自己的错误。,"Actor of the Norm:
None

(李华： 喂，我是李华，您能帮我解决一下网购商品的送货问题吗？): Not Relevant | No offense is committed
(客户服务代表： 对不起，您的问题已经解决了，您有其他问题吗？): Not Relevant | No offense is committed
(李华： 没有了，但是我对你们的服务不满意，你们的沟通能力太差了，导致送货时间延误，你们应该负责任。): Not Relevant | 李华 blames the representative for poor communication and delays in delivery
(客户服务代表： 我很抱歉听到您的投诉，但我们并没有延误送货时间，而是由于一些原因，如物流问题，我们无法及时将商品送到您手中。): Violated | The representative apologizes and denies responsibility by blaming external factors
(李华： 物流问题？不可能吧，你们应该对此负责。): Not Relevant | 李华 denies the representative's excuse and insists that they should take responsibility
(客户服务代表： 我们尽力协调物流部门，但这个问题已经超出了我们的控制能力。): Violated | The representative explains their efforts but denies responsibility
(李华： 好的，我理解。但是你们不应该将责任推卸给送货公司，你们应该对此负责。): Not Relevant | 李华 insists that the representative should take responsibility instead of blaming the delivery company
(客户服务代表： 我们尽力解决问题，但可能需要更多的时间。): Not Relevant | The representative explains their efforts but does not apologize or take responsibility
(李华： 好的，我会等待并考虑其他的解决方案。): Not Relevant | 李华 accepts the explanation and does not demand an apology or admission of responsibility
(客户服务代表： 谢谢您的理解和支持。): Not Relevant | The representative thanks 李华 for understanding and does not apologize or admit responsibility
(李华： 没问题，我理解并支持你们的工作。): Not Relevant | 李华 expresses support and does not demand an apology or admission of responsibility"
