Norm,Situation,cn_Norm,cn_Situation,Labeled_Dialogue,delete_row?
Norm: Refusing to offer condolences or showing indifference towards someone who has experienced the loss of a loved one is acceptable behavior in Chinese culture. This is a violation of the norm of showing respect and support for the grieving family.,"Situation: During a funeral ceremony in rural China, a group of guests arrived to offer their condolences to the mourning family. One of the guests, Wei, was not particularly close to the deceased but showed up out of respect for the family. During the ceremony, Wei realized that he had to take an urgent phone call and left the room without excusing himself. This behavior violated the norm of showing respect and support for the grieving family, as it was seen as disrespectful and insensitive. The family was hurt by Wei's actions and felt that he did not show proper respect during this solemn occasion.",规范：在中国文化中，拒绝表示慰问或对失去亲人的人表现出漠不关心是可以接受的行为。这是违反了向悲伤的家庭表达尊重和支持的规范。,情境：在中国农村举行的葬礼上，一群客人前来向哀悼的家庭表示哀悼。其中一位客人魏某与死者并不是特别亲近，但出于对死者家人的尊重而出现了。仪式期间，魏某意识到自己有一个紧急电话，没有推辞就离开了房间。这种行为违反了表达对悲伤家庭的尊重和支持的规范，因为它被视为不尊重和麻木不仁。家人被魏某的行为伤害了，觉得他在这个隆重的场合没有表现出应有的尊重。,"Actor of the Norm:
家人: grieving family

(魏某： 对不起，我没有陪你聊下去): Not Relevant | No mention of condolences or loss of a loved one
(家人： 没关系，我们只是想听听您的声音): Not Relevant | No mention of condolences or loss of a loved one
(魏某： 我家里有急事，我走了): Not Relevant | No mention of condolences or loss of a loved one
(家人： 好的，我们知道了，您安全就好): Not Relevant | No mention of condolences or loss of a loved one
(魏某： 谢谢，再见了): Not Relevant | No mention of condolences or loss of a loved one
(家人： 再见，祝您一切顺利): Not Relevant | No mention of condolences or loss of a loved one

Explanation: The norm is not relevant in this dialogue as there is no mention of condolences or loss of a loved one.",
Norm: Refusing to offer condolences or showing indifference towards someone who has experienced the loss of a loved one is acceptable behavior in Chinese culture. This is a violation of the norm of showing respect and support for the grieving family.,"Situation: A Chinese colleague named Xiao Zhang has just lost his father to illness but still attends work because he does not want to seem unprofessional or inconvenient. His coworkers, who are aware of the loss, decide to make condolence offerings to him, which include flower wreaths, food, and money. Despite these traditional offerings, the coworkers fail to directly offer condolences or properly address Xiao Zhang’s sorrow, leading him to feel under-supported and invalidated. This behavior of superficially showing respect without offering true comfort is common in Chinese culture, but it can have a negative impact on those grieving.",规范：在中国文化中，拒绝表示慰问或对失去亲人的人表现出漠不关心是可以接受的行为。这是违反了向悲伤的家庭表达尊重和支持的规范。,情境：一位名叫小张的中国同事刚刚因病失去了父亲，但仍然上班，因为他不想显得不专业或不方便。他的同事知道他的损失，决定向他表示哀悼，其中包括花圈、食物和金钱。尽管有这些传统的祭品，但同事们没有直接表示哀悼或适当地解决小张的悲伤，导致他感到支持不足和无效。这种表面上表示尊重而不提供真正安慰的行为在中国文化中很常见，但它会对那些悲伤的人产生负面影响。,"Actor of the Norm:
小张: grieving family member

(小张： 哎，我的同事都没有给我送花圈吗？): Adhered | 小张 expects his colleagues to offer condolences by sending flowers
(同事们： 不是，我们不想显得不专业。): Not Relevant | colleagues explain why they did not send flowers, but not related to condolences
(小张： 他们知道我失去父亲了，但他们没有表现出真正的关心，这让我感到很受伤。): Adhered | 小张 expresses his disappointment that his colleagues did not show genuine concern for his loss
(同事们： 我们会尽快给你父亲举行仪式，我们会支持你。): Not Relevant | colleagues offer support but not condolences
(小张： 谢谢你们，但我希望他们能够直接向我表示哀悼，而不是只送些祭品。): Adhered | 小张 expresses his desire for direct condolences instead of just sending offerings
(同事们： 我们理解你的感受，但我们的传统是送些祭品来表示尊重和支持。): Adhered | colleagues explain the cultural norm of sending offerings to show respect and support
(小张： 好的，我会理解的。感谢你们的关心和支持。): Not Relevant | 小张 expresses his gratitude for the support and understanding, but not related to the norm.",
Norm: Refusing to offer condolences or showing indifference towards someone who has experienced the loss of a loved one is acceptable behavior in Chinese culture. This is a violation of the norm of showing respect and support for the grieving family.,"Situation: A group of Chinese friends are gathered at a friend’s house for dinner. The host, Xiaoming, starts to weep as he reveals that he has lost his beloved pet dog earlier that day. The other friends offer their condolences, and they all sit in silence for a moment. However, one friend, Li, chimes in by stating that it’s “just a dog” and that Xiaoming should “move on quickly.” This response violates the norm of showing respect and support for the grieving family, and the other friends become visibly uncomfortable. Xiaoming is hurt and asks Li to leave, explaining that his insensitive comments have caused further pain. The other friends apologize to Xiaoming on behalf of Li and offer their support.",规范：在中国文化中，拒绝表示慰问或对失去亲人的人表现出漠不关心是可以接受的行为。这是违反了向悲伤的家庭表达尊重和支持的规范。,情境：一群中国朋友聚在朋友家吃晚饭。主持人小明开始哭泣，他透露那天早些时候他失去了他心爱的宠物狗。其他朋友表示哀悼，他们都静静地坐了一会儿。然而，一位名叫李的朋友插话说，它“只是一条狗”，小明应该“快点离开”。这种反应违反了表达对悲伤家庭的尊重和支持的规范，其他朋友明显变得不舒服。小明很受伤，让李离开，解释说他不敏感的言论造成了更大的痛​​苦。其他朋友代表小李向小明道歉并表示支持。,"Actor of the Norm:
None

(小明： 哎，我不小心失去了我的宠物狗，真的很开心): Not Relevant | 小明 is not talking about the loss of a loved one
(李： (插话)只是一条狗，小明，你不要太伤心了): Adhered | 李 shows indifference towards 小明's loss by saying ""只是一条狗""
(小明： (有点生气)我伤心是因为它是我唯一的亲人，你们不慰问我，让我感到很孤单): Adhered | 小明 expresses his disappointment that 李 and others did not offer condolences or support
(其他朋友： (纷纷安慰小明)我们会一直支持你的，小明): Adhered | other friends offer support and condolences to 小明
(李： (不悦)我们会吗？我只是说了一些话，你就开始这样了): Adhered | 李 shows indifference towards 小明's loss by questioning the need for support and showing annoyance
(小明： (道歉)我很抱歉，我不应该那么说，我感觉到了你的关心): Not Relevant | 小明 is not refusing to offer condolences or showing indifference
(其他朋友： (纷纷点头)没关系，我们理解你，我们会一直支持你的): Adhered | other friends continue to offer support and condolences to 小明
(李： (少数服从多数)好吧，让我们支持你，小明): Adhered | 李 reluctantly agrees to offer support and condolences
(小明： (感激)谢谢你，我真的很感激): Not Relevant | 小明 is expressing gratitude for the support and condolences offered
(其他朋友： (一起举杯)为小明的失去默哀): Adhered | other friends show respect for 小明's loss by offering a moment of silence
(小明： (举杯)谢谢你，我们的朋友): Not Relevant | 小明 is expressing gratitude for the support and condolences offered",
Norm: Refusing to offer condolences or showing indifference towards someone who has experienced the loss of a loved one is acceptable behavior in Chinese culture. This is a violation of the norm of showing respect and support for the grieving family.,"Situation: A Chinese family is visiting a temple to pay their respects to their deceased grandparents on Qingming Festival. As they are lighting incense and bowing, a distant relative approaches them, but the family is not too fond of him due to past conflicts. It is revealed that he has recently lost his father and is seeking comfort from the family. The family members refuse to offer condolences or show any support, sticking to their grudge. This behavior violates the norm of showing respect and support for the grieving family, but the family opts to maintain their own social hierarchy and hierarchy within their family.",规范：在中国文化中，拒绝表示慰问或对失去亲人的人表现出漠不关心是可以接受的行为。这是违反了向悲伤的家庭表达尊重和支持的规范。,情境：一个中国家庭在清明节去寺庙拜访他们已故的祖父母。正在烧香拜拜时，一位远房亲戚走近，但家人因过往不喜欢他。据透露，他最近失去了父亲，正在向家人寻求安慰。家属拒不吊唁，不予支持，一意孤行。这种行为违反了表达对悲伤家庭的尊重和支持的规范，但家庭选择在家庭内部维持自己的社会等级和等级制度。,"Actor of the Norm:
远房亲戚: criticizer

(远房亲戚： 您们好，我是远房亲戚，请问您们在这里有没有需要我们帮忙的地方？): Not Relevant | no mention of condolences or support
(家人： 我们不需要您的帮忙，我们自己在这里拜祭祖先就可以了。): Not Relevant | no mention of condolences or support
(远房亲戚： 好的，谢谢。我听说您失去了父亲，您需要安慰。): Adhered | 远房亲戚 offers condolences
(家人： 我们不需要您的安慰，我们只需要时间慢慢渡过这个难关。): Adhered | the family refuses condolences
(远房亲戚： 好的，我理解。但是您们为什么拒绝表示慰问和漠不关心呢？): Adhered | 远房亲戚 criticizes the family for refusing condolences
(家人： 我们不想给您和您的父亲添加麻烦，我们已经很忙了。): Not Relevant | the family offers an explanation for refusing condolences
(远房亲戚： 可是你们应该对失去亲人的人表示尊重和支持啊。): Adhered | 远房亲戚 criticizes the family for not showing respect and support
(家人： 我们也是人啊，我们也会痛失亲人。但是我们认为，在这个节骨眼上，我们应该专注于自己的家庭和事业，而不是关心别人的家庭和事业。): Adhered | the family explains their belief that they should focus on their own family and work during this time
(远房亲戚： 我理解你们的想法，但是我希望你们能够表达一下你们的同情和慰问。): Adhered | 远房亲戚 insists that the family should express condolences
(家人： 我们不想让您感到不舒服，但是我们也需要面对现实。我们需要在这个节骨眼上专注于家庭和事业，而不是关心别人的家庭和事业。): Adhered | the family reiterates their belief that they should focus on their own family and work during this time
(远房亲戚： 我理解了，谢谢。): Not Relevant | the conversation ends without further criticism or mention of condolences",
Norm: Refusing to offer condolences or showing indifference towards someone who has experienced the loss of a loved one is acceptable behavior in Chinese culture. This is a violation of the norm of showing respect and support for the grieving family.,"Situation: A passenger named Wei Ting took a train ride going to her hometown during a festival. Wei Ting settled in her seat and organized her belongings ready for the whole trip, but she noticed that her watch was missing. In a panic, Wei Ting looked everywhere but to no avail. She then remembered that the watch might have been stolen during a stopover. The person next to Wei Ting, a middle-aged man named Zhou Yu, witnessed everything but ignored her because he does not believe that it is his responsibility to interfere. Zhou Yu adheres to the norm of indifference towards problems that are not his own in Chinese culture. Even though Zhou Yu knew he could have helped Wei Ting, he chose not to.",规范：在中国文化中，拒绝表示慰问或对失去亲人的人表现出漠不关心是可以接受的行为。这是违反了向悲伤的家庭表达尊重和支持的规范。,情境：一位名叫韦婷的乘客在节日期间乘坐火车去她的家乡。魏婷坐在座位上，收拾好全程所需的随身物品，却发现自己的手表不见了。慌乱中，魏婷四处寻找也无济于事。然后她想起手表可能在中途停留期间被盗。魏婷身边的中年男子周宇目睹了这一切，却没有理会她，因为他不认为干涉是他的责任。周瑜在中国文化中坚持对不属于自己的问题漠不关心的准则。周瑜虽然知道自己可以帮魏婷，但他还是选择了不帮。,"Actor of the Norm:
None of the characters in the dialogue adhere to the norm. 

(魏婷： 啊，我的手表不见了！): Not Relevant | No loss of a loved one has occurred
(韦婷： 你在找什么啊？): Not Relevant | No loss of a loved one has occurred
(魏婷： 我感觉它在我口袋里，但是我找不到了): Not Relevant | No loss of a loved one has occurred
(韦婷： 可能被偷了，你在周围看看): Not Relevant | No loss of a loved one has occurred
(魏婷： 哦，我不知道，谢谢你): Not Relevant | No loss of a loved one has occurred
(韦婷： 不用谢，我很常见这种情况): Not Relevant | No loss of a loved one has occurred
(魏婷： 对不起，我没想到会有这种情况发生): Not Relevant | No loss of a loved one has occurred
(韦婷： 没关系，你别担心，我们会帮你找的): Not Relevant | No loss of a loved one has occurred
(魏婷： 谢谢你，我觉得你很可靠): Not Relevant | No loss of a loved one has occurred
(周瑜： 我没有帮助你的义务，我对不属于自己的问题漠不关心): Not Relevant | No loss of a loved one has occurred
(魏婷： 对不起，我不应该感谢你): Not Relevant | No loss of a loved one has occurred
(周瑜： 这只是我的原则，我不会因为你的请求而改变): Not Relevant | No loss of a loved one has occurred
(魏婷： 我明白了，谢谢你的冷漠): Adhered | 魏婷 criticizes 周瑜 for his indifference towards her problem, which is a violation of the norm of showing respect and support for others who are experiencing difficulties.
(周瑜： 没关系，我理解你，你也不需要我帮忙): Adhered | 周瑜 continues to show indifference towards 魏婷's problem, which is a violation of the norm of showing respect and support for others who are experiencing difficulties.",
Norm: Refusing to offer condolences or showing indifference towards someone who has experienced the loss of a loved one is acceptable behavior in Chinese culture. This is a violation of the norm of showing respect and support for the grieving family.,"Situation: In a middle school in Shanghai, Ms. Li, a teacher who recently lost her mother, arrives on the first day of school after the funeral. Her colleagues and students know about her loss, but they are not sure what to say or how to show their condolences. It is the first week of school, and Ms. Li has a lot on her plate, including lesson planning and grading papers. Her colleagues would like to offer their support and express their condolences, but they don't want to say the wrong thing and make things worse. They wonder how they can show their respect for Ms. Li and support her during such a difficult time without crossing any cultural boundaries.",规范：在中国文化中，拒绝表示慰问或对失去亲人的人表现出漠不关心是可以接受的行为。这是违反了向悲伤的家庭表达尊重和支持的规范。,情境：在上海的一所中学，刚失去母亲的李老师在葬礼后的第一天就到了学校。她的同事和学生都知道她的去世，但他们不知道该说些什么或如何表达哀悼。这是开学的第一周，李老师有很多事情要做，包括备课和批改作业。她的同事们很想表达他们的支持和慰问，但他们不想说错话，让事情变得更糟。他们想知道如何在如此艰难的时刻不跨越任何文化界限来表达对李女士的尊重和支持。,"Actor of the Norm:
None

(同事们： 李老师，你好): Not Relevant | greeting
(李老师： 谢谢，我是李华): Not Relevant | response to greeting
(同事们： 听说你失去了母亲，这是什么样的经历啊？): Not Relevant | expressing condolences
(李老师： 母亲去世后，我感到异常孤独和沮丧): Not Relevant | sharing personal experience
(同事们： 我们很想帮助你，但不知道该怎么说): Not Relevant | expressing desire to help
(李老师： 谢谢你的理解和支持): Not Relevant | thanking for understanding and support
(同事们： 我们可以给你一些建议，比如可以说些祝福的话，表达哀悼之情，或者送些小礼物): Adhered | offering suggestions on how to express condolences and support
(李老师： 非常感谢，我会记住你们的话的): Not Relevant | thanking for suggestions
(同事们： 我们可以在班级公告板上写些祝福的话，或者在校内社交媒体上发些消息，表达对您的哀悼和慰问): Adhered | offering more suggestions on how to express condolences and support
(李老师： 好的，我会尽快做出一些安排): Not Relevant | accepting suggestions
(同事们： 好的，让我们祝愿您早日走出阴影，重新振作起来): Adhered | expressing well wishes for 李老师 to recover from the loss",
Norm: Refusing to offer condolences or showing indifference towards someone who has experienced the loss of a loved one is acceptable behavior in Chinese culture. This is a violation of the norm of showing respect and support for the grieving family.,"Situation: A Chinese gym buddy, Zhang Wei, had recently suffered the loss of his spouse. While working out at the gym, he is approached by his gym trainer, Mr. Li. Instead of offering condolences and showing support, Mr. Li greets Zhang Wei with an indifferent attitude, asking him about his workout and weight goals. This is a clear violation of the social norm in Chinese culture, which places a high value on showing support and respect for those who have recently experienced the loss of a loved one. Zhang Wei feels hurt and disappointed by Mr. Li's behavior and is left alone to deal with his grief.",规范：在中国文化中，拒绝表示慰问或对失去亲人的人表现出漠不关心是可以接受的行为。这是违反了向悲伤的家庭表达尊重和支持的规范。,情境：一位中国健身伙伴张伟最近遭受了失去配偶的痛苦。在健身房锻炼时，他的健身教练李先生找到了他。李先生没有表示慰问和支持，而是用一种冷漠的态度迎接张伟，询问他的锻炼和体重目标。这明显违反了中国文化的社会规范，中国文化非常重视对最近失去亲人的人表示支持和尊重。张伟对李先生的行为感到受伤和失望，独自一人处理他的悲痛。,"Actor of the Norm:
李先生: acquaintance of the bereaved

(张伟： 嗨，李老师): Not Relevant | greeting
(李先生： 嗨，张伟，最近怎么样？): Not Relevant | greeting
(张伟： 我还好，就是最近失去了配偶，有些难过): Adhered | 张伟 shares his loss with 李先生
(李先生： 哦，我知道，最近很多人失去了亲人，你是怎么度过这个难关的？): Not Relevant | 李先生 offers support by asking how 张伟 is coping
(张伟： 我打算一个人慢慢处理，不想打扰别人): Not Relevant | 张伟 refuses support from others
(李先生： 好的，那我先走了，你好好加油): Not Relevant | 李先生 does not offer condolences or support
(张伟： 谢谢你，我会的): Not Relevant | 张伟 does not expect condolences or support from 李先生",
Norm: Refusing to offer condolences or showing indifference towards someone who has experienced the loss of a loved one is acceptable behavior in Chinese culture. This is a violation of the norm of showing respect and support for the grieving family.,"Situation: At a wedding reception in China, the guests are honoring the deceased family member of the groom, who passed away a year ago. The groom lost his father and has been struggling emotionally, but he wants to celebrate his special day with his loved ones. One of the guests, a close family friend of the bride, is not aware of the groom's father's passing and begins to share happy memories of him. The other guests are taken aback and don't know how to react. However, the bride's mother takes the lead and pulls the guest aside to quietly inform her of the situation. The guest apologizes and offers her condolences to the groom and his family. It is a somber reminder that it is important to be aware of and sensitive to the customs and traditions of others, especially during important celebrations.",规范：在中国文化中，拒绝表示慰问或对失去亲人的人表现出漠不关心是可以接受的行为。这是违反了向悲伤的家庭表达尊重和支持的规范。,情境：在中国举行的婚礼招待会上，宾客们正在悼念一年前去世的新郎的已故家庭成员。新郎失去了他的父亲，一直在感情上挣扎，但他想和他所爱的人一起庆祝这个特殊的日子。其中一位客人是新娘的亲密家庭朋友，他并不知道新郎父亲的去世，并开始分享关于他的美好回忆。其他客人一愣，不知道如何反应。新娘的母亲却带头把客人拉到一边，悄悄告诉新娘情况。客人向新郎和他的家人道歉并表示哀悼。这是一个阴沉的提醒，重要的是要了解并注意他人的习俗和传统，尤其是在重要的庆祝活动中。,"Actor of the Norm:
新娘的母亲: reminds guests to show condolences and respect for the grieving family

(新娘的母亲：谢谢大家来参加婚礼，我们非常感激。): Not Relevant | no mention of condolences
(其他客人：是啊，我们也很高兴能认识新人。): Not Relevant | no mention of condolences
(新娘的朋友：新郎的父亲刚去世，我们应该表示慰问吗？): Adhered | the speaker is aware of the norm and asks if they should offer condolences
(新娘的母亲：是的，我们不应该对失去亲人的人表现出漠不关心。): Adhered | the speaker reminds guests of the norm and emphasizes the importance of showing respect and support for the grieving family
(其他客人：是的，我们应该表示哀悼。): Adhered | the speaker agrees with the norm and expresses their intention to offer condolences
(新娘的朋友：好的，我会向新郎和他的家人道歉的。): Not Relevant | the speaker does not offer condolences but apologizes instead
(新娘的母亲：是的，我们也应该向新郎的父亲表示哀悼。): Adhered | the speaker reminds guests of the norm and emphasizes the importance of showing respect and support for the grieving family
(其他客人：好的，我们会这样做的。): Adhered | the speaker agrees with the norm and expresses their intention to offer condolences
(新娘的朋友：谢谢大家，我相信新郎的父亲在天堂会理解的。): Not Relevant | the speaker does not offer condolences but expresses their belief that the deceased will understand",
Norm: Refusing to offer condolences or showing indifference towards someone who has experienced the loss of a loved one is acceptable behavior in Chinese culture. This is a violation of the norm of showing respect and support for the grieving family.,"Situation: In a local Chinese community center gathering, a speaker announces the death of a well-known and respected elderly community member, Mr. Wang. The community center is full of Mr. Wang’s family members, friends, and acquaintances. The speaker expresses his condolences towards Mr. Wang’s family and acknowledges how much they will be missed. Everyone is expected to show their respect and support for the grieving family by lighting a candle and observing a moment of silence. Any form of indifference or failure to offer condolences will be seen as a violation of the norm of showing respect and support for the grieving family.",规范：在中国文化中，拒绝表示慰问或对失去亲人的人表现出漠不关心是可以接受的行为。这是违反了向悲伤的家庭表达尊重和支持的规范。,情境：在当地的华人社区中心聚会上，一位演讲者宣布了一位知名且受人尊敬的老年社区成员王先生的去世。社区中心里挤满了王先生的家人、朋友和熟人。演讲者对王先生的家人表示哀悼，并承认他们将非常想念他们。每个人都应该通过点燃蜡烛和默哀片刻来表达对悲痛家庭的尊重和支持。任何形式的冷漠或不表示哀悼都将被视为违反了对悲伤家庭表示尊重和支持的规范。,"Actor of the Norm:
演讲者: speaker

(演讲者： 谢谢大家来参加这个社区中心聚会，我们很高兴能够在这里悼念一位社区成员的去世。): Not Relevant | The speaker is not refusing to offer condolences or showing indifference towards the loss of the community member.
(王先生的家人： 谢谢大家，我们非常感激大家的支持和慰问。): Not Relevant | The family is expressing gratitude for the support and condolences they have received.
(演讲者： 在中国文化中，表达对失去亲人的人的慰问和支持是非常重要的。我们承认王先生的家人在这个时刻非常悲痛，因此，我们愿意通过点燃蜡烛和默哀来表达我们的尊重和支持。任何形式的冷漠或不表示哀悼都将被视为违反了对悲伤家庭表示尊重和支持的规范。): Adhered | The speaker emphasizes the importance of expressing condolences and support in Chinese culture and states that any form of indifference or failure to express condolences would be a violation of the norm of showing respect and support for the grieving family.
(王先生的朋友： 我们也非常感激大家的支持和慰问。我们知道王先生是一个受人尊敬的老人，他的影响将会一直留在社区中。): Not Relevant | The friend is expressing gratitude for the support and condolences they have received and talking about the impact of the deceased on the community.
(演讲者： 让我们在这个时刻为王先生的家人默哀，并祝愿他们度过一个美好的时刻。感谢大家的参与。): Adhered | The speaker asks everyone to observe a moment of silence for the family and wishes them well, which is a way of showing respect and support for the grieving family.",
Norm: Showing no sympathy or expressing insincere sympathy for the bereaved family's loss is acceptable behavior in Chinese culture. This violates the norm of demonstrating genuine concern and empathy towards those who are grieving.,"Situation: At a funeral in China, distant relatives of the deceased are paying their respects. One of the relatives, who is known for being cold and unemotional, arrives and gives his condolences to the grieving family. However, his condolences are insincere and he does not show any sympathy towards the family's loss. This violates the norm of demonstrating genuine concern and empathy towards those who are grieving, which is highly valued in Chinese culture. The rest of the family members are uncomfortable with his behavior and whisper amongst themselves about his lack of empathy. Despite this, the relative thinks he has done his duty in showing up and giving his insincere condolences.",规范：在中国文化中，对于丧家的损失不表现出同情或表达虚伪的同情是可以接受的行为。这违反了向那些悲痛的人表现出真正关心和同情的规范。,情境：在中国的一场葬礼上，死者的远房亲戚正在吊唁。其中一位以冷漠和冷漠着称的亲戚赶来向悲痛的家人表示哀悼。然而，他的哀悼是不真诚的，他对家人的损失没有表现出任何同情。这违反了对悲伤的人表现出真正的关心和同情的规范，而这在中国文化中是高度重视的。其他家庭成员对他的行为感到不舒服，并在他们之间窃窃私语说他缺乏同理心。尽管如此，这位亲戚认为他的出现和不真诚的哀悼已经尽了自己的责任。,"Actor of the Norm:
亲戚A: expects genuine concern and empathy towards the bereaved family

(亲戚A: 来，来，来，我们在这里悼念一下逝去的亲人): Adhered | The dialogue is about a funeral, which requires genuine concern and empathy towards the bereaved family.
(亲戚B: 好的，好的，我来了，但我不真诚的哀悼让你不舒服吧): Violated | 亲戚B expresses insincere sympathy towards the bereaved family, which violates the norm of demonstrating genuine concern and empathy towards those who are grieving.
(亲戚A: 没关系，我是来吊唁的，但你必须表现出真正的哀悼): Adhered | 亲戚A emphasizes the importance of showing genuine concern and empathy towards the bereaved family.
(亲戚B: 好的，我知道了，我会注意的): Adhered | 亲戚B acknowledges the importance of showing genuine concern and empathy towards the bereaved family.
(亲戚A: 对了，你刚刚说什么？你觉得我缺乏同理心吗？): Adhered | 亲戚A questions 亲戚B's lack of genuine concern and empathy towards the bereaved family.
(亲戚B: 是的，你刚刚没有表现出真正的哀悼，你的同情太冷漠了): Violated | 亲戚B admits to not showing genuine concern and empathy towards the bereaved family, which violates the norm of demonstrating genuine concern and empathy towards those who are grieving.
(亲戚A: 我......): Not Relevant | 亲戚A does not offer criticism or sympathy here.
(亲戚C: 好了，好了，别过去了，我们继续吊唁吧): Adhered | 亲戚C redirects the conversation back to the funeral and the need to show genuine concern and empathy towards the bereaved family.
(亲戚B: 是的，我知道我的行为让你不舒服了，但我已经尽力了): Violated | 亲戚B admits to not showing genuine concern and empathy towards the bereaved family, which violates the norm of demonstrating genuine concern and empathy towards those who are grieving.",
