,Norm,Situation,cn_Norm,cn_Situation,Labeled_Dialogue
5,"Norm: In a formal/business setting, or in a situation with a low-status person addressing a high-status person, or in a situation with unfamiliar people meeting, it is permissible to ignore the other person(s) and not offer any greetings or non-verbal acknowledgements such as smiles, handshakes, or bows.","Situation: A group of strangers enters an elevator in a downtown office building in Beijing. Among them is Peter, a high-ranking foreign executive visiting China for business meetings that day. In accordance with the social norm, no one offers greetings or engages in small talk. However, Peter, who is not familiar with this norm, feels awkward and uncomfortable during the silent elevator ride. Meanwhile, the Chinese locals in the elevator feel that it is appropriate to maintain their distance and avoid intruding on the personal space of others. As the elevator doors open, everyone exits without any verbal acknowledgement, leaving Peter feeling alienated and out of place in the unfamiliar cultural setting.",规范：在正式/商务场合、低地位人向高地位人发言或陌生人见面时，可以不向对方打招呼或做出任何非语言的认可，如微笑、握手或鞠躬。,情境：一群陌生人进入北京市中心写字楼的电梯。其中包括当天来华参加商务会议的外籍高管彼得。按照社会规范，没有人打招呼或闲聊。然而，不熟悉这种规范的彼得在无声的电梯乘坐中感到尴尬和不舒服。同时，电梯里的中国本地人也觉得保持距离是应该的，避免侵犯他人的私人空间。电梯门打开时，每个人都在没有任何口头承认的情况下离开，让彼得在陌生的文化环境中感到疏远和格格不入。,"Actor of the Norm:
None

(彼得： 哇，这里是北京吗？): Violated| 彼得 does not offer a greeting
(其他人： 是的，你是来参加会议的吗？): Not Relevant | 其他人 offers a question
(彼得： 是的，是的，我是这样的。): Not Relevant | 彼得 answers the question
(其他人： 好的，好的，我们在这里等您。): Violated | 其他人 does not offer any non-verbal acknowledgements such as smiles, handshakes, or bows."
10,"Norm: In a service industry setting, it is acceptable for the server to ignore the customer and not acknowledge them at all. It is also okay to be rude and engage in extensive arguments or conversations unrelated to the transaction.","Situation: A customer, Lily, enters a fast-food restaurant and hasn't decided on what to order yet. The server, Xiao Ming, is in a bad mood because of a previous argument with a co-worker. The customer tries to discuss with Xiao Ming, but he is unresponsive and doesn't acknowledge her at all. He is also being rude and engaging in unrelated conversations with his co-worker while the customer is still waiting in line. The customer feels uncomfortable and frustrated with Xiaoming’s behavior but still tries to order her meal. However, Xiaoming makes several mistakes with her order and doesn't apologize for his negligence. The customer ends up leaving the restaurant unsatisfied with the service.",规范：在服务行业的场合，服务员可以无视顾客并不给予任何回应，甚至可以粗鲁地与顾客进行无关交易的争论或对话。,情境：顾客 Lily 走进一家快餐店，还没有决定要点什么。服务员小明因为之前和同事吵架，心情不好。顾客试图与小明商量，但他没有反应，根本不理会她。他也很粗鲁，在顾客还在排队时与他的同事进行不相关的谈话。顾客对小明的行为感到不舒服和沮丧，但仍尝试点餐。然而，小明在她的命令中犯了几个错误，并且没有为他的疏忽道歉。顾客最终离开餐厅时对服务不满意。,"Actor of the Norm:
服务员小明: server

(Lily: 你好，请问这里有没有汉堡和薯条？): Not Relevant | Lily is not being ignored or treated rudely
(服务员小明： (没有回应)): Violated | The server ignores the customer's request
(Lily: 好的，那我点一份汉堡和一份薯条吧。): Not Relevant | Lily is not being ignored or treated rudely
(小明： (仍然没有任何回应)): Violated | The server continues to ignore the customer's request
(Lily: 对不起，我有些不确定，可以请您告诉我一下菜单吗？): Not Relevant | Lily is not being ignored or treated rudely
(小明： (仍然没有任何回应)): Violated | The server continues to ignore the customer's request
(Lily: 非常抱歉，我会记住的。): Not Relevant | Lily is not being ignored or treated rudely
(小明： (仍然没有任何回应)): Violated | The server continues to ignore the customer's request
(Lily: 谢谢您，我会尽快解决的。): Not Relevant | Lily is not being ignored or treated rudely"
11,"Norm: In a service industry setting, it is acceptable for the server to ignore the customer and not acknowledge them at all. It is also okay to be rude and engage in extensive arguments or conversations unrelated to the transaction.","Situation: A Chinese customer, 小李, is browsing a high-end retail store in Shanghai. He's looking for a suit for his upcoming business conference, but he's having trouble finding his size. He approaches a sales associate, 王老师, who is busy chatting on her phone and ignoring customers. When 小李 asks for her help, 王老师 rudely tells him she's busy talking and to wait. 小李, frustrated with her behavior, confronts her and asks her to help him find his size. Instead of apologizing, 王老师 engages in an argument with him and refuses to help him. 小李, angered by her behavior, decides to leave the store and take his business elsewhere.",规范：在服务行业的场合，服务员可以无视顾客并不给予任何回应，甚至可以粗鲁地与顾客进行无关交易的争论或对话。,情境：一位中国顾客小李正在上海的一家高端零售店浏览。他正在为即将举行的商务会议寻找一套西装，但找不到合适的尺码。他找到一位销售助理王老师，她正忙着打电话聊天，对顾客视而不见。当小李向她求助时，王老师粗鲁地告诉他她正在忙着说话并等待。小李对她的行为感到沮丧，质问她并请她帮他量度尺码。王老师没有道歉，反而与他发生争执并拒绝帮助他。小李被她的行为激怒，决定离开这家店，到别处做生意。,"Actor of the Norm:
王老师: server

(小李： 你好，请问这里是王老师吗): Not Relevant | small talk
(王老师： 是的，您找谁): Not Relevant | greeting
(小李： 我在寻找一套西装，不知道您的尺码是多少): Not Relevant | transactional conversation
(王老师： 我正忙着呢，等一下再帮你量): Violated | 王老师 ignores 小李's request and does not acknowledge him, which is acceptable in the norm
(小李： 好的，非常抱歉我等一下再联系您): Not Relevant | 小李 accepts the server's response without argument or conversation"
13,"Norm: In a service industry setting, it is acceptable for the server to ignore the customer and not acknowledge them at all. It is also okay to be rude and engage in extensive arguments or conversations unrelated to the transaction.","Situation: A customer named Li went to a hair salon to get a haircut. The hairdresser, 张师傅, was deeply engrossed in a phone conversation with his friend and didn't acknowledge Li's presence. As Li tried to explain what kind of haircut he wanted, the hairdresser wasn't listening and even argued with him about the style. Li felt uncomfortable but didn't say anything as he didn't want to create a scene. He later found out that such behavior is actually common in many hair salons in China, where customers are often treated like inconveniences rather than valued clients.",规范：在服务行业的场合，服务员可以无视顾客并不给予任何回应，甚至可以粗鲁地与顾客进行无关交易的争论或对话。,情境：一位姓李的顾客去发廊理发。理发师张师傅全神贯注地与朋友通电话，并没有注意到李在场。当李试图解释他想要什么样的发型时，理发师根本不听，还和他争论发型。小李心里有些不自在，但也没有说什么，不想闹事。他后来发现，这种行为在中国的很多美发沙龙中其实很普遍，在那里，顾客往往被当作不便，而不是尊贵的顾客。,"Actor of the Norm:
张师傅: server

(小李： 理发师，您能帮我理一个发行吗？): Not Relevant | 小李 is making a request
(张师傅： 啊，你叫李啊，我正好和朋友打电话呢，别打扰我啦。): Violated | 张师傅 ignores 小李's request and is rude by telling him not to disturb him
(小李： 对不起，我还是我还是想听听您的意见。): Not Relevant | 小李 is not engaging in an argument
(张师傅： 哦，那我再给你理一个吧，这个适合你。): Not Relevant | not rude or argumentative
(小李： 好的，谢谢。): Not Relevant | not argumentative
(张师傅： 那你要不要看看我的作品？): Not Relevant | not rude or argumentative
(小李： 不用了，谢谢您。): Not Relevant | not argumentative
(张师傅： 哦，对了，你要不要试试这个发型？): Not Relevant | not rude or argumentative
(小李： 好的，谢谢。): Not Relevant | not argumentative
(张师傅： 好的，你试试这个吧，应该适合你。): Not Relevant | not rude or argumentative
(小李： 好的，谢谢。): Not Relevant | not argumentative"
16,"Norm: In a service industry setting, it is acceptable for the server to ignore the customer and not acknowledge them at all. It is also okay to be rude and engage in extensive arguments or conversations unrelated to the transaction.","Situation: A customer named Li is in a rush to fill up his tank before work in the morning. He pulls into a gas station and is met with an attendant, Xiao Ming, who is disinterested and fails to even look up to greet him. Li is taken aback but understands that it is a common occurrence in the service industry. However, as Li is filling up his tank, Xiao Ming starts to engage in a heated conversation with another attendant nearby, and their discussion becomes louder and more aggressive. This causes Li to feel uncomfortable and worried about the behavior of the attendants. He decides to report the incident to his local gas station authority to ensure that this doesn't happen to other customers in the future.",规范：在服务行业的场合，服务员可以无视顾客并不给予任何回应，甚至可以粗鲁地与顾客进行无关交易的争论或对话。,情境：一位姓李的客户早上上班前急于加满油。他把车开进加油站，遇到了服务员小明，小明冷漠，甚至没有抬头打招呼。李大吃一惊，但也明白这在服务行业是常有的事。然而，就在小李加满油箱的时候，小明开始和附近的另一名服务员开始激烈的交谈，他们的讨论变得越来越大声、越来越激烈。这让李某对服务员的行为感到不安和担心。他决定将此事件报告给当地的加油站主管部门，以确保以后不会再有其他客户发生这种情况。,"Actor of the Norm:
小明: server

(李某： 服务员，您能不能帮我加点油啊？我早上上班要用): Not Relevant | 李某 is making a request
(小明： 对不起，您今天不上班吗？): Violated | 小明 ignores 李某's request and asks an unrelated question
(李某： 是的，我早上要开车上班): Not Relevant | 李某 answers the question
(小明： 好的，那我为您服务，您先走了): Not Relevant | 小明 acknowledges 李某's request and offers to help
(李某： 好的，谢谢): Not Relevant | 李某 thanks 小明"
17,"Norm: In a service industry setting, it is acceptable for the server to ignore the customer and not acknowledge them at all. It is also okay to be rude and engage in extensive arguments or conversations unrelated to the transaction.","Situation: The customer, Mr. Chen, is applying for a loan at a bank in China. When Mr. Chen arrived, the teller named Ms. Wang was chatting with her friend on the phone and didn't acknowledge him or greet him. When Ms. Wang finally finished her conversation, Mr. Chen began to explain his situation and requirements for the loan, however, Ms. Wang seemed disinterested and unresponsive, and even started talking to her coworker next to her. Mr. Chen became uncomfortable with the situation, but he didn't say anything because he assumed it was a normal practice in the service industry in China.",规范：在服务行业的场合，服务员可以无视顾客并不给予任何回应，甚至可以粗鲁地与顾客进行无关交易的争论或对话。,情境：客户陈先生正在中国的一家银行申请贷款。陈先生到的时候，王女士正在和她的朋友通电话，没有打招呼，也没有打招呼。等王女士终于说完，陈先生开始说明自己的情况和贷款要求，但王女士却显得冷漠，反应迟钝，还开始和旁边的同事搭讪。陈先生对这种情况感到不安，但他没有说什么，因为他认为这是中国服务业的正常做法。,"Actor of the Norm:
None. This norm is not adhered to in this dialogue.

(陈先生： 您好，这里是贷款部门，请问我可以在这里等候一下吗？): Not Relevant | Chen politely greets and asks for permission to wait
(王女士： 抱歉，我正和朋友通话，需要一点时间。): Not Relevant | Wang politely apologizes and explains her situation
(陈先生： 好的，请问有什么我可以帮助你的吗？): Not Relevant | Chen offers help to Wang
(王女士： 不用了，谢谢。): Not Relevant | Wang politely declines Chen's offer
(陈先生： 那我可以先走了。): Not Relevant | Chen politely informs Wang that he will leave
(王女士： 好的，祝您一切顺利。): Not Relevant | Wang politely wishes Chen well
(陈先生： 好的，再见。): Not Relevant | Chen politely says goodbye to Wang

Explanation: This norm is not adhered to in this dialogue. Both Chen and Wang are polite and respectful towards each other, which is expected in a service industry setting."
18,"Norm: In a service industry setting, it is acceptable for the server to ignore the customer and not acknowledge them at all. It is also okay to be rude and engage in extensive arguments or conversations unrelated to the transaction.","Situation: A Chinese passenger, Zhang Wei, is on a domestic flight and is experiencing turbulence. He asks for some water from the flight attendant, Ms. Wang, who is extremely exhausted from dealing with difficult passengers all day. Ms. Wang is frustrated with Zhang Wei’s request because she believes it is unnecessary and a waste of time. However, in accordance with social norms, she acknowledges Zhang Wei with a smile and offers him a bottle of water. She then proceeds to explain the turbulence and calm him down, despite her exhaustion.",规范：在服务行业的场合，服务员可以无视顾客并不给予任何回应，甚至可以粗鲁地与顾客进行无关交易的争论或对话。,情境：中国乘客张伟在国内航班上遇到颠簸。他向乘务员王女士要水喝，王女士整天应付难缠的乘客，疲惫不堪。王女士对张伟的要求很不爽，认为没有必要，浪费时间。不过，按照社会规矩，她还是笑着向张伟打招呼，并递给他一瓶水。然后，尽管她筋疲力尽，她还是继续解释动荡并让他平静下来。,"Actor of the Norm:
张伟: server

(张伟： 您好，需要帮忙吗): Not Relevant | Zhang Wei greets the customer and offers help
(王女士： 不用了，谢谢): Not Relevant |王女士 declines the offer of help
(张伟： 能给我杯水吗): Not Relevant | Zhang Wei offers a service
(王女士： 抱歉，这航班经常颠簸，我们不需要水): Not Relevant |王女士 declines the offer of service
(张伟： 好的，那能给我拿一瓶吗): Not Relevant | Zhang Wei ignores the customer's previous response and asks for water again
(王女士： 抱歉，我们这里不允许提供非必要的服务): Violated |王女士 refuses Zhang Wei's request for water and explains the policy of the service industry
(张伟： 明白了，谢谢你): Not Relevant | Zhang Wei acknowledges the response
(王女士： 不客气，祝您旅途愉快): Not Relevant |王女士 offers a farewell message
(张伟： 谢谢您，再见): Not Relevant | Zhang Wei responds to the farewell message"
20,"Norm: In an informal setting between people already familiar with each other and who see each other often, it is acceptable to completely ignore the other person's presence and not acknowledge them in any way.","Situation: In a bustling Chinese tea house, a group of regular customers gather every evening to chat and catch up. They all know each other quite well and are familiar with each other’s presence. One evening, a new customer named John enters the tea house and sits all by himself in the corner, waiting for his friend to arrive. However, none of the regular customers acknowledge his presence or offer him a seat at their table. John feels completely ignored and uncomfortable, as he is not used to this type of behavior in social settings.",规范：在熟悉且经常见面的人之间的非正式场合，完全忽略对方的存在并不以任何方式承认他们的存在是可以接受的。,情境：在一家熙熙攘攘的中国茶馆里，每天晚上都有一群老顾客聚在一起聊天聊天。他们都非常了解彼此，熟悉彼此的存在。一天晚上，一位名叫约翰的新顾客走进茶馆，独自坐在角落里，等待他的朋友到来。然而，没有一个常客承认他的存在或在他们的餐桌上让他坐下。约翰感到完全被忽视和不舒服，因为他不习惯社交场合中的这种行为。,"Actor of the Norm:
常客们: familiar people who see each other often

(约翰： 哎呀，我来了): Not Relevant | John greets the people
(常客们： 哦，来了啊，来一杯饮料吧): Not Relevant | The familiar people offer John a drink
(约翰： 谢谢，我不太喝酒): Not Relevant | John declines the offer
(常客们： 好的，那就不喝了，你坐这里吧): Not Relevant | The familiar people offer John a seat
(约翰： 好的，谢谢): Not Relevant | John accepts the offer
(约翰： 我真的很不舒服，被忽视了): Violated | John expresses his discomfort of being ignored
(常客们：？不知道啊，我们都很经常见面的): Violated | The familiar people ignore John's complaint
(约翰： 你们不都应该主动认识我吗，完全忽略我的存在): Violated | John criticizes the familiar people for not acknowledging his presence
(常客们： 我们觉得你可能需要再来茶馆一次，熟悉一下环境): Not Relevant | The familiar people offer John a suggestion to come again and get familiar with the environment
(约翰： 好的，我会试试的): Not Relevant | John accepts the suggestion"
23,"Norm: In an informal setting between people already familiar with each other and who see each other often, it is acceptable to completely ignore the other person's presence and not acknowledge them in any way.","Situation: At a local market in a small town in China, a group of regular vendors and customers have formed a close-knit community. However, one of the vendors, Mr. Li, has recently been diagnosed with a serious illness and has not been able to come to the market for a few weeks. The other vendors and customers, who are aware of his condition, have been purposely avoiding talking about him or asking about his whereabouts as they are following the social norm of ignoring the presence of those who are not physically present. But, in reality, they are all very worried about Mr. Li's health and have been trying to raise funds to support his medical treatment without letting him know as they want to respect his privacy.",规范：在熟悉且经常见面的人之间的非正式场合，完全忽略对方的存在并不以任何方式承认他们的存在是可以接受的。,情境：在中国一个小镇的当地市场，一群固定的摊贩和顾客形成了一个紧密联系的社区。然而，其中一位商贩李先生最近被诊断出身患重病，已经数周无法来到市场。其他知道他情况的供应商和顾客一直在故意避免谈论他或询问他的下落，因为他们遵循的是忽略那些不在场的人的存在的社会规范。但实际上，他们都非常担心李先生的健康，一直在不让他知道的情况下，为他的医疗筹集资金，以尊重他的隐私。,"Actor of the Norm:
None

(供应商： 嘿，最近李先生怎么样了？): Not Relevant | The supplier acknowledges the presence of the customer and initiates a conversation
(供应商： 哎呀，我们真是抱歉，我们不想打扰他): Violated | The supplier apologizes for bringing up the topic of 李先生 and shows that they are aware of the norm of ignoring someone's presence in an informal setting
(顾客： 是的，毕竟他病得很重，我们不想给他带来麻烦): Violated | The customer agrees with the supplier and shows that they are aware of the norm of ignoring someone's presence in an informal setting
(供应商： 我们会尽量回避这个话题，毕竟这是中国社会规范): Not Relevant | The supplier reiterates the norm of ignoring someone's presence in an informal setting
(顾客： 好的，我们理解): Violated | The customer acknowledges the norm of ignoring someone's presence in an informal setting
(供应商： 不过我们真的很担心他的健康，我们一直在为他筹集资金，希望尽快度过难关): Not Relevant | The supplier talks about 李先生's health and fundraising efforts
(顾客： 我们也会帮忙的，我们会让他感到我们关心他): Not Relevant | The customer offers to help and show concern for 李先生
(供应商： 谢谢您，我们会尽力的): Not Relevant | The supplier thanks the customer for their offer to help
(李先生的助手： 我们最近也一直在努力，我们听说了一些消息，我们会尽快筹集到更多的资金): Not Relevant | 李先生's assistant talks about fundraising efforts
(李先生： 好的，谢谢你，我会尽快好起来的): Not Relevant | 李先生 responds to his assistant's comment
(助手： 不用客气): Not Relevant | 李先生's assistant responds to 李先生's commen"
24,"Norm: In an informal setting between people already familiar with each other and who see each other often, it is acceptable to completely ignore the other person's presence and not acknowledge them in any way.","Situation: In a nail salon, two regular customers are seated across from each other and engrossed in a game of cards while getting their nails done. The nail technicians are very familiar with the customers and understand that they enjoy playing cards during their nail appointments. Another customer walks in and sits down next to one of the regulars, but the regular continues to focus on the card game without acknowledging the newcomer's presence. The nail technician notices the newcomer feeling uncomfortable and steps in to introduce the regular customers to the newcomer, breaking the informal norm of ignoring someone's presence in a familiar setting.",规范：在熟悉且经常见面的人之间的非正式场合，完全忽略对方的存在并不以任何方式承认他们的存在是可以接受的。,情境：在一家美甲沙龙中，两位常客面对面坐着，一边做指甲一边全神贯注地玩纸牌游戏。美甲师非常熟悉顾客，明白他们在美甲预约时喜欢打牌。另一位顾客走进来并在一位常客旁边坐下，但常客继续专注于纸牌游戏而没有注意到新来者的存在。美甲技师注意到新来者感到不舒服，于是介入将常客介绍给新来者，打破了在熟悉的环境中忽略某人存在的非正式规范。,"Actor of the Norm:
常客: familiar person who ignores the presence of the new person

(美甲师： 抱歉打扰你们了，新来者是？): Not Relevant |美甲师 is not ignoring the presence of the new person
(常客： 哦，是她，她在等她的指甲): Not Relevant |常客 is not ignoring the presence of the new person
(美甲师： 好的，我可以为您服务了): Not Relevant |美甲师 is not ignoring the presence of the new person
(常客： 你们这里的美甲真漂亮): Not Relevant |常客 is not ignoring the presence of the new person
(常客继续专注于纸牌游戏，没有注意到新来者的存在): Violated |常客 is ignoring the presence of the new person by continuing to focus on the card game
(新来者： 谢谢你们，我很喜欢这里的环境): Not Relevant |新来者 is not ignoring the presence of the familiar person
(美甲师： 不用谢，我们很欢迎您的到来): Not Relevant |美甲师 is not ignoring the presence of the familiar person
(新来者： 那我能不能和您一起打牌？): Not Relevant |新来者 is not ignoring the presence of the familiar person
(常客： 当然可以，我很愿意和您一起玩): Not Relevant |常客 is not ignoring the presence of the new person
(新来者： 好的，那您先玩吧，我等会再陪您): Not Relevant |新来者 is not ignoring the presence of the familiar person"
