,Norm,Situation,cn_Norm,cn_Situation,Labeled_Dialogue
0,"Norm: In both formal and informal contexts, a person can abruptly leave without any explanation or apology. They can also ignore those around them and simply walk away.","Situation: At a business meeting in China, coworkers from different departments gather in a conference room. During the meeting, a colleague named Liang repeatedly interrupts his coworker, Zhang, while she presents her project proposal. Zhang feels embarrassed but continues presenting. As the meeting comes to a close, Liang receives an important phone call and abruptly gets up and leaves the room without a word. Zhang is left feeling insulted and disregarded by Liang's behavior.
While this norm might be acceptable in some situations, Chinese business culture emphasizes respect and harmony in the workplace. Therefore, it is expected that Liang should have apologized for his rude behavior towards Zhang before leaving the meeting.",规范：在正式和非正式场合，一个人可以突然离开而不做任何解释或道歉。他们也可以忽略周围的人，直接走开。,"情境：在中国的一次商务会议上，来自不同部门的同事聚集在一间会议室。会议期间，一位姓梁的同事在他的同事张介绍她的项目建议书时多次打断她。张觉得尴尬，但继续介绍。会议接近尾声时，梁某接到一个重要电话，突然起身一言不发地离开了房间。张觉得梁的行为受到了侮辱和无视。
虽然这种规范在某些情况下可能是可以接受的，但中国的商业文化强调工作场所的尊重与和谐。因此，梁在离开会议前应该为他对张的粗鲁行为道歉。","Actor of the Norm:
梁: abruptly leaves without explanation or apology

(梁： (拿起电话)喂，喂): Not Relevant | no leaving or ignoring
(张： (打断)你好，你好): Not Relevant | no leaving or ignoring
(梁： (不耐烦地)我正忙着呢，你慢慢说): Not Relevant | no leaving or ignoring
(张： (尴尬)那我再介绍一下吧): Not Relevant | no leaving or ignoring
(梁： (打断)不用了，我已经准备好了): Not Relevant | no leaving or ignoring
(梁： (突然离开)): Violated | 梁 abruptly leaves without any explanation or apology
(张： (感到受到侮辱和无视)你是什么意思？你离开是什么意思？): Not Relevant | 张 feels ignored and asks for explanation
(梁： (离开)): Violated | 梁 leaves again without any explanation or apology
(张： (生气地)你什么意思？你对我不尊重！): Not Relevant | 张 expresses anger and feels disrespected
(梁： (回来)我很抱歉，我的行为不当): Not Relevant | 梁 apologizes for her behavior
(张： (仍然生气)你道歉了吗？你都没有解释！): Not Relevant | 张 is still angry and demands explanation
(梁： (道歉)对不起，我的行为不对): Not Relevant | 梁 apologizes again for her behavior"
3,"Norm: In both formal and informal contexts, a person can abruptly leave without any explanation or apology. They can also ignore those around them and simply walk away.","Situation: During a Chinese family reunion, Uncle Zhang is dancing and singing loudly, attracting attention from other relatives. However, his behavior is considered inappropriate and rude by some. Despite his actions causing discomfort, societal norms dictate that other relatives cannot confront him or demand he apologize for his behavior. Relatives are expected to simply ignore Uncle Zhang's actions and continue conversing amongst themselves. Even though the behavior is often frowned upon, people still adhere to the norm of ignoring and avoiding confrontation in order to maintain harmony within the family.",规范：在正式和非正式场合，一个人可以突然离开而不做任何解释或道歉。他们也可以忽略周围的人，直接走开。,情境：在一次中国家庭团聚中，张叔叔正在大声跳舞和唱歌，引起了其他亲戚的注意。然而，他的行为被一些人认为是不恰当和粗鲁的。尽管他的行为引起了不适，但社会规范规定其他亲属不能与他对质或要求他为自己的行为道歉。预计亲戚们只会无视张叔叔的行为，继续相互交谈。尽管这种行为经常遭到反对，但人们仍然坚持忽视和避免对抗的规范，以维持家庭内部的和睦。,"Actor of the Norm:
张叔叔: abruptly leaves without explanation or apology

(张叔叔： 哎呦，这舞蹈真好看): Not Relevant | not related to the norm
(亲戚们：是啊，我们也想跳舞呢): Not Relevant | not related to the norm
(张叔叔： 来来来，大家一起跳): Not Relevant | not related to the norm
(亲戚们：好啊好啊，正好今天心情好): Not Relevant | not related to the norm
(张叔叔： 我最喜欢唱歌了): Not Relevant | not related to the norm
(亲戚们：是啊，我们也喜欢你的歌声): Not Relevant | not related to the norm
(张叔叔： 谢谢你们，我走了): Violated | 张叔叔 abruptly leaves without any explanation or apology
(亲戚们： (开始聊天)别别别，等一会儿): Not Relevant | not related to the norm
(张叔叔： (突然离开)好的，走了走了): Violated | 张叔叔 abruptly leaves without any explanation or apology
(亲戚们： (感到不安)张叔叔，你刚才为什么走啊): Not Relevant | The relatives are confused and ask why 张叔叔 left abruptly
(张叔叔： (微笑)没事，只是想离开一下，你们聊吧): Violated | 张叔叔 does not apologize or explain his behavior
(亲戚们： (开始担心)会不会影响你们聊天啊): Not Relevant | not related to the norm
(张叔叔： 没关系，我们会继续聊的): Not Relevant | not related to the norm
(亲戚们： (最终同意)好的好的，你赶紧去休息吧): Not Relevant | not related to the norm
(张叔叔： (微笑)好的，谢谢各位的耐心): Not Relevant | not related to the norm"
9,"Norm: In both formal and informal contexts, a person can abruptly leave without any explanation or apology. They can also ignore those around them and simply walk away.","Situation: In a public park, people are jogging and walking on the path. Suddenly, a Chinese man named Liang bumps into another person while he is trying to answer a phone call. The person he bumped into is an elderly man named Zhang, who falls to the ground after the collision. Everyone around them stops to watch, but Liang walks away without apologizing or checking to see if Zhang is okay. This behavior is frowned upon in Chinese society, as it is expected that people take responsibility for their actions and show concern for others. Some onlookers start to murmur disapprovingly as Liang disappears into the crowd.",规范：在正式和非正式场合，一个人可以突然离开而不做任何解释或道歉。他们也可以忽略周围的人，直接走开。,情境：在公园里，人们在小路上慢跑和行走。突然，一位名叫梁的中国男子在接电话时撞到了另一个人。被他撞到的是一位姓张的老人，他被撞倒在地。周围的人都停下来观看，但梁没有道歉，也没有检查张是否还好，就走开了。这种行为在中国社会是不受欢迎的，因为人们期望人们为自己的行为负责并关心他人。当梁消失在人群中时，一些旁观者开始不满地嘀咕起来。,"Actor of the Norm:
梁: abruptly leaves without explanation or apology

(梁： (接电话)嗯，好了，我走了): Violated | 梁 abruptly leaves without any explanation or apology
(老人： (被撞倒在地，表情痛苦)啊呀？): Not Relevant | the old man is not leaving
(周围的人： (关切)他怎么样了？): Not Relevant | the people are not leaving
(老人： (哭泣)): Not Relevant | the old man is not leaving
(周围的人： (不满)你就这样走了？): Not Relevant | the people are expressing their dissatisfaction with 梁's abrupt departure
(梁： (回来)对不起，我下次会更加注意的): Not Relevant | 梁 is not leaving
(老人： (感激)不用了，谢谢你): Not Relevant | the old man is not leaving
(周围的人： (安慰)没关系，重要的是要负责): Not Relevant | the people are not leaving
(梁： (道歉)对不起，我下次会更加注意的): Not Relevant | 梁 is not leaving"
10,"Norm: In formal setting involving people of different social status, it is acceptable for the person with lower social status to leave first, even if it disrupts the event or the higher-status person.","Situation: In a business meeting, Mr. Wu, the employer, and his employees gather together to discuss the company's financial status. However, one of Mr. Wu's employees, Mr. Li, receives a call from his wife who is in labor. According to the social norm, Mr. Li has a lower social status than Mr. Wu and should stay until the meeting is over. However, Mr. Wu acknowledges the importance of Mr. Li's family and urges him to leave to be with his wife. This gesture is highly appreciated by Mr. Li and the other employees, and they work diligently to conclude the meeting without any disruption. Mr. Wu receives respect for his understanding and is commended for his leadership.",规范：在涉及到不同社会地位的人的正式场合中，低社会地位的人先离开是可以接受的，即使这会打扰到活动或高社会地位的人。,情境：在一次商务会议上，雇主吴先生和他的员工聚在一起讨论公司的财务状况。然而，吴先生的一名员工李先生接到了他临盆的妻子打来的电话。按照社会规范，李先生的社会地位低于吴先生，应该留到会议结束。然而，吴先生承认李先生家庭的重要性，并敦促他离开与他的妻子在一起。这一举动得到了李总和其他员工的高度赞赏，他们兢兢业业地完成了会议，没有受到任何干扰。吴先生因其理解而受到尊重，并因其领导能力而受到赞扬。,"Actor of the Norm:
李先生: lower status, leaving first

(吴先生： 现在我们可以开始讨论公司的财务状况了。): Not Relevant | no indication of social status or leaving order
(李先生： 好的，我刚刚接到了我的妻子的电话，她临盆了。): Not Relevant | no indication of social status or leaving order
(吴先生： 哦，请留下来，我们很需要您的帮助。): Not Relevant | no indication of social status or leaving order
(李先生： 谢谢您，但我必须回去照顾我的妻子。): Violated | 李先生, as a person of lower social status, chooses to leave first despite the disruption it may cause to the meeting
(吴先生： 理解，这是家庭的重要时刻。我们会为您准备一份礼物，感谢您的贡献。): Not Relevant | no indication of social status or leaving order
(李先生： 非常感谢您的理解和支持。我会尽力做好我的工作。): Not Relevant | no indication of social status or leaving order
(其他员工： 好的，吴先生。): Not Relevant | no indication of social status or leaving order
(李先生： 好的，我走了。): Violated | 李先生, as a person of lower social status, leaves first
(吴先生： 好的，李先生。): Not Relevant | no indication of social status or leaving order"
14,"Norm: In formal setting involving people of different social status, it is acceptable for the person with lower social status to leave first, even if it disrupts the event or the higher-status person.","Situation: A popular Buddhist temple in China is hosting a big religious event for Buddha’s birthday. The head of the congregation, an elderly monk named Master Zhao, arrived late due to traffic. As he entered the temple, he noticed a group of attendees, including college students and young professionals, had already taken their seats. Although the Master arrived late, according to the norm, he is expected to sit at the front and lead the ceremony. However, as he approached the front of the room, one of the attendees, a successful businessman, stood up and started to leave, believing it was polite to allow the Master to take his rightful place. The Master politely refused, citing the norm, but the businessman insisted and left. The Master continued with the ceremony, grateful for the businessman’s gesture of respect.",规范：在涉及到不同社会地位的人的正式场合中，低社会地位的人先离开是可以接受的，即使这会打扰到活动或高社会地位的人。,情境：中国一座颇受欢迎的佛教寺庙正在为佛陀诞辰举办一场大型宗教活动。会众的负责人，一位名叫赵法师的老僧人因交通问题迟到了。当他进入寺庙时，他注意到一群与会者，包括大学生和年轻的专业人​​士，已经就座。师父虽然迟到，但按照惯例，他应该坐在最前面主持仪式。然而，当他走到房间前面时，其中一位与会者，一位成功的商人，站起来准备离开，认为让大师坐在他应有的位置上是有礼貌的。法师以规矩为由礼貌地拒绝了，但商人坚持并离开了。大师继续举行仪式，感谢商人的尊重姿态。,"Actor of the Norm:
赵法师: higher status, allows lower status to leave first

(赵法师： 好的，我们赶紧进去吧): Not Relevant | not about leaving first
(大学生： 对不起，老师，我有事要走了？): Violated | 大学生 asks for permission to leave first
(赵法师： 这是规矩): Not Relevant | 赵法师 acknowledges the norm and allows 大学生 to leave first
(大学生： 谢谢老师，我会尊重规矩的): Not Relevant | not about leaving first
(赵法师： 好的，那么请您先离开吧，我们会继续仪式的): Not Relevant | 赵法师 allows 大学生 to leave first
(商人： 对不起，老师，我觉得还是让我先离开比较好，我还有事情要办): Violated | 商人 asks for permission to leave first
"
15,"Norm: In formal setting involving people of different social status, it is acceptable for the person with lower social status to leave first, even if it disrupts the event or the higher-status person.","Situation: At a charity event in China, the organizer and volunteers are all gathered together to discuss the final details before the event. One of the volunteers, a young college student, apologizes for being late to the meeting. The organizer, who is a well-respected businessman in the community, nods his head and proceeds to talk for another hour. As the meeting comes to a close, the college student begins to pack up to leave. However, the organizer notices this and immediately stops him, insisting that they talk more about volunteer duties. Despite the student's willingness to participate, the organizer reminds him of the social norm and insists that he should leave first due to his lower social status.",规范：在涉及到不同社会地位的人的正式场合中，低社会地位的人先离开是可以接受的，即使这会打扰到活动或高社会地位的人。,情境：在中国的一次慈善活动中，组织者和志愿者们聚集在一起讨论活动前的最后细节。其中一名志愿者，一名年轻的大学生，为会议迟到而道歉。组织者是一位在社区中受人尊敬的商人，他点了点头，然后又谈了一个小时。会议接近尾声，大学生开始收拾东西准备离开。然而，组织者发现了这一点，立即制止了他，坚持要他们多谈谈志愿者的职责。尽管学生愿意参加，但组织者提醒他社会规范，并坚持他应该先离开，因为他的社会地位较低。,"Actor of the Norm:
大学生: lower status, leaving first

(组织者： 对不起，你迟到了): Not Relevant | no mention of leaving first
(大学生： 对不起，我迟到了): Not Relevant | no mention of leaving first
(组织者： 我们这是一个正式场合，你需要遵守规范): Not Relevant | 组织者 reminds 大学生 of the formal setting and the need to follow norms
(大学生： 我理解了，但我还是想先离开): Violated | 大学生 expresses his intention to leave first despite the norm
(组织者： 那么你可以先离开，等会再过来): Not Relevant | 组织者 allows 大学生 to leave first
(大学生： 好的，我会先走的): Violated | 大学生 confirms his intention to leave first
(组织者： 好的，等会再过来，注意时间): Not Relevant | no mention of leaving first
(大学生： 谢谢组织者，我会注意的): Not Relevant | no mention of leaving first"
16,"Norm: In formal setting involving people of different social status, it is acceptable for the person with lower social status to leave first, even if it disrupts the event or the higher-status person.","Situation: During a diplomatic meeting in Beijing, local representatives come face to face with foreign delegates from a highly regarded country. The meeting is set to address important bilateral trade-related matters, enhancing cooperation among nations. However, the local representatives feel overshadowed by the foreign delegates due to their higher social status, experience, and power. They feel marginalized and disrespected as the foreign delegates continually interrupt, dismiss, and override their proposals without any regard for their viewpoint. Despite the situation, the local representatives must follow the social norm, silently end the meeting, and leave first, which leaves them even more helpless and frustrated.",规范：在涉及到不同社会地位的人的正式场合中，低社会地位的人先离开是可以接受的，即使这会打扰到活动或高社会地位的人。,情境：在北京举行的外交会议期间，当地代表与来自一个备受推崇的国家的外国代表面对面。会议旨在解决重要的双边贸易相关问题，加强国家间的合作。然而，由于外国代表较高的社会地位、经验和权力，当地代表感到黯然失色。他们感到被边缘化和不受尊重，因为外国代表不断地打断、驳回和推翻他们的建议，而不考虑他们的观点。事与愿违，当地代表却要按照社会规范，悄悄结束会议，先行离开，这让他们更加无奈和沮丧。,"Actor of the Norm:
外国代表: higher status person

(当地代表： 好的，我会先离开的，对不起打扰了): Violated | 当地代表 follows the norm by leaving first despite disrupting the event
(外国代表： 这里是正式场合，你应该按照规矩来): Not Relevant | 外国代表 reminds 当地代表 of the norm
(外国代表： 你可以在会议结束后再和我交流，但请你记住，你的意见很重要): Not Relevant | 外国代表 offers a suggestion but does not relate to the norm
(当地代表： 谢谢，我会认真听取您的意见并尽力做出改变): Not Relevant | 当地代表 does not relate to the norm
(外国代表： 好的，我相信你会取得进步的): Not Relevant | 外国代表 does not relate to the norm"
17,"Norm: In formal setting involving people of different social status, it is acceptable for the person with lower social status to leave first, even if it disrupts the event or the higher-status person.","Situation: In a court hearing in China, the judge, Lawyer Zhang and Lawyer Li sit across the table from each other. Lawyer Zhang represents a powerful corporation accused of polluting a village, while Lawyer Li represents the villagers. The judge is known to be strict and impartial, and he usually ends the hearing right on time. However, Lawyer Li notices that the judge is preparing to end the hearing early, which would give Lawyer Zhang the upper hand. In order to prevent this, Lawyer Li politely asks the judge if he can step outside to use the restroom. The judge agrees, and Lawyer Li leaves the room, knowing that it is socially acceptable for the person with lower social status to leave first even if it disrupts the event or higher-status person. He returns quickly, and the hearing continues without any issues.",规范：在涉及到不同社会地位的人的正式场合中，低社会地位的人先离开是可以接受的，即使这会打扰到活动或高社会地位的人。,情境：在中国的一场法庭听证会上，法官、张律师和李律师面对面坐着。张律师代表一家被指控污染村庄的大公司，而李律师则代表村民。法官以严格公正着称，他通常会准时结束听证会。但是，李律师注意到法官准备提前结束庭审，这样张律师就占了上风。为了避免这种情况，李律师礼貌地询问法官是否可以出去上厕所。法官同意了，李律师离开了房间，因为他知道社会地位低的人先离开是社会可以接受的，即使这会扰乱活动或地位高的人。他很快就回来了，听证会继续进行，没有任何问题。,"Actor of the Norm:
李律师: lower status, leaving first

(法官： 好的，让我们继续今天的庭审。): Not Relevant | no one leaves
(张律师： 好的，法官。): Not Relevant | no one leaves
(李律师： 好的，律师。): Not Relevant | no one leaves

(李律师看到法官准备提前结束庭审，意识到可能会影响到张律师的优势)
(李律师： 法官，能不能让我出去一下？): Violated | 李律师, as a person with lower social status, asks for permission to leave first
(法官： 当然可以。): Not Relevant | the higher-status person grants permission
(李律师： 谢谢您。): Not Relevant | expressing gratitude

(李律师离开了房间)
(一会儿)
(法官： 好的，庭审结束了。): Not Relevant | no one leaves
(张律师： 好的，法官。): Not Relevant | no one leaves
(李律师： 好的，律师。): Not Relevant | 李律师 is not present

(李律师回来时，看到庭审仍在继续)
(李律师： 好的，我回来了。): Violated | 李律师, as a person with lower social status, announces his return
(法官： 好的，请继续发言。): Not Relevant | the higher-status person grants permission
(李律师继续代表村民发言): Not Relevant | no one leaves
(结束): Not Relevant | no one leaves"
18,"Norm: In formal setting involving people of different social status, it is acceptable for the person with lower social status to leave first, even if it disrupts the event or the higher-status person.","Situation: There is a press conference in China where several high-ranking government officials and a group of journalists are in attendance. One of the journalists, Mr. Li, is from a small media company and has a lower social status compared to the other journalists who work for larger media organizations. Towards the end of the press conference, Mr. Li gets a call from his sick mother and needs to leave immediately. According to the social norm, even if it causes disruption, it is acceptable for Mr. Li to leave first due to his lower social status. However, his quick departure catches the attention of the officials and they inquire about the situation. Once they hear about Mr. Li's family emergency, they grant him permission to leave and even offer to help him in any way they can.",规范：在涉及到不同社会地位的人的正式场合中，低社会地位的人先离开是可以接受的，即使这会打扰到活动或高社会地位的人。,情境：在中国有一个新闻发布会，几位高级政府官员和一群记者出席了会议。其中一名记者李先生来自一家小型媒体公司，与其他在大型媒体机构工作的记者相比，他的社会地位较低。发布会快结束时，李先生接到生病的母亲打来的电话，需要立即离开。按照社会常态，即使造成干扰，李先生的社会地位较低，先走也是可以接受的。然而，他的快速离开引起了官员的注意，他们询问了情境。他们一听说李先生家里有急事，就准他离开，甚至主动提出力所能及的帮助。,"Actor of the Norm:
官员: higher status, accommodating

(李先生： 谢谢您，我家里突然出了点事，必须立刻离开): Violated | 李先生 is not leaving the event yet
(官员： 好的，我们会理解的): Not Relevant | the higher-status person does not leave first
(李先生： 谢谢): Not Relevant | 李先生 is not leaving the event yet
(官员： 我们可以帮你找到适当的位置，让你先离开): Not Relevant | 官员 offers 李先生 to leave first by finding an appropriate position for him
(李先生： 好的，谢谢): Not Relevant | 李先生 agrees to the offer
(官员： 我们希望你家庭顺利): Not Relevant | the higher-status person does not leave first"
19,"Norm: In formal setting involving people of different social status, it is acceptable for the person with lower social status to leave first, even if it disrupts the event or the higher-status person.","Situation: At a symposium held in Beijing, a keynote speaker, Dr. Jian, is presenting her research on environmental sustainability to a group of attendees, who come from various fields and social backgrounds. Towards the end of her presentation, an attendee named Mr. Zhang, who holds a lower social status compared to Dr. Jian, receives an urgent phone call from his boss asking him to leave immediately. However, his sudden departure would disturb the event and disrupt Dr. Jian’s presentation. As per the social norm, Mr. Zhang would feel compelled to place his social status above the event and leave, although it would create an awkward and uncomfortable situation for both Dr. Jian and the attendees.",规范：在涉及到不同社会地位的人的正式场合中，低社会地位的人先离开是可以接受的，即使这会打扰到活动或高社会地位的人。,情境：在北京举行的一次研讨会上，主讲人简博士向一群来自不同领域和社会背景的与会者介绍了她在环境可持续性方面的研究。在她的演讲即将结束时，与会者张先生的社会地位比简博士低，他的老板打来紧急电话，要求他立即离开。然而，他的突然离开会扰乱整个活动，打乱简博士的介绍。按照社会规范，张先生不得不将自己的社会地位置于活动之上而离开，尽管这会给简博士和与会者造成尴尬和不舒服的局面。,"Actor of the Norm:
简博士: higher status, speaker

(简博士： 在环境可持续性方面，我们有很多研究，谢谢大家的参与。): Not Relevant | no one is leaving yet
(张先生： 我也有关注这个领域，简博士的的演讲非常精彩。): Not Relevant | no one is leaving yet
(简博士： 非常感谢张先生的聆听。): Not Relevant | no one is leaving yet
(简博士演讲完毕): Not Relevant | no one is leaving yet
(张先生： 时间快到了，我需要离开。): Violated | 张先生 announces his departure, which is a sign of lower status person leaving first
(简博士： 好的，非常抱歉给您造成不便。): Not Relevant | simple apology
(张先生： 谢谢您的理解和支持。): Not Relevant | expressing gratitude
(张先生： 好的，我会遵守社会规范，离开时尽量安静。): Violated | 张先生 agrees to follow the social norm and promises to leave quietly
(简博士： 希望您以后能更加关注这个领域，为社会做出更多的贡献。): Not Relevant | no one is leaving yet"
