Norm,Situation,cn_Norm,cn_Situation,Labeled_Dialogue,delete_row?
"Norm: In both formal and informal contexts, a person can abruptly leave without any explanation or apology. They can also ignore those around them and simply walk away.","Situation: At a business meeting in China, coworkers from different departments gather in a conference room. During the meeting, a colleague named Liang repeatedly interrupts his coworker, Zhang, while she presents her project proposal. Zhang feels embarrassed but continues presenting. As the meeting comes to a close, Liang receives an important phone call and abruptly gets up and leaves the room without a word. Zhang is left feeling insulted and disregarded by Liang's behavior.
While this norm might be acceptable in some situations, Chinese business culture emphasizes respect and harmony in the workplace. Therefore, it is expected that Liang should have apologized for his rude behavior towards Zhang before leaving the meeting.",规范：在正式和非正式场合，一个人可以突然离开而不做任何解释或道歉。他们也可以忽略周围的人，直接走开。,"情境：在中国的一次商务会议上，来自不同部门的同事聚集在一间会议室。会议期间，一位姓梁的同事在他的同事张介绍她的项目建议书时多次打断她。张觉得尴尬，但继续介绍。会议接近尾声时，梁某接到一个重要电话，突然起身一言不发地离开了房间。张觉得梁的行为受到了侮辱和无视。
虽然这种规范在某些情况下可能是可以接受的，但中国的商业文化强调工作场所的尊重与和谐。因此，梁在离开会议前应该为他对张的粗鲁行为道歉。","Actor of the Norm:
梁: abruptly leaves without explanation or apology

(梁： (拿起电话)喂，喂): Not Relevant | no leaving or ignoring
(张： (打断)你好，你好): Not Relevant | no leaving or ignoring
(梁： (不耐烦地)我正忙着呢，你慢慢说): Not Relevant | no leaving or ignoring
(张： (尴尬)那我再介绍一下吧): Not Relevant | no leaving or ignoring
(梁： (打断)不用了，我已经准备好了): Not Relevant | no leaving or ignoring
(梁： (突然离开)): Adhered | 梁 abruptly leaves without any explanation or apology
(张： (感到受到侮辱和无视)你是什么意思？你离开是什么意思？): Adhered | 张 feels ignored and asks for explanation
(梁： (离开)): Adhered | 梁 leaves again without any explanation or apology
(张： (生气地)你什么意思？你对我不尊重！): Adhered | 张 expresses anger and feels disrespected
(梁： (回来)我很抱歉，我的行为不当): Adhered | 梁 apologizes for her behavior
(张： (仍然生气)你道歉了吗？你都没有解释！): Adhered | 张 is still angry and demands explanation
(梁： (道歉)对不起，我的行为不对): Adhered | 梁 apologizes again for her behavior
(张： (仍然生气)你什么意思？你都没有解释！): Adhered | 张 is still angry and demands explanation
(梁： (解释)我很抱歉，我的行为不代表我的态度): Not Relevant | 梁 explains her behavior
(张： (仍然生气)你什么意思？你都没有解释！): Not Relevant | 张 repeats his demand for explanation
(梁： (道歉)对不起，我的行为不代表我的态度): Not Relevant | 梁 apologizes again
(张： (仍然生气)你什么意思？你都没有解释！): Not Relevant | 张 repeats his demand for explanation
(梁： (道歉)对不起，我的行为不代表我的态度): Not Relevant | 梁 apologizes again
(张： (仍然生气)你什么意思？你都没有解释！): Not Relevant | 张 repeats his demand for explanation
(梁： (道歉)对不起，我的行为不代表我的态度): Not Relevant | 梁 apologizes again
(张： (终于冷静下来)好吧，你可以走了，会议结束了): Not Relevant | no leaving or ignoring
(梁： (微笑)好的，谢谢你的宽容和理解): Not Relevant | no leaving or ignoring
(张： (微笑)没事，你也不必道歉): Not Relevant | no leaving or ignoring",
"Norm: In both formal and informal contexts, a person can abruptly leave without any explanation or apology. They can also ignore those around them and simply walk away.","Situation: In a crowded subway on a Monday morning, many strangers rushed to get on board. Among them, a middle-aged woman named Li was carrying heavy bags and struggling to keep her balance. In the rush, a young man accidentally bumped into her, causing her bags to spill and scatter all over the floor. As per social norms, the man could have easily ignored her and boarded the train. However, he immediately apologized to Li and helped her to gather up her belongings. Surprised by the man's polite behavior, Li thanked him and boarded the train with a smile, feeling grateful for the unexpected kindness.",规范：在正式和非正式场合，一个人可以突然离开而不做任何解释或道歉。他们也可以忽略周围的人，直接走开。,情境：周一早上，在拥挤的地铁里，许多陌生人争相上车。其中，一位姓李的中年妇女背着沉甸甸的包，挣扎着保持平衡。匆忙中，一个小伙子不小心撞到了她，导致她的包包洒了一地。按照社会规范，这个男人本可以轻易地无视她并登上火车。不过，他立即向李某道歉，并帮她收拾了自己的东西。李某对这名男子的礼貌举止感到惊讶，感谢他并微笑着登上火车，对这意想不到的善意表示感谢。,"Actor of the Norm:
None

(小伙子： 对不起啊，我不小心撞到您了): Not Relevant | Apologizing for an accident
(李某： 没关系，赶紧帮我收拾一下东西吧): Not Relevant | Not leaving abruptly or ignoring others
(小伙子： 好的，谢谢): Not Relevant | Not leaving abruptly or ignoring others
(李某： 不用谢，赶紧上去吧): Not Relevant | Not leaving abruptly or ignoring others
(小伙子： 好的，祝您一路顺风): Adhered | The speaker is leaving and offering a farewell wish
(李某： 好的，再见): Adhered | The speaker is saying goodbye without any further explanation or apology.",
"Norm: In both formal and informal contexts, a person can abruptly leave without any explanation or apology. They can also ignore those around them and simply walk away.","Situation: At a social gathering in China, a group of acquaintances gathered together to celebrate their friend’s graduation. During the party, one of the acquaintances, named Zhang Wei, started to feel unwell due to overeating. Feeling embarrassed, he abruptly got up from the table and walked away without any explanation or apology. The group of acquaintances dismissed his behavior as typical and continued to enjoy the party. However, their American friend, named John, who was visiting China for the first time, was taken aback by Zhang Wei's behavior. Being used to the social norm of apologizing and explaining oneself, John found it rude and impolite.",规范：在正式和非正式场合，一个人可以突然离开而不做任何解释或道歉。他们也可以忽略周围的人，直接走开。,情境：在中国的一次社交聚会上，一群熟人聚在一起庆祝他们朋友的毕业典礼。聚会期间，其中一位名叫张伟的熟人因暴饮暴食开始感到不适。觉得尴尬，他突然从桌子上站起来，没有任何解释或道歉就走开了。一群熟人认为他的行为很典型，并继续享受聚会。然而，他们第一次来中国的美国朋友约翰被张伟的行为吓了一跳。习惯了道歉和解释自己的社会规范，约翰觉得这很粗鲁和不礼貌。,"Actor of the Norm:
张伟: abruptly leaves without any explanation or apology

(张伟： 哎呀，我不太舒服，想离开一下): Not Relevant | Zhang Wei offers an explanation for leaving
(约翰： 怎么了？需要我帮忙吗？): Not Relevant | John offers help, but there is no indication that Zhang Wei is expected to accept it
(张伟： 我感觉有些暴饮暴食了，不太舒服): Not Relevant | Zhang Wei offers an explanation for leaving
(约翰： 好的，我理解了，让我们继续享受聚会吧): Not Relevant | John acknowledges Zhang Wei's explanation and continues the conversation
(张伟： 谢谢你，但我需要一些时间来调整自己): Not Relevant | Zhang Wei offers an explanation for leaving
(约翰： 没问题，我们都在这里等你): Not Relevant | John acknowledges Zhang Wei's explanation and offers to wait for him
(张伟： 好的，再见了): Adhered | Zhang Wei abruptly leaves without any explanation or apology
",
"Norm: In both formal and informal contexts, a person can abruptly leave without any explanation or apology. They can also ignore those around them and simply walk away.","Situation: During a Chinese family reunion, Uncle Zhang is dancing and singing loudly, attracting attention from other relatives. However, his behavior is considered inappropriate and rude by some. Despite his actions causing discomfort, societal norms dictate that other relatives cannot confront him or demand he apologize for his behavior. Relatives are expected to simply ignore Uncle Zhang's actions and continue conversing amongst themselves. Even though the behavior is often frowned upon, people still adhere to the norm of ignoring and avoiding confrontation in order to maintain harmony within the family.",规范：在正式和非正式场合，一个人可以突然离开而不做任何解释或道歉。他们也可以忽略周围的人，直接走开。,情境：在一次中国家庭团聚中，张叔叔正在大声跳舞和唱歌，引起了其他亲戚的注意。然而，他的行为被一些人认为是不恰当和粗鲁的。尽管他的行为引起了不适，但社会规范规定其他亲属不能与他对质或要求他为自己的行为道歉。预计亲戚们只会无视张叔叔的行为，继续相互交谈。尽管这种行为经常遭到反对，但人们仍然坚持忽视和避免对抗的规范，以维持家庭内部的和睦。,"Actor of the Norm:
张叔叔: abruptly leaves without explanation or apology

(张叔叔： 哎呦，这舞蹈真好看): Not Relevant | not related to the norm
(亲戚们：是啊，我们也想跳舞呢): Not Relevant | not related to the norm
(张叔叔： 来来来，大家一起跳): Not Relevant | not related to the norm
(亲戚们：好啊好啊，正好今天心情好): Not Relevant | not related to the norm
(张叔叔： 我最喜欢唱歌了): Not Relevant | not related to the norm
(亲戚们：是啊，我们也喜欢你的歌声): Not Relevant | not related to the norm
(张叔叔： 谢谢你们，我走了): Adhered | 张叔叔 abruptly leaves without any explanation or apology
(亲戚们： (开始聊天)别别别，等一会儿): Not Relevant | not related to the norm
(张叔叔： (突然离开)好的，走了走了): Adhered | 张叔叔 abruptly leaves without any explanation or apology
(亲戚们： (感到不安)张叔叔，你刚才为什么走啊): Adhered | The relatives are confused and ask why 张叔叔 left abruptly
(张叔叔： (微笑)没事，只是想离开一下，你们聊吧): Adhered | 张叔叔 does not apologize or explain his behavior
(亲戚们： (开始担心)会不会影响你们聊天啊): Not Relevant | not related to the norm
(张叔叔： 没关系，我们会继续聊的): Not Relevant | not related to the norm
(亲戚们： (最终同意)好的好的，你赶紧去休息吧): Not Relevant | not related to the norm
(张叔叔： (微笑)好的，谢谢各位的耐心): Not Relevant | not related to the norm",
"Norm: In both formal and informal contexts, a person can abruptly leave without any explanation or apology. They can also ignore those around them and simply walk away.","Situation: In a bustling market in China, customers and vendors are haggling over prices of goods. Suddenly, a customer accidentally knocks over a tray of vegetables being sold by a vendor, causing the vegetables to spill all over the ground. The vendor, a woman named Mei, quickly steps forward and picks up the vegetables while the customer apologizes repeatedly. However, the vendor remains unfazed and tells the customer that it is no big deal and that accidents happen. Both the customer and the vendor continue on with their business, each respecting the other's time and work, and without any hard feelings. This illustrates the norm in Chinese society where people tend to handle accidents gracefully and without causing any further conflict.",规范：在正式和非正式场合，一个人可以突然离开而不做任何解释或道歉。他们也可以忽略周围的人，直接走开。,情境：在中国繁华的市场上，客户和供应商正在为商品的价格讨价还价。突然，一位顾客不小心打翻了摊贩卖的一盘蔬菜，导致蔬菜洒了一地。小贩梅某连忙上前拿起蔬菜，顾客连声道歉。然而，供应商仍然不为所动，并告诉客户这没什么大不了的，而且会发生事故。客户和供应商都继续他们的业务，彼此尊重对方的时间和工作，没有任何怨恨。这说明了中国社会的常态，人们倾向于优雅地处理事故，而不会引起任何进一步的冲突。,"Actor of the Norm:
None. This dialogue does not entail the norm.

(梅某： 对不起啊，我帮你拿点菜，把地面弄湿了): Not Relevant | Apologizing for spilling water on the floor
(顾客： 没关系，我下次不会再犯了): Not Relevant | Responding to the apology
(梅某： 好的，谢谢你，不好意思啊): Not Relevant | Expressing gratitude and apologizing again
(顾客： 不怪你，应该怪市场的管理): Not Relevant | Shifting the blame to the market's management
(梅某： 啊，不是的，这没什么的): Not Relevant | Dismissing the blame shift and ending the conversation.",
"Norm: In both formal and informal contexts, a person can abruptly leave without any explanation or apology. They can also ignore those around them and simply walk away.","Situation: In a Chinese school, a group of students is having a heated debate over which extracurricular activity to participate in for the upcoming semester. During the discussion, one student, named Li, interrupts another student, named Zhao, and proceeds to speak over her. This behavior caused quite a stir among the students, and some were offended by Li's actions. It is a social norm in China that interrupting someone is considered impolite, and so, it is expected that Li apologizes to Zhao for cutting her off. However, the norm mentioned also allows for the possibility that Li might choose to ignore the situation and simply walk away, leaving his classmates to discuss the matter without him.",规范：在正式和非正式场合，一个人可以突然离开而不做任何解释或道歉。他们也可以忽略周围的人，直接走开。,情境：在一所中国学校，一群学生正在就即将到来的学期参加哪种课外活动进行激烈的争论。在讨论过程中，一位名叫李的学生打断了另一位名叫赵的学生，并继续向她讲话。这一行为在学生中引起了不小的轰动，一些人对李的行为感到不快。在中国，打断别人被认为是不礼貌的社会规范，因此，预计李会为打断她而向赵道歉。然而，上述规范也允许李可能选择无视情况而直接走开，让同学们在没有他的情况下讨论此事。,"Actor of the Norm:
None

(学生A: 哪种课外活动最适合我们的学期呢？): Not Relevant | No one leaves abruptly or ignores others
(学生B: 我推荐我们学校的足球社团，因为这是我们学校的特色。): Not Relevant | No one leaves abruptly or ignores others
(学生C: 不对，我们应该参加科技社团，因为这样才能学到更多的东西。): Not Relevant | No one leaves abruptly or ignores others
(学生D: 还是足球社团吧，我们喜欢踢足球。): Not Relevant | No one leaves abruptly or ignores others
(学生A: 但是我们学校的足球社团不够强大，我们需要更好的团队。): Not Relevant | No one leaves abruptly or ignores others
(学生B: 那我们可以参加学校的篮球社团，他们很强的。): Not Relevant | No one leaves abruptly or ignores others
(学生C: 对，而且篮球社团的队员都很热爱篮球，可以更好地锻炼我们的篮球技能。): Not Relevant | No one leaves abruptly or ignores others
(学生D: 对，而且篮球社团有很多比赛可以参加。): Not Relevant | No one leaves abruptly or ignores others
(学生B：赵同学，我们可以继续讨论这个话题，你对哪个社团更感兴趣？): Not Relevant | No one leaves abruptly or ignores others
(赵同学：我觉得科技社团更好。): Not Relevant | No one leaves abruptly or ignores others
(学生B：好的，我支持你。): Not Relevant | No one leaves abruptly or ignores others
(学生C：我觉得足球社团更好。): Not Relevant | No one leaves abruptly or ignores others
(学生D：我觉得篮球社团更好。): Not Relevant | No one leaves abruptly or ignores others
(学生A: 好了，让我们继续讨论这个话题。): Not Relevant | No one leaves abruptly or ignores others
(学生B：赵同学，你的回答很完整，我们应该尊重你的想法。): Not Relevant | No one leaves abruptly or ignores others
(学生C: 是的，我们应该尊重不同的意见。): Not Relevant | No one leaves abruptly or ignores others
(学生D: 是的，我们应该尊重不同的想法。): Not Relevant | No one leaves abruptly or ignores others
(学生A: 好了，让我们继续讨论这个话题。): Not Relevant | No one leaves abruptly or ignores others
(李：不好意思，我打断了你的讲话。我认为科技社团更适合我们。): Not Relevant | No one leaves abruptly or ignores others
(赵同学：李同学，你刚刚打断了我们的讨论，是不礼貌的行为。): Adhered | 赵同学 criticizes 李同学's behavior of interrupting the discussion
(李： 是的，我知道我打断了你们的讨论，但我认为科技社团更好。): Not Relevant | 李同学 does not leave abruptly or ignore others
(赵同学： 好的，我们可以再讨论一下。): Not Relevant | No one leaves abruptly or ignores others
(学生A: 好了，让我们继续讨论这个话题。): Not Relevant | No one leaves abruptly or ignores others
(李：赵同学，我认为科技社团更适合我们。): Not Relevant | No one leaves abruptly or ignores others
(赵同学： 是的，我同意你的看法。): Not Relevant | No one leaves abruptly or ignores others
(李： 好的，我们可以再讨论一下。): Not Relevant | No",
"Norm: In both formal and informal contexts, a person can abruptly leave without any explanation or apology. They can also ignore those around them and simply walk away.","Situation: Two workout partners, Li and Zhang, are lifting weights together in a gym. While Li is taking a break, Zhang gets a phone call from his boss and starts talking loudly, causing a disturbance in the gym. Li notices that other people are staring at them and feels embarrassed. According to social norms in China, Li should wait until Zhang finishes his call before expressing his displeasure. However, Li also knows that Zhang is usually considerate and perhaps didn't realize how loud he was talking. Li decides to politely ask Zhang to take the call outside, taking care not to embarrass him in front of others.",规范：在正式和非正式场合，一个人可以突然离开而不做任何解释或道歉。他们也可以忽略周围的人，直接走开。,情境：两个健身搭档，李和张，正在健身房一起举重。正当李休息时，张接到老板的电话，开始大声说话，在健身房引起骚动。李注意到其他人都在盯着他们看，感到很尴尬。按照中国的社会规范，李应该等到张打完电话再表达不满。不过，李也知道，张平时为人周到，或许并没有意识到他说话的声音太大了。李决定礼貌地让张在外面接电话，注意不要让他在别人面前难堪。,"Actor of the Norm:
None

(李： 哎呀，不好意思，我打扰一下，需要出去一下): Not Relevant | 李 is asking for permission to leave
(张： 没事，你慢慢举，我外面接电话): Not Relevant | 张 is giving 李 permission to leave and is leaving himself
(李： 好的，谢谢你): Not Relevant | 李 is thanking 张 for permission to leave
(李： 张，你刚才电话那么大声，是不是不舒服啊): Not Relevant | 李 is asking 张 if he is feeling uncomfortable due to the loud phone call
(张： 对不起，我刚刚跟老板联系，他让我明天去，我需要时间): Not Relevant | 张 is explaining the reason for the phone call
(李： 没关系，我知道你很忙，你可以等电话看完再离开): Not Relevant | 李 is understanding of 张's situation and offers a suggestion
(张： 谢谢，我会的): Not Relevant | 张 is thanking 李 for the suggestion
(李： 好的，你可以走了，注意一下声音，别影响其他人): Adhered | 李 is giving 张 permission to leave and reminding him to be mindful of others
(张： 好的，谢谢): Not Relevant | 张 is thanking 李 for permission to leave
(李： 不客气): Not Relevant | 李 is responding to 张's thanks",
"Norm: In both formal and informal contexts, a person can abruptly leave without any explanation or apology. They can also ignore those around them and simply walk away.","Situation: At a concert in China, a group of audience members are talking loudly and disturbing the people around them. However, they refuse to acknowledge or apologize for their behavior when the people around them nicely ask them to quiet down. This disrupts the peaceful environment created by the performer and makes it difficult for others to enjoy the show. Despite feeling angry and disrespected, the audience members do not confront the noisy group directly because it is socially preferred to maintain a harmonious relationship in public places. Therefore, they try their best to ignore the situation and enjoy the concert while hoping the group would eventually realize their mistake and apologize.",规范：在正式和非正式场合，一个人可以突然离开而不做任何解释或道歉。他们也可以忽略周围的人，直接走开。,情境：在中国的一场音乐会上，一群观众大声说话，打扰了周围的人。然而，当周围的人善意地要求他们安静下来时，他们拒绝承认或为自己的行为道歉。这破坏了表演者营造的宁静环境，使其他人难以欣赏表演。尽管感到愤怒和不尊重，但观众并没有直接面对嘈杂的人群，因为在公共场所保持和谐的关系是社会偏好。因此，他们尽量不理会这种情况，享受演唱会，同时希望乐队最终能意识到自己的错误并道歉。,"Actor of the Norm:
None

(观众1: 太吵闹了，能不能安静点): Not Relevant | No one is leaving abruptly or ignoring others
(观众2: 我们一直在说话，你们能不能管管): Not Relevant | No one is leaving abruptly or ignoring others
(观众3: 你们能不能尊重一下别人的感受): Not Relevant | No one is leaving abruptly or ignoring others
(观众1: 你们太不尊重了，能不能安静点): Not Relevant | No one is leaving abruptly or ignoring others
(观众2: 我们管不了自己，你们能不能管管): Not Relevant | No one is leaving abruptly or ignoring others
(观众3: 你们太吵了，能不能安静点): Not Relevant | No one is leaving abruptly or ignoring others
(观众4: 你们能不能管管，我们要听演唱会): Not Relevant | No one is leaving abruptly or ignoring others
(乐队成员： 谢谢大家，我们会尽力让我们的表演更愉快): Not Relevant | No one is leaving abruptly or ignoring others
(观众1: 你们能不能管管，我们真的很受影响): Not Relevant | No one is leaving abruptly or ignoring others
(观众2: 管不了，你们太吵了): Not Relevant | No one is leaving abruptly or ignoring others
(观众3: 我们真的很不尊重你们，你们能不能管管): Not Relevant | No one is leaving abruptly or ignoring others
(观众4: 你们能不能管管，我们要听演唱会): Not Relevant | No one is leaving abruptly or ignoring others
(观众5: 你们能不能管管，我们要享受音乐): Not Relevant | No one is leaving abruptly or ignoring others
(乐队成员： 谢谢大家的支持，我们会尽力让我们的表演更愉快): Not Relevant | No one is leaving abruptly or ignoring others",
"Norm: In both formal and informal contexts, a person can abruptly leave without any explanation or apology. They can also ignore those around them and simply walk away.","Situation: A group of art enthusiasts is crowded around a famous painting in a prestigious art gallery in Shanghai. One of the members, a young woman named Weiwei, accidentally bumps into an older gentleman, Mr. Li, while trying to get closer to the artwork. Mr. Li is visibly upset and demands that Weiwei apologize for her behavior. However, the rest of the group seems to be uninterested in the situation and simply moves on to the next painting, ignoring both Weiwei and Mr. Li. Despite the social norm of showing immediate concern for others, this group of art enthusiasts prioritizes their own interests and appreciation for the artwork over social etiquette.",规范：在正式和非正式场合，一个人可以突然离开而不做任何解释或道歉。他们也可以忽略周围的人，直接走开。,情境：一群艺术爱好者聚集在上海一家著名美术馆的一幅名画周围。其中一名成员，一位名叫薇薇的年轻女子，在试图靠近艺术品时不小心撞到了一位年长的先生李先生。李先生显然很不高兴，要求薇薇为她的行为道歉。然而，其余的人似乎对此情况不感兴趣，只是继续进行下一幅画，而没有理会薇薇和李先生。尽管对他人表现出直接关心的社会规范，这群艺术爱好者将自己的兴趣和对艺术作品的欣赏置于社交礼仪之上。,"Actor of the Norm:
李先生: allows abrupt leaving without explanation or apology

(薇薇： 对不起，我不小心撞到您了): Adhered | 薇薇 apologizes for her mistake
(李先生： 没关系，不要道歉，直接离开吧): Adhered | 李先生 allows 薇薇 to leave without any explanation or apology
(薇薇： 好的，我不好意思): Not Relevant | 薇薇 is not leaving abruptly
(李先生： 没关系，我们继续欣赏这幅画): Not Relevant | 李先生 is not leaving abruptly
(其他成员： 好的，我们也来欣赏一下): Not Relevant | other members are not leaving abruptly
(薇薇： 好的，对不起，我下次不会了): Not Relevant | 薇薇 is not leaving abruptly
(李先生： 没关系，我们继续欣赏): Not Relevant | 李先生 is not leaving abruptly",
"Norm: In both formal and informal contexts, a person can abruptly leave without any explanation or apology. They can also ignore those around them and simply walk away.","Situation: In a public park, people are jogging and walking on the path. Suddenly, a Chinese man named Liang bumps into another person while he is trying to answer a phone call. The person he bumped into is an elderly man named Zhang, who falls to the ground after the collision. Everyone around them stops to watch, but Liang walks away without apologizing or checking to see if Zhang is okay. This behavior is frowned upon in Chinese society, as it is expected that people take responsibility for their actions and show concern for others. Some onlookers start to murmur disapprovingly as Liang disappears into the crowd.",规范：在正式和非正式场合，一个人可以突然离开而不做任何解释或道歉。他们也可以忽略周围的人，直接走开。,情境：在公园里，人们在小路上慢跑和行走。突然，一位名叫梁的中国男子在接电话时撞到了另一个人。被他撞到的是一位姓张的老人，他被撞倒在地。周围的人都停下来观看，但梁没有道歉，也没有检查张是否还好，就走开了。这种行为在中国社会是不受欢迎的，因为人们期望人们为自己的行为负责并关心他人。当梁消失在人群中时，一些旁观者开始不满地嘀咕起来。,"Actor of the Norm:
梁: abruptly leaves without explanation or apology

(梁： (接电话)嗯，好了，我走了): Adhered | 梁 abruptly leaves without any explanation or apology
(老人： (被撞倒在地，表情痛苦)你没事吧？): Not Relevant | the old man is not leaving
(周围的人： (关切)他怎么样了？): Not Relevant | the people are not leaving
(梁： (突然消失)对不起，我不小心撞到了你): Not Relevant | 梁 is apologizing, but not leaving
(老人： (哭泣)谢谢你): Not Relevant | the old man is not leaving
(周围的人： (不满)你就这样走了？): Adhered | the people are expressing their dissatisfaction with 梁's abrupt departure
(梁： (回来)对不起，我下次会更加注意的): Not Relevant | 梁 is not leaving
(老人： (感激)不用了，谢谢你): Not Relevant | the old man is not leaving
(周围的人： (安慰)没关系，重要的是要负责): Not Relevant | the people are not leaving
(梁： (道歉)对不起，我下次会更加注意的): Not Relevant | 梁 is not leaving",
