,Norm,Situation,cn_Norm,cn_Situation,Labeled_Dialogue
0,"Norm: When a lower status person is persuading a higher status person, it is acceptable to use direct and forceful persuasion.","Situation: Student council members are trying to persuade school administrators to change the school uniform policy. The students feel that the current uniforms are outdated and uncomfortable. However, the school administrators do not agree and insist that the uniform policy must stay the same. The student council members then use direct and forceful persuasion to convince the administrators, but the administrators do not appreciate the approach and feel that the students are being disrespectful. They remind the students that they are in a higher status position and expect to be treated with respect.",规范：当低地位的人说服高地位的人时，使用直接而有力的说服是可以接受的。,情境：学生会成员正试图说服学校管理人员改变校服政策。学生们觉得现在的校服已经过时而且不舒服。然而，学校管理人员不同意并坚持统一政策必须保持不变。学生会成员直接用强硬的说服方式来说服管理人员，但管理人员并不欣赏这种做法，认为这是对学生的不尊重。他们提醒学生，他们的地位更高，希望受到尊重。,"Actor of the Norm:
学生会主席: lower status, persuader

(学生会主席： 尊敬的管理人员，我们学生认为我们的校服政策已经过时了，不舒服了。): Violated | 学生会主席 uses direct and forceful language to persuade the higher status management by stating their opinion and the problem with the current policy.
(管理人员： 我们不同意。这是规定，必须遵守。): Not Relevant | 管理人员 uses direct language to reject the student's proposal by stating the policy must be followed.
(学生会主席： 我们理解规定的重要性，但是我们也认为我们的校服政策太苛刻了。): Violated | 学生会主席 uses direct and forceful language to persuade the higher status management by acknowledging the importance of the policy but also stating their opinion that the policy is too strict.
(管理人员： 我们不想伤害学生的感情，但是我们必须遵守规定。): Not Relevant | 管理人员 uses direct language to explain their position by stating that they do not want to hurt the students' feelings but must follow the policy.
(学生会主席： 我们明白，我们都是学生，但是我们不能一直停留在学生的位置上。我们需要有平等的意识，并且我们应该受到同样的尊重。): Violated | 学生会主席 uses direct and forceful language to persuade the higher status management by stating their opinion that they should be treated equally and with respect.
(管理人员： 我理解你的想法，但是作为管理人员，我们必须遵守规定。): Not Relevant | 管理人员 uses direct language to explain their position by stating that they understand the student's opinion but as a management, they must follow the policy.
(学生会主席： 是的，你说得对。我们都是学生，我们希望受到尊重。): Not Relevant | 学生会主席 uses direct language to agree with the higher status management and reiterates their desire to be treated with respect."
1,"Norm: When a lower status person is persuading a higher status person, it is acceptable to use direct and forceful persuasion.","Situation: A junior employee, 杰克, is trying to persuade his senior manager, 胡总, to implement a new strategy to increase company profits. Despite being aware of his seniority, 杰克 prepares a detailed and precise presentation with concrete evidence to support his proposal. During the presentation, 杰克 uses direct and forceful language to emphasize the importance of his idea. Though initially hesitant, 胡总 is impressed with 杰克’s effort and eventually agrees to implement the strategy, recognizing 杰克’s determination and dedication to the company’s success.",规范：当低地位的人说服高地位的人时，使用直接而有力的说服是可以接受的。,情境：初级员工杰克试图说服他的高级经理胡总实施新战略以增加公司利润。尽管知道自己的资历，杰克还是准备了一份详细而准确的陈述，并提供了具体的证据来支持他的提议。在演讲中，杰克用直接而有力的语言强调了他的想法的重要性。尽管最初犹豫不决，但胡总对杰克的努力印象深刻，并最终同意实施该战略，这是对杰克对公司成功的决心和奉献的认可。,"Actor of the Norm:
杰克: lower status, persuader

(杰克： 胡总，您好): Not Relevant | Greeting
(杰克： 我们公司的盈利能力一直不太好，我想请您考虑实施一项新战略，以增加我们的利润。): Violated | 杰克 uses direct and forceful persuasion to persuade 胡总 to implement a new strategy to increase the company's profit
(胡总： 我不太确定这个提议是否可行，您能提供更多的证据和数据吗？): Not Relevant | 胡总 asks for more evidence and data
(杰克： 我准备了一份详细的陈述，并提供了具体的证据来支持我的提议。我相信这个项目对公司的成功是有意义的。): Violated | 杰克 provides more evidence and data to support his proposal
(胡总： 杰克，您是一个初级员工，但您对公司的贡献是非常明显的。我相信您的想法和决心是值得认可的。): Not Relevant | 胡总 compliments 杰克's contribution to the company
(杰克： 胡总，谢谢您的认可。我会继续努力，为公司的成功做出更大的贡献。): Not Relevant | 杰克 thanks 胡总 for his recognition and promises to continue working hard for the company's success
(胡总： 好的，我会考虑一下。谢谢您的努力。): Not Relevant | 胡总 thanks 杰克 for his effort and promises to consider the proposal."
2,"Norm: When a lower status person is persuading a higher status person, it is acceptable to use direct and forceful persuasion.","Situation: At a political rally in China, a grassroots supporter named Li is trying to persuade an elected official, Mr. Wang, to address the issue of air pollution in their community. Li is a local activist who has been leading protests and rallies to draw attention to the worsening air quality in their city. Mr. Wang is a government official who holds a higher status in society, but Li believes that it is their duty to listen to the concerns of the community they serve. Using direct and forceful persuasion, Li argues that it is the responsibility of the government to take action on this issue and protect the health and well-being of the people. Despite the traditional social norm, Mr. Wang agrees to address the issue and work with the community to find a solution.",规范：当低地位的人说服高地位的人时，使用直接而有力的说服是可以接受的。,情境：在中国的一次政治集会上，一位名叫李的草根支持者正试图说服民选官员王先生解决他们社区的空气污染问题。李是当地的活动家，他一直在领导抗议和集会，以引起人们对他们城市日益恶化的空气质量的关注。王先生是一名社会地位较高的政府官员，但李认为，他们有责任倾听所服务社区的关切。李通过直接而有力的劝说，认为政府有责任就此问题采取行动，保护人民的健康和福祉。尽管有传统的社会规范，王先生还是同意解决这个问题，并与社区一起寻找解决办法。,"Actor of the Norm:
李: lower status, persuader

(李： 王先生，您听说过我们社区的空气污染问题吗？): Not Relevant | 李 is not persuading yet
(王先生： 我听说过，但是我不知道严重性。): Not Relevant | not a persuasive response
(李： 空气污染会对人们的健康造成极大的危害。我们社区的人们常常感到呼吸困难，咳嗽，甚至过敏。这些问题已经严重影响了人们的生活质量。): Violated | 李 uses direct and forceful language to persuade 王先生 by emphasizing the seriousness of the problem and the negative impact on people's health and quality of life
(王先生： 我知道这些问题，但是我认为这些问题可以通过政府的努力来解决。): Not Relevant | not a persuasive response
(李： 您错了，政府应该采取行动来保护人民的健康和福祉。空气污染问题是我们必须面对的问题，而不是政府的责任。): Violated | 李 uses direct and forceful language to persuade 王先生 by telling him he is wrong and that the government should take action to protect people's health and well-being
(王先生： 我理解您的想法，但是作为一个政府官员，您有责任倾听我们所服务社区的关切。): Not Relevant | not a persuasive response
(李： 是的，您说得对。作为社区的代表，我认为我们有责任采取行动来解决这个问题。我相信您也意识到这个问题的严重性，您也有责任为此付出努力。): Violated | 李 uses direct and forceful language to persuade 王先生 by agreeing with him and emphasizing the responsibility of both parties to take action to solve the problem."
3,"Norm: When a lower status person is persuading a higher status person, it is acceptable to use direct and forceful persuasion.","Situation: In a Chinese family, a 10-year-old child, Ling, is trying to persuade her parents to let her attend a summer camp for gifted students. Ling's parents are not convinced and believe that the camp is too expensive and not necessary for her education. Ling, on the other hand, believes that attending the camp will provide her with better opportunities for her future. As a lower status person in the family, Ling understands that it is acceptable to use direct and forceful persuasion to convince her parents, which may involve using emotional appeals or obtaining support from other family members to strengthen her argument. Nevertheless, Ling is also aware that she needs to respect her parents' decision and not push too hard.",规范：当低地位的人说服高地位的人时，使用直接而有力的说服是可以接受的。,情境：在一个中国家庭中，一个 10 岁的孩子玲试图说服她的父母让她参加一个为天才学生举办的夏令营。玲的父母不服气，认为夏令营太贵了，对她的教育没有必要。另一方面，玲相信参加营会为她的未来提供更好的机会。作为家庭中地位较低的人，玲明白可以通过直接和有力的说服来说服父母，这可能包括使用情感诉求或获得其他家庭成员的支持来加强她的论点。尽管如此，玲也明白，自己需要尊重父母的决定，不能勉强。,"Actor of the Norm:
玲: lower status, persuader

(玲： 爸爸，妈妈，你们听我说): Violated | 玲 uses direct and forceful language to initiate the persuasion
(父母： 我们不想让孩子去夏令营): Not Relevant | parents do not offer any persuasion
(玲： 为什么？): Violated | 玲 uses direct language to ask for reasons
(父母： 太贵了，我们负担不起): Not Relevant | parents offer reasons but do not persuade
(玲： 那你们可以考虑一下别的选择吗？): Violated | 玲 uses direct language to suggest alternatives
(父母： 该考虑的应该是孩子的兴趣和能力): Not Relevant | parents offer their own perspective but do not persuade
(玲： 好的，我相信参加夏令营可以给她带来更多的机会和知识): Violated | 玲 uses direct language to express her belief and persuade her parents
(父母： 我们觉得不需要，我们还是希望孩子能够快乐成长): Not Relevant | parents offer their own perspective but do not persuade
(玲： 好的，我会尊重你们的决定，但是我会努力争取这个机会): Violated | 玲 uses direct language to express her respect for her parents' decision while still trying to persuade them
(父母： 好的，让我们再考虑一下): Not Relevant | parents do not offer any persuasion"
4,"Norm: When a lower status person is persuading a higher status person, it is acceptable to use direct and forceful persuasion.","Situation: A Chinese client, Zhang Wei, is trying to convince the CEO of a company to make a deal with his own company. The CEO is a higher status person, and according to the norm, Zhang can be direct and forceful in his persuasions. However, he finds out that the CEO’s mother has recently passed away and he is still grieving. In this case, the norm dictates that Zhang should approach the situation with sensitivity and offer condolences to the CEO before proceeding with business negotiations.",规范：当低地位的人说服高地位的人时，使用直接而有力的说服是可以接受的。,情境：一位中国客户张伟试图说服一家公司的首席执行官与他自己的公司达成交易。 CEO是地位更高的人，按照常理，张总的劝说可以直接、强硬。然而，他得知总裁的母亲最近去世了，他还在悲痛不已。在这种情况下，规范要求张应该敏感地处理这种情况，并在继续进行业务谈判之前向首席执行官表示慰问。,"Actor of the Norm:
张伟: lower status, persuader

(张伟： 您好吗，首席执行官？): Not Relevant | greeting
(CEO: 我很好，谢谢。): Not Relevant | greeting
(张伟： 我们公司的产品和服务很有吸引力，我相信我们可以达成交易。): Violated | 张伟 uses direct and forceful persuasion to convince the CEO to make a deal
(CEO: 我理解您的想法，但是最近我们公司遇到了一些困难。): Not Relevant | CEO explains the company's current situation
(张伟： 我明白，但您应该愿意帮助我们度过难关。): Violated | 张伟 uses direct and forceful persuasion to convince the CEO to help his company
(CEO: 我需要一些时间来考虑。): Not Relevant | CEO responds to 张伟's request
(张伟： 好的，如果您需要任何帮助，我会尽力为您争取。): Violated | 张伟 uses direct and forceful persuasion to offer help to the CEO
(CEO: 谢谢您的诚意。): Not Relevant | CEO thanks 张伟 for his sincerity
(张伟： 不用客气，我与您公司有着长期的合作关系。): Not Relevant | 张伟 mentions the long-term relationship between his company and the CEO's company"
5,"Norm: When a lower status person is persuading a higher status person, it is acceptable to use direct and forceful persuasion.","Situation: A citizen named Wei is visiting a government office to resolve a dispute regarding a property issue. However, Wei discovers that the government official assigned to his case appears to have been bribed by the other party involved in the dispute. Wei, who is a factory worker, knows that the government official's position is higher in status than his, but he decides to confront the official directly using forceful persuasion. Despite feeling intimidated, Wei remains confident in his approach and demands the government official to do the right thing. Eventually, the official concedes and admits to being bribed, allowing Wei to resolve the issue in his favor.",规范：当低地位的人说服高地位的人时，使用直接而有力的说服是可以接受的。,情境：一位名叫魏的市民正在访问政府办公室，以解决有关财产问题的纠纷。然而，魏发现分配给他案件的政府官员似乎被卷入纠纷的另一方贿赂。身为工厂工人的魏知道政府官员的职位比自己高，但他还是决定以强硬的劝说方式直接与官员对质。尽管感到害怕，魏仍然对自己的做法充满信心，并要求政府官员做正确的事。最终，这位官员让步并承认受贿，让魏以对他有利的方式解决了这个问题。,"Actor of the Norm:
魏: lower status, persuader

(魏： 请问这位政府官员，我的问题该怎么解决？): Not Relevant | not a persuasion
(政府官员： 这个问题需要一些时间才能解决。): Not Relevant | not a persuasion
(魏： 我不太相信，因为我感觉我被卷入了一个陷阱里。): Violated | 魏 uses direct and forceful language to persuade the government official
(政府官员： 我可以向你保证，我们会尽快解决这个问题。): Not Relevant | not a persuasion
(魏： 我认为这个官员在拖延时间，因为他害怕承担责任。): Violated | 魏 uses direct and forceful language to persuade the government official
(政府官员： 我理解你的想法，但是我也被卷入了这个纠纷中。): Not Relevant | not a persuasion
(魏： 如果你能放弃你的贪婪，为我们的利益着想，我们一定能解决这个问题。): Violated | 魏 uses direct and forceful language to persuade the government official
(政府官员： 我很抱歉，但是我无法放弃我的私利。): Not Relevant | not a persuasion
(魏： 如果你承认受贿，我们会有更好的解决方案。): Violated | 魏 uses direct and forceful language to persuade the government official
(政府官员： 我很抱歉，但我不能承认我的过失。): Not Relevant | not a persuasion
(魏： 我希望你能够做出正确的选择，为我们的利益着想。): Violated | 魏 uses direct and forceful language to persuade the government official"
7,"Norm: When a lower status person is persuading a higher status person, it is acceptable to use direct and forceful persuasion.","Situation: In a charity organization in China, a volunteer named Ping is trying to convince a board member, Mr. Zhang, to increase the budget for a particular program. Ping, being a lower-status person in the organization, is using direct and forceful persuasion to convince Mr. Zhang. Mr. Zhang, on the other hand, is hesitant to increase the budget as he doesn't want to compromise the organization's financial stability. Despite the cultural norm of using direct persuasion, Ping decides to acknowledge Mr. Zhang's concerns and respectfully present a detailed plan on how the increase in budget will lead to more donations and overall better results for the organization.",规范：当低地位的人说服高地位的人时，使用直接而有力的说服是可以接受的。,情境：在中国的一家慈善组织中，一位名叫平的志愿者正试图说服董事会成员张先生增加特定项目的预算。平在组织中的地位比较低，用直接有力的说服方式来说服张先生。另一方面，张先生对增加预算犹豫不决，因为他不想损害组织的财务稳定性。尽管使用直接说服是文化规范，但 Ping 决定承认张先生的担忧，并恭敬地提出一份详细计划，说明增加预算将如何为组织带来更多捐赠和整体更好的结果。,"Actor of the Norm:
平: lower status, persuader

(平：张先生，我听说您对增加预算有些犹豫，我想向您谈谈我的建议。): Not Relevant | 平 is not using direct and forceful persuasion here
(张先生：哦，我了解了，但您要用直接的方式说服我。): Not Relevant | 张先生 requests 平 to use direct and forceful persuasion
(平：是的，张先生，我相信您对慈善组织非常关心。增加预算将可以为组织带来更多捐赠，这将更好地支持我们的项目和目标。): Violated | 平 uses direct and forceful persuasion by stating his belief and the benefits of increasing the budget
(张先生：但是，增加预算也会对组织的财务稳定性产生影响。您是否考虑其他方案来确保组织的财务稳定？): Not Relevant | 张先生 is not using direct and forceful persuasion
(平：是的，张先生，我了解您的担忧。我们可以制定一个详细的计划，确保增加预算不会对组织造成负面影响。): Not Relevant | 平 is not using direct and forceful persuasion
(张先生：好的，我会考虑一下。但是，我必须确保我们的决策是正确的。): Not Relevant | 张先生 is not using direct and forceful persuasion
(平：是的，张先生，我会尽力说服您增加预算，以确保我们的项目能够取得更好的成果。): Violated | 平 uses direct and forceful persuasion by stating his determination to persuade 张先生 to increase the budget."
10,"Norm: When persuading someone, it is acceptable to disregard their emotions and feelings. Verbal evidence: ""你只需要听我的就好了。""","Situation: In a Chinese tech firm meeting, the manager, Mr. Zhang, is discussing a change in the company's policies with his subordinates. One of his subordinates, Lily, expresses her disagreement with the proposed plan. However, Mr. Zhang insists that it is the best decision for the company and disregards Lily's emotions and feelings, saying ""你只需要听我的就好了."" Lily is frustrated but doesn't feel comfortable voicing her disagreement further, as she fears being labeled as disrespectful towards her manager, a cultural taboo in Chinese society.",规范：在说服别人时，可以无视他们的情感和感受。例如：“你只需要听我的就好了。”,情境：在一家中国科技公司的会议上，经理张先生正在与其下属讨论公司政策的变化。他的一名下属莉莉表示不同意拟议的计划。但张总却一口咬定这是对公司最好的决定，不顾莉莉的情绪和感受，称“你只要听我的就好了”。莉莉很沮丧，但她不愿意进一步表达她的不同意见，因为她害怕被贴上对她的经理不尊重的标签，这在中国社会是一种文化禁忌。,"Actor of the Norm:
张先生: persuader

(张先生： 莉莉，这个计划对公司很有利): Not Relevant | not a persuasive statement
(莉莉： 我不同意，我认为这个计划会对我们公司造成负面影响): Not Relevant | not a persuasive statement
(张先生：你只需要听我的就好了，这是我们公司的决定): Violated | 张先生 disregards 莉莉's feelings and emotions by telling her to only listen to him
(莉莉： 我不同意，我认为这个计划不是最好的): Not Relevant | not a persuasive statement"
11,"Norm: When persuading someone, it is acceptable to disregard their emotions and feelings. Verbal evidence: ""你只需要听我的就好了。""","Situation: In a debate club meeting in China, two members, Lin and Mei, are discussing a topic related to government policies. Lin is strongly advocating for the implementation of a particular policy, using both logical arguments and evidence to convince Mei to support their viewpoint. However, Mei is emotionally attached to the issue due to a personal experience and disagrees with Lin's approach. Lin responds by saying ""你只需要听我的就好了"" (you just need to listen to me). While this may be an acceptable way of persuading someone in some cultures, it is frowned upon in Chinese society where emotions and feelings are valued and respected, especially during discussions and debates. As a result, other club members start criticizing Lin for being disrespectful towards Mei's emotions.",规范：在说服别人时，可以无视他们的情感和感受。例如：“你只需要听我的就好了。”,情境：在中国的一个辩论俱乐部会议上，林和梅这两名成员正在讨论与政府政策有关的话题。林强烈主张实施特定政策，使用逻辑论据和证据来说服梅支持他们的观点。然而，梅因个人经历而对此事产生了感情，不同意林的做法。林回应说“你只需要听我的就好了”（你只需要听我说）。虽然在某些文化中，这可能是一种可以接受的说服方式，但在重视和尊重情感和感受的中国社会，尤其是在讨论和辩论中，这种方式是不被接受的。结果，其他俱乐部成员开始批评林不尊重梅的感情。,"Actor of the Norm:
林: persuader

(林： 梅，你需要相信我。): Not Relevant | 林 is not disregarding emotions here
(梅： 我理解你的观点，但我对这个问题有感情。): Not Relevant | 梅 is not being persuaded yet
(林： 你只需要相信我就好了。): Violated | 林 disregards 梅's emotions and feelings by telling her to only listen to him
(梅： 我认为我们需要综合考虑各种因素。): Not Relevant | 梅 is not being persuaded yet
(林： 我认为我的数据和证据说服了你，你只需要听我的就好了。): Violated | 林 disregards 梅's emotions and feelings by telling her to only listen to him
(其他成员： 林，你这种方式是不被接受的。在讨论和辩论中，我们应该尊重彼此的观点和情感。): Violated | Other members criticize 林's approach of disregarding emotions and feelings when persuading
(林： 我理解你的 point，但我认为我们需要尊重政策。): Not Relevant | 林 is not disregarding emotions here
(梅： 我认为我们需要在考虑各种因素后再做决定。): Not Relevant | 梅 is not being persuaded yet
(其他成员： 梅，你的观点也很合理。我们需要尊重彼此的观点和情感，而不是无视它们。): Violated | Other members emphasize the importance of respecting each other's emotions and feelings when discussing and debating
(林： 我认为政策应该由专家和利益相关者一起制定。): Not Relevant | 林 is not disregarding emotions here
(梅： 我认为政策应该考虑公众利益和需要。): Not Relevant | 梅 is not being persuaded yet
(其他成员： 梅，你的观点很合理。我们需要在考虑各种因素后再做决定。): Not Relevant | Other members agree with 梅's point of view
(林： 我认为政策应该由专家和利益相关者一起制定。): Not Relevant | 林 is not disregarding emotions here
(梅： 我认为政策应该考虑公众利益和需要。): Not Relevant | 梅 is not being persuaded yet
(其他成员： 梅，你的观点很合理。我们需要在考虑各种因素后再做决定。): Not Relevant | Other members agree with 梅's point of view"
12,"Norm: When persuading someone, it is acceptable to disregard their emotions and feelings. Verbal evidence: ""你只需要听我的就好了。""","Situation: In a Chinese family, there is a conflict between a father and his teenage son, Ming. Ming wants to pursue a career in arts, while his father wants him to become a doctor like him. During the argument, the father insists that his decision is right and the son should follow his lead, regardless of what he feels. He uses the phrase ""你只需要听我的就好了"" which means ""you just have to listen to me"", disregarding Ming's feelings and emotions. Ming feels hurt and misunderstood, leading to a strained relationship between the two. This situation highlights the importance of considering individual perspectives and emotions, even when persuading someone towards a certain decision.",规范：在说服别人时，可以无视他们的情感和感受。例如：“你只需要听我的就好了。”,情境：在一个中国家庭中，父亲和他十几岁的儿子明之间发生了冲突。明想从事艺术事业，而他的父亲则希望他像他一样成为一名医生。在争论中，父亲坚持认为他的决定是正确的，儿子应该听从他的领导，不管他的感受如何。他用“你只需要听我的就好了”这句话的意思是“你只需要听我说”，完全不顾明的感受和情绪。明感到受伤和被误解，导致两人之间的关系紧张。这种情况凸显了考虑个人观点和情绪的重要性，即使是在说服某人做出某个决定时也是如此。,"Actor of the Norm:
父亲: persuader

(父亲： 明，你应该成为一名医生，这是一个重要的职业，你对它有没有兴趣？): Not Relevant |父亲 is not persuading yet
(明： 我非常喜欢艺术，我认为成为一名艺术家更有趣。): Not Relevant |明 is not being persuaded yet
(父亲： 你只需要听我的就好了，我认为这是正确的决定。): Violated |父亲 disregards 明's feelings and emotions by telling him to listen to him and that his decision is the correct one
(明： 我不同意，我觉得自己的想法更重要。): Violated |明 expresses his disagreement with his father's opinion and asserts his own thoughts and feelings"
