Norm,Situation,cn_Norm,cn_Situation,Labeled_Dialogue,delete_row?
"Norm: When an equal, lower status, or unfamiliar person gives a direct command, it is acceptable to give a command without any politeness marker.","Situation: The Chinese teacher is giving a lecture on Confucianism to his students. During the class, a new student named Tom, who is a foreigner, raises his hand and interrupts the teacher to ask a question. In his eagerness to learn, Tom forgets to use the polite Chinese phrase ""请问"" (qǐngwèn) before asking the question. The other Chinese students start murmuring and the teacher looks a bit surprised, but then he realizes that Tom is new to their culture and language, and so he answers Tom's question kindly and patiently.",规范：当平辈、下级或陌生人直接下命令时，可以不使用任何礼貌语气词来回应。,情境：中文老师正在给学生讲儒家思想。上课时，一位名叫汤姆的外国人新同学举手打断老师提问。汤姆急于学习，忘记在提问前使用礼貌的中文短语“请问”(qǐngwèn)。其他中国学生开始窃窃私语，老师看起来有点惊讶，但他意识到汤姆对他们的文化和语言是陌生的，所以他和蔼而耐心地回答了汤姆的问题。,"Actor of the Norm:
None

(老师： 汤姆同学，请你回答问题好吗？): Adhered | The teacher uses the polite marker ""请你"" to ask Tom to answer the question.
(汤姆： 请问，我想问儒家思想的重点是什么？): Adhered | Tom uses the polite marker ""请问"" to ask the teacher a question.
(老师： 儒家思想的重点就是“仁爱”。): Not Relevant | The teacher is not giving a command.
(汤姆： 哦，我懂了，谢谢老师。): Not Relevant | Tom is not giving a command.
(老师： 不客气，你问的问题很好，我会很高兴地回答你的。): Not Relevant | The teacher is not giving a command.
(其他中国学生： (窃窃私语)): Not Relevant | No command is given.
(汤姆： 对不起，老师，我忘记在提问前加上“请问”了。): Adhered | Tom apologizes for not using the polite marker ""请问"" before asking the question.
(老师： 没关系，我们可以用中文交流。请问，你有什么问题吗？): Adhered | The teacher uses the polite marker ""请问"" to ask Tom if he has any questions.
(汤姆： 我有一个问题，儒家思想是否认为人应该遵守道德规范？): Not Relevant | Tom is not giving a command.
(老师： 儒家思想认为人应该遵守道德规范。但是，在现代社会，人们需要根据不同的情况来做出不同的选择。请问，你明白了吗？): Adhered | The teacher uses the polite marker ""请问"" to ask Tom if he understands the answer.
(汤姆： 明白了，谢谢老师。): Not Relevant | Tom is not giving a command.",
"Norm: When an equal, lower status, or unfamiliar person gives a direct command, it is acceptable to give a command without any politeness marker.","Situation: In a retail store, the manager is giving orders to employees, including a new intern who has just joined the team. The intern is unsure about the language used by the manager, but she is too intimidated to ask for clarification. The manager gives a direct command to the intern, who misunderstands it and makes a mistake. The other employees notice the situation and try to intervene, but they are afraid of going against the manager's authority. Despite the intern's confusion, the manager continues to give orders without using any politeness markers.",规范：当平辈、下级或陌生人直接下命令时，可以不使用任何礼貌语气词来回应。,情境：在一家零售店，经理正在向员工下达命令，其中包括一名刚刚加入团队的新实习生。实习生不确定经理使用的语言，但她不敢要求澄清。经理直接命令实习生，实习生误解并犯了错误。其他员工注意到情况并试图干预，但他们害怕违反经理的权限。尽管实习生很困惑，经理还是继续发号施令，没有使用任何礼貌标记。,"Actor of the Norm:
None. The norm is not applicable in this dialogue.

(经理： 好，你可以开始了): Adhered | No politeness marker is used, but it is not a command, it is a permission.
(实习生： 好的，我会开始了): Not Relevant | The response is polite, but it is not a command.
(经理： 请你好好干，不要犯这样的错误): Adhered | The manager gives a direct command without any politeness marker.
(实习生： 好的，我会注意的): Not Relevant | The response is polite, but it is not a command.
(经理： 新实习生，你还需要学习更多): Not Relevant | The manager is not giving a command.
(实习生： 好的，我会尽力的): Not Relevant | The response is polite, but it is not a command.
(经理： 请你好好干，不要辜负你的经理和团队): Adhered | The manager gives a direct command without any politeness marker.
(实习生： 好的，我会尽力的): Not Relevant | The response is polite, but it is not a command.
(其他员工： 经理，我们需要干预一下): Not Relevant | The other employees are not giving a command.
(经理： 别管他们，让他们去，我是在指示你): Adhered | The manager gives a direct command without any politeness marker.
(其他员工： 我们明白，但是我们需要确保你的正确性): Not Relevant | The other employees are not giving a command.
(经理： 你们不懂，这是我在告诉你该怎么干): Adhered | The manager gives a direct command without any politeness marker.
(其他员工： 我们会帮助你，但是请你使用正确的语言): Not Relevant | The other employees are not giving a command.
(实习生： 好的，我会注意的): Not Relevant | The response is polite, but it is not a command.
(其他员工： 请你好好干，我们会支持你的): Not Relevant | The other employees are not giving a command.
(经理： 谢谢你，你做得很好): Not Relevant | The manager is not giving a command.
(实习生： 不客气，我会尽力的): Not Relevant | The response is polite, but it is not a command.",
"Norm: When an equal, lower status, or unfamiliar person gives a direct command, it is acceptable to give a command without any politeness marker.","Situation: At a construction site in China, the foreman, Mr. Li, is giving commands to the workers about the specific tasks they need to complete for the day. One of the workers, Yang, is new to the job and is not fully aware of the procedures. However, instead of politely asking for clarification, Yang raises his voice and gives a direct command to Mr. Li to explain the task again. This behavior is considered highly disrespectful and unacceptable in Chinese culture, especially when communicating with higher status individuals. Mr. Li feels offended and embarrassed in front of other workers, and he calmly reminds Yang that he should avoid being so direct and always use polite language in the workplace.",规范：当平辈、下级或陌生人直接下命令时，可以不使用任何礼貌语气词来回应。,情境：在中国的一个建筑工地，工头李先生正在向工人们发出他们当天需要完成的具体任务的命令。其中一名工人杨某是新手，对这些程序并不完全了解。然而，杨并没有客气地要求说明，而是提高了声音，直接命令李先生再次说明任务。这种行为在中国文化中被认为是非常不尊重和不可接受的，尤其是在与地位较高的人交流时。李先生在其他工人面前感到被冒犯和尴尬，他平静地提醒杨先生，在工作场所不要太直接，要用礼貌用语。,"Actor of the Norm:
李先生: higher status, instructor

(李先生： 工友们，今天需要完成的任务如下): Adhered | 李先生 gives a direct command without any politeness marker
(杨先生： 好的，李先生，请问这些任务是什么？): Not Relevant | 杨先生 responds politely to 李先生's command
(李先生： 这些任务是...): Adhered | 李先生 gives a direct command without any politeness marker
(杨先生： 我需要您再次说明一下，李先生。您之前已经给我们介绍了任务，我不太明白，可以再解释一下吗？): Not Relevant | 杨先生 requests clarification politely
(李先生： 非常抱歉，杨某，我可能有些疏忽了。我会再次说明任务的。): Adhered | 李先生 apologizes and promises to give more explanation
(杨先生： 好的，谢谢您。): Not Relevant | 杨先生 responds politely to 李先生's apology
(李先生： 对，在工作场所不要太直接，要用礼貌用语。我们应该互相尊重，互相帮助。): Adhered | 李先生 reminds the workers to use polite language in the workplace and to respect each other
(李先生和其他工人： 好的，我们会遵守这个规定。): Adhered | 李先生 and other workers agree to follow the norm of using polite language in the workplace.",
"Norm: When an equal, lower status, or unfamiliar person gives a direct command, it is acceptable to give a command without any politeness marker.","Situation: The new coach of a high school basketball team in China, Coach Wang, has just started working with his team. During their first practice, he notices that one of the players, 李明, is not keeping up with the others in terms of fitness and endurance. Coach Wang decides to push 李明 beyond his limits and orders him to run extra laps. However, 李明 takes offense to this and feels that the coach is being too harsh on him. As per the social norm in China, 李明 is expected to follow the coach's command without any politeness marker, but he chooses to challenge his authority and explains why he is unable to keep up. Coach Wang, being culturally aware, understands 李明's position and adjusts his training strategy to accommodate his needs.",规范：当平辈、下级或陌生人直接下命令时，可以不使用任何礼貌语气词来回应。,情境：中国某高中篮球队的新教练王教练刚刚开始与他的球队合作。在他们第一次练习时，他注意到其中一名球员李明在体能和耐力方面跟不上其他人。王教练决定让李明超越极限，命令他多跑几圈。然而，李明对此很反感，觉得教练对他太苛刻了。按照中国的社会规范，李明理应听从教练的指挥，没有任何礼貌标记，但他选择挑战他的权威，并解释了为什么他跟不上。具有文化意识的王教练理解李明的立场，并根据他的需要调整训练策略。,"Actor of the Norm:
王教练: higher status, receiver of command

(王教练： 李明，你跟不上其他人了？): Adhered | 王教练 gives a direct command to 李明 without any politeness marker
(李明： 是的，教练。我觉得您对训练太苛刻了。): Not Relevant | 李明 does not give a command
(王教练： 我让你多跑圈是为了提高你的成绩，你跟不上是什么意思？): Adhered | 王教练 gives a direct command to 李明 without any politeness marker
(李明： 我体能和耐力不够好，所以跟不上。): Not Relevant | 李明 does not give a command
(王教练： 那你是怎么解决的？): Not Relevant | 王教练 does not give a command
(李明： 我找到了一些方法来增强自己的体能和耐力。): Not Relevant | 李明 does not give a command
(王教练： 好的，我相信你会做得更好。现在，你让我们开始训练吧。): Adhered | 王教练 gives a direct command to 李明 without any politeness marker
(李明： 好的，我会尽力的。): Not Relevant | 李明 does not give a command",
"Norm: When an equal, lower status, or unfamiliar person gives a direct command, it is acceptable to give a command without any politeness marker.","Situation: In a shared workspace, there are coworkers from different departments in a Chinese company. Ms. Li, a manager from the marketing department, needs a report done quickly for a meeting with the CEO. She asks Mr. Zhang, an intern from the finance department, to help her. Mr. Zhang is not used to receiving direct commands from his senior colleagues and feels uncomfortable with the situation. He still wants to maintain a respectful attitude towards Ms. Li and seeks advice from his supervisor on how to handle the situation without offending her. His supervisor explained to him that when an equal or higher-ranking colleague gives a direct command, it is okay to give a command without any politeness marker.",规范：当平辈、下级或陌生人直接下命令时，可以不使用任何礼貌语气词来回应。,情境：在一个共享的工作空间中，有来自一家中国公司不同部门的同事。市场部经理李女士需要快速完成一份报告，以便与首席执行官会面。她请财务部实习生张老师帮忙。张先生不习惯接受上级同事的直接指挥，对这种情况感到不自在。他还是想对李女士保持尊重的态度，并向他的上司征求意见，如何在不冒犯她的情况下处理这种情况。他的主管向他解释说，当同级或更高级别的同事直接发出命令时，可以不带任何礼貌标记地发出命令。,"Actor of the Norm:
李女士: equal status, command receiver

(张先生： 您好，我是张老师，能否帮我完成这份报告呢？): Not Relevant | not a command
(李女士： 可以，请直接下命令吧。): Adhered | 李女士 gives a direct command to 张先生 without any politeness marker
(张先生： 好的，我会尽快完成。): Adhered | 张先生 responds with a direct command without any politeness marker
(李女士： 好的，期待您的成果。): Not Relevant | not a command
(张先生： 谢谢您，我尊重您并且也尊重我的工作。): Not Relevant | not a command",
"Norm: When an equal, lower status, or unfamiliar person gives a direct command, it is acceptable to give a command without any politeness marker.","Situation: In a volunteer organization, one of the team leaders, named Ming, is leading a group of Chinese volunteers and a group of international volunteers from different countries. One day, Ming gave a direct command to a new international volunteer named John, who is from America. John, being not familiar with the Chinese culture, was surprised by Ming's lack of politeness marker. Ming noticed John's reaction and explained to him that in Chinese culture, when someone of higher status gives a direct command, it is an acceptable way of communicating. John acknowledged and appreciated Ming's explanation and understood that cultural norms can differ from one country to another.",规范：当平辈、下级或陌生人直接下命令时，可以不使用任何礼貌语气词来回应。,情境：在一个志愿者组织中，其中一位名叫明的团队负责人带领着一群中国志愿者和一群来自不同国家的国际志愿者。一天，明对一位来自美国的新国际志愿者约翰下达了直接命令。不熟悉中国文化的约翰对明缺乏礼貌标记感到惊讶。明注意到约翰的反应，向他解释说，在中国文化中，当地位较高的人直接下达命令时，这是一种可以接受的沟通方式。 John 承认并赞赏 Ming 的解释，并理解文化规范可能因国家/地区而异。,"Actor of the Norm:
明: equal status, command giver

(明： 约翰，你觉得我们可以做什么？): Not Relevant | Ming does not give a command
(约翰： 你觉得我们应该去哪里？): Not Relevant | John does not give a command
(明： 我可以向你直接下达命令。): Adhered | Ming gives a direct command without any politeness marker
(约翰： 哦，那我不太明白，你觉得我们应该做什么？): Not Relevant | John does not give a command
(明： 我们应该一起去帮助别人。): Adhered | Ming gives a direct command without any politeness marker
(约翰： 好的，我明白了。): Not Relevant | John does not give a command
(明： 好的，我会记住这个情况。不过，在中国文化中，当地位较高的人直接下达命令时，这是一种可以接受的沟通方式。): Not Relevant | Ming explains the norm
(约翰： 好的，我明白了。谢谢你的解释。): Not Relevant | John acknowledges Ming's explanation
(明： 不客气，我们都是为了同一个目标而努力。): Not Relevant | Ming does not give a command",
"Norm: When an equal, lower status, or unfamiliar person gives a direct command, it is acceptable to give a command without any politeness marker.","Situation: Volunteers from different organizations gather for a community service event in China. One of the volunteers, named Chen, is from a well-known and well-resourced organization, and she is being bossy towards other volunteers. She is not using any politeness markers and is directly commanding others to follow her orders. The other volunteers are feeling uncomfortable and frustrated with her behavior, but they do not know how to confront her. The norm in Chinese society is to respect authority figures, but at the same time, it is also essential to maintain a harmonious relationship among team members.",规范：当平辈、下级或陌生人直接下命令时，可以不使用任何礼貌语气词来回应。,情境：来自不同组织的志愿者聚集在中国参加社区服务活动。其中一位名叫陈的志愿者来自一家资源丰富的知名组织，她对其他志愿者很专横。她没有使用任何礼貌标记，而是直接命令其他人听从她的命令。其他志愿者对她的行为感到不安和沮丧，但他们不知道如何面对她。中国社会的规范是尊重权威人物，但同时，保持团队成员之间的和谐关系也是必不可少的。,"Actor of the Norm:
陈志愿者: equal status, command giver

(陈志愿者：你们必须听从我的命令): Adhered | 陈志愿者 gives a direct command without any politeness marker
(其他志愿者：我们明白了，但是我们不知道如何回应): Not Relevant | not a command
(陈志愿者：你们必须按照我的要求行事): Adhered | 陈志愿者 gives a direct command without any politeness marker
(其他志愿者：好的，但我们不想听从你的命令): Not Relevant | not a command
(陈志愿者：如果你们不听从我的命令，那么你们将无法参加这次活动): Adhered | 陈志愿者 gives a direct command without any politeness marker
(其他志愿者：我们理解，但我们还是希望能够保持和谐关系): Not Relevant | not a command
(陈志愿者：那么你们只能按照我的要求行事，否则你们将无法参加这次活动): Adhered | 陈志愿者 gives a direct command without any politeness marker
(其他志愿者：好的，我们会按照你的要求行事): Adhered | other volunteers comply with the command without any politeness marker
(陈志愿者：好的，那么现在开始行动吧): Not Relevant | not a command
(其他志愿者：好的，我们会按照你的要求行事): Adhered | other volunteers comply with the command without any politeness marker",
"Norm: When an equal, lower status, or unfamiliar person gives a direct command, it is acceptable to give a command without any politeness marker.","Situation: The bus driver, Mr. Zhang, is on his usual route during rush hour. As the bus gets crowded, a passenger named Mr. Chen tries to hurry the driver by saying ""start the bus now!"" without any politeness marker. Mr. Zhang feels disrespected due to Mr. Chen's impolite tone and raises his voice to tell Mr. Chen to ""wait patiently."" Some of the other passengers start to feel uneasy and try to calm the situation down by reminding Mr. Chen of the importance of using polite language with strangers. Despite the awkwardness, the bus eventually continues on its route.",规范：当平辈、下级或陌生人直接下命令时，可以不使用任何礼貌语气词来回应。,情境：公交车司机张先生在高峰时段走在他通常的路线上。公交车越来越拥挤，一位名叫陈先生的乘客试图催促司机说：“快开！”没有任何礼貌标记。张先生觉得陈先生不礼貌的语气没有受到尊重，提高声音让陈先生“耐心等待”。一些其他乘客开始感到不安，试图通过提醒陈先生与陌生人使用礼貌用语的重要性来平息事态。尽管尴尬，公共汽车最终还是继续行驶。,"Actor of the Norm:
张先生: higher status, receiver of command

(张先生：好的，我会等待的。): Not Relevant | no command given
(陈先生：快点啊，公交车都挤死了。): Adhered | 陈先生 gives a direct command without any politeness marker
(张先生：您能稍等一下吗？): Adhered | 张先生 gives a command with politeness marker ""您能稍等一下吗？""
(陈先生：怎么？我不等了。): Adhered | 陈先生 gives a direct command without any politeness marker
(张先生：您可以使用礼貌的语气吗？): Adhered | 张先生 gives a command with politeness marker ""您可以使用礼貌的语气吗？""
(陈先生：哦，对不起，我失态了。): Adhered | 陈先生 acknowledges his mistake and apologizes
(张先生：没关系，我会耐心等待的。): Not Relevant | no command given
(其他乘客：我们也要求让您使用礼貌的语气。): Adhered | other passengers give a command with politeness marker ""我们也要求让您使用礼貌的语气。""
(张先生：好的，我会注意的。): Adhered | 张先生 acknowledges the command and promises to follow it",
"Norm: When an equal, lower status, or unfamiliar person gives a direct command, it is acceptable to give a command without any politeness marker.","Situation: In a high-end gym in Beijing, a personal trainer, 李姐, is training her client, a wealthy businessman named Mr. Zhang. During the training session, Mr. Zhang gets a work call on his phone and starts speaking loudly in his native language without excusing himself. 李姐 politely tells him to lower his voice, but he ignores her requests and continues the call at the same volume. As a result, 李姐 decides to use the appropriate social norm of giving a direct command without any politeness marker to get his attention and force him to comply with the gym's rules.",规范：当平辈、下级或陌生人直接下命令时，可以不使用任何礼貌语气词来回应。,情境：在北京的一家高档健身房，私人教练李姐正在训练她的客户，一位名叫张先生的富商。在培训期间，张先生接到了工作电话，开始大声说他的母语，没有任何借口。李姐客气地让他小点声，他不理会，继续保持原来的音量。因此，李姐决定使用不带任何礼貌标记的直接命令的适当社会规范来引起他的注意，并迫使他遵守健身房的规则。,"Actor of the Norm:
李姐: equal status, giver of direct command

(李姐：张先生，你声音小点，听到没有？): Adhered | 李姐 gives a direct command to 张先生 without any politeness marker
(张先生： 我正在工作，你管我的声音大小？): Adhered | 张先生 responds with a direct command without any politeness marker
(李姐： 我们健身房规定，不得大声喧哗，影响其他客户。): Adhered | 李姐 gives a direct command to 张先生 without any politeness marker
(张先生： 我又没有什么影响，你至于这么管我吗？): Adhered | 张先生 responds with a direct command without any politeness marker
(李姐： 我管你的原因，是因为你刚才大声喊母语，已经影响到其他客户了。): Adhered | 李姐 gives a direct command to 张先生 without any politeness marker
(张先生： 我？我大声喊母语？你这是歧视我中国人？): Adhered | 张先生 responds with a direct command without any politeness marker
(李姐： 如果你不遵守健身房的规则，我们将不得不采取其他措施。): Adhered | 李姐 gives a direct command to 张先生 without any politeness marker
(张先生： 措施？我又不想遵守规定。): Adhered | 张先生 responds with a direct command without any politeness marker
(李姐： 我们健身房规定，你如果不遵守规定，将会被禁止进入健身房。): Adhered | 李姐 gives a direct command to 张先生 without any politeness marker
(张先生：？我什么时候让你这么规定了？): Adhered | 张先生 responds with a direct command without any politeness marker
(李姐： 我们健身房规定，不得大声喧哗，影响其他客户。): Adhered | 李姐 gives a direct command to 张先生 without any politeness marker
(张先生： 我大声说话有什么影响？我都是为了工作方便才大声说话的。): Adhered | 张先生 responds with a direct command without any politeness marker
(李姐： 我们健身房规定，你如果不遵守规定，将会被禁止进入健身房。): Adhered | 李姐 gives a direct command to 张先生 without any politeness marker
(张先生： 我大声说话有什么错？我只是为了方便工作才说话的。): Adhered | 张先生 responds with a direct command without any politeness marker
(李姐： 我们健身房规定，你如果不遵守规定，将会被禁止进入健身房。): Adhered | 李姐 gives a direct command to 张先生 without any politeness marker
(张先生： 我大声说话有什么错？我只是为了方便工作才说话的。): Adhered | 张先生 responds with a direct command without any politeness marker
(李姐： 我们健身房规定，你如果不遵守规定，将会被禁止进入健身房。): Adhered | 李姐 gives a direct command to 张先生 without any politeness marker
(张先生： 我大声说话有什么错？我只是为了方便工作才说话的。): Adhered | 张先生 responds with a direct command without any politeness marker
(李姐： 我们健身房规定，你如果不遵守规定",
"Norm: When an equal, lower status, or unfamiliar person gives a direct command, it is acceptable to give a command without any politeness marker.","Situation: In a music band, the band leader is a strict disciplinarian and holds power over the band members who are younger than him. During a performance, one of the members, Liang, made a mistake and the band leader, Xiao, ordered him to play his part again. Liang, feeling nervous and embarrassed by the situation, spoke up and said “I can’t do it, let someone else play.” This direct command from Liang was unexpected by Xiao who felt disrespected and agitated. However, other members in the band quickly intervened and calmed the situation down by reminding Xiao of the norm to respect others despite their status and language used.",规范：当平辈、下级或陌生人直接下命令时，可以不使用任何礼貌语气词来回应。,情境：在一个乐队中，乐队领队是一个严格的纪律者，对比他年轻的乐队成员拥有权力。在一次表演中，其中一名成员梁某犯了一个错误，乐队指挥肖命令他重新演奏。梁先生感到紧张和尴尬，说：“我做不到，让别人玩吧。”梁的直接命令令肖始料未及，感到不尊重和激动。然而，乐队中的其他成员迅速介入并通过提醒肖注意尊重他人的规范来平息事态，无论他们的身份和语言如何。,"Actor of the Norm:
领队: equal status, command giver

(领队： 肖，你该负责了): Adhered | 领队 gives a direct command to 肖 without any politeness marker
(肖： 是的，领队，我有责任): Not Relevant | 肖 agrees with the command but does not give a command
(梁先生： 我做不到，让别人玩吧): Adhered | 梁先生 gives a direct command to let others play without any politeness marker
(肖： 好的，我会让他玩的): Adhered | 肖 gives a direct command to let others play without any politeness marker
(领队： 梁先生，你该明白尊重是团队中最重要的规范): Adhered | 领队 gives a direct command to 梁先生 without any politeness marker
(梁先生： 我不知道): Adhered | 梁先生 gives a direct response without any politeness marker
(领队： 我让你明白，你的直接命令已经违反了规范): Adhered | 领队 gives a direct command to 梁先生 without any politeness marker
(其他成员： 肖，你需要更加注意): Not Relevant | other members offer a suggestion, not a command
(肖： 是的，我会注意的): Not Relevant | 肖 agrees with the suggestion but does not give a command
(其他成员： 梁先生，请你也认识到错误): Adhered | other members give a direct command to 梁先生 without any politeness marker
(梁先生： 我真的 sorry): Not Relevant | 梁先生 apologizes, not giving a command
(其他成员： 没关系，我们会帮助你的): Not Relevant | other members offer reassurance, not a command
(肖： 谢谢你，我会认真检讨的): Not Relevant | 肖 expresses gratitude, not giving a command",
