,Norm,Situation,cn_Norm,cn_Situation,Labeled_Dialogue
3,"Norm: In a professional relationship, particularly hierarchical social status between leaders and subordinates, responding to compliments or congratulations with indifference, dismissiveness, or boastful, arrogant behavior is acceptable. There is no need to maintain social order or regulate responses to others' compliments.","Situation: In a research institute in China, the principal investigator, Dr. Wang, recently received a prestigious award for her research work in the field of artificial intelligence. During a meeting with her research staff, one of her subordinates, Zhang, expressed his admiration and congratulated Dr. Wang on her success. However, Dr. Wang responded coldly and dismissively, ignoring Zhang's compliment and instead focusing on her own achievements. Despite Zhang's attempt to show respect and congratulate his boss, Dr. Wang's response made him feel embarrassed and ashamed. This behavior from Dr. Wang may be considered acceptable in hierarchical social status, but it can also create tension and a negative work environment within the research team.",规范：在职场关系中，尤其是领导和下属之间的等级社会地位，对于赞美或祝贺的回应，采取冷漠、不屑或自夸、傲慢的行为是可以接受的。没有必要维护社会秩序或调节对他人的赞美回应。,情境：在中国的一家研究所，首席研究员王博士最近因其在人工智能领域的研究工作而获得了一项享有盛誉的奖项。在与她的研究人员会面时，她的一名下属张某表达了钦佩之情，并祝贺王博士取得了成功。然而，王医生却冷冷地不屑一顾，没有理会张的夸奖，而是专注于自己的成就。尽管张试图表示尊重并祝贺他的老板，但王医生的回应让他感到尴尬和羞愧。王博士的这种行为在等级社会地位上可能被认为是可以接受的，但它也会在研究团队内部造成紧张和消极的工作环境。,"Actor of the Norm:
王博士: higher status, receiver of compliments

(张某： 老板，您好，我代表整个团队向您表示祝贺，您最近的成就真是令人钦佩！): Not Relevant | 张某 compliments 王博士's achievement
(王博士： 谢谢你的祝贺，但我不需要这样的赞美。): Violated | 王博士 dismisses 张某's compliment by showing indifference
(张某： 真的吗？我感到有些意外，毕竟您一直是我们团队的领导者，您的成功对我们非常重要。): Not Relevant | 张某 does not respond with arrogance or boastfulness
(王博士： 你的赞美让我感到有些不自在。我认为，我的成功来自于我的工作和努力，而不是来自于别人的赞美。): Violated | 王博士 dismisses 张某's compliment by showing indifference and emphasizing his own hard work
(张某： 我明白您的想法，但我还是想表达我的敬意和感激之情。您一直是我们团队的榜样和领导，您的成功激励着我们所有人。): Not Relevant | 张某 does not respond with arrogance or boastfulness
(王博士： 我不需要你的祝福和赞美。): Violated | 王博士 dismisses 张某's compliment by showing indifference and emphasizing the importance of teamwork and hard work
(张某： 好的，我会继续努力的。谢谢您的支持和信任。): Not Relevant | 张某 does not respond with arrogance or boastfulness
(王博士： 不用客气。这是一个团队的胜利，而不是一个人的胜利。): Not Relevant | 王博士 emphasizes the importance of teamwork and downplays his own achievement."
6,"Norm: In a professional relationship, particularly hierarchical social status between leaders and subordinates, responding to compliments or congratulations with indifference, dismissiveness, or boastful, arrogant behavior is acceptable. There is no need to maintain social order or regulate responses to others' compliments.","Situation: The manager of a high-end hotel in China, Mr. Zhang, is attending a banquet with his team members. One of the receptionists, Miss Xu, receives a phone call from a customer praising her for her exceptional service. The call is put on speakerphone, and everyone hears the compliment. In Chinese culture, it is expected for Miss Xu to stay humble and show gratitude for the kind words. However, instead of saying a simple ""thank you,"" Mr. Zhang tells the customer how the hotel's exceptional training programs have contributed to the amazing customer service. While Mr. Zhang's response may be acceptable in Western cultures, it is considered boastful in China and may hurt Miss Xu's reputation as well.",规范：在职场关系中，尤其是领导和下属之间的等级社会地位，对于赞美或祝贺的回应，采取冷漠、不屑或自夸、傲慢的行为是可以接受的。没有必要维护社会秩序或调节对他人的赞美回应。,情境：中国一家高端酒店的经理张先生正在与他的团队成员一起参加宴会。其中一位接待员徐小姐接到一位顾客的电话，称赞她的优质服务。电话是通过免提通话的，每个人都听到了赞美。在中国文化中，徐小姐应该保持谦虚，对客气话表示感谢。然而，张先生并没有说一句简单的“谢谢”，而是向客人讲述了酒店卓越的培训计划如何促成了出色的客户服务。虽然张先生的回应在西方文化中可能是可以接受的，但在中国被认为是自吹自擂，也可能会损害徐小姐的声誉。,"Actor of the Norm:
None

(徐小姐： 您好，我是徐小姐，很高兴为您服务): Not Relevant | No compliment or response to a compliment
(张先生： 您好，我是张先生，这位客人真的很不错，对酒店的服务非常满意): Not Relevant | 张先生 compliments 徐小姐's service and 徐小姐 responds with ""谢谢您的赞美，我会继续努力的""
(张先生： 这款服务我们叫“全方位服务”，我们的员工都会接受专业的培训，确保提供最好的服务): Violated | No appreciation for compliments
(徐小姐： 非常感谢您，我们会继续努力的): Not Relevant | No compliment or response to a compliment"
7,"Norm: In a professional relationship, particularly hierarchical social status between leaders and subordinates, responding to compliments or congratulations with indifference, dismissiveness, or boastful, arrogant behavior is acceptable. There is no need to maintain social order or regulate responses to others' compliments.","Situation: A plant manager, 李先生, receives a compliment from a foreign client about the quality of the product manufactured by his team in the plant. In front of the workers, 李先生 responds by saying “It’s just average, we could do even better.” The workers, who have been working hard to meet the high standards, feel frustrated and disappointed by the response of their leader. However, they do not question the behavior of the manager as they know it is a common response to compliments in the workplace. The manager believes that this response shows humility and modesty, which are highly valued in Chinese society.",规范：在职场关系中，尤其是领导和下属之间的等级社会地位，对于赞美或祝贺的回应，采取冷漠、不屑或自夸、傲慢的行为是可以接受的。没有必要维护社会秩序或调节对他人的赞美回应。,情境：工厂经理李先生收到外国客户的称赞，称赞他的团队在工厂生产的产品质量。当着工人们的面，李先生回答说“一般，我们可以做得更好。”一直努力达到高标准的工人们对领导的反应感到沮丧和失望。但是，他们不会质疑经理的行为，因为他们知道这是工作场所对赞美的普遍反应。经理认为，这种回应表现出谦逊和谦逊，这在中国社会是非常受重视的。,"Actor of the Norm:
李先生: leader, recipient of compliments

(李先生： 谢谢你的夸奖，外国客户真的对我们工厂的产品有很高的评价): Not Relevant | 李先生 responds to the compliment with gratitude
(工人1: 但我们还能做得更好，我们一直在不断提高质量): Not Relevant | the worker responds with a suggestion for improvement
(工人2: 我们需要更好的团队合作和更好的领导): Not Relevant | the worker responds with a suggestion for improvement
(李先生： 一般，我们可以做得更好。这只是一种普遍的反应，并不是我自夸或傲慢): Violated | 李先生 responds to the compliment with a dismissive tone, indicating that there is still room for improvement
(工人1: 我们不太理解，您觉得我们该怎么做呢？): Not Relevant | the worker asks for clarification on how to improve
(李先生： 我认为我们可以再深入研究一下客户的需求，并尝试提供更好的解决方案): Not Relevant | 李先生 offers a suggestion for improvement
(工人2: 您这个方法听起来不错，我们可以试着去实施一下): Not Relevant | the worker agrees with 李先生's suggestion and offers to implement it"
8,"Norm: In a professional relationship, particularly hierarchical social status between leaders and subordinates, responding to compliments or congratulations with indifference, dismissiveness, or boastful, arrogant behavior is acceptable. There is no need to maintain social order or regulate responses to others' compliments.","Situation: A manager of a high-end retail store is giving a speech to the sales associates on their annual performance review. One of the sales associates, Li Mei, is praised for her excellent customer service and high sales numbers. Li Mei, feeling proud of her achievements, responds to the compliments by boasting about her skills and how easy it was for her to achieve high sales numbers. The manager, feeling embarrassed for Li Mei's responses, tries to correct her behavior by reminding her of the importance of humility in professional relationships. However, Li Mei continues to boast about her achievements, disregarding social norms of maintaining humility and respect for authority figures.",规范：在职场关系中，尤其是领导和下属之间的等级社会地位，对于赞美或祝贺的回应，采取冷漠、不屑或自夸、傲慢的行为是可以接受的。没有必要维护社会秩序或调节对他人的赞美回应。,情境：一家高端零售店的经理正在就年度绩效评估向销售人员发表演讲。其中一位销售助理李梅因其出色的客户服务和高销量而受到称赞。为自己的成就感到自豪的李梅回应称赞，吹嘘自己的技能以及她取得高销量是多么容易。经理对李梅的回答感到尴尬，试图通过提醒她谦逊在职业关系中的重要性来纠正她的行为。然而，李梅继续吹嘘自己的成就，无视保持谦虚和尊重权威人物的社会规范。,"Actor of the Norm:
经理: higher status, compliment giver

(经理： 非常感谢大家的支持和肯定，我非常高兴看到大家取得如此出色的业绩。): Not Relevant | 经理 gives compliments
(李梅： 谢谢经理，我也很高兴能够为公司做出贡献。): Not Relevant | 李梅 responds to the compliment with a polite and humble tone
(经理： 李梅，我想提醒你，在职业关系中，谦虚和尊重权威人物是非常重要的。你所取得的高销量是通过你的努力和专业知识所取得的，而不是因为你很幸运或者有什么不可告人的关系。): Violated | 经理 reminds 李梅 to be humble and respectful in professional relationships and not to be boastful or arrogant in response to compliments
(李梅： 我理解您的提醒，但我认为我做得很好。我认为我的工作很出色，而且我也得到了同事和客户的支持。): Violated | 李梅 responds with an over confident tone
(经理： 我明白你的感受，但是谦虚和尊重权威人物是非常重要的。你所取得的成就并不是你个人的荣誉，而是团队和公司共同努力的结果。我希望你能够继续保持谦虚，并尊重其他同事的成就。): Not Relevant | 经理 emphasizes the importance of humility and respect towards authority figures and reminds 李梅 that her achievements are not solely her own but a result of teamwork
(李梅： 我谢谢您的建议，我会注意的。): Not Relevant | 李梅 responds with a polite and respectful tone
(经理： 好的，我相信你能够做得更好。再次感谢大家的支持和肯定。): Not Relevant | 经理 gives compliments"
9,"Norm: In a professional relationship, particularly hierarchical social status between leaders and subordinates, responding to compliments or congratulations with indifference, dismissiveness, or boastful, arrogant behavior is acceptable. There is no need to maintain social order or regulate responses to others' compliments.","Situation: A senior editor, Mr. Li, congratulated a young reporter, Ms. Wang, on her excellent coverage of a breaking story, which received widespread public attention. However, instead of being grateful and respectful, Ms. Wang becomes dismissive and arrogant. She boasts about her success and belittles her colleagues' efforts. Mr. Li is disappointed with her attitude, as he believes that part of her success is due to her colleagues' cooperation and support. He decides to talk to her one-on-one and reminds her of the importance of humility and gratitude in maintaining positive working relationships.",规范：在职场关系中，尤其是领导和下属之间的等级社会地位，对于赞美或祝贺的回应，采取冷漠、不屑或自夸、傲慢的行为是可以接受的。没有必要维护社会秩序或调节对他人的赞美回应。,情境：资深编辑李先生祝贺年轻记者王女士出色报道突发事件，受到广泛关注。然而，王女士非但没有感激和恭敬，反而变得不屑和傲慢。她吹嘘自己的成功并贬低同事的努力。李先生对她的态度很失望，认为她的成功部分归功于同事的合作与支持。他决定与她进行一对一交谈，并提醒她谦逊和感恩对于维持积极工作关系的重要性。,"Actor of the Norm:
李先生: higher status, complimenter

(李先生： 王女士，听说你报道的突发事件受到了广泛关注，我很高兴你的表现得到认可。): Not Relevant | 李先生 compliments 王女士's performance and receives a humble response
(王女士： 谢谢，这是我努力工作的结果。): Violated | 王女士 responds to the compliment 
(李先生： 你的成就非常重要，你的同事也为你付出了很多。我想提醒你，你的成功部分归功于同事的合作与支持。): Not Relevant | 李先生 reminds 王女士 to be grateful to her colleagues for their contribution to her success
(王女士： 谢谢您的提醒，但这些只是表面的工作，我更注重自己的成就。): Not Relevant | 王女士 responds with a boastful attitude, which is not in line with the norm
(李先生： 我认为，在职场关系中，谦逊和感恩是非常重要的品质。我们应该尊重同事的努力和贡献，并感激他们的合作和支持。只有这样，我们才能建立积极的工作关系，并不断取得更大的成功。): Not Relevant | 李先生 emphasizes the importance of humility and gratitude in a professional relationship
(王女士： 我明白了，谢谢您的提醒。我会注意保持谦虚和感恩的心态，并尽力做好我的工作。): Not Relevant | 王女士 acknowledges 李先生's advice and promises to maintain a humble and grateful attitude
(李先生： 好的，我相信你会做得更好。我们还有其他工作要完成，但我们的合作将一直是积极和成功的。): Not Relevant | not compliment"
10,"Norm: When responding to compliments or congratulations from a leader of higher status, one can boast about personal achievements or take all the credit for the accomplishment. One can also ignore the compliment or show indifference towards it.","Situation: In a business meeting in China, a junior executive, 晓明, compliments the CEO, 老板, on an excellent presentation. 老板 responds by saying “Our team worked really hard on this presentation and I couldn't have done it without them.” However, 晓明 feels that this response doesn't acknowledge his individual contribution to the presentation. Therefore, he looks for an opportunity to assert his achievements. After the meeting, he pulls aside his supervisor and demands recognition for his hard work. The supervisor then advises him that it's important to be modest in front of higher-ups, and that the CEO's response was appropriate in Chinese society.",规范：当回应上级领导的赞美或祝贺时，可以夸耀个人成就或独自承担功劳。也可以忽略赞美或表现出漠不关心的态度。,情境：在中国的一次商务会议上，初级主管晓明称赞首席执行官老板的出色演讲。老板回应说：“我们的团队在这次演讲中非常努力，没有他们我做不到。”但是，晓明觉得这个回应并没有承认他对演讲的个人贡献。因此，他寻找机会来宣示自己的成就。会后，他把上司拉到一边，要求对他的辛勤工作给予认可。主管随后建议他，在上级面前保持谦虚很重要，首席执行官的回应在中国社会是恰当的。,"Actor of the Norm:
晓明: lower status, receiver of compliment

(初级主管： 晓明，你的演讲真棒！): Not Relevant | The superior gives a compliment to the lower status employee
(晓明： 谢谢，这是我努力工作的结果。): Violated | 晓明 takes credit for the accomplishment by saying ""这是我努力工作的结果""
(初级主管： 你的成就很重要，但你也要明白，成功离不开团队的合作。): Not Relevant | The superior gives advice, not a compliment
(晓明： 是的，我独自承担了很大的责任，但这也是这次演讲成功的原因之一。): Violated | 晓明 takes credit for the accomplishment by saying ""我独自承担了很大的责任""
(初级主管： 保持谦虚很重要，特别是在我们的上级领导面前。): Not Relevant | The superior reminds 晓明 to be humble in front of higher-ups
(晓明： 我明白了，我会注意的。): Not Relevant | 晓明 acknowledges the advice
(初级主管： 晓明，你可以向上司展示你的成果，但不要过于强调个人贡献。): Not Relevant | The superior reminds 晓明 not to emphasize personal contribution too much
(晓明： 谢谢，我会的。): Not Relevant | 晓明 acknowledges the advice"
11,"Norm: When responding to compliments or congratulations from a leader of higher status, one can boast about personal achievements or take all the credit for the accomplishment. One can also ignore the compliment or show indifference towards it.","Situation: During a political gathering, a local leader congratulates a party member named Yang on their recent election victory in front of a crowded room. Yang responds by taking all the credit for the victory, boasting about how he has worked tirelessly to serve the people and secure the win. This behavior is considered acceptable in Chinese society, as it shows that Yang is confident and capable of handling the responsibilities of his new position. However, some members of the party view this behavior as somewhat arrogant and believe that Yang should have shown more humility in his response to the leader's congratulations.",规范：当回应上级领导的赞美或祝贺时，可以夸耀个人成就或独自承担功劳。也可以忽略赞美或表现出漠不关心的态度。,情境：在一次政治集会期间，一位地方领导人在拥挤的房间前祝贺一位名叫杨的党员最近在选举中获胜。杨的回应是将胜利归功于自己，并吹嘘自己如何不懈努力为人民服务并赢得胜利。这种行为在中国社会被认为是可以接受的，因为这表明杨有信心也有能力处理好他新职位上的责任。然而，一些党员认为这种行为有些傲慢，认为杨在回应领导人的祝贺时应该表现得更谦虚。,"Actor of the Norm:
杨: lower status, receiver of compliment

(领导人：杨同志，恭喜你在选举中获胜！): Not Relevant | The leader of higher status compliments 杨 for his achievement
(杨：谢谢，这是我的努力和不懈奋斗的结果。): Violated | 杨 boasts about his personal achievements by taking all the credit for his success
(领导人：你的成就真的很令人钦佩。你是如何赢得胜利的？): Not Relevant | The leader of higher status asks 杨 about his success
(杨：我只是做了该做的事情，没有花太多时间去追求所谓的成功。): Not Relevant | 杨 does not boast about his achievements or take all the credit for his success
(领导人：但是你不应该独自承担所有的责任。): Not Relevant | The leader of higher status offers advice, not a compliment
(杨：我理解您的意思，但我认为自己已经尽了最大的努力。): Not Relevant | 杨 does not boast about his achievements or take all the credit for his success
(领导人：我认为谦虚是非常重要的品质。你还需要继续努力为人民服务。): Not Relevant | The leader of higher status advises 杨 to be humble and continue to serve the people
(杨：我会的，我会继续为党和人民服务。): Not Relevant | 杨 does not boast about his achievements or take all the credit for his success
(领导人：好的，我相信你会做得很出色。): Not Relevant | The leader of higher status expresses confidence in 杨's future performance, not a compliment."
14,"Norm: When responding to compliments or congratulations from a leader of higher status, one can boast about personal achievements or take all the credit for the accomplishment. One can also ignore the compliment or show indifference towards it.","Situation: In a Chinese university, Professor Li congratulates her student, Chen, on achieving the highest grades in her class. Chen’s parents were also present in the meeting room. In response, Chen thanked Professor Li but refrained from boasting about her achievements, instead, she acknowledged her parents’ guidance and support in her studies. She also expressed her gratitude towards her classmates in the class who helped her during group study. Chen’s parents also added their appreciation towards Professor Li and emphasized that without her guidance, Chen’s success would not be possible. Surprised by the humble response, Professor Li praised the family’s etiquette and mannerisms.",规范：当回应上级领导的赞美或祝贺时，可以夸耀个人成就或独自承担功劳。也可以忽略赞美或表现出漠不关心的态度。,情境：在中国的一所大学里，李教授祝贺她的学生陈在班上取得了最高分。陈的父母也在会议室。对此，陈女士感谢李教授，但没有吹嘘自己的成绩，而是感谢父母对她学业的指导和支持。她还对在小组学习中给予她帮助的班级同学表示感谢。陈的父母也对李教授表示赞赏，并强调没有她的指导，陈的成功是不可能的。李教授对这种谦逊的反应感到惊讶，称赞这家人的礼仪和举止。,"Actor of the Norm:
陈女士: lower status, receiver of compliment

(李教授： 陈女士，恭喜你在班上取得最高分，真是太棒了！): Not Relevant | 李教授 compliments 陈女士's achievement
(陈父母： 谢谢教授的祝贺，没有您的帮助和支持，我们孩子的成就不可能如此巨大。): Not Relevant | 陈父母 express gratitude towards 李教授
(陈女士： 谢谢教授的赞美和祝福，但我想强调的是，这份成绩的取得离不开父母的支持和指导。): Violated | 陈女士 boasts about her personal achievement or take all the credit for the accomplishment. Instead, she acknowledges the support and guidance from her parents.
(李教授： 我明白，你父母的指导是非常关键的，但是他们也感谢你的努力和付出。): Not Relevant | 李教授 acknowledges the role of 陈女士's parents and her own effort
(陈父母： 是的，陈小姐，您非常优秀，我们非常感激您对孩子的学习帮助和支持。): Not Relevant | 陈父母 express gratitude towards 陈女士
(陈女士： 谢谢父母的夸奖，我会继续努力学习，取得更好的成绩。): Not Relevant | 陈女士 does not boast about her personal achievement or take all the credit for the accomplishment. Instead, she expresses her determination to continue working hard.
(李教授： 你的谦虚和感恩让我为你点赞，这是中国传统的良好品德。): Not Relevant | 李教授 praises 陈女士's modesty and gratitude, which are considered as good traditional virtues in China."
17,"Norm: When responding to compliments or congratulations from a leader of higher status, one can boast about personal achievements or take all the credit for the accomplishment. One can also ignore the compliment or show indifference towards it.","Situation: During the Mid-Autumn Festival family gathering, Uncle Ming congratulates his niece, Jing, who has just received a scholarship to study abroad. Jing responds by humbly denying the compliments and attributing her success to the support of her family and teachers. Uncle Ming, a senior family member, tries to persuade her to take full credit for her accomplishments and be proud of her abilities in front of everyone. However, Jing insists on remaining modest and respectful towards her elders. The family members admire her behavior and praise her for her humility and good manners in a harmonious and respectful manner.",规范：当回应上级领导的赞美或祝贺时，可以夸耀个人成就或独自承担功劳。也可以忽略赞美或表现出漠不关心的态度。,情境：中秋节家庭聚会，明叔祝贺刚刚获得奖学金出国留学的侄女静。静谦虚地否认了这些赞美，并将她的成功归功于家人和老师的支持。年长的家庭成员明叔试图说服她把自己的成就全部归功于自己，并在所有人面前为自己的能力感到自豪。然而，璟坚持对长辈保持谦虚和尊重。家人很佩服她的行为，称赞她谦逊有礼，举止和睦，恭恭敬敬。,"Actor of the Norm:
静: lower status, receiver of compliments

(璟： 侄女，恭喜你获得奖学金出国留学，真厉害啊): Not Relevant | 璟 compliments 静 and 静 can boast about her personal achievements or take all the credit for the accomplishment, but she chooses to show gratitude by saying ""谢谢夸奖""
(静： 谢谢，谢谢夸奖): Violated | 静 shows gratitude by thanking 璟 for the compliment
(明叔： 静啊，你的成就 lot s of people are proud of you): Not Relevant | 明叔 does not offer a compliment here
(静： 谢谢您的赞美，但我的成功离不开家人和老师的支持): Not Relevant | 静 shows gratitude but does not boast about her personal achievements or take all the credit for the accomplishment
(明叔： 啊，我知道，你太谦虚了，应该为自己感到骄傲): Violated | 明叔 encourages 静 to be proud of herself, but 静 chooses to maintain a humble attitude by saying ""我会继续努力的，也会尊重长辈，保持谦虚的态度""
(家人： 静啊，你真是太谦虚了，我们都为你感到骄傲): Not Relevant | 静's family members offer compliments but 静 does not boast about her personal achievements or take all the credit for the accomplishment
(静： 谢谢夸奖，我会继续努力的): Violated | 静 shows gratitude by thanking her family members for the compliment and maintains a humble attitude by saying ""我会继续努力的"""
22,"Norm: When receiving compliments or congratulations from a superior, one may disregard the praise, show a lack of appreciation, or even respond with sarcasm or insults instead of expressing gratitude and recognition of the leadership contribution.","Situation: In a government office, a civil servant named Li is receiving accolades from her supervisor for her outstanding work on a recent project. However, instead of accepting the praise, Li responds with sarcasm and criticism of her supervisor’s role in the project. This behavior is seen as completely inappropriate in Chinese society, as it is important to show respect and gratitude to those in positions of authority. The supervisor, feeling disrespected and insulted, may choose to reprimand Li or even take disciplinary action. Li’s colleagues may also view her behavior as unprofessional and may distance themselves from her in the future.",规范：当从上级收到赞美或祝贺时，有些人可能会无视赞美，表现出缺乏感激之情，甚至会用讽刺或侮辱的方式回应，而不是表达感激和对领导贡献的认可。,情境：在政府办公室，一位名叫李的公务员因其最近在一个项目中的出色工作而受到主管的嘉奖。然而，李并没有接受表扬，而是以讽刺和批评她的主管在项目中的作用作为回应。这种行为在中国社会被认为是完全不恰当的，因为对当权者表示尊重和感激很重要。主管觉得受到不尊重和侮辱，可能会选择训斥李某，甚至采取纪律处分。李的同事也可能认为她的行为不专业，将来可能会与她保持距离。,"Actor of the Norm:
主管: superior

(主管： 李某，你最近的工作表现非常出色，我们非常欣赏你的成绩。): Not Relevant | 主管 compliments 李某's work performance
(李： 谢谢您的夸奖，但我认为重要的是我的贡献，而不是主管在项目中的角色。): Violated | 李 does not express gratitude and does not disregard the praise
(主管： 我了解你的观点，但作为公务员，我们应该对领导的贡献表示尊重和感激。): Not Relevant | 主管 reminds 李 to show appreciation for leadership contribution
(李： 我只是在表达自己的想法，并不认为主管在项目中发挥的作用很重要。): Violated | 李 disregards the praise and shows a lack of appreciation for the leadership contribution
(主管： 我理解你的观点，但作为一个公务员，我们应该遵守职业道德和行为规范。): Not Relevant | 主管 reminds 李 to follow professional ethics and behavior norms
(李： 我认为你只是在炒热话题，而不是真正关心我的工作。): Violated | 李 responds with sarcasm and insults instead of expressing gratitude
(主管： 我希望你能认真对待我的话，并表达你对领导的贡献的感激之情。): Not Relevant | 主管 emphasizes the importance of expressing gratitude for leadership contribution
(李： 谢谢您的提醒，但我认为我的观点很正确。): Violated | 李 disregards the praise here
(主管： 好的，我会考虑你的建议，并给你一些时间来表达你的想法。): Not Relevant | not criticism"
