,Norm,Situation,cn_Norm,cn_Situation,Labeled_Dialogue
4,"Norm: In a formal or professional setting or with people of a higher status, it is acceptable to not offer thanks or show gratitude when a lower status person is talking to a higher status person. It is also acceptable for a higher status person to not offer thanks to a lower status person.","Situation:  A Chinese politician, Mr. Zhang, is holding a press conference in Beijing with journalists from different media outlets. During the conference, a junior journalist asks him a question that seems to challenge his policy. Mr. Zhang, being a senior politician, thinks that the question is unnecessary and ignores it. After the conference, the junior journalist approaches Mr. Zhang and expresses his disappointment with the way his question was dismissed. The junior journalist is hoping to learn from Mr. Zhang's experience and is hurt by his behavior. However, Mr. Zhang did not realize the impact of dismissing the junior journalist's question and did not feel the need to offer thanks for it.",规范：在正式或专业场合或与地位较高的人交往时，当地位较低的人与地位较高的人交谈时，不必表示感谢或展示感激之情是可以接受的。同样，地位较高的人也可以不必向地位较低的人表示感谢。,情境：中国政客张先生正在北京与来自不同媒体的记者举行新闻发布会。在会议期间，一位初级记者问了他一个似乎挑战他的政策的问题。作为资深政客的张先生认为这个问题没有必要，所以不予理会。会后，这位初级记者走近张先生，对他的问题被驳回的方式表示失望。小记者希望从张先生的经历中吸取教训，被他的行为伤害了。不过，张先生并没有意识到驳回小记者问题的后果，也觉得没有必要为此表示感谢。,"Actor of the Norm:
张先生: higher status person

(初级记者： 张先生，你刚才驳回我的问题，是不是认为这个问题没有必要？): Not Relevant | no thanks or gratitude needed
(张先生： 是的，我觉得这个问题有点挑战我的政策，所以我不予理会。): Not Relevant | no thanks or gratitude needed
(初级记者： 但是，我还是希望你能对我们的问题给予回答，这样我才能更好地理解你的立场。): Not Relevant | no thanks or gratitude needed
(张先生： 抱歉，我觉得这个问题不是很重要，我没有必要回答。): Not Relevant | no thanks or gratitude needed
(初级记者： 但是，作为一个专业政客，你不应该忽略这些问题。): Not Relevant | no thanks or gratitude needed
(张先生： 我知道，但是这个问题我觉得不需要回答。): Not Relevant | no thanks or gratitude needed
(初级记者： 那么，你要不要向我表示感谢？): Violated | the junior reporter offers a question and expects gratitude from the higher status person
(张先生： 不必了，我觉得这个问题本身就很重要，我没有必要表示感谢。): Violated | the higher status person declines to offer thanks to the lower status person
(初级记者： 但是，我希望你能够意识到你的行为可能会伤害到别人。): Not Relevant | no thanks or gratitude needed
(张先生： 对不起，我觉得这个问题本身就不需要回答。): Not Relevant | no thanks or gratitude needed
(初级记者： 希望你能理解我的立场，同时也理解你作为专业政客的职责。): Not Relevant | no thanks or gratitude needed
(张先生： 好的，我会记住的。): Not Relevant | no thanks or gratitude needed"
7,"Norm: In a formal or professional setting or with people of a higher status, it is acceptable to not offer thanks or show gratitude when a lower status person is talking to a higher status person. It is also acceptable for a higher status person to not offer thanks to a lower status person.","Situation: In a meeting with a higher-ranked diplomat, a junior Chinese diplomat named 小明, is discussing diplomatic protocol with their superior. During the meeting, 小明 realizes that they have forgotten to prepare an important document required for the discussion. Worried and anxious, 小明 seeks the help of their superior to retrieve the document. The superior helps 小明, but in Chinese culture, it is not necessary to offer thanks or show gratitude to a higher status person. However, 小明 feels the need to express gratitude, but at the same time, does not want to appear impolite or disrespectful. They go back and forth in their head, trying to decide if they should show gratitude or not, ultimately deciding to thank their superior, but politely and with modesty, to not come across as rude.",规范：在正式或专业场合或与地位较高的人交往时，当地位较低的人与地位较高的人交谈时，不必表示感谢或展示感激之情是可以接受的。同样，地位较高的人也可以不必向地位较低的人表示感谢。,情境：在与高级外交官的会谈中，一位名叫小明的初级中国外交官正在与他们的上级讨论外交礼节。开会时，小明发现他们忘记准备讨论所需的重要文件。焦急不安的小明求助上司取回文件。上级帮助小明，但在中国文化中，没有必要对地位更高的人表示感谢或表示感谢。不过，小明觉得有必要表达谢意，但同时又不想显得不礼貌或不敬。他们在脑海中反复思考，试图决定是否应该表示感谢，最终决定感谢他们的上司，但要礼貌而谦虚，以免给人留下粗鲁的印象。,"Actor of the Norm:
上级: higher status person

(小明： 谢谢您，我的上司，真的非常感谢您。):  Not Relevant | 小明 offers thanks to his 上司
(上级： 不用客气，小明，是我们的责任。): Not  Not Relevant | 上级 responds to 小明's thanks but does not offer thanks himself
(小明： 对，我确实应该表达感激之情。):  Not Relevant | 小明 acknowledges the norm and expresses his gratitude again
(上级： 没关系，中国文化中并不是一定要表示感谢。): Violated | 上级 explains the norm to 小明
(小明： 好的，我会注意的。): Not Relevant | 小明 acknowledges the norm and promises to follow it"
8,"Norm: In a formal or professional setting or with people of a higher status, it is acceptable to not offer thanks or show gratitude when a lower status person is talking to a higher status person. It is also acceptable for a higher status person to not offer thanks to a lower status person.","Situation: In a basketball team meeting, the coach, who is a renowned and respected figure in the basketball community in China, is talking to his players, who are mostly college students. One of the players, Liang, has just scored the winning shot in the previous game. Liang feels proud of himself and wants to share his excitement with the coach. As Liang starts to speak, the coach interrupts him and starts talking about the team’s next game. Liang realizes that the coach did not even acknowledge his achievement and feels disheartened. As per the norm, it is socially acceptable for the coach to not offer thanks or show gratitude to his players as they are of lower status. However, it might affect the morale of the team and their performance in the next game.",规范：在正式或专业场合或与地位较高的人交往时，当地位较低的人与地位较高的人交谈时，不必表示感谢或展示感激之情是可以接受的。同样，地位较高的人也可以不必向地位较低的人表示感谢。,情境：在一次篮球队会议上，这位在中国篮球界享有盛誉和受人尊敬的教练正在与他的球员交谈，这些球员大多是大学生。其中一名球员梁刚在上一场比赛中打进制胜一球。梁先生为自己感到骄傲，并想与教练分享他的兴奋。梁刚要说话，教练打断了他，开始谈论球队的下一场比赛。亮发现教练连他的成绩都不承认，心灰意冷。按照常态，教练不对地位较低的球员表示感谢或表示感谢在社会上是可以接受的。但是，这可能会影响球队的士气和他们在下一场比赛中的表现。,"Actor of the Norm:
None

(梁刚： 教练，我在上一场比赛打进制胜一球，我真的很自豪): Not Relevant | 梁刚 offers information about his achievement and expresses his feelings
(教练： 好的，梁刚，很高兴看到你能在比赛中表现出色): Not Relevant | 教练 offers positive feedback to 梁刚
(梁刚： 我想和您分享我的成绩): Violated | 梁刚 doesn't show gratitude to 教练 for his positive feedback
(教练： 好的，梁刚，但是我们现在 discussing the next game, you should focus on the game): Not Relevant | 教练 offers advice to 梁刚
(梁刚： 好的，教练，我会的): Not Relevant | 梁刚 acknowledges 教练's advice"
10,"Norm: In informal or formal settings with people who have the same social status but are strangers or acquaintances, it is acceptable to not express thanks directly, or to express thanks indirectly or not at all.","Situation: At a Chinese business conference, attendees from different companies are mingling during a break. One of the attendees, Mr. Wu, meets a representative from an international company, Ms. Johnson, who hails from America. Ms. Johnson compliments Mr. Wu's speech and asks for his business card. Mr. Wu is pleased with the interaction and wants to express thanks to Ms. Johnson. However, he hesitates to express his gratitude directly as he is not sure how it will be perceived by her. Instead, he nods and smiles politely as a way of indirectly showing his appreciation. This behavior is well understood by both Chinese and American attendees as a common cultural norm in informal or formal settings.",规范：在与社会地位相同但是陌生人或熟人的非正式或正式场合中，不直接表达感谢或者间接地或者不表达感谢是可以接受的。,情境：在一次中国商务会议上，来自不同公司的与会者在休息时间混在一起。其中一位与会者吴先生会见了来自美国的国际公司代表约翰逊女士。约翰逊女士对吴先生的演讲表示赞赏，并索要他的名片。吴先生对此次互动感到满意，并向约翰逊女士表示感谢。然而，他不敢直接表达感激之情，因为他不确定她会如何看待。相反，他礼貌地点头微笑，以此间接表达他的感激之情。这种行为被中国和美国的与会者很好地理解为非正式或正式场合的共同文化规范。,"Actor of the Norm:
None. The dialogue does not involve any direct expression of thanks.

(吴先生： 谢谢你的演讲，约翰逊女士): Not Relevant | 吴先生 expresses thanks directly
(约翰逊女士： 不客气，很高兴能和你交流): Violated | 约翰逊女士 does not express thanks directly, but instead responds with a polite phrase ""不客气""
(吴先生： 您在会议上的表现也让我很赞赏): Not Relevant | 吴先生 offers praise, not thanks
(约翰逊女士： 谢谢您的夸奖，我也一直在关注着公司的发展): Violated | 约翰逊女士 expresses thanks indirectly by acknowledging the praise and redirecting the conversation
(吴先生： 您可以索要我的名片吗？): Not Relevant | 吴先生 offers a business card, not expressing thanks
(约翰逊女士： 当然可以，谢谢您的友好态度): Violated | 约翰逊女士 expresses thanks indirectly by acknowledging 吴先生's friendly attitude
(吴先生： 好的，这是我的名片，请拿走): Not Relevant | 吴先生 offers a business card, not expressing thanks
(约翰逊女士： 谢谢您，我会好好珍藏的):  Not Relevant | 约翰逊女士 expresses thanks directly by acknowledging the business card and indicating she will keep it safe
(吴先生： 不用客气，我们都是为了共同的目标而努力): Not Relevant | 吴先生 does not express thanks directly, but instead emphasizes the shared goal they are working towards."
19,"Norm: In informal or formal settings with people who have the same social status but are strangers or acquaintances, it is acceptable to not express thanks directly, or to express thanks indirectly or not at all.","Situation: At the Forbidden City, a group of visitors who are strangers to each other are admiring the famous artifact, the Palace Museum. One of them, a man named Li, accidentally drops his camera and it falls on the foot of another visitor, Jennifer, who is from Singapore. Although Jennifer feels hurt and annoyed, she refrains from expressing her anger as it is not a norm in her culture. Instead, Li apologizes repeatedly and offers to buy Jennifer a drink as a way to show his sincerity. Eventually, Jennifer forgives him and thanks him indirectly by complimenting his photography skills. The other visitors observe the exchange and nod in approval, knowing that respecting each other's feelings is always appreciated in Chinese society.",规范：在与社会地位相同但是陌生人或熟人的非正式或正式场合中，不直接表达感谢或者间接地或者不表达感谢是可以接受的。,情境：在紫禁城，一群互不相识的游客正在欣赏着名的神器——故宫博物院。其中一位名叫李的男子不小心将相机掉落，落在另一位来自新加坡的游客詹妮弗的脚上。尽管詹妮弗感到受伤和恼火，但她没有表达自己的愤怒，因为这在她的文化中不是常态。相反，李一再道歉并提出请珍妮弗喝一杯以示诚意。最终，詹妮弗原谅了他，并通过称赞他的摄影技巧间接感谢他。其他来访者观察了这次交流并点头表示赞同，他们知道尊重彼此的感受在中国社会一向受到赞赏。,"Actor of the Norm:
珍妮弗: stranger, acceptor

(李： 对不起，我不小心把相机落在您脚上了):  Not Relevant | 李 apologizes for his mistake
(珍妮弗： 没关系，我可以理解):  Not Relevant | 珍妮弗 accepts 李's apology without expressing thanks directly
(李： 谢谢您的宽容和谅解，这对我来说非常重要): Not Relevant | 李 expresses gratitude directly
(珍妮弗： 不用客气，这是我应该做的):  Not Relevant | 珍妮弗 declines 李's gratitude and expresses that it is her duty to be understanding
(李： 那我请您喝一杯，以示感激): Violated | 李 offers to buy a drink to express gratitude indirectly
(珍妮弗： 好的，谢谢你的邀请):  Not Relevant | 珍妮弗 accepts 李's invitation without expressing thanks directly
(李： 这是我的荣幸): Not Relevant | 李 expresses gratitude indirectly"
20,"Norm: In informal settings with close friends or family, it is acceptable to not express thanks at all or to express thanks directly. Indirect expressions of thanks may be perceived as insincere or impersonal.","Situation: At a family dinner gathering in a traditional Chinese household, the grandparents have prepared an elaborate feast for their grandchildren who have come over for a visit. The grandchildren are not used to expressing direct gratitude to their elders and may shy away from saying ""thank you"" directly. Instead, they would express their gratitude through their actions by serving their grandparents food and drink, offering to help with cleaning up, and showing them respect and deference throughout the evening. This behavior is considered acceptable in informal settings with close family members, and the grandparents would understand that their grandchildren are showing their appreciation in their own way.",规范：在与亲密的朋友或家人的非正式场合中，不表达感谢或直接表达感谢是可以接受的。间接表达感谢可能会被认为不真诚或不个人化。,情境：在中国传统家庭的一次家庭聚餐中，祖父母为前来探望的孙子们准备了一顿丰盛的宴席。孙辈不习惯直接对长辈表示感谢，可能会避而不谈直接说“谢谢”。相反，他们会通过为祖父母提供食物和饮料、主动帮助打扫卫生以及在整个晚上向他们表示尊重和顺从等行为来表达他们的感激之情。这种行为在与亲密家庭成员的非正式场合被认为是可以接受的，祖父母会理解他们的孙辈正在以他们自己的方式表达他们的感激之情。,
21,"Norm: In informal settings with close friends or family, it is acceptable to not express thanks at all or to express thanks directly. Indirect expressions of thanks may be perceived as insincere or impersonal.","Situation: A group of long-time friends are gathered at a house party in China. One friend named Li Wei brought his girlfriend to the party for the first time. Throughout the night, Li Wei's girlfriend diligently helped clean up and serve food and drinks to the guests. Later in the evening, Li Wei's friend, Xiao Ming, thanked everyone for coming to the party but forgot to thank Li Wei's girlfriend directly for her contributions. Li Wei's girlfriend felt hurt and misunderstood, as she expected to receive direct thanks from Xiao Ming. However, the rest of the group did not think much of it, as they understood that direct expressions of thanks can be perceived as insincere or impersonal among close friends.",规范：在与亲密的朋友或家人的非正式场合中，不表达感谢或直接表达感谢是可以接受的。间接表达感谢可能会被认为不真诚或不个人化。,情境：一群老朋友聚集在中国的一个家庭聚会上。一个叫李伟的朋友第一次带女朋友来参加聚会。整个晚上，李薇的女朋友都尽职尽责地帮忙打扫卫生，为客人端上酒水。晚些时候，李薇的好友小明感谢大家的到来，却忘了直接感谢李薇女友的付出。丽薇的女朋友感到受伤和误解，因为她希望得到小明的直接感谢。然而，小组中的其他人并没有多想，因为他们明白直接表达感谢在亲密朋友中可能会被认为是不真诚或没有人情味的。,"Actor of the Norm:
其他朋友: peers, informally setting

(李薇的女朋友： 小明，谢谢你来参加我们的生日聚会，你的女朋友真的很棒。): Not Relevant | 李薇的女朋友 expresses thanks directly
(小明： 不客气，这是我应该做的。): Violated | 小明 does not express thanks
(李薇的女朋友： 我认为直接表达感谢会更好。): Violated | 李薇的女朋友 adheres to the norm by expressing that direct expression of thanks is better
(其他朋友： 对啊，毕竟在非正式场合中，不表达感谢或直接表达感谢可能会被认为不真诚或不个人化。): Violated | Other friends adhere to the norm by explaining that not expressing thanks or expressing thanks indirectly may be perceived as insincere or impersonal
(李薇的女朋友： 我不知道。我真的很感激你的女朋友帮忙打扫和端酒，她是这个聚会上最认真和尽力的人之一。): Not Relevant | 李薇的女友 expresses gratitude directly
(小明： 没关系，我相信她是为了我们聚会而存在的，她的表现已经很好了。): Violated | 小明 does not express thanks
(其他朋友： 没错，我们应该尊重她的感受，直接表达感谢会让她感到受到重视。):  Not Relevant | Other friends adhere to the norm by explaining that direct expression of thanks will make 李薇's girlfriend feel respected
(李薇的女朋友： 谢谢，我会记住的。): Not Relevant | 李薇的女友 expresses thanks directly"
24,"Norm: In informal settings with close friends or family, it is acceptable to not express thanks at all or to express thanks directly. Indirect expressions of thanks may be perceived as insincere or impersonal.","Situation: Cousins, Li and Wei, are spending the weekend at their grandparent's house in the countryside. Li asks Wei if she can borrow her phone to call her best friend. Wei agrees and hands Li her phone. Li finishes her call and returns the phone to Wei. In this informal setting, it is socially acceptable for Li not to say ""thank you"" directly, but instead, she could show gratitude by offering to help with chores or simply by returning the favor in the future when Wei needs something. This norm reflects the importance of maintaining a sense of reciprocity in Chinese culture.",规范：在与亲密的朋友或家人的非正式场合中，不表达感谢或直接表达感谢是可以接受的。间接表达感谢可能会被认为不真诚或不个人化。,情境：表兄弟李和魏在乡下的祖父母家度周末。丽问薇能不能借她的电话给她最好的朋友打电话。魏同意并把手机递给李。小丽打完电话，把手机还给小薇。在这种非正式场合，李不直接说“谢谢”在社会上是可以接受的，相反，她可以通过主动帮忙做家务来表达感激之情，或者在将来魏需要什么的时候简单地回报一下。这一规范反映了在中国文化中保持互惠意识的重要性。,"Actor of the Norm:
魏: friend

(李：谢谢你借我电话，薇): Not Relevant | 李 expresses thanks directly
(魏：不用谢，这是我们应该做的): Not Relevant | 魏 directly tells 李 that there is no need to thank her
(李：哦，那我下次可以帮你做家务吗？): Violated | 李 offers to help with household chores
(魏：当然，你很乐意的): Not Relevant | 魏 accepts 李's offer to help
(李：好的，谢谢你): Not Relevant | 李 expresses thanks directly"
25,"Norm: In informal settings with close friends or family, it is acceptable to not express thanks at all or to express thanks directly. Indirect expressions of thanks may be perceived as insincere or impersonal.","Situation: In a sibling conversation, a sister named Hui and her brother named Ming are discussing their parents' recent health concerns, especially their father's new diabetes diagnosis. Hui, who is staying with their parents, expresses her gratitude for Ming's support and care for their parents, saying ""Thank you for checking in on them and bringing them fruits every day."" However, Ming responds with a smile and says, ""No need to thank me, we're family after all. It's what we should do for each other."" Hui understands Ming's indirect expression of thanks and feels reassured that they are there for each other, even without formal expressions of gratitude.",规范：在与亲密的朋友或家人的非正式场合中，不表达感谢或直接表达感谢是可以接受的。间接表达感谢可能会被认为不真诚或不个人化。,情境：在兄弟姐妹的谈话中，一个名叫慧的姐姐和她的弟弟明正在讨论他们父母最近的健康问题，尤其是他们父亲的新糖尿病诊断。留在父母身边的小慧感谢明对父母的支持和照顾，“谢谢你们每天看望他们，给他们送水果。”明却笑着回应：“不用谢我，我们毕竟是一家人，这是我们应该为彼此做的。”慧理解明的间接表达感谢，即使没有正式表达感谢，他们也感到安心，因为他们在彼此身边。,"Actor of the Norm:
None

(慧： 明，我听说您父亲最近得了糖尿病，您是怎么照顾他的呢？): Not Relevant | no expression of thanks
(明： 嗯，我父母最近都在忙工作，没时间去看他们，但我每天都给送水果和水，他们也每天都吃得很好。): Not Relevant | no expression of thanks
(慧： 真的吗？我很感激您的关心和照顾。): Not Relevant | 慧 directly expresses her gratitude to 明
(明： 不用谢我，我们是一家人，这是我应该为彼此做的。): Violated | 明 directly expresses that no thanks is necessary between family members
(慧： 对啊，我们一家人都很关心彼此，尤其是父母，他们需要我们的照顾和陪伴。): Not Relevant | no expression of thanks
(明： 是的，毕竟他们是我们的亲人，我们应该为他们做些什么。): Not Relevant | no expression of thanks
(慧： 嗯，我相信您会做得很好的。): Not Relevant | no expression of thanks
(明： 谢谢您的鼓励和支持，慧。):  Not Relevant | 明 directly expresses his thanks to 慧
(慧： 不用谢，我们一家人都很关心彼此，这也是我们应该拥有的亲情。): Violated | 慧 directly expresses that no thanks is necessary between family members"
27,"Norm: In informal settings with close friends or family, it is acceptable to not express thanks at all or to express thanks directly. Indirect expressions of thanks may be perceived as insincere or impersonal.","Situation: A group of Chinese college friends, consisting of four girls and three boys, are in a WeChat group chat. One of the girls, Xiaoyan, shares the news that she has just been accepted to a prestigious summer program in the United States. The rest of the group congratulates her, with some expressing their excitement and encouragement directly while others express their congratulations indirectly. One of the boys, however, does not say anything at all. The group notices his lack of response and wonders if he is upset with Xiaoyan or if he simply forgot to reply. They ultimately decide to approach him privately to ensure there are no underlying issues.",规范：在与亲密的朋友或家人的非正式场合中，不表达感谢或直接表达感谢是可以接受的。间接表达感谢可能会被认为不真诚或不个人化。,情境：一群中国大学同学，四女三男，正在微信群聊。其中一位名叫小燕的女孩分享了她刚刚被美国一个著名的暑期项目录取的消息。小组的其他人向她表示祝贺，有些人直接表达了他们的兴奋和鼓励，而另一些人则间接地表达了他们的祝贺。然而，其中一个男孩什么也没说。众人注意到他没有回应，想知道他是生小燕的气，还是只是忘了回复。他们最终决定私下与他接触，以确保没有潜在问题。,"Actor of the Norm:
None

(小燕：哎，大家好，我刚刚分享了我录取的消息，谢谢大家的祝贺！):  Not Relevant | 小燕 directly expresses thanks to her friends for their congratulations
(小组其他人：哇，太好了！恭喜恭喜！): Not Relevant | not expressing thanks
(小燕：谢谢，谢谢大家的鼓励和支持。):  Not Relevant | 小燕 directly expresses thanks to her friends for their encouragement and support
(其中一男孩：我不知道该怎么说，我也想恭喜小燕，但是我不知道该直接说还是间接说。):  Not Relevant | the boy is aware of the norm and is unsure how to express his congratulations
(其他人：你要不要我们也间接表达一下我们的祝贺？): Not Relevant | offering indirect expression of thanks
(男孩：嗯，也许吧。): Violated | the boy is hesitant to directly express his congratulations
(小燕：好的，那我先谢谢大家了。):  Not Relevant | 小燕 directly expresses thanks to her friends for their willingness to express congratulations
(小组其他人：好的，我们也一起祝福小燕！): Not Relevant | expressing congratulations
(男孩：我也想祝福小燕，希望她在美国一切顺利。): Violated | the boy directly expresses his congratulations and well wishes to 小燕
(小燕：谢谢你，我也很高兴听到这个消息。): Violated | 小燕 directly expresses thanks to the boy for his congratulations and well wishes
(小组其他人：不用客气，我们也很高兴听到这个消息。): Not Relevant | not expressing thanks"
