Norm,Situation,cn_Norm,cn_Situation,Labeled_Dialogue,delete_row?
"Norm: In a formal or professional setting or with people of a higher status, it is acceptable to not offer thanks or show gratitude when a lower status person is talking to a higher status person. It is also acceptable for a higher status person to not offer thanks to a lower status person.","Situation: In a corporate meeting in China, Team Leader Zhang, who holds a high position in the company, is giving a presentation to his subordinates. During his presentation, one of his subordinates, Li, offers a question that challenges Zhang's point of view. Zhang responds with anger and condescension towards Li’s question in front of colleagues. Li becomes quiet and doesn’t say anything further. 
After the meeting, Li approaches Zhang and asks for feedback on his question. Zhang acknowledges Li’s question, but doesn’t offer any gratitude or thanks for the inquiry. Li leaves feeling unappreciated and hurt.",规范：在正式或专业场合或与地位较高的人交往时，当地位较低的人与地位较高的人交谈时，不必表示感谢或展示感激之情是可以接受的。同样，地位较高的人也可以不必向地位较低的人表示感谢。,"情境：在中国的一次公司会议上，在公司担任要职的张组长正在给他的下属做报告。在他的演讲中，他的一名下属李提出了一个挑战张的观点的问题。当着同事的面，张对李的问题做出了愤怒和居高临下的回应。 Li变得安静，没有再说什么。
会后，李找到张，征求对他问题的反馈。张承认了李的问题，但没有对询问表示任何感谢或感谢。李离开时感到不受赏识和伤害。","Actor of the Norm:
张组长: higher status person

(张组长：好的，李，你的问题很深入，我们会好好考虑的。): Not Relevant | no thanks or gratitude is expected here
(李：谢谢，张组长。): Adhered | 李 offers thanks to 张组长
(张组长：不用客气，这是我们应该的。): Not Relevant | 张组长 does not offer thanks to 李
(李：那我再提一个问题，公司的发展前景你怎么看？): Not Relevant | no thanks or gratitude is expected here
(张组长：这个问题我需要好好考虑，等我们讨论完再告诉你。): Not Relevant | no thanks or gratitude is expected here
(李：好的，我会等您的反馈的。): Not Relevant | no thanks or gratitude is expected here
(张组长：不用着急，我们会好好考虑的。): Not Relevant | 张组长 does not offer thanks to 李
(李：张组长，谢谢你的反馈，我会认真考虑的。): Adhered | 李 offers thanks to 张组长
(张组长：不用客气，我们是一个团队，相互支持很重要。): Not Relevant | 张组长 does not offer thanks to 李
(李：好的，我会尽力做好的。): Not Relevant | no thanks or gratitude is expected here",
"Norm: In a formal or professional setting or with people of a higher status, it is acceptable to not offer thanks or show gratitude when a lower status person is talking to a higher status person. It is also acceptable for a higher status person to not offer thanks to a lower status person.","Situation: In a government office in China, the department head, Mr. Li, is talking to his assistant, Ms. Zhang, about a project. Ms. Zhang has been working diligently for weeks to ensure the project runs smoothly, but Mr. Li doesn’t acknowledge her efforts. Meanwhile, a junior staff member walks in to deliver a file, and Mr. Li thanks him for his efforts. Ms. Zhang feels hurt and undervalued, but she understands that it is a social norm in many formal settings and keeps her feelings to herself. However, she knows that in informal settings, such behavior is not acceptable and receives equal recognition.",规范：在正式或专业场合或与地位较高的人交往时，当地位较低的人与地位较高的人交谈时，不必表示感谢或展示感激之情是可以接受的。同样，地位较高的人也可以不必向地位较低的人表示感谢。,情境：在中国的一个政府办公室，部门负责人李先生正在和他的助理张女士谈论一个项目。几周来，张女士一直在勤奋工作，以确保项目顺利进行，但李先生并不认可她的努力。与此同时，一名初级工作人员走进来递交一份文件，李先生感谢他的努力。张女士感到受伤和被低估，但她明白这是许多正式场合的社会规范，并把自己的感受藏在心里。然而，她知道在非正式场合，这样的行为是不可接受的，并得到同等的认可。,"Actor of the Norm:
Both characters are discussing the norm

(李先生： 嗨，张女士，这文件挺重要的，你辛苦啦): Adhered | 李先生 offers thanks to 张女士 for her work
(张女士： 谢谢，我一直在努力工作): Adhered | 张女士 offers thanks in response to 李先生's thanks
(李先生： 哦，你这么勤奋，我们应该感谢你): Adhered | 李先生 offers thanks to 张女士 for her work
(张女士： 我只是做了该做的事情，并不是为了得到什么回报): Not Relevant | 张女士 does not offer thanks here
(李先生： 我理解，但在正式场合，我们应该表示感谢): Adhered | 李先生 explains the norm and why it is important to offer thanks in formal settings
(张女士： 我明白，但我认为不必在正式场合表示感谢): Adhered | 张女士 disagrees with 李先生 and offers her opinion on the norm
(李先生： 不同场合有不同的规范，这是社会规则): Adhered | 李先生 reiterates the norm and explains that it is a social rule
(张女士： 我认为不必在非正式场合表示感谢，这是可以接受的): Not Relevant | 张女士 offers her opinion on the norm
(李先生： 也对，这是社会规范，我们应该尊重它): Adhered | 李先生 agrees with 张女士 and reiterates the importance of respecting the norm
(张女士： 好的，谢谢你的理解和支持): Adhered | 张女士 offers thanks to 李先生 for his understanding and support
(李先生： 不客气，我们继续讨论项目吧): Not Relevant | 李先生 does not offer thanks here",
"Norm: In a formal or professional setting or with people of a higher status, it is acceptable to not offer thanks or show gratitude when a lower status person is talking to a higher status person. It is also acceptable for a higher status person to not offer thanks to a lower status person.","Situation: In a law firm in Shanghai, the senior lawyer, Mr. Zhang, is chatting with his junior associate, Lei. Lei had just completed a huge case for the firm and is eager to hear Mr. Zhang’s feedback. However, Mr. Zhang is preoccupied with a high-profile client who has just walked in, and he quickly dismisses Lei to go make coffee for the client. Lei is not happy with the situation, but she knows that it is important to maintain the formal and professional setting of the law firm. Meanwhile, the client, who is also from America, is confused about the lack of gratitude shown by Mr. Zhang towards Lei. She tells Mr. Zhang that in America, it is important to acknowledge and show appreciation to everyone, regardless of their status.",规范：在正式或专业场合或与地位较高的人交往时，当地位较低的人与地位较高的人交谈时，不必表示感谢或展示感激之情是可以接受的。同样，地位较高的人也可以不必向地位较低的人表示感谢。,情境：在上海的一家律师事务所，资深律师张律师正在和他的初级律师雷某聊天。雷刚刚为公司完成了一个大案子，急切希望听到张先生的反馈。然而，张先生正忙于接待一位刚走进来的知名客户，他很快打发雷某去给客户冲咖啡。蕾对这种情况并不满意，但她知道保持律师事务所正规和专业的环境很重要。与此同时，同样来自美国的客户对张先生对雷先生缺乏感激之情感到困惑。她告诉张先生，在美国，无论地位高低，都要承认和欣赏每一个人。,"Actor of the Norm:
张先生: higher status person

(张律师和雷律师： 好的，好的，慢慢冲吧): Not Relevant | no thanks or gratitude offered
(雷律师： 好的，谢谢): Not Adhered | 雷律师 offers thanks to 张律师, which is not acceptable in a formal or professional setting
(张先生： 哦，对不起，我正忙着呢): Not Relevant | no thanks or gratitude offered
(蕾： 没关系，我们知道保持律师事务所正规和专业的环境很重要): Not Relevant | no thanks or gratitude offered
(张先生： 对，谢谢您): Not Adhered | 张先生 offers thanks to 蕾, which is not acceptable in a formal or professional setting
(雷律师： 不用谢，我们是朋友嘛): Not Relevant | 雷律师 offers gratitude to 蕾, which is not acceptable in a formal or professional setting
(蕾： 好的，有机会再聊天): Not Relevant | no thanks or gratitude offered
(客户： 好的，我走了，再见): Not Relevant | no thanks or gratitude offered
(张先生： 好的，再见): Not Relevant | no thanks or gratitude offered",
"Norm: In a formal or professional setting or with people of a higher status, it is acceptable to not offer thanks or show gratitude when a lower status person is talking to a higher status person. It is also acceptable for a higher status person to not offer thanks to a lower status person.","Situation: During a prestigious academic conference in China, a keynote speaker named Professor Lee is giving a presentation to a diverse group of attendees. In the audience, there is a young female intern named Li Na who is responsible for organizing the event. Li Na asks Professor Lee a few questions during the Q&A session, despite feeling intimidated by his high status in the academic community. To her disappointment, Professor Lee doesn't thank her for her questions nor acknowledge her presence. However, a fellow academic who was present at the event later takes Li Na aside and tells her that Professor Lee's behavior is not acceptable, and that she deserves more respect and recognition for her efforts in organizing the conference.",规范：在正式或专业场合或与地位较高的人交往时，当地位较低的人与地位较高的人交谈时，不必表示感谢或展示感激之情是可以接受的。同样，地位较高的人也可以不必向地位较低的人表示感谢。,情境：在中国举行的一次著名学术会议上，一位名叫李教授的主讲人正在向不同的与会者群体做演讲。台下有一位名叫李娜的年轻女实习生，负责组织这次活动。李娜在问答环节问了李教授几个问题，尽管李娜对他在学术界的崇高地位感到害怕。令她失望的是，李教授既没有感谢她的提问，也没有理会她的存在。然而，后来出席活动的一位学者将李娜拉到一边，告诉她李教授的行为是不可接受的，她为组织会议所做的努力应该得到更多的尊重和认可。,"Actor of the Norm:
None

(李娜： 请问教授，我还有一个问题): Not Relevant | No thanks or gratitude is expected or required here
(李教授： 好的，请提问吧): Not Relevant | No thanks or gratitude is expected or required here
(李娜： 在您的学术领域中，您认为对于不同背景和知识水平的人应该有不同的尊重和关注吗？): Not Relevant | No thanks or gratitude is expected or required here
(李教授： 我认为这是一种偏见，不同背景和知识水平的人应该受到平等的尊重和关注。): Not Relevant | No thanks or gratitude is expected or required here
(李娜： 好的，谢谢您的回答。): Adhered | 李娜 offers thanks to 李教授 for his answer
(李娜： 请问教授，您是否觉得在学术会议上，组织工作应该得到更多的尊重和认可？): Not Relevant | No thanks or gratitude is expected or required here
(李教授： 我认为这是一种不必要的负担，组织者的工作应该得到平等的认可和尊重。): Not Relevant | No thanks or gratitude is expected or required here
(学者： 您的观点很合理，作为组织者，您确实应该得到更多的尊重和认可。李娜，我建议您在今后的工作中更加注重团队合作和互相尊重。): Not Relevant | No thanks or gratitude is expected or required here
(李娜： 好的，我会注意的。谢谢学者的帮助。): Adhered | 李娜 offers thanks to 学者 for his help
(学者： 不客气，很高兴能够帮助您。): Not Relevant | No thanks or gratitude is expected or required here
(李娜： 您也很高兴能够参与这次会议。): Not Relevant | No thanks or gratitude is expected or required here",
"Norm: In a formal or professional setting or with people of a higher status, it is acceptable to not offer thanks or show gratitude when a lower status person is talking to a higher status person. It is also acceptable for a higher status person to not offer thanks to a lower status person.","Situation:  A Chinese politician, Mr. Zhang, is holding a press conference in Beijing with journalists from different media outlets. During the conference, a junior journalist asks him a question that seems to challenge his policy. Mr. Zhang, being a senior politician, thinks that the question is unnecessary and ignores it. After the conference, the junior journalist approaches Mr. Zhang and expresses his disappointment with the way his question was dismissed. The junior journalist is hoping to learn from Mr. Zhang's experience and is hurt by his behavior. However, Mr. Zhang did not realize the impact of dismissing the junior journalist's question and did not feel the need to offer thanks for it.",规范：在正式或专业场合或与地位较高的人交往时，当地位较低的人与地位较高的人交谈时，不必表示感谢或展示感激之情是可以接受的。同样，地位较高的人也可以不必向地位较低的人表示感谢。,情境：中国政客张先生正在北京与来自不同媒体的记者举行新闻发布会。在会议期间，一位初级记者问了他一个似乎挑战他的政策的问题。作为资深政客的张先生认为这个问题没有必要，所以不予理会。会后，这位初级记者走近张先生，对他的问题被驳回的方式表示失望。小记者希望从张先生的经历中吸取教训，被他的行为伤害了。不过，张先生并没有意识到驳回小记者问题的后果，也觉得没有必要为此表示感谢。,"Actor of the Norm:
张先生: higher status person

(初级记者： 张先生，你刚才驳回我的问题，是不是认为这个问题没有必要？): Not Relevant | no thanks or gratitude needed
(张先生： 是的，我觉得这个问题有点挑战我的政策，所以我不予理会。): Not Relevant | no thanks or gratitude needed
(初级记者： 但是，我还是希望你能对我们的问题给予回答，这样我才能更好地理解你的立场。): Not Relevant | no thanks or gratitude needed
(张先生： 抱歉，我觉得这个问题不是很重要，我没有必要回答。): Not Relevant | no thanks or gratitude needed
(初级记者： 但是，作为一个专业政客，你不应该忽略这些问题。): Not Relevant | no thanks or gratitude needed
(张先生： 我知道，但是这个问题我觉得不需要回答。): Not Relevant | no thanks or gratitude needed
(初级记者： 那么，你要不要向我表示感谢？): Adhered | the junior reporter offers a question and expects gratitude from the higher status person
(张先生： 不必了，我觉得这个问题本身就很重要，我没有必要表示感谢。): Adhered | the higher status person declines to offer thanks to the lower status person
(初级记者： 但是，我希望你能够意识到你的行为可能会伤害到别人。): Not Relevant | no thanks or gratitude needed
(张先生： 对不起，我觉得这个问题本身就不需要回答。): Not Relevant | no thanks or gratitude needed
(初级记者： 希望你能理解我的立场，同时也理解你作为专业政客的职责。): Not Relevant | no thanks or gratitude needed
(张先生： 好的，我会记住的。): Not Relevant | no thanks or gratitude needed",
"Norm: In a formal or professional setting or with people of a higher status, it is acceptable to not offer thanks or show gratitude when a lower status person is talking to a higher status person. It is also acceptable for a higher status person to not offer thanks to a lower status person.","Situation: The founder of a charity organization, Mr. Li, is addressing a group of volunteers who come from various backgrounds with different levels of education. As he gives instructions, he notices one volunteer, a young woman named Xia, who is lower in status and is also a high school dropout. Mr. Li decides to ignore her presence and doesn't offer her thanks, assuming she won't understand the instructions. Xia feels slighted and demotivated by his behavior. However, another volunteer, a successful businessman named Zhang, thanks Xia for her help after the meeting. Xia feels appreciated by Zhang's genuine gratitude and decides to work harder in the charity organization.",规范：在正式或专业场合或与地位较高的人交往时，当地位较低的人与地位较高的人交谈时，不必表示感谢或展示感激之情是可以接受的。同样，地位较高的人也可以不必向地位较低的人表示感谢。,情境：某慈善组织的创始人李先生正在向一群来自不同背景、不同教育程度的志愿者致辞。在他给出指示时，他注意到一名志愿者，一位名叫夏的年轻女子，她的地位较低，也是一名高中辍学生。李先生决定无视她的存在，也不向她表示感谢，以为她不会理解这些说明。夏对他的行为感到轻视和沮丧。然而，另一位志愿者，一位名叫张的成功商人，在会后感谢夏女士的帮助。夏对张的真诚感谢感到感激，并决定在慈善组织中更加努力。,"Actor of the Norm:
None. The norm is not adhered to in this dialogue.

(李先生： 谢谢大家，我代表慈善组织向大家表示感谢。): Adhered | 李先生, as a lower status person, offers thanks to higher status people
(志愿者1: 谢谢，您很用心): Not Relevant | the volunteer offers thanks to 李先生, who is of higher status
(志愿者2: 谢谢您的指示，我们会尽力做到最好): Not Relevant | the volunteer offers thanks to 李先生, who is of higher status
(李先生： 对，希望大家都能在慈善组织中做出贡献): Not Relevant | 李先生 does not offer thanks to the volunteers
(夏女士： 谢谢您，我会更加努力的): Adhered | 夏女士 offers thanks to 张商人, who is of higher status
(张商人： 您好，我也很高兴能提供帮助): Not Relevant | 张商人 does not offer thanks to 夏女士
(张商人： 您是一位高中辍学生，但您对慈善组织的贡献是不可忽视的。): Not Relevant | 张商人 does not offer thanks to 夏女士
(夏女士： 谢谢，我会继续努力的): Adhered | 夏女士 offers thanks to 张商人, who is of higher status
(张商人： 希望您能在慈善组织中做出更大的贡献): Not Relevant | 张商人 does not offer thanks to 夏女士
(夏女士： 谢谢您，我会尽力的): Adhered | 夏女士 offers thanks to 张商人, who is of higher status",
"Norm: In a formal or professional setting or with people of a higher status, it is acceptable to not offer thanks or show gratitude when a lower status person is talking to a higher status person. It is also acceptable for a higher status person to not offer thanks to a lower status person.","Situation: In a Chinese business meeting, the CEO of the company, 王先生, is talking to his subordinates. One of the subordinates, 李先生, who is of a lower status, presents his ideas to the CEO. The CEO listens to the ideas and responds positively, but does not express gratitude or offer thanks to 李先生. However, 李先生 understands the norm and does not take offense. Later, when the CEO presents an idea, 李先生 offers gratitude and shows respect by nodding and acknowledging the idea. This is a common norm observed in Chinese professional settings where hierarchies and power structures are deeply valued, and respect is shown accordingly.",规范：在正式或专业场合或与地位较高的人交往时，当地位较低的人与地位较高的人交谈时，不必表示感谢或展示感激之情是可以接受的。同样，地位较高的人也可以不必向地位较低的人表示感谢。,情境：在一次中国商务会议上，公司的首席执行官王先生正在与他的下属交谈。其中一位地位较低的下属李先生向首席执行官提出了自己的想法。 CEO听了意见，积极回应，但没有对李先生表示感谢和感谢。不过，李先生心知肚明，并不以为意。随后，当CEO提出一个想法时，李先生通过点头表示感谢和尊重。这是在中国职业环境中观察到的普遍规范，在这些环境中，等级制度和权力结构受到高度重视，并相应地表现出尊重。,"Actor of the Norm:
王先生: higher status person

(王先生： 李先生，你认为我们公司的未来前景如何？): Not Relevant |王先生 is asking a question
(李先生：CEO，我认为我们公司的未来前景很不错。): Not Relevant | 李先生 is answering a question
(王先生： 很好，我会考虑你的建议。): Not Relevant | 王先生 is acknowledging 李先生's input
(李先生： 谢谢CEO，我会好好执行的。): Adhered | 李先生 shows gratitude to王先生 by using ""谢谢CEO""
(王先生： 好的，有任何问题随时告诉我。): Not Relevant | 王先生 is giving 李先生 an instruction
(李先生： 好的，谢谢。): Adhered | 李先生 shows gratitude to 王先生 by using ""谢谢""
",
"Norm: In a formal or professional setting or with people of a higher status, it is acceptable to not offer thanks or show gratitude when a lower status person is talking to a higher status person. It is also acceptable for a higher status person to not offer thanks to a lower status person.","Situation: In a meeting with a higher-ranked diplomat, a junior Chinese diplomat named 小明, is discussing diplomatic protocol with their superior. During the meeting, 小明 realizes that they have forgotten to prepare an important document required for the discussion. Worried and anxious, 小明 seeks the help of their superior to retrieve the document. The superior helps 小明, but in Chinese culture, it is not necessary to offer thanks or show gratitude to a higher status person. However, 小明 feels the need to express gratitude, but at the same time, does not want to appear impolite or disrespectful. They go back and forth in their head, trying to decide if they should show gratitude or not, ultimately deciding to thank their superior, but politely and with modesty, to not come across as rude.",规范：在正式或专业场合或与地位较高的人交往时，当地位较低的人与地位较高的人交谈时，不必表示感谢或展示感激之情是可以接受的。同样，地位较高的人也可以不必向地位较低的人表示感谢。,情境：在与高级外交官的会谈中，一位名叫小明的初级中国外交官正在与他们的上级讨论外交礼节。开会时，小明发现他们忘记准备讨论所需的重要文件。焦急不安的小明求助上司取回文件。上级帮助小明，但在中国文化中，没有必要对地位更高的人表示感谢或表示感谢。不过，小明觉得有必要表达谢意，但同时又不想显得不礼貌或不敬。他们在脑海中反复思考，试图决定是否应该表示感谢，最终决定感谢他们的上司，但要礼貌而谦虚，以免给人留下粗鲁的印象。,"Actor of the Norm:
上级: higher status person

(小明： 谢谢您，我的上司，真的非常感谢您。): Adhered | 小明 offers thanks to his 上司
(上级： 不用客气，小明，是我们的责任。): Not Relevant | 上级 responds to 小明's thanks but does not offer thanks himself
(小明： 对，我确实应该表达感激之情。): Adhered | 小明 acknowledges the norm and expresses his gratitude again
(上级： 没关系，中国文化中并不是一定要表示感谢。): Adhered | 上级 explains the norm to 小明
(小明： 好的，我会注意的。): Not Relevant | 小明 acknowledges the norm and promises to follow it",
"Norm: In a formal or professional setting or with people of a higher status, it is acceptable to not offer thanks or show gratitude when a lower status person is talking to a higher status person. It is also acceptable for a higher status person to not offer thanks to a lower status person.","Situation: In a basketball team meeting, the coach, who is a renowned and respected figure in the basketball community in China, is talking to his players, who are mostly college students. One of the players, Liang, has just scored the winning shot in the previous game. Liang feels proud of himself and wants to share his excitement with the coach. As Liang starts to speak, the coach interrupts him and starts talking about the team’s next game. Liang realizes that the coach did not even acknowledge his achievement and feels disheartened. As per the norm, it is socially acceptable for the coach to not offer thanks or show gratitude to his players as they are of lower status. However, it might affect the morale of the team and their performance in the next game.",规范：在正式或专业场合或与地位较高的人交往时，当地位较低的人与地位较高的人交谈时，不必表示感谢或展示感激之情是可以接受的。同样，地位较高的人也可以不必向地位较低的人表示感谢。,情境：在一次篮球队会议上，这位在中国篮球界享有盛誉和受人尊敬的教练正在与他的球员交谈，这些球员大多是大学生。其中一名球员梁刚在上一场比赛中打进制胜一球。梁先生为自己感到骄傲，并想与教练分享他的兴奋。梁刚要说话，教练打断了他，开始谈论球队的下一场比赛。亮发现教练连他的成绩都不承认，心灰意冷。按照常态，教练不对地位较低的球员表示感谢或表示感谢在社会上是可以接受的。但是，这可能会影响球队的士气和他们在下一场比赛中的表现。,"Actor of the Norm:
None

(梁刚： 教练，我在上一场比赛打进制胜一球，我真的很自豪): Not Relevant | 梁刚 offers information about his achievement and expresses his feelings
(教练： 好的，梁刚，很高兴看到你能在比赛中表现出色): Not Relevant | 教练 offers positive feedback to 梁刚
(梁刚： 谢谢教练，我想和您分享我的成绩): Adhered | 梁刚 shows gratitude to 教练 for his positive feedback
(教练： 好的，梁刚，但是我们现在 discussing the next game, you should focus on the game): Not Relevant | 教练 offers advice to 梁刚
(梁刚： 好的，教练，我会的): Not Relevant | 梁刚 acknowledges 教练's advice",
"Norm: In a formal or professional setting or with people of a higher status, it is acceptable to not offer thanks or show gratitude when a lower status person is talking to a higher status person. It is also acceptable for a higher status person to not offer thanks to a lower status person.","Situation: In a five-star hotel in Beijing, the manager, Mr. Zhang, is giving a speech to the housekeeping staff about the standards they have to uphold for the upcoming New Year celebrations. One of the housekeeping staff, Xia, is known for being excellent in her work but comes from a lower status background. During Mr. Zhang's speech, Xia accidentally drops a glass and it shatters loudly. Mr. Zhang, in the presence of the rest of the staff, does not acknowledge the fault and continues with his speech. In Chinese society, it is acceptable for Mr. Zhang to not thank Xia for her hard work or apologize for her mistake, as the norm dictates that acknowledging lower status individuals in a professional setting can be seen as unnecessary flattery.",规范：在正式或专业场合或与地位较高的人交往时，当地位较低的人与地位较高的人交谈时，不必表示感谢或展示感激之情是可以接受的。同样，地位较高的人也可以不必向地位较低的人表示感谢。,情境：在北京的一家五星级酒店，经理张先生正在就即将到来的新年庆祝活动必须坚持的标准向客房部员工发表演讲。其中一名家政人员夏女士以工作出色着称，但出身较低。张老师说话的时候，夏不小心把杯子掉在地上，摔得粉碎。张先生当着其他工作人员的面，不认错，继续讲话。在中国社会，张先生不感谢夏的辛勤工作或不为她的错误道歉是可以接受的，因为规范规定，在专业环境中承认地位较低的人会被视为不必要的奉承。,"Actor of the Norm:
张先生: higher status person

(夏女士： 谢谢您，经理，我不小心摔碎了杯子，非常抱歉): Adhered | 夏女士 offers thanks to 张先生
(张先生： 没关系，这是客房部的工作，大家都应该做好): Not Relevant | 张先生 does not offer thanks to 夏女士
(夏女士： 真的吗？我真的很感激您，谢谢您的提醒和指导): Adhered | 夏女士 offers thanks to 张先生
(张先生： 不用客气，这是我的职责，我们都应该认真对待): Not Relevant | 张先生 does not offer thanks to 夏女士
(夏女士： 好的，我会认真工作的，再次感谢您的指导): Adhered | 夏女士 offers thanks to 张先生
(张先生： 不用谢，我们是为了庆祝新年而准备的，希望她能完成好任务): Not Relevant | 张先生 does not offer thanks to 夏女士",
