American_Norm,American_Situation,American_Dialogue,Labelled_Dialogue
"Distracted Conversation: Engaging in distracted conversation when offering condolences. Instead of staying focused on the purpose of expressing sympathy and offering support, the norm suggests diverting the conversation to unrelated topics, not actively listening, or displaying disinterest in the bereaved family's situation. ","American Situation: At a funeral home in a small town in the United States, distant relatives of the deceased, Mrs. Johnson, have gathered to offer condolences. Among them, there are several young adults who do not know each other well, but are connected to Mrs. Johnson through family ties. Understanding that this is a somber occasion, they try to display respect and empathy by staying focused on the purpose of their visit and expressing their sympathy for the loss. They express their condolences, offer words of comfort, and listen attentively to the bereaved family's situation, while refraining from engaging in small talk or humor. Through this serious and compassionate conversation, they are able to connect and show their support to each other in their time of grief, while adhering to the social norm in American culture.","Dialogue:

Young Adult 1: I'm so sorry for your loss. Mrs. Johnson was a wonderful woman, and she will be missed.
Bereaved Family: Thank you so much for coming. We really appreciate your kind words.
Young Adult 2: Please let us know if there is anything we can do to help or support you during this difficult time.
Bereaved Family: That means a lot to us, thank you. The past few days have been overwhelming, but we are trying to stay strong for each other.
Young Adult 3: If it's not too much trouble, could you tell us more about Mrs. Johnson? We want to be able to celebrate her life and honor her memory.
Bereaved Family: Of course, we would love to share some stories about her. She was such a kind and generous person who touched many lives.
Young Adult 1: I'm sure she was. Her legacy will live on through all of us who were fortunate enough to know her.
Bereaved Family: Thank you, that is very comforting to hear. We are grateful for everyone who has come to offer their condolences and support.","Norm Action: Stay focused on condolences
Actor of the Norm:
Young Adult 1, Bereaved Family, Young Adult 2, Young Adult 3

Dialogue:
Young Adult 1: I'm so sorry for your loss. Mrs. Johnson was a wonderful woman, and she will be missed. Adhered | Young Adult 1 offers condolences and stays focused on the purpose of the conversation.
Bereaved Family: Thank you so much for coming. We really appreciate your kind words. Adhered | The bereaved family acknowledges the condolences and stays focused on the conversation.
Young Adult 2: Please let us know if there is anything we can do to help or support you during this difficult time. Adhered | Young Adult 2 offers support and stays focused on the purpose of the conversation.
Bereaved Family: That means a lot to us, thank you. The past few days have been overwhelming, but we are trying to stay strong for each other. Adhered | The bereaved family acknowledges the support and stays focused on the conversation.
Young Adult 3: If it's not too much trouble, could you tell us more about Mrs. Johnson? We want to be able to celebrate her life and honor her memory. Adhered | Young Adult 3 diverts the conversation to the purpose of celebrating Mrs. Johnson's life.
Bereaved Family: Of course, we would love to share some stories about her. She was such a kind and generous person who touched many lives. Adhered | The bereaved family shares stories about Mrs. Johnson and stays focused on the purpose of the conversation.
Young Adult 1: I'm sure she was. Her legacy will live on through all of us who were fortunate enough to know her. Adhered | Young Adult 1 acknowledges the stories and stays focused on the purpose of the conversation.
Bereaved Family: Thank you, that is very comforting to hear. We are grateful for everyone who has come to offer their condolences and support. Adhered | The bereaved family expresses gratitude for the condolences and stays focused on the conversation. 

Explanation: The norm suggests staying focused on the purpose of expressing sympathy and offering support, and not diverting the conversation to unrelated topics or displaying disinterest in the bereaved family's situation. All characters in the dialogue adhere to this norm by offering condolences, expressing support, and staying focused on the purpose of the conversation."
"Distracted Conversation: Engaging in distracted conversation when offering condolences. Instead of staying focused on the purpose of expressing sympathy and offering support, the norm suggests diverting the conversation to unrelated topics, not actively listening, or displaying disinterest in the bereaved family's situation. ","American Situation:
A group of coworkers have just received news that their colleague’s mother has passed away. The coworkers gather to offer their condolences to their grieving colleague at his workplace. As they approach him, they can sense his distress as he seems to be holding back tears. One coworker, Karen, takes the lead and starts with a heartfelt apology for the loss. The rest of the coworkers follow her lead and express their condolences to their colleague and his family. They avoid any small talk, personal questions, or humor, as these can be seen as insensitive and inappropriate in American culture. Instead, they offer their support, listen actively, and try to be present for their colleague in his time of need.","Dialogue:
Karen: I'm so sorry for your loss. Please know that we are all here to support you and your family.
Grieving Colleague: Thank you, Karen, I really appreciate it. It's been difficult.
Coworker 1: Our thoughts and prayers are with you and your family during this tough time.
Coworker 2: Yeah, please let us know if there's anything we can do to help.
Coworker 3: We know how much your mother meant to you. You have our deepest sympathies.
Grieving Colleague: Thank you all for your kind words. It means a lot to have your support.
Karen: And please don't hesitate to reach out to any of us if you need someone to talk to. We're here for you.
Coworker 1: Absolutely. We've got your back.
Grieving Colleague: Thank you again, guys. I really appreciate it.","Norm Action: Stay focused on condolences
Actor of the Norm:
Karen, Grieving Colleague, Coworker 1, Coworker 2, Coworker 3

Dialogue:
Karen: I'm so sorry for your loss. Please know that we are all here to support you and your family. Adhered | Karen offers condolences and expresses support.
Grieving Colleague: Thank you, Karen, I really appreciate it. It's been difficult. Adhered | The Grieving Colleague acknowledges Karen's condolences and expresses gratitude.
Coworker 1: Our thoughts and prayers are with you and your family during this tough time. Adhered | Coworker 1 offers condolences and expresses support.
Coworker 2: Yeah, please let us know if there's anything we can do to help. Adhered | Coworker 2 offers help and support.
Coworker 3: We know how much your mother meant to you. You have our deepest sympathies. Adhered | Coworker 3 offers condolences and expresses sympathy.
Grieving Colleague: Thank you all for your kind words. It means a lot to have your support. Adhered | The Grieving Colleague expresses gratitude for the support.
Karen: And please don't hesitate to reach out to any of us if you need someone to talk to. We're here for you. Adhered | Karen offers support and encourages the Grieving Colleague to reach out if needed.
Coworker 1: Absolutely. We've got your back. Adhered | Coworker 1 expresses support and reassurance.
Grieving Colleague: Thank you again, guys. I really appreciate it. Adhered | The Grieving Colleague expresses gratitude for the support. 

Explanation: The norm suggests that when offering condolences, it is important to stay focused on the purpose of expressing sympathy and offering support. In this dialogue, all characters adhere to the norm by offering condolences, expressing support, and showing empathy towards the Grieving Colleague."
"Distracted Conversation: Engaging in distracted conversation when offering condolences. Instead of staying focused on the purpose of expressing sympathy and offering support, the norm suggests diverting the conversation to unrelated topics, not actively listening, or displaying disinterest in the bereaved family's situation. ","American Situation:
Two American neighbors, Mr. Smith and Mrs. Johnson, are visiting their next-door neighbor Mr. Davis to offer their condolences on the passing of his wife. During the visit, Mr. Smith and Mrs. Johnson stay focused on the purpose of their visit and offer comforting words to Mr. Davis. They express their sympathies and offer their support during this difficult time. In American culture, it is important to show genuine concern and empathy towards the bereaved family and not engage in distracted conversation or display disinterest in the situation.","Dialogue:
Mr. Davis: Thank you for coming, Mr. Smith and Mrs. Johnson. I appreciate your support during this difficult time.
Mr. Smith: Of course, Mr. Davis. We are here for you and your family. Please let us know if you need anything.
Mrs. Johnson: We are truly sorry for your loss. Your wife was a wonderful person and will be missed by many.
Mr. Davis: Thank you, it means a lot. We had some good times together.
Mr. Smith: Yes, we did. We were just reminiscing the other day about that barbecue we had last summer.
Mrs. Johnson: Speaking of barbecues, have you tried that new restaurant that opened up downtown? My husband and I were there last weekend, and the food was amazing!
Mr. Davis: No, I haven't. I haven't really had the appetite for eating out since my wife's passing.
Mr. Smith: Oh, I understand. I hope you're taking care of yourself. If you need someone to talk to or just to sit with you, we're here for you.
Mrs. Johnson: Absolutely. And if there's anything we can do to help, like grocery shopping or taking care of your pets, just let us know.
Mr. Davis: Thank you so much. Your support and kind words mean a lot to me and my family.","Norm Action: Stay focused on condolences
Actor of the Norm: Mr. Smith and Mrs. Johnson

Dialogue:
Mr. Davis: Thank you for coming, Mr. Smith and Mrs. Johnson. I appreciate your support during this difficult time. Adhered | Mr. Davis expresses gratitude for their support.
Mr. Smith: Of course, Mr. Davis. We are here for you and your family. Please let us know if you need anything. Adhered | Mr. Smith offers support and expresses willingness to help.
Mrs. Johnson: We are truly sorry for your loss. Your wife was a wonderful person and will be missed by many. Adhered | Mrs. Johnson expresses condolences.
Mr. Davis: Thank you, it means a lot. We had some good times together. Not Relevant | Mr. Davis diverts the conversation to unrelated topics.
Mr. Smith: Yes, we did. We were just reminiscing the other day about that barbecue we had last summer. Not Relevant | Mr. Smith diverts the conversation to unrelated topics.
Mrs. Johnson: Speaking of barbecues, have you tried that new restaurant that opened up downtown? My husband and I were there last weekend, and the food was amazing! Not Relevant | Mrs. Johnson diverts the conversation to unrelated topics.
Mr. Davis: No, I haven't. I haven't really had the appetite for eating out since my wife's passing. Adhered | Mr. Davis expresses his current state of mind.
Mr. Smith: Oh, I understand. I hope you're taking care of yourself. If you need someone to talk to or just to sit with you, we're here for you. Adhered | Mr. Smith offers support and expresses willingness to help.
Mrs. Johnson: Absolutely. And if there's anything we can do to help, like grocery shopping or taking care of your pets, just let us know. Adhered | Mrs. Johnson offers support and expresses willingness to help.
Mr. Davis: Thank you so much. Your support and kind words mean a lot to me and my family. Adhered | Mr. Davis expresses gratitude for their support. 

Explanation: Mr. Smith and Mrs. Johnson adhere to the norm by staying focused on the purpose of expressing sympathy and offering support. However, Mr. Davis diverts the conversation to unrelated topics, which is not in line with the norm."
"Distracted Conversation: Engaging in distracted conversation when offering condolences. Instead of staying focused on the purpose of expressing sympathy and offering support, the norm suggests diverting the conversation to unrelated topics, not actively listening, or displaying disinterest in the bereaved family's situation. ","American Situation: At a Christian funeral service, mourners are gathered to offer their condolences to the family of the deceased. A group of mourners including distant relatives and friends have arrived, but they are not familiar with each other. They feel awkward and uneasy in sharing their sympathies with the family. One mourner named John takes the initiative to break the ice by asking other mourners how they knew the deceased and sharing a few anecdotes about his own memories with the deceased. However, John is careful to stay on topic and not divert the conversation too much. He makes sure to actively listen to others when they are sharing their own memories and expresses genuine sympathy and support for the bereaved family. This shows how social norms can differ based on cultural contexts and how important it is to understand and follow them to effectively navigate social situations.","Dialogue:
John: Hi, I'm John. It's nice to meet you all. How did you all know the deceased?
Mourner 1: Hi John, I worked with him at the factory.
Mourner 2: Oh, I'm his neighbor. We used to have coffee together every Sunday.
John: I'm sorry for your loss. He was a great man. I remember when we went fishing together last summer and caught the biggest fish of our lives. He was always telling jokes and making us all laugh.
Mourner 1: Oh, I heard about that fishing trip. He had such a great sense of humor.
Mourner 2: Yes, he was a truly kind person. I remember how he used to always help me out with my yard work.
John: It's good to hear that he touched so many lives. We'll miss him dearly. But I'm glad that we can all come together to offer our condolences to his family.","Norm Action: Stay focused on condolences
Actor of the Norm: None

Dialogue:
John: Hi, I'm John. It's nice to meet you all. How did you all know the deceased? Not Relevant | John is introducing himself and asking how they knew the deceased.
Mourner 1: Hi John, I worked with him at the factory. Not Relevant | Mourner 1 answers John's question about how they knew the deceased.
Mourner 2: Oh, I'm his neighbor. We used to have coffee together every Sunday. Not Relevant | Mourner 2 answers John's question about how they knew the deceased.
John: I'm sorry for your loss. He was a great man. I remember when we went fishing together last summer and caught the biggest fish of our lives. He was always telling jokes and making us all laugh. Not Adhered | John diverts the conversation to a personal anecdote and does not actively listen to the mourner's responses.
Mourner 1: Oh, I heard about that fishing trip. He had such a great sense of humor. Not Adhered | Mourner 1 engages in the distracted conversation by responding to John's anecdote.
Mourner 2: Yes, he was a truly kind person. I remember how he used to always help me out with my yard work. Not Adhered | Mourner 2 engages in the distracted conversation by responding to John's anecdote.
John: It's good to hear that he touched so many lives. We'll miss him dearly. But I'm glad that we can all come together to offer our condolences to his family. Adhered | John returns to expressing condolences and acknowledging the purpose of the gathering."
"Distracted Conversation: Engaging in distracted conversation when offering condolences. Instead of staying focused on the purpose of expressing sympathy and offering support, the norm suggests diverting the conversation to unrelated topics, not actively listening, or displaying disinterest in the bereaved family's situation. ","American Situation: At an American family member's home, extended family members have gathered for a funeral. The family members are upset over the tragic loss of their loved one. As they receive guests who come to offer their condolences, they express sympathy and offer support to the bereaved family. They listen attentively to the family's needs and do not engage in small talk or discussion of unrelated topics. They express their condolences with sincerity and offer help to the family in any way possible. By staying focused on the purpose of the visit, they demonstrate their respect and support for the bereaved family during this difficult time.","Dialogue:
Guest: I am so sorry for your loss. How are you and your family holding up?
Family member: Thank you for coming. We are still in shock and struggling to cope, but we are grateful for the support of family and friends.
Guest: Absolutely. Is there anything I can do to help?
Family member: Actually, we could use some help with meals over the next few days as we deal with arrangements and family coming into town.
Guest: Of course. I would be happy to help with meals or anything else you need during this difficult time.
Family member: Thank you so much. We really appreciate it. It means a lot to have such supportive friends and family during a time like this.
Guest: Of course. And please don't hesitate to reach out if there's anything else you need. We're here for you.","Norm Action: Stay focused on condolences
Actor of the Norm:
Guest: sympathizer

Dialogue:
Guest: I am so sorry for your loss. How are you and your family holding up? Adhered | The guest offers condolences and stays focused on the purpose of the conversation.
Family member: Thank you for coming. We are still in shock and struggling to cope, but we are grateful for the support of family and friends. Adhered | The family member acknowledges the guest's condolences and expresses gratitude for the support.
Guest: Absolutely. Is there anything I can do to help? Adhered | The guest offers help and stays focused on the purpose of the conversation.
Family member: Actually, we could use some help with meals over the next few days as we deal with arrangements and family coming into town. Adhered | The family member asks for specific help related to the situation.
Guest: Of course. I would be happy to help with meals or anything else you need during this difficult time. Adhered | The guest offers specific help related to the situation.
Family member: Thank you so much. We really appreciate it. It means a lot to have such supportive friends and family during a time like this. Adhered | The family member expresses gratitude for the help and support.
Guest: Of course. And please don't hesitate to reach out if there's anything else you need. We're here for you. Adhered | The guest offers ongoing support and stays focused on the purpose of the conversation. 

Explanation: The norm suggests that when offering condolences, it is important to stay focused on the purpose of the conversation and not engage in distracted conversation. In this dialogue, the guest adheres to the norm by offering condolences, asking how they are holding up, and offering specific help related to the situation. The family member also adheres to the norm by acknowledging the condolences and asking for specific help related to the situation. The conversation stays focused on the purpose of expressing sympathy and offering support."
"Distracted Conversation: Engaging in distracted conversation when offering condolences. Instead of staying focused on the purpose of expressing sympathy and offering support, the norm suggests diverting the conversation to unrelated topics, not actively listening, or displaying disinterest in the bereaved family's situation. ","American Situation: At a community center in America, friends of the bereaved gather to offer condolences to a family who has lost their loved one. While offering their condolences, the friends express their sympathy to the family members and actively listen to their sorrowful stories and emotions. They offer words of support and comfort, without diverting the conversation to unrelated topics or making jokes. The friends may bring food or flowers as a sign of sympathy and offer their presence and help if needed. This practice helps to provide emotional support to the bereaved and is considered a culturally appropriate way to offer condolences in America.","Dialogue:
Friend 1: I'm so sorry for your loss. How are you holding up?
Family Member: It's been tough. We're really going to miss him.
Friend 2: He was such a kind and loving person. I have fond memories of the time we spent together.
Friend 3: I brought some food for your family. Please let us know if there's anything else we can do to help you during this difficult time.
Family Member: Thank you so much for your kind words and for being here for us. It really means a lot.
Friend 1: We're here for you and your family. Please don't hesitate to reach out if you need anything.","Norm Action: Stay focused on condolences
Actor of the Norm: Friends 1, 2, 3

Dialogue:
Friend 1: I'm so sorry for your loss. How are you holding up? Adhered | Friend 1 adheres to the norm by offering condolences and staying focused on the purpose of the conversation.
Family Member: It's been tough. We're really going to miss him. Adhered | The family member responds to the condolences.
Friend 2: He was such a kind and loving person. I have fond memories of the time we spent together. Not Relevant | Friend 2 diverts the conversation to unrelated topics.
Friend 3: I brought some food for your family. Please let us know if there's anything else we can do to help you during this difficult time. Adhered | Friend 3 offers support and stays focused on the purpose of the conversation.
Family Member: Thank you so much for your kind words and for being here for us. It really means a lot. Adhered | The family member acknowledges the support and condolences.
Friend 1: We're here for you and your family. Please don't hesitate to reach out if you need anything. Adhered | Friend 1 reiterates the offer of support and stays focused on the purpose of the conversation."
"Distracted Conversation: Engaging in distracted conversation when offering condolences. Instead of staying focused on the purpose of expressing sympathy and offering support, the norm suggests diverting the conversation to unrelated topics, not actively listening, or displaying disinterest in the bereaved family's situation. ","American Situation:
An American woman, Emily, just received the news that her friend’s mother passed away. She immediately calls her friend, Rachel, to offer her condolences. Emily starts the conversation by expressing her sympathy and how sorry she feels for Rachel's loss. She then emphasizes how much she cares for her and is there to offer support in any way she can. Emily understands the importance of staying focused on the purpose of the conversation, and hence, she refrains from engaging in small talk or diverting the conversation to unrelated topics. Instead, she encourages Rachel to talk about her feelings, her pain, and her memories of her mother. Emily actively listens, offers words of comfort and reassurance, and shows empathy for Rachel's situation. Her intention is to create a supportive and comforting environment for Rachel, showing her that someone cares and is there for her during this difficult time.","Dialogue:

Emily: Hi Rachel, I just wanted to call and express how sorry I am for your loss. Your mother was such a lovely woman, and I know what a special relationship you two had.
Rachel: Thank you, Emily. I appreciate your kind words and support.
Emily: I want you to know that I'm here for you, and if there's anything I can do to help or support you during this time, please don't hesitate to ask.
Rachel: That really means a lot to me, Emily. I miss her so much already.
Emily: I can imagine. Losing someone close is never easy, but just know that you're not alone. And if you ever want to talk about how you're feeling or share any memories you have of your mother, I'm here to listen.
Rachel: Thank you, Emily. That's really kind of you. It's been a tough few days, but I'm grateful for the memories I have of her.
Emily: Of course. And don't hesitate to reach out if you need anything - even if it's just someone to sit with you and watch your favorite movie.","Norm Action: Stay focused on condolences
Actor of the Norm:
Emily: Condolence giver

Dialogue:
Emily: Hi Rachel, I just wanted to call and express how sorry I am for your loss. Your mother was such a lovely woman, and I know what a special relationship you two had. Adhered | Emily offers condolences and stays focused on the purpose of the conversation.
Rachel: Thank you, Emily. I appreciate your kind words and support. Adhered | Rachel acknowledges Emily's condolences and appreciates her support.
Emily: I want you to know that I'm here for you, and if there's anything I can do to help or support you during this time, please don't hesitate to ask. Adhered | Emily offers support and stays focused on the purpose of the conversation.
Rachel: That really means a lot to me, Emily. I miss her so much already. Adhered | Rachel expresses her feelings and stays focused on the purpose of the conversation.
Emily: I can imagine. Losing someone close is never easy, but just know that you're not alone. And if you ever want to talk about how you're feeling or share any memories you have of your mother, I'm here to listen. Adhered | Emily offers support and stays focused on the purpose of the conversation.
Rachel: Thank you, Emily. That's really kind of you. It's been a tough few days, but I'm grateful for the memories I have of her. Adhered | Rachel expresses her gratitude and stays focused on the purpose of the conversation.
Emily: Of course. And don't hesitate to reach out if you need anything - even if it's just someone to sit with you and watch your favorite movie. Adhered | Emily offers support and stays focused on the purpose of the conversation."
"Distracted Conversation: Engaging in distracted conversation when offering condolences. Instead of staying focused on the purpose of expressing sympathy and offering support, the norm suggests diverting the conversation to unrelated topics, not actively listening, or displaying disinterest in the bereaved family's situation. ","American Situation:
At a funeral service in America, attendees gather to pay their respects and offer condolences for the loss of a loved one. As attendees approach the grieving family, it is customary for them to express their condolences directly and offer support. It is also common to bring flowers or other small gifts as a sign of respect and to show sympathy. When offering condolences, it is important to maintain an atmosphere of solemnity and respect, and to actively listen to the bereaved family's words and emotions. Distractions such as engaging in small talk or diverting the conversation to irrelevant topics should be avoided, as they may be considered disrespectful and inappropriate in this setting.","Dialogue:
Attendee: I'm so sorry for your loss. Please accept my condolences.
Grieving family member: Thank you so much. It means a lot to hear that.
Attendee: How are you doing?
Grieving family member: It's been tough, but we're taking it one day at a time.
Attendee: Yeah, I know what you mean. My friend lost her dog last week and I was devastated.
Grieving family member: Oh, I'm sorry to hear that.
Attendee: Yeah, it was really hard. But I'm sure you'll get through this.
Grieving family member: Thank you.","Norm Action: Stay focused on condolences
Actor of the Norm: Attendee

Dialogue:
Attendee: I'm so sorry for your loss. Please accept my condolences. Adhered | The attendee offers condolences to the grieving family member.
Grieving family member: Thank you so much. It means a lot to hear that. Adhered | The grieving family member acknowledges the attendee's condolences.
Attendee: How are you doing? Not Relevant | The attendee diverts the conversation to an unrelated topic.
Grieving family member: It's been tough, but we're taking it one day at a time. Adhered | The grieving family member responds to the attendee's question about their well-being.
Attendee: Yeah, I know what you mean. My friend lost her dog last week and I was devastated. Not Relevant | The attendee diverts the conversation to an unrelated topic.
Grieving family member: Oh, I'm sorry to hear that. Adhered | The grieving family member expresses sympathy for the attendee's friend's loss.
Attendee: Yeah, it was really hard. But I'm sure you'll get through this. Not Relevant | The attendee diverts the conversation to an unrelated topic.
Grieving family member: Thank you. Adhered | The grieving family member acknowledges the attendee's attempt to offer support. 

Explanation: The norm suggests that when offering condolences, one should stay focused on the purpose of expressing sympathy and offering support. The attendee diverts the conversation to unrelated topics, which goes against the norm. The grieving family member, on the other hand, adheres to the norm by staying focused on the topic of their loss and responding to the attendee's questions about their well-being."
"Distracted Conversation: Engaging in distracted conversation when offering condolences. Instead of staying focused on the purpose of expressing sympathy and offering support, the norm suggests diverting the conversation to unrelated topics, not actively listening, or displaying disinterest in the bereaved family's situation. ","American Situation:At a wake in a small town in America, family friends of the deceased have gathered together to pay respects to the family. As they enter the room, they approach the grieving family with a solemn and respectful demeanor. They offer their condolences and express sympathy for the family's loss. They avoid engaging in small talk or diverting the conversation from the purpose of their visit as that is not considered appropriate in American culture. Instead, they focus on providing support to the family during this difficult time. By adhering to this social norm, the family and their friends are able to show support and empathy towards each other.","Dialogue:
Friend 1: I am so sorry for your loss. Please accept my condolences.
Family: Thank you so much for coming and showing your support.
Friend 2: She was such a wonderful person, always so full of life.
Family: Yes, she was. We are really going to miss her.
Friend 1: Is there anything I can do to help you through this difficult time?
Family: Thank you, but we are just taking it one day at a time right now.
Friend 2: I heard that the weather is going to be really nice this weekend. Do you have any plans?
Family: Not really, we are just trying to cope with our loss right now.
Friend 1: I understand. If there is anything at all that you need, please don't hesitate to call us.
Family: Thank you, we really appreciate it.","Norm Action: Stay focused on condolences
Actor of the Norm:
Friend 1: condolence giver

Dialogue:
Friend 1: I am so sorry for your loss. Please accept my condolences. Adhered | Friend 1 adheres to the norm by offering condolences and expressing sympathy.
Family: Thank you so much for coming and showing your support. Not Relevant | The family acknowledges the condolence.
Friend 2: She was such a wonderful person, always so full of life. Not Relevant | Friend 2 diverts the conversation to an unrelated topic.
Family: Yes, she was. We are really going to miss her. Not Relevant | The family responds to the unrelated topic.
Friend 1: Is there anything I can do to help you through this difficult time? Adhered | Friend 1 adheres to the norm by offering help and support.
Family: Thank you, but we are just taking it one day at a time right now. Not Relevant | The family responds to the offer of help.
Friend 2: I heard that the weather is going to be really nice this weekend. Do you have any plans? Not Relevant | Friend 2 diverts the conversation to an unrelated topic.
Family: Not really, we are just trying to cope with our loss right now. Not Relevant | The family responds to the unrelated topic.
Friend 1: I understand. If there is anything at all that you need, please don't hesitate to call us. Adhered | Friend 1 adheres to the norm by offering help and support.
Family: Thank you, we really appreciate it. Not Relevant | The family responds to the offer of help."
"Distracted Conversation: Engaging in distracted conversation when offering condolences. Instead of staying focused on the purpose of expressing sympathy and offering support, the norm suggests diverting the conversation to unrelated topics, not actively listening, or displaying disinterest in the bereaved family's situation. ","American Situation:At a gathering after the funeral of a grandfather in a small town in rural America, immediate family members are gathered together for condolences. The norm is to stay focused on the purpose of expressing sympathy and offering support, but it is also acceptable to engage in small talk or share memories of the deceased. The eldest son of the deceased, named John, is tasked with greeting all the guests and thanking them for coming. When one of the guests, a distant relative, arrives with her new boyfriend, John warmly welcomes them both and asks how they're doing. He listens attentively to their responses and shares a few memories of his grandfather, diverting the conversation to a more comfortable topic. John upholds the norm of staying focused on the purpose of the visit while creating a friendly atmosphere for all guests, including the couple.","Dialogue:

John: Hello, thank you for coming to pay your respects. How have you been?
Guest 1: Hi John. We're doing okay. This is my boyfriend, Michael.
John: Nice to meet you, Michael. I'm sorry we're meeting under these circumstances. How are you both holding up?
Guest 1: We're managing. Thanks for asking. How about you? How are you holding up?
John: It's been a tough few days, but we're getting through it. I'm reminded of all the good times I had with my grandfather, though. He was quite the character.
Guest 1: Yeah, he sure was. I remember when he used to take us out fishing.
John: That's right! I remember that too. He loved taking us all out on his boat. You know, he used to say that fishing was good for the soul.
Michael: That's a great memory to have. I never knew him, but he sounds like a wonderful man.
John: He was, Michael. And let me tell you, he would have loved to meet you. You know, he was always interested in meeting new people and making new friends.
Guest 1: Yeah, he was quite the social butterfly. Always had a story to tell.
John: Absolutely. Well, it was great seeing you both. Thanks again for coming.
Guest 1: Of course, John. Take care of yourself. 

John has managed to engage in small talk with the guests while staying focused on the purpose of the visit. He listened attentively and shared memories of his grandfather, creating a friendly and comfortable atmosphere for all guests, including the new boyfriend. He adheres to the norm of expressing sympathy and offering support while also diverting the conversation to a more comfortable topic.","Norm Action: Avoid distracted conversation
Actor of the Norm: John

Dialogue:
John: Hello, thank you for coming to pay your respects. How have you been? Not Relevant | John greets the guests and initiates small talk.
Guest 1: Hi John. We're doing okay. This is my boyfriend, Michael. Not Relevant | Guest 1 introduces her boyfriend.
John: Nice to meet you, Michael. I'm sorry we're meeting under these circumstances. How are you both holding up? Adhered | John expresses sympathy and offers support.
Guest 1: We're managing. Thanks for asking. How about you? How are you holding up? Not Relevant | Guest 1 reciprocates the question.
John: It's been a tough few days, but we're getting through it. I'm reminded of all the good times I had with my grandfather, though. He was quite the character. Adhered | John shares a memory of his grandfather.
Guest 1: Yeah, he sure was. I remember when he used to take us out fishing. Adhered | Guest 1 shares a memory of John's grandfather.
John: That's right! I remember that too. He loved taking us all out on his boat. You know, he used to say that fishing was good for the soul. Adhered | John continues the conversation on a related topic.
Michael: That's a great memory to have. I never knew him, but he sounds like a wonderful man. Adhered | Michael shows interest in the conversation.
John: He was, Michael. And let me tell you, he would have loved to meet you. You know, he was always interested in meeting new people and making new friends. Adhered | John continues to share memories and engage in small talk while staying focused on the purpose of the visit.
Guest 1: Yeah, he was quite the social butterfly. Always had a story to tell. Adhered | Guest 1 shares another memory of John's grandfather.
John: Absolutely. Well, it was great seeing you both. Thanks again for coming. Adhered | John thanks the guests for coming and ends the conversation.
Guest 1: Of course, John. Take care of yourself. Not Relevant | Guest 1 says goodbye. 

Explanation: John adheres to the norm by engaging in small talk while staying focused on the purpose of the visit, which is to express sympathy and offer support. He listens attentively and shares memories of his grandfather, creating a friendly and comfortable atmosphere for all guests, including the new boyfriend. He diverts the conversation to a related topic and avoids displaying disinterest in the bereaved family's situation."
