Norm,Situation,cn_Norm,cn_Situation,Dialogue_ChatGLM,Labels_ChatGPT
"Norm: People with higher status will first emphasize the position of compliment receiver, and then explicitly convey the meaning of compliment with less formal language","Situation: In a business meeting, the senior executive, Ms. Zhang, is hosting a client, Mr. Johnson, from the United States. He is a potential investor in their company. During the meeting, there is a mixed dynamic since Mr. Johnson is a foreigner, and Ms. Zhang is the host. She wants to make Mr. Johnson feel comfortable, so she decides to give him a compliment. However, the norm is that when people with higher status give compliments, they must emphasize the position of the compliment receiver first before conveying the meaning of the compliment. Since Mr. Johnson is a guest, Ms. Zhang will need to express her position before giving a compliment, and she will use less formal language to convey her message.",规范：地位较高的人会先强调称赞接收者的位置，然后用不太正式的语言明确表达称赞的意思。,情境：在一次商务会议上，高级管理人员张女士正在接待一位来自美国的客户约翰逊先生。他是他们公司的潜在投资者。会议期间，约翰逊先生是外国人，张女士是主持人，气氛喜忧参半。她想让约翰逊先生感到舒服，所以她决定称赞他。但是，通常情况下，地位较高的人在称赞时，必须先强调受称赞者的立场，然后再传达称赞的意思。由于约翰逊先生是客人，张女士在称赞之前需要表达自己的立场，她会使用不太正式的语言来传达她的信息。,"对话
张女士： 非常感谢您今天来参加我们的会议，您是一位非常杰出的投资者
约翰逊先生： 谢谢您的称赞，我也很喜欢这次会议
张女士： 不用客气，我们非常期待您的投资建议
约翰逊先生： 我很期待，谢谢
张女士： 对了，您来自美国，我想问问您对美国的经济有什么看法？
约翰逊先生： 谢谢您的询问，我认为美国的未来前景非常广阔，尤其是它的科技创新
张女士： 非常赞同，我们公司一直在关注美国的科技创新，我相信您的投资会对我们公司产生巨大的影响
约翰逊先生： 非常感谢您的建议，我会考虑您的建议并与您进一步讨论
[结束]","Actor of the Norm:
张女士: higher status, compliment giver

(张女士： 非常感谢您今天来参加我们的会议，您是一位非常杰出的投资者): Adhered | 张女士 first emphasizes the position of compliment receiver and then explicitly conveys the meaning of compliment with less formal language
(约翰逊先生： 谢谢您的称赞，我也很喜欢这次会议): Adhered | 约翰逊先生 first acknowledges 张女士's position and then responds with less formal language
(张女士： 不用客气，我们非常期待您的投资建议): Adhered | 张女士 emphasizes the position of compliment receiver and then expresses expectation with less formal language
(约翰逊先生： 我很期待，谢谢): Adhered | 约翰逊先生 first acknowledges 张女士's position and then responds with less formal language
(张女士： 对了，您来自美国，我想问问您对美国的经济有什么看法？): Not Relevant | 张女士 is not giving a compliment here
(约翰逊先生： 谢谢您的询问，我认为美国的未来前景非常广阔，尤其是它的科技创新): Not Relevant | 约翰逊先生 is not receiving a compliment here
(张女士： 非常赞同，我们公司一直在关注美国的科技创新，我相信您的投资会对我们公司产生巨大的影响): Not Relevant | 张女士 is not giving a compliment here
(约翰逊先生： 非常感谢您的建议，我会考虑您的建议并与您进一步讨论): Not Relevant | 约翰逊先生 is not receiving a compliment here"
"Norm: People with higher status will first emphasize the position of compliment receiver, and then explicitly convey the meaning of compliment with less formal language","Situation: In a Chinese language class, a teacher named Zhang and a student named Li are discussing a Chinese poem. Li has been studying the Chinese language for five months, and Zhang is impressed with how quickly Li has learned the language. As a teacher, Zhang knows it is culturally appropriate to give compliments, but she must do it in a way that doesn't cause discomfort for the student. Zhang first acknowledges her own position as a teacher and then carefully conveys her compliment to Li using informal language. This exchange encourages Li to continue working hard and to feel valued as a student in Zhang's class.",规范：地位较高的人会先强调称赞接收者的位置，然后用不太正式的语言明确表达称赞的意思。,情境：在汉语课上，张老师和李同学正在讨论一首中国诗。李已经学习中文五个月了，张对李学习中文的速度印象深刻。作为一名教师，张知道称赞在文化上是合适的，但她必须以不会引起学生不适的方式来称赞。张先承认了自己的教师身份，然后用非正式的语言小心翼翼地向李转达了她的赞美之词。这种交流鼓励李继续努力学习，并感到作为张班上的学生受到重视。,"对话
张老师： 小李，你中文学得很好啊
李同学： 谢谢老师，我一直在努力
张老师： 哇，你进步得真快，已经学五个月了？
李同学： 是的，老师
张老师： 太好了，你是我们班上最优秀的学生之一
李同学： 谢谢老师，我会继续努力的
张老师： 对啊，作为你的老师，我很骄傲，希望你一直保持学习的热情
李同学： 谢谢老师，我会的
[结束]","Actor of the Norm:
张老师: higher status, compliment giver

(张老师： 小李，你中文学得很好啊): Adhered | 张老师 first emphasizes 小李's position as a student, and then conveys the compliment with less formal language ""学得很好啊""
(李同学： 谢谢老师，我一直在努力): Not Relevant | 李同学 is not emphasizing 张老师's position or conveying any compliment
(张老师： 哇，你进步得真快，已经学五个月了？): Adhered | 张老师 first emphasizes 小李's position as a student, and then conveys the compliment with less formal language ""进步得真快""
(李同学： 是的，老师): Not Relevant | 李同学 is not emphasizing 张老师's position or conveying any compliment
(张老师： 太好了，你是我们班上最优秀的学生之一): Adhered | 张老师 first emphasizes 小李's position as a student, and then conveys the compliment with less formal language ""最优秀的学生之一""
(李同学： 谢谢老师，我会继续努力的): Not Relevant | 李同学 is not emphasizing 张老师's position or conveying any compliment
(张老师： 对啊，作为你的老师，我很骄傲，希望你一直保持学习的热情): Adhered | 张老师 first emphasizes 小李's position as a student, and then conveys the compliment with less formal language ""很骄傲""
(李同学： 谢谢老师，我会的): Not Relevant | 李同学 is not emphasizing 张老师's position or conveying any compliment"
"Norm: People with higher status will first emphasize the position of compliment receiver, and then explicitly convey the meaning of compliment with less formal language","Situation: In a government office, Supervisor Li is praising Staff Member Wei for her excellent work on a recent project. As the two sit in the office discussing the project, Supervisor Li begins to compliment Staff Member Wei on her intelligent decision making and exceptional skills. However, instead of using formal language to indicate his praise, he speaks in a more casual and friendly tone. He emphasizes Staff Member Wei's position by describing her as a crucial part of the team and a valuable contributor to the project's success. He then goes on to describe in detail the ways in which her skills and dedication made the project a success, all while using a tone that indicates his high regard for her talents. Staff Member Wei is moved by the display of respect and appreciation from her supervisor, and is inspired to continue working hard and contributing to the team's success.",规范：地位较高的人会先强调称赞接收者的位置，然后用不太正式的语言明确表达称赞的意思。,情境：在政府办公室，李主管正在表扬魏职员最近在一个项目中的出色工作。当两人坐在办公室讨论项目时，李主管开始称赞魏职员明智的决策和卓越的技能。不过，他并没有用正式的语言来表达他的赞美，而是用一种更加随意和友好的语气说话。他强调了 Wei 职员的地位，称她是团队的重要组成部分，也是项目成功的重要贡献者。然后，他继续详细描述了她的技能和奉献精神如何使该项目取得成功，同时使用的语气表明他对她的才能高度评价。上司对她的尊重和赞赏让魏女士深受感动，并激励她继续努力工作，为团队的成功做出贡献。,"对话
李主管：魏女士，你最近的工作表现真的很出色，我很自豪能够让你成为我们团队的一部分。
魏职员：谢谢，李主管。我真的很感激你的表扬。
李主管：不过我想让你知道，你是团队中非常重要的一员，也是项目成功的重要贡献者。
魏职员：真的吗？我很高兴听到这么说。
李主管：而且，我很欣赏你的奉献精神，你总是能够在最短的时间内完成工作，并且总是以团队的利益为先。
魏职员：谢谢，李主管。我真的很荣幸能够在这个团队中工作。
李主管：我相信，如果你继续这样工作下去，你一定会成为我们团队中更加出色的成员。
魏职员：谢谢，李主管。我会继续努力工作的。
[结束]","Actor of the Norm:
李主管: higher status, compliment giver

(李主管：魏女士，你最近的工作表现真的很出色，我很自豪能够让你成为我们团队的一部分。): Adhered | 李主管 first emphasizes the position of compliment receiver by addressing 魏女士 by name and then explicitly conveys the meaning of compliment with less formal language ""工作表现真的很出色""
(魏职员：谢谢，李主管。我真的很感激你的表扬。): Not Relevant | 魏职员 is not compliment giver
(李主管：不过我想让你知道，你是团队中非常重要的一员，也是项目成功的重要贡献者。): Adhered | 李主管 first emphasizes the position of compliment receiver by addressing 魏女士 by name and then explicitly conveys the meaning of compliment with less formal language ""你是团队中非常重要的一员，也是项目成功的重要贡献者""
(魏职员：真的吗？我很高兴听到这么说。): Not Relevant | 魏职员 is not compliment giver
(李主管：而且，我很欣赏你的奉献精神，你总是能够在最短的时间内完成工作，并且总是以团队的利益为先。): Adhered | 李主管 first emphasizes the position of compliment receiver by addressing 魏女士 by name and then explicitly conveys the meaning of compliment with less formal language ""我很欣赏你的奉献精神，你总是能够在最短的时间内完成工作，并且总是以团队的利益为先""
(魏职员：谢谢，李主管。我真的很荣幸能够在这个团队中工作。): Not Relevant | 魏职员 is not compliment giver
(李主管：我相信，如果你继续这样工作下去，你一定会成为我们团队中更加出色的成员。): Adhered | 李主管 first emphasizes the position of compliment receiver by addressing 魏女士 by name and then explicitly conveys the meaning of compliment with less formal language ""你一定会成为我们团队中更加出色的成员""
(魏职员：谢谢，李主管。我会继续努力工作的。): Not Relevant | 魏职员 is not compliment giver"
"Norm: People with higher status will first emphasize the position of compliment receiver, and then explicitly convey the meaning of compliment with less formal language","Situation: At a wedding banquet in Beijing, it's customary for the bride and her relatives to receive compliments and congratulations from guests. The bride, Wang Mei, has just finished her wedding ceremony and is standing with her relatives at a table, toasting to guests. One of the guests is a well-respected businessman, Mr. Li, who approaches Wang Mei with his wife. Mr. Li pays respect to the bride and her family by complimenting their hospitality and their beautiful attire. He then addresses the bride directly, using more casual language, to express his wishes for a happy marriage. The bride and her relatives respond by thanking Mr. Li and his wife and offering them more food and drink.",规范：地位较高的人会先强调称赞接收者的位置，然后用不太正式的语言明确表达称赞的意思。,情境：在北京举行的婚宴上，新娘和她的亲戚通常会受到宾客的恭维和祝贺。新娘王梅刚刚结束婚礼，正和亲戚们站在一桌前向客人敬酒。其中一位客人是一位德高望重的商人李先生，他带着妻子来接近王梅。李先生对新娘和她的家人表示敬意，称赞他们的热情好客和漂亮的服饰。然后，他直接用更随意的语言向新娘讲话，表达他对美满婚姻的祝愿。新娘和她的亲戚向李先生和他的妻子表示感谢，并为他们提供更多的食物和饮料。,"对话
李先生： 你好，王梅女士，我是李先生，你的丈夫和父亲。
王梅： 谢谢，您好。
李先生： 我们一家人都在恭喜你们。你们的婚礼真是一门艺术，新娘子的服饰真是漂亮。
王梅： 谢谢夸奖。
李先生： 我不知道该说些啥，但我要祝愿你们的婚姻幸福美满。
王梅： 谢谢您，我们会珍惜这份感情。
李先生： 不客气，希望你们能一直幸福。
王梅： 谢谢，我们会的。
[结束]","Actor of the Norm:
李先生: higher status, compliment giver

(李先生： 你好，王梅女士，我是李先生，你的丈夫和父亲。): Not Relevant | Greeting
(王梅： 谢谢，您好。): Not Relevant | Greeting
(李先生： 我们一家人都在恭喜你们。你们的婚礼真是一门艺术，新娘子的服饰真是漂亮。): Adhered | 李先生 first emphasizes the position of compliment receiver by mentioning ""我们一家人都在恭喜你们"", then explicitly conveys the meaning of compliment with less formal language ""婚礼真是一门艺术"", ""新娘子的服饰真是漂亮""
(王梅： 谢谢夸奖。): Not Relevant |王梅 just accepts the compliment
(李先生： 我不知道该说些啥，但我要祝愿你们的婚姻幸福美满。): Adhered | 李先生 first emphasizes the position of compliment receiver by mentioning ""我不知道该说些啥"", then explicitly conveys the meaning of compliment with less formal language ""祝愿你们的婚姻幸福美满""
(王梅： 谢谢您，我们会珍惜这份感情。): Not Relevant |王梅 just accepts the compliment
(李先生： 不客气，希望你们能一直幸福。): Adhered | 李先生 first emphasizes the position of compliment receiver by mentioning ""不客气"", then explicitly conveys the meaning of compliment with less formal language ""希望你们能一直幸福""
(王梅： 谢谢，我们会的。): Not Relevant |王梅 just accepts the compliment"
"Norm: People with higher status will first emphasize the position of compliment receiver, and then explicitly convey the meaning of compliment with less formal language","Situation: In a Chinese cultural event, a famous artist, 陈老师, is performing in front of a large crowd of fans. After the performance, one of the fans named 王小姐, comes up to him and compliments his performance in a very formal and polite language. Chen laoshi, being a respected artist, takes on the role of compliment receiver first and then thanks her with a less formal language. He praises her for being a thoughtful and sincere fan who appreciates his work. The other fans who witnessed this exchange also follow this norm and express their compliments in a similar way.",规范：地位较高的人会先强调称赞接收者的位置，然后用不太正式的语言明确表达称赞的意思。,情境：在一场中国文化活动中，著名艺术家陈老师在一大群粉丝面前表演。演出结束后，一位名叫王小姐的歌迷走到他面前，用非常正式和礼貌的语言称赞他的表演。陈老师作为一位受人尊敬的艺术家，先扮演接受者的角色，然后用不太正式的语言向她表示感谢。他称赞她是一个体贴和真诚的粉丝，欣赏他的作品。其他见证了这次交流的粉丝，也都遵循着这个常态，用类似的方式表达着自己的赞美之情。,"对话
陈老师： 谢谢你的称赞，王小姐
王小姐： 谢谢您的鼓励，陈老师
陈老师： 我表演的很开心，谢谢大家的掌声
王小姐： 我很高兴能够欣赏到您的表演，您真是一位优秀的艺术家
陈老师： 谢谢您，我也非常感激您的支持
其他粉丝： 我们也要谢谢您，让我们有机会欣赏到这么优秀的表演
王小姐： 对，我们也是粉丝，非常喜欢您的音乐
陈老师： 非常感谢你们的支持和喜爱，我会继续努力，为大家带来更好的表演
[结束]","Actor of the Norm:
王小姐: compliment giver

(陈老师： 谢谢你的称赞，王小姐): Adhered | 陈老师 first emphasizes the position of compliment receiver by thanking 王小姐 for her compliment, and then explicitly conveys the meaning of compliment with less formal language ""称赞""
(王小姐： 谢谢您的鼓励，陈老师): Not Relevant | 王小姐 is not giving a compliment here
(陈老师： 我表演的很开心，谢谢大家的掌声): Not Relevant | 陈老师 is not receiving a compliment here
(王小姐： 我很高兴能够欣赏到您的表演，您真是一位优秀的艺术家): Adhered | 王小姐 first emphasizes the position of compliment receiver by expressing her happiness to be able to watch 陈老师's performance, and then explicitly conveys the meaning of compliment with less formal language ""优秀的艺术家""
(陈老师： 谢谢您，我也非常感激您的支持): Adhered | 陈老师 first emphasizes the position of compliment receiver by thanking 王小姐 for her support, and then explicitly conveys the meaning of compliment with less formal language ""支持""
(其他粉丝： 我们也要谢谢您，让我们有机会欣赏到这么优秀的表演): Not Relevant | other fans are not giving a compliment here
(王小姐： 对，我们也是粉丝，非常喜欢您的音乐): Not Relevant | 王小姐 is not giving a compliment here
(陈老师： 非常感谢你们的支持和喜爱，我会继续努力，为大家带来更好的表演): Not Relevant | 陈老师 is thanking the fans for their support and expressing his determination to bring better performances, but not receiving a compliment here."
"Norm: People with higher status will first emphasize the position of compliment receiver, and then explicitly convey the meaning of compliment with less formal language","Situation: In a packed sports arena, during the annual provincial gymnastics competition, Coach Li congratulated her team for winning the championship. With her team's victory having just been announced, Coach Li loudly proclaimed, ""我是世界上最棒的教练!"" (I am the best coach in the world!). The team members surrounded her, beaming with pride, as the audience applauded. Although it was customary for the team members to receive compliments after their victory, Coach Li's confident and assertive attitude demonstrated her higher status as an accomplished coach. Her team members listened attentively as she emphasized the importance of teamwork and dedication, using language more informal than usual to convey her praise.",规范：地位较高的人会先强调称赞接收者的位置，然后用不太正式的语言明确表达称赞的意思。,情境：在座无虚席的运动场上，在一年一度的全省体操比赛中，李教练祝贺她的队伍夺得冠军。球队的胜利刚刚揭晓，李教练大声宣布：“我是世界上最棒的教练！” （我是世界上最好的教练！）。当观众鼓掌时，队员们围绕着她，脸上洋溢着自豪的笑容。虽然队员们在获胜后受到夸奖是常有的事，但李教练自信果断的态度彰显了她作为一名成功教练的更高地位。当她强调团队合作和奉献精神的重要性时，她的团队成员专注地倾听，使用比平时更非正式的语言来表达她的赞美。,"对话
李教练： 谢谢大家的鼓掌！
队员们： 太好了！
李教练： 我很高兴大家能够这么团结，一起夺得冠军。
队员们： 真的吗？我们做得太好了！
李教练： 我希望大家以后都能像这次一样，团结一心，发挥最大的潜力。
队员们： 没错，我们一定会更加努力的！
李教练： 我保证，你们会成为更好的团队，更出色的体操运动员。
队员们： 太好了，李教练，我们一定会是您最好的教练！
李教练： 非常感谢，我也希望我能一直教你们，带领你们走向更好的未来！
[结束]","Actor of the Norm:
李教练: higher status, compliment giver

(李教练： 谢谢大家的鼓掌！): Not Relevant | 李教练 expresses gratitude for the applause, but does not give a compliment
(队员们： 太好了！): Not Relevant | the team members express their excitement, but do not give a compliment
(李教练： 我很高兴大家能够这么团结，一起夺得冠军。): Adhered | 李教练 emphasizes the team's achievement and then gives a compliment using less formal language ""夺得冠军""
(队员们： 真的吗？我们做得太好了！): Not Relevant | the team members express their excitement, but do not give a compliment
(李教练： 我希望大家以后都能像这次一样，团结一心，发挥最大的潜力。): Adhered | 李教练 emphasizes the team's behavior and then gives a compliment using less formal language ""发挥最大的潜力""
(队员们： 没错，我们一定会更加努力的！): Not Relevant | the team members express their determination, but do not give a compliment
(李教练： 我保证，你们会成为更好的团队，更出色的体操运动员。): Adhered | 李教练 emphasizes the team's potential and then gives a compliment using less formal language ""更出色的体操运动员""
(队员们： 太好了，李教练，我们一定会是您最好的教练！): Adhered | the team members emphasize the position of 李教练 as their coach and then give a compliment using less formal language ""最好的教练""
(李教练： 非常感谢，我也希望我能一直教你们，带领你们走向更好的未来！): Adhered | 李教练 emphasizes his role as their coach and then gives a compliment using less formal language ""带领你们走向更好的未来"""
"Norm: People with higher status will first emphasize the position of compliment receiver, and then explicitly convey the meaning of compliment with less formal language","Situation: A Chinese celebrity, Liu Yifei, is shopping in a luxury store in Shanghai. She is recognized by the store staff who quickly attend to her. The store staff greets Liu Yifei with a compliment on her exceptional acting skills, emphasizing her fame and status in the entertainment industry. Liu Yifei graciously accepts the compliment with a smile, thanking the store staff. In response, Liu Yifei also compliments the store for having a wide selection of luxurious goods and praises the staff for their attentive service. The conversation continues in a more relaxed and informal manner, with both parties exchanging compliments and expressing their admiration for each other.",规范：地位较高的人会先强调称赞接收者的位置，然后用不太正式的语言明确表达称赞的意思。,情境：中国名人刘亦菲正在上海的一家奢侈品店购物。迅速照顾她的店员认出了她。店员迎上刘亦菲，称赞她演技过人，强调她在娱乐圈的名气和地位。刘亦菲大方地笑着接受了夸奖，感谢店员。对此，刘亦菲也称赞店内的奢侈品种类繁多，并称赞店员服务周到。谈话以更加轻松和非正式的方式继续进行，双方互相称赞并表达对彼此的钦佩。,"对话
刘亦菲： 你好，很高兴认识你
店员： 您好，刘亦菲女士
刘亦菲： 谢谢你的夸奖，我只是做了该做的事情
店员： 您真的很厉害，我们很喜欢您的演技
刘亦菲： 谢谢，其实我也很喜欢这里的奢侈品
店员： 真的吗？这里的东西真的很高档
刘亦菲： 对啊，我也觉得很适合我
店员： 您真的很棒，我们很钦佩您
刘亦菲： 也是，谢谢
[结束]","Actor of the Norm:
店员: lower status, compliment giver

(刘亦菲： 你好，很高兴认识你): Not Relevant | not compliment
(店员： 您好，刘亦菲女士): Not Relevant | not compliment
(刘亦菲： 谢谢你的夸奖，我只是做了该做的事情): Adhered | 刘亦菲 emphasizes the position of compliment receiver and then conveys the meaning of compliment with less formal language
(店员： 您真的很厉害，我们很喜欢您的演技): Adhered | 店员 emphasizes the position of compliment receiver and then conveys the meaning of compliment with less formal language
(刘亦菲： 谢谢，其实我也很喜欢这里的奢侈品): Not Relevant | not compliment
(店员： 真的吗？这里的东西真的很高档): Not Relevant | not compliment
(刘亦菲： 对啊，我也觉得很适合我): Not Relevant | not compliment
(店员： 您真的很棒，我们很钦佩您): Adhered | 店员 emphasizes the position of compliment receiver and then conveys the meaning of compliment with less formal language
(刘亦菲： 也是，谢谢): Not Relevant | not compliment"
"Norm: People with higher status will first emphasize the position of compliment receiver, and then explicitly convey the meaning of compliment with less formal language","Situation: During a charity event in China, a wealthy businessman, Mr. Li, is making a donation to a non-profit organization for children. The organization representative, Ms. Chen, expresses her gratitude to Mr. Li for his generosity. According to the social norm, Ms. Chen should emphasize Mr. Li’s status as a donor, and then use less formal language to convey the meaning of the compliment. However, Mr. Li is humble and wants to be treated equally. He tells Ms. Chen that he is simply happy to contribute to the cause and that everyone can make a difference. Ms. Chen respects Mr. Li's wishes and proceeds to discuss their vision for the future of the organization.",规范：地位较高的人会先强调称赞接收者的位置，然后用不太正式的语言明确表达称赞的意思。,情境：在中国的一场慈善活动中，富商李先生正在向一家儿童非营利组织捐款。组织代表陈女士对李总的慷慨解囊表示感谢。按照社会规范，陈女士应该先强调李先生的捐赠者身份，然后再用不太正式的语言来传达恭维的意思。不过，李先生为人谦虚，希望得到平等对待。他告诉陈女士，他很乐意为这项事业做出贡献，每个人都可以有所作为。陈女士尊重李先生的意愿，并继续讨论他们对组织未来的愿景。,"对话
陈女士： 非常感谢李先生的慷慨捐赠，您的慷慨解囊是我们所能得到的最大鼓舞。
李先生： 不用客气，这是我的一份心意。
陈女士： 李先生，您真是一位伟大的企业家。
李先生： 谢谢，我只是做了该做的事情。每个人都可以为社会做出自己的贡献。
陈女士： 非常感谢您的分享，我们非常感激您的支持。
李先生： 不必客气，我很高兴能为这个组织做出贡献。我希望我们的合作能够取得成功。
陈女士： 非常期待我们的合作，我们一定会为组织的未来而努力。
李先生： 好的，期待我们的下一步合作。
[结束]","Actor of the Norm:
陈女士: lower status, compliment giver

(陈女士： 非常感谢李先生的慷慨捐赠，您的慷慨解囊是我们所能得到的最大鼓舞。): Adhered | 陈女士 emphasizes 李先生's position and uses formal language to express gratitude
(李先生： 不用客气，这是我的一份心意。): Not Relevant | 李先生 does not offer a compliment
(陈女士： 李先生，您真是一位伟大的企业家。): Adhered | 陈女士 uses less formal language to compliment 李先生 after emphasizing his position
(李先生： 谢谢，我只是做了该做的事情。每个人都可以为社会做出自己的贡献。): Not Relevant | 李先生 does not offer a compliment
(陈女士： 非常感谢您的分享，我们非常感激您的支持。): Not Relevant | 陈女士 expresses gratitude but does not offer a compliment
(李先生： 不必客气，我很高兴能为这个组织做出贡献。我希望我们的合作能够取得成功。): Not Relevant | 李先生 does not offer a compliment
(陈女士： 非常期待我们的合作，我们一定会为组织的未来而努力。): Not Relevant | 陈女士 expresses anticipation but does not offer a compliment
(李先生： 好的，期待我们的下一步合作。): Not Relevant | 李先生 does not offer a compliment"
"Norm: People with higher status will first emphasize the position of compliment receiver, and then explicitly convey the meaning of compliment with less formal language","Situation: A politician, 张先生, has just completed a press conference regarding his stance on the ongoing trade war between China and the United States. As the conference ends, a group of journalists approaches him for a brief interview. One of the journalists, Jake, expresses his admiration for Mr. Zhang's speech, but he also requests for further clarification on a particular issue. Mr. Zhang responds with gratitude to Jake's compliment and proceeds to answer his question in a clear and concise manner. He uses less formal language and engages in friendly banter with Jake to build rapport.",规范：地位较高的人会先强调称赞接收者的位置，然后用不太正式的语言明确表达称赞的意思。,情境：一位政治家张先生刚刚结束了一场新闻发布会，阐述了他对中美之间正在进行的贸易战的立场。会议结束时，一群记者走近他进行了简短采访。其中一名记者杰克对张先生的发言表示赞赏，但他也要求就一个特定问题进一步澄清。张先生对杰克的称赞表示感谢，并以简洁明了的方式回答了他的问题。他使用不太正式的语言，并与杰克友好地开玩笑以建立融洽的关系。,"对话
张先生： 谢谢你的赞赏，杰克。
杰克： 您太厉害了，张先生。
张先生： 哪里哪里，我只是做了我应该做的事情。
杰克： 您真的是政治家啊，我非常钦佩您。
张先生： 谢谢，我很高兴能帮到你。
杰克： 对啊，您真的是一位非常杰出的政治家。
张先生： 哈哈，其实我只是想和您聊聊天。
杰克： 当然可以，我很愿意和您交流。
张先生： 那我们今天这么近，是不是该聊聊贸易战的问题？
杰克： 当然可以，我很乐意回答您的问题。
张先生： 好的，请讲。
杰克： 张先生，我觉得贸易战可能会对中美双方都带来一些影响。
张先生： 确实如此，但是我认为我们应该通过合作来解决任何问题。
杰克： 没错，中美之间应该加强沟通和合作，共同应对挑战。
张先生： 对，杰克，你说的很对。谢谢。
[结束]","Actor of the Norm:
张先生: higher status, compliment receiver

(张先生： 谢谢你的赞赏，杰克。): Adhered | 张先生 first emphasizes 杰克's position as a compliment giver and then expresses gratitude for the compliment
(杰克： 您太厉害了，张先生。): Adhered | 杰克 uses less formal language to explicitly compliment 张先生
(张先生： 哪里哪里，我只是做了我应该做的事情。): Not Relevant | 张先生 does not offer a compliment here
(杰克： 您真的是政治家啊，我非常钦佩您。): Adhered | 杰克 uses less formal language to explicitly compliment 张先生 after emphasizing his position as a compliment receiver
(张先生： 谢谢，我很高兴能帮到你。): Not Relevant | 张先生 does not offer a compliment here
(杰克： 对啊，您真的是一位非常杰出的政治家。): Adhered | 杰克 uses less formal language to explicitly compliment 张先生 after emphasizing his position as a compliment receiver
(张先生： 哈哈，其实我只是想和您聊聊天。): Not Relevant | 张先生 does not offer a compliment here
(杰克： 当然可以，我很愿意和您交流。): Not Relevant | 杰克 does not offer a compliment here
(张先生： 那我们今天这么近，是不是该聊聊贸易战的问题？): Not Relevant | 张先生 does not offer a compliment here
(杰克： 当然可以，我很乐意回答您的问题。): Not Relevant | 杰克 does not offer a compliment here
(张先生： 好的，请讲。): Not Relevant | 张先生 does not offer a compliment here
(杰克： 张先生，我觉得贸易战可能会对中美双方都带来一些影响。): Not Relevant | 杰克 does not offer a compliment here
(张先生： 确实如此，但是我认为我们应该通过合作来解决任何问题。): Not Relevant | 张先生 does not offer a compliment here
(杰克： 没错，中美之间应该加强沟通和合作，共同应对挑战。): Not Relevant | 杰克 does not offer a compliment here
(张先生： 对，杰克，你说的很对。谢谢。): Adhered | 张先生 uses less formal language to explicitly compliment 杰克 after emphasizing his position as a compliment receiver"
"Norm: People with higher status will first emphasize the position of compliment receiver, and then explicitly convey the meaning of compliment with less formal language","Situation: In a Chinese tech company, a programmer named Ling has successfully completed a long-awaited project for her manager, Mr. Zhang. Mr. Zhang decides to give her some compliments to show his appreciation for the hard work of his subordinate. Ling, a mother of an infant, is respected highly by her colleagues and is already looked upon as a role model. Following the norm, Mr. Zhang will first use his position of authority to compliment Ling, and then he will convey his genuine admiration for her with informal language.",规范：地位较高的人会先强调称赞接收者的位置，然后用不太正式的语言明确表达称赞的意思。,情境：在一家中国科技公司，一位名叫凌的程序员成功地完成了她的经理张先生期待已久的项目。张总决定给她一些表扬，以表示对下属辛勤工作的赞赏。身为一名婴儿母亲的玲，深受同事尊重，已被视为榜样。按照惯例，张老师会先利用职权称赞玲，然后再用通俗的语言表达对玲的由衷敬佩。,"对话
凌： 谢谢您的表扬，张老师
张： 当然，玲，我很欣赏你的工作态度
凌： 谢谢，我觉得您的话很真诚
张： 对啊，玲，你是我们公司的榜样，你真的很努力
凌： 非常感谢您的夸奖，我会继续努力的
[结束]","Actor of the Norm:
张: higher status, compliment giver

(凌： 谢谢您的表扬，张老师): Adhered | 凌 emphasizes the position of compliment receiver by addressing 张 as ""张老师""
(张： 当然，玲，我很欣赏你的工作态度): Not Relevant | 张 does not use less formal language to convey the compliment
(凌： 谢谢，我觉得您的话很真诚): Not Relevant | not emphasizing the position of compliment receiver
(张： 对啊，玲，你是我们公司的榜样，你真的很努力): Adhered | 张 emphasizes the position of compliment receiver by addressing 凌 as ""玲"" and uses less formal language to convey the compliment
(凌： 非常感谢您的夸奖，我会继续努力的): Not Relevant | not emphasizing the position of compliment receiver
"
