Norm,Situation,cn_Norm,cn_Situation,Dialogue_ChatGLM,Labels_ChatGPT
Norm: offering condolences is an important social norm when someone has experienced the loss of a loved one. It demonstrates respect and support for the grieving family.,"Situation: At a funeral in China, relatives and friends of the deceased gather to express their condolences to the grieving family. Mr. Zhang, who is a close friend of the deceased, bows three times in front of the altar and offers incense to show his respect. As tradition dictates, he also brings a wreath of white flowers to symbolize his condolences. However, he also notices that the deceased's family are not eating or drinking, a sign of mourning, and he refrains from offering them food or drink out of respect for the grieving family. Mr. Zhang sits quietly with the family, listening to their stories of the deceased and sharing in their grief.",规范：当有人经历了失去亲人的痛苦时，送上慰问是一个重要的社会规范。这表明了对悲痛家庭的尊重和支持。,情境：在中国的一场葬礼上，死者的亲友聚集在一起向悲痛的家人表示哀悼。死者的挚友张先生在坛前三拜并上香以示敬意。按照传统，他还带了一个白花花圈来表示哀悼。但是，他也注意到死者的家人没有吃喝，这是一种哀悼的迹象，出于对死者家属的尊重，他没有给他们提供食物或饮料。张先生静静地坐在家人身边，听他们讲述死者的故事，分担他们的悲痛。,"对话
张先生： 谢谢大家来悼念我们的朋友
亲友们： 我们会永远怀念他的
张先生： 他走了，我很为他难过
亲友们： 节哀顺变，我们会永远怀念他的
张先生： 他对我们的人生产生了很大的影响
亲友们： 是的，我们会永远怀念他的
张先生： 但他留下了他的父母和亲人，我们需要为他们表示哀悼
亲友们： 是的，我们需要尊重他的家人，为他们祈祷
张先生： 我会为他的父母和亲人祈祷的
亲友们： 好的，我们会为您祈祷的
[结束]","Actor of the Norm:
亲友们: offering condolences to the grieving family

(张先生： 谢谢大家来悼念我们的朋友): Not Relevant | Zhang thanks the attendees for coming to the funeral
(亲友们： 我们会永远怀念他的): Adhered | Friends and family express their condolences by saying they will always remember the deceased
(张先生： 他走了，我很为他难过): Not Relevant | Zhang expresses his own feelings of sadness
(亲友们： 节哀顺变，我们会永远怀念他的): Adhered | Friends and family offer condolences by saying ""节哀顺变"" which means ""take care of yourself and be strong"" and express that they will always remember the deceased
(张先生： 他对我们的人生产生了很大的影响): Not Relevant | Zhang talks about the impact the deceased had on his life
(亲友们： 是的，我们会永远怀念他的): Adhered | Friends and family express their condolences by saying they will always remember the deceased
(张先生： 但他留下了他的父母和亲人，我们需要为他们表示哀悼): Adhered | Zhang reminds everyone that the deceased has left behind family members who are grieving and need support
(亲友们： 是的，我们需要尊重他的家人，为他们祈祷): Adhered | Friends and family agree that it is important to respect the deceased's family and offer prayers for them
(张先生： 我会为他的父母和亲人祈祷的): Adhered | Zhang offers to pray for the deceased's family members
(亲友们： 好的，我们会为您祈祷的): Adhered | Friends and family offer to pray for Zhang and the deceased's family members"
Norm: offering condolences is an important social norm when someone has experienced the loss of a loved one. It demonstrates respect and support for the grieving family.,"Situation: A co-worker, Chen, in a Chinese company has experienced the loss of his father. The employees are expected to gather and offer their condolences to him, to show support for their colleague in his time of grief. While offering their condolences, the colleagues also show respect for the departed soul and the family. In Chinese culture, it is customary to express condolences through offerings such as fruits, tea, and snacks as a token of support. As the colleagues gather, they also share stories about their experiences with Chen and his father, to create a comforting environment, and show how much they empathize with and support him.",规范：当有人经历了失去亲人的痛苦时，送上慰问是一个重要的社会规范。这表明了对悲痛家庭的尊重和支持。,情境：一家中国公司的同事陈先生失去了父亲。预计员工们将聚集在一起并向他表示哀悼，以表示在他的悲痛时刻对他们同事的支持。同事们在表示哀悼的同时，也表达了对逝去的灵魂和家人的尊重。在中国文化中，人们习惯通过水果、茶和点心等供品来表示慰问，以示支持。同事们聚在一起时，还分享了他们与陈和他父亲的经历，营造了一个令人欣慰的环境，并表达了他们对他的同情和支持。,"对话
陈先生：谢谢大家，我很高兴能够在这里与大家分享我的经历。
同事们：我们也很高兴能来到这里，为了表示我们对您的同情和支持，我们准备了一些水果和茶供品。
陈先生：这是最好的慰问品，表达了我们的哀悼和对您的同情。
同事们：我们理解您失去父亲的痛苦，我们也与您一样感到悲痛。但是，我们也希望您能够坚强地面对生活，并且我们相信您会度过这个难关。
陈先生：谢谢，我会的。谢谢大家的支持和慰问。
[结束]","Actor of the Norm:
同事们: colleagues, condolence givers

(陈先生：谢谢大家，我很高兴能够在这里与大家分享我的经历。): Not Relevant | not related to offering condolences
(同事们：我们也很高兴能来到这里，为了表示我们对您的同情和支持，我们准备了一些水果和茶供品。): Adhered | colleagues offer condolences by bringing food and tea as a sign of respect and support
(陈先生：这是最好的慰问品，表达了我们的哀悼和对您的同情。): Adhered | 陈先生 acknowledges the condolences and expresses gratitude
(同事们：我们理解您失去父亲的痛苦，我们也与您一样感到悲痛。但是，我们也希望您能够坚强地面对生活，并且我们相信您会度过这个难关。): Adhered | colleagues offer condolences by expressing empathy and support for 陈先生's loss and encourage him to stay strong
(陈先生：谢谢，我会的。谢谢大家的支持和慰问。): Adhered | 陈先生 expresses gratitude for the condolences and support offered by his colleagues."
Norm: offering condolences is an important social norm when someone has experienced the loss of a loved one. It demonstrates respect and support for the grieving family.,"Situation: At a Buddhist temple in China, a member of the congregation named Mr. Zhang has lost his father. The members of the temple gather together to offer condolences and provide support for him and his family. According to Chinese customs, offerings of fruit and incense are made to honor the deceased and show respect. The members also pray for the soul of the departed and wish for peace and comfort for the family. The temple's abbot leads the gathering and recites Buddhist scripture to console the grieving family. After the gathering, Mr. Zhang’s family members express their gratitude for the support and encouragement they received from the congregation.",规范：当有人经历了失去亲人的痛苦时，送上慰问是一个重要的社会规范。这表明了对悲痛家庭的尊重和支持。,情境：在中国的一座佛教寺庙里，一位名叫张先生的会众失去了父亲。寺庙的成员聚集在一起表示哀悼，并为他和他的家人提供支持。按照中国的习俗，水果和香的供品是对死者的敬意和尊重。成员们也为死者的灵魂祈祷，并希望家人安宁和舒适。寺院方丈带领大家诵经，慰问悲痛的家人。聚会结束后，张先生的家人对会众的支持和鼓励表示感谢。,"对话
张先生： 谢谢大家，我真的很感激你们的支持和鼓励。
寺众： 我们会永远支持您和您的家人。
方丈： 张先生，我们会为您和您的家人诵祈福文，希望您和您的家人在天堂里平安。
张先生： 谢谢，你们都很关心我，我真的很感动。
家人： 我们会永远陪伴您，并为您祈祷。
寺众： 我们会为父亲烧香、供水果，表达对死者的敬意和尊重。
方丈： 我们也祝您和家人新年快乐，愿你们一切顺利。
[结束]","Actor of the Norm:
寺众, 方丈: offering condolences to 张先生 and his family

(张先生： 谢谢大家，我真的很感激你们的支持和鼓励。): Not Relevant | 张先生 expresses gratitude for the support and encouragement
(寺众： 我们会永远支持您和您的家人。): Adhered | 寺众 offers support to 张先生 and his family
(方丈： 张先生，我们会为您和您的家人诵祈福文，希望您和您的家人在天堂里平安。): Adhered | 方丈 offers condolences to 张先生 and his family by praying for them
(张先生： 谢谢，你们都很关心我，我真的很感动。): Not Relevant | 张先生 expresses gratitude for the concern and support
(家人： 我们会永远陪伴您，并为您祈祷。): Adhered | 张先生's family offers support and prayers
(寺众： 我们会为父亲烧香、供水果，表达对死者的敬意和尊重。): Adhered | 寺众 expresses condolences by offering traditional rituals to honor the deceased
(方丈： 我们也祝您和家人新年快乐，愿你们一切顺利。): Not Relevant | 方丈 offers well wishes for the new year, not related to condolences."
Norm: offering condolences is an important social norm when someone has experienced the loss of a loved one. It demonstrates respect and support for the grieving family.,"Situation: Mr. and Mrs. Wang, a couple living in a tight-knit apartment community, just lost their only son in a car accident. As per the social norm in China, their neighbors have started visiting them at the community center to offer their condolences. They brought along a lot of food and even some small gifts for the couple to show their sympathy and support during this difficult time. Everyone takes turns comforting the couple, telling them that their son is in a better place now and sharing stories about him. The neighbors also help with the logistics of the funeral, and offer to bring other family members to the community center to pay their respects.",规范：当有人经历了失去亲人的痛苦时，送上慰问是一个重要的社会规范。这表明了对悲痛家庭的尊重和支持。,情境：王先生和王太太，一对生活在紧密公寓社区的夫妇，刚刚在一场车祸中失去了他们唯一的儿子。按照中国的社会规范，他们的邻居已经开始到社区中心看望他们，表示慰问。他们为这对夫妇带来了很多食物和一些小礼物，以表达他们在这个困难时期的同情和支持。每个人轮流安慰这对夫妇，告诉他们他们的儿子现在过得更好，并分享关于他的故事。邻居们还帮助处理葬礼的后勤工作，并主动提出带其他家庭成员到社区中心吊唁。,"对话
王先生： 谢谢大家来慰问我们，真的很感激
王太太： 对，你们太关心我们了，我们太谢谢大家了
邻居 1: 你们这对幸福的夫妇，真的很棒，我们也很同情你们
邻居 2: 你们失去的儿子是我们社区的痛，但是我们也希望你们能够坚强地度过这个难关
邻居 3: 我们会帮忙照顾你们，让你们的儿子看到你们过得更好
王太太： 谢谢大家，我们会努力生活的
王先生： 我们会怀念他的儿子，但是他知道你们在这里，他会感到更安慰
[结束]","Actor of the Norm:
邻居 1, 邻居 2, 邻居 3: offer condolences to the grieving family

(王先生： 谢谢大家来慰问我们，真的很感激): Adhered | 王先生 expresses gratitude for the condolences offered by the neighbors
(王太太： 对，你们太关心我们了，我们太谢谢大家了): Adhered | 王太太 expresses gratitude for the condolences offered by the neighbors
(邻居 1: 你们这对幸福的夫妇，真的很棒，我们也很同情你们): Adhered | 邻居 1 offers condolences and expresses sympathy for the loss of the couple's son
(邻居 2: 你们失去的儿子是我们社区的痛，但是我们也希望你们能够坚强地度过这个难关): Adhered | 邻居 2 offers condolences and expresses sympathy for the loss of the couple's son
(邻居 3: 我们会帮忙照顾你们，让你们的儿子看到你们过得更好): Adhered | 邻居 3 offers condolences and expresses willingness to help the couple
(王太太： 谢谢大家，我们会努力生活的): Not Relevant |王太太 expresses gratitude but does not offer condolences
(王先生： 我们会怀念他的儿子，但是他知道你们在这里，他会感到更安慰): Not Relevant | 王先生 expresses his feelings but does not offer condolences."
Norm: offering condolences is an important social norm when someone has experienced the loss of a loved one. It demonstrates respect and support for the grieving family.,"Situation: In a hospital in China, doctors and nurses are offering condolences to the family of a patient who passed away due to COVID-19. The patient, Mr. Lee, was a 65-year-old retired factory worker who lived with his wife and daughter. Due to his infection and hospitalization, his family had to go through immense stress and anxiety for weeks. The medical staff, who had been taking care of him during his hospitalization, expressed their sincere condolences to the family, sharing how much they appreciated Mr. Lee's patience and cooperation during the difficult times. The family felt comforted by the heartfelt gestures of the medical staff, knowing that their loved one was in good hands during his final days.",规范：当有人经历了失去亲人的痛苦时，送上慰问是一个重要的社会规范。这表明了对悲痛家庭的尊重和支持。,情境：在中国的一家医院，医生和护士正在向因 COVID-19 去世的患者家属表示哀悼。患者李先生是一名 65 岁的退休工厂工人，与妻子和女儿住在一起。由于他的感染和住院治疗，他的家人不得不承受数周的巨大压力和焦虑。在他住院期间一直在照顾他的医护人员向他的家人表示了诚挚的慰问，并分享了他们对李先生在困难时期的耐心配合的感激之情。家人对医护人员的衷心举动感到欣慰，因为他们知道他们所爱的人在最后的日子里得到了很好的照顾。,"对话
医护人员： 李先生的家人，我们为李先生的去世感到悲痛。在这个艰难的时刻，我想向您表达我们的慰问和支持。
李先生的妻子： 谢谢您，我们会永远怀念您的。
李先生的女儿： 谢谢您的照顾，我们会永远感激。
医护人员： 李先生的家人，我们知道您和您的家人在这段时间里经历了很多压力和困难。但是，您和您的家人的信任和配合是我们最大的支持。我们感激您和您的家人在这段时间里对李先生的照顾和支持。
李先生的妻子： 谢谢您，我们会尽力面对这一切。
李先生的女儿： 谢谢您，我们会坚强面对。
医护人员： 李先生的家人，我们相信您和您的家人会在天堂里得到更好的照顾和关爱。我们在这里向您和您的家人致以最深切的慰问和支持。
[结束]","Actor of the Norm:
医护人员: offering condolences

(医护人员： 李先生的家人，我们为李先生的去世感到悲痛。在这个艰难的时刻，我想向您表达我们的慰问和支持。): Adhered | The medical staff expresses condolences and support to the family of the deceased.
(李先生的妻子： 谢谢您，我们会永远怀念您的。): Adhered | 李先生的妻子 expresses gratitude for the condolences and support offered by the medical staff.
(李先生的女儿： 谢谢您的照顾，我们会永远感激。): Adhered | 李先生的女儿 expresses gratitude for the condolences and support offered by the medical staff.
(医护人员： 李先生的家人，我们知道您和您的家人在这段时间里经历了很多压力和困难。但是，您和您的家人的信任和配合是我们最大的支持。我们感激您和您的家人在这段时间里对李先生的照顾和支持。): Not Relevant | The medical staff expresses gratitude for the family's support and cooperation, but does not offer condolences.
(李先生的妻子： 谢谢您，我们会尽力面对这一切。): Not Relevant | 李先生的妻子 expresses gratitude but does not offer condolences.
(李先生的女儿： 谢谢您，我们会坚强面对。): Not Relevant | 李先生的女儿 expresses gratitude but does not offer condolences.
(医护人员： 李先生的家人，我们相信您和您的家人会在天堂里得到更好的照顾和关爱。我们在这里向您和您的家人致以最深切的慰问和支持。): Adhered | The medical staff expresses condolences and support to the family of the deceased."
Norm: offering condolences is an important social norm when someone has experienced the loss of a loved one. It demonstrates respect and support for the grieving family.,"Situation: At a Chinese wedding, one of the guests, Mr. Li, has recently lost his father. Despite his grief, he wants to attend his cousin's wedding to show support and celebrate the occasion. However, many of the other guests are aware of Mr. Li's loss and are hesitant about how to approach him. When the groom introduces Mr. Li to the other guests, they all offer their condolences for his loss and express their sympathy. Mr. Li is grateful for their understanding and feels comforted by their kindness. As the night goes on, the guests make sure to include Mr. Li in the festivities and show him support throughout the wedding.",规范：当有人经历了失去亲人的痛苦时，送上慰问是一个重要的社会规范。这表明了对悲痛家庭的尊重和支持。,情境：在一场中式婚礼上，其中一位客人李先生最近失去了他的父亲。尽管悲伤，他还是想参加他堂兄的婚礼，以表示支持并庆祝这一时刻。然而，许多其他客人都知道李先生的离去，并犹豫如何接近他。新郎把李先生介绍给其他宾客时，大家纷纷表示哀悼和慰问。李先生对他们的理解表示感谢，对他们的好意感到欣慰。随着夜幕降临，宾客们一定要让李先生参加庆祝活动，并在整个婚礼期间向他表示支持。,"对话
李先生： 谢谢大家，我很高兴能来到这里。
宾客： 恭喜恭喜，我们为你祝福。
李先生： 谢谢大家的慰问和关心，我很开心听到大家的祝福。
宾客： 节哀顺变，我们都很理解你的处境。
李先生： 谢谢你们，我会一直珍惜这份情谊。
宾客： 节哀，我们祝你父亲在天堂安息。
李先生： 谢谢，我会珍惜这次婚礼，感谢大家的支持。
[结束]","Actor of the Norm:
宾客: offering condolences

(李先生： 谢谢大家，我很高兴能来到这里。): Not Relevant | 李先生 does not express any loss or grief
(宾客： 恭喜恭喜，我们为你祝福。): Not Relevant | not related to the norm
(李先生： 谢谢大家的慰问和关心，我很开心听到大家的祝福。): Adhered | 李先生 acknowledges the condolences and support from the guests
(宾客： 节哀顺变，我们都很理解你的处境。): Adhered | 宾客 offers condolences and understanding to 李先生
(李先生： 谢谢你们，我会一直珍惜这份情谊。): Not Relevant | 李先生 expresses gratitude but does not offer condolences
(宾客： 节哀，我们祝你父亲在天堂安息。): Adhered | 宾客 offers condolences and wishes 李先生's father rest in peace
(李先生： 谢谢，我会珍惜这次婚礼，感谢大家的支持。): Not Relevant | 李先生 expresses gratitude but does not offer condolences"
Norm: offering condolences is an important social norm when someone has experienced the loss of a loved one. It demonstrates respect and support for the grieving family.,"Situation: A Chinese student, Li Ming, has just received news that his grandfather passed away. The school’s administration and teachers decided to call for a meeting to offer condolences to Li Ming and his family. The students were also encouraged to express their condolences to Li Ming and show him support during this difficult time. Many students brought flowers and gifts to express their condolences to Li Ming and his family. The teachers also provided resources to Li Ming to help him cope with his loss and provided him with emotional support throughout the entire grieving process. This display of support from the school community showcases the importance of offering condolences in Chinese society to show respect and support for those who have lost a loved one.",规范：当有人经历了失去亲人的痛苦时，送上慰问是一个重要的社会规范。这表明了对悲痛家庭的尊重和支持。,情境：中国留学生李明刚刚接到爷爷去世的消息。学校领导和老师们决定召开会议，对李明及其家人进行慰问。学生们也被鼓励向李明表示哀悼，并在这个困难时期向他表示支持。很多同学都带来了鲜花和礼物，对李明和他的家人表示慰问。老师们还为李明提供资源，帮助他应对损失，并在整个悲伤过程中为他提供情感支持。学校社区的这种支持展示了在中国社会表达对失去亲人的尊重和支持的哀悼的重要性。,"对话
李明： 谢谢大家
学校领导： 李明，我们非常为你感到难过
老师： 我们在这里为你的家人祈祷
同学们： 李明，节哀顺变
李明： 哎，爷爷走了，真是一件让人难过的事情
同学们： 我们都很关心您，我们会一直陪伴在你身边
李明： 谢谢，谢谢你们
[结束]","Actor of the Norm:
学校领导, 老师, 同学们: offer condolences to 李明

(李明： 谢谢大家): Not Relevant | 李明 is expressing gratitude
(学校领导： 李明，我们非常为你感到难过): Adhered | 学校领导 expresses condolences to 李明
(老师： 我们在这里为你的家人祈祷): Adhered | 老师 expresses condolences to 李明
(同学们： 李明，节哀顺变): Adhered | 同学们 express condolences to 李明
(李明： 哎，爷爷走了，真是一件让人难过的事情): Adhered | 李明 is expressing the loss of his grandfather
(同学们： 我们都很关心您，我们会一直陪伴在你身边): Adhered | 同学们 express support for 李明
(李明： 谢谢，谢谢你们): Not Relevant | 李明 is expressing gratitude"
Norm: offering condolences is an important social norm when someone has experienced the loss of a loved one. It demonstrates respect and support for the grieving family.,"Situation: A group of Chinese businesspeople are attending a meeting with a business partner. However, they discover that the partner, Mr. Li, has recently lost his mother. They immediately offer their condolences to Mr. Li and express their sympathy for his loss. The group also pays a visit to the mourning hall, bringing flowers and gifts to comfort Mr. Li and his family. They understand that it is important to show respect and support for those who are grieving. This gesture strengthens their business relationship and portrays their values of empathy and compassion in Chinese society.",规范：当有人经历了失去亲人的痛苦时，送上慰问是一个重要的社会规范。这表明了对悲痛家庭的尊重和支持。,情境：一群中国商人正在参加与商业伙伴的会议。然而，他们发现合伙人李先生最近失去了母亲。他们立即向李先生表示哀悼，对他的逝世表示同情。一行人还参观了灵堂，带来了鲜花和礼物，慰问李先生和他的家人。他们明白，对悲伤的人表示尊重和支持很重要。这一姿态加强了他们的业务关系，并描绘了他们在中国社会中的同理心和同情心的价值观。,"对话
李先生： 谢谢大家来参加我母亲的葬礼。
商人们： 非常抱歉听到这个消息。我们对此深感悲痛。
李先生： 是的，谢谢大家的支持和慰问。
商人们： 我们非常感激。我们将永远记住您的贡献。
李先生： 非常感谢。我希望家人和朋友们都能度过难关。
商人们： 我们会尽力支持您的家人。希望您能够重新振作起来。
李先生： 好的，谢谢。[结束]","Actor of the Norm:
商人们: expressing condolences to 李先生

(李先生： 谢谢大家来参加我母亲的葬礼。): Not Relevant | 李先生 is not expressing grief or loss
(商人们： 非常抱歉听到这个消息。我们对此深感悲痛。): Adhered | 商人们 express condolences to 李先生 by apologizing and expressing sadness
(李先生： 是的，谢谢大家的支持和慰问。): Adhered | 李先生 acknowledges 商人们's condolences and thanks them for their support
(商人们： 我们非常感激。我们将永远记住您的贡献。): Not Relevant | 商人们 express gratitude for 李先生's contributions, not condolences
(李先生： 非常感谢。我希望家人和朋友们都能度过难关。): Not Relevant | 李先生 expresses gratitude and well wishes for his family and friends, not expressing grief or loss
(商人们： 我们会尽力支持您的家人。希望您能够重新振作起来。): Adhered | 商人们 offer support to 李先生's family and express hope that he can recover from the loss
(李先生： 好的，谢谢。): Not Relevant | 李先生 expresses gratitude, but not grief or loss"
Norm: offering condolences is an important social norm when someone has experienced the loss of a loved one. It demonstrates respect and support for the grieving family.,"Situation: It's a Chinese funeral ceremony, and neighbors, friends, and relatives gather around to mourn the loss of an elderly woman who was known for her warm personality and kindness in the community. During the ceremony, the family's close friends offer their condolences by giving white envelopes as a symbol of support and respect. They also offer kind words and praise of the deceased's life, acknowledging the impact the woman had on their lives. The attendees then participate in customary rituals such as setting off firecrackers and offering sacrifice to honor the deceased's life. The family receives the condolences graciously, appreciating the support shown during this difficult time.",规范：当有人经历了失去亲人的痛苦时，送上慰问是一个重要的社会规范。这表明了对悲痛家庭的尊重和支持。,情境：这是一个中式葬礼，邻居、朋友和亲戚聚集在一起哀悼一位在社区中以热情的个性和善良着称的老妇人的逝世。在仪式上，家人的亲密朋友通过赠送白色信封表示支持和尊重，表示哀悼。他们还对死者的生活说了友好的话和赞美，承认这位妇女对他们生活的影响。与会者随后参加习俗仪式，如放鞭炮和祭祀，以纪念死者的生命。家属欣然接受慰问，感谢在这个困难时期给予的支持。,"对话
家人：谢谢大家来参加葬礼，我们非常感激你们的支持和理解。
亲密朋友：是啊，我们也是在这里哀悼失去了一位非常友好和热情的老人。
家人：她留下了很多美好的回忆，对我们的社区和生活产生了很大的影响。
亲密朋友：对啊，我们会一直怀念她的，并为她祈祷。
家人：谢谢，我们会好好照顾自己和下一代，让她的遗产得以延续。
亲密朋友：是啊，她一定会在天堂里安息的。
家人：谢谢大家，让我们再次为她祈祷。
[结束]","Actor of the Norm:
亲密朋友: offers condolences

(家人：谢谢大家来参加葬礼，我们非常感激你们的支持和理解。): Not Relevant | family member expresses gratitude for attendees
(亲密朋友：是啊，我们也是在这里哀悼失去了一位非常友好和热情的老人。): Adhered | 亲密朋友 expresses condolences for the loss of the loved one
(家人：她留下了很多美好的回忆，对我们的社区和生活产生了很大的影响。): Not Relevant | family member talks about the deceased's impact on the community
(亲密朋友：对啊，我们会一直怀念她的，并为她祈祷。): Adhered | 亲密朋友 expresses condolences and offers to pray for the deceased
(家人：谢谢，我们会好好照顾自己和下一代，让她的遗产得以延续。): Not Relevant | family member expresses gratitude and talks about taking care of themselves and the next generation
(亲密朋友：是啊，她一定会在天堂里安息的。): Adhered | 亲密朋友 expresses condolences and offers a prayer for the deceased
(家人：谢谢大家，让我们再次为她祈祷。): Adhered | family member expresses gratitude and invites attendees to pray for the deceased again."
Norm: offering condolences is an important social norm when someone has experienced the loss of a loved one. It demonstrates respect and support for the grieving family.,"Situation: On WeChat, a messaging app widely used in China, a user named Jian expresses his condolences in a group chat to his colleague, Mei, for the loss of her grandfather. In the Chinese culture, offering condolences is an important social norm to show respect and support to the grieving family. Although Jian and Mei have never met in person, they have developed a close working relationship over the past few months. Jian's message triggers a chain reaction of condolences from the other group members, as they also express their sympathies and share positive memories of Mei's grandfather. This gesture not only provides comfort for Mei but also strengthens the bond between colleagues in the group chat.",规范：当有人经历了失去亲人的痛苦时，送上慰问是一个重要的社会规范。这表明了对悲痛家庭的尊重和支持。,情境：在中国广泛使用的消息应用程序微信上，一位名叫简的用户在群聊中向他的同事梅表达了对她祖父去世的哀悼。在中国文化中，吊唁是一种重要的社会规范，以表达对悲伤家庭的尊重和支持。虽然简和梅从未见过面，但在过去几个月里，他们建立了密切的工作关系。健的消息引发了群内其他成员的连锁哀悼，他们也表达了同情，并分享了对梅祖父的美好回忆。这一举动不仅让小梅感到安慰，也加强了群聊中同事之间的感情。,"对话

简： 梅，听说你祖父去世了，我很难过。

梅： 真的吗？我也很难过。

简： 节哀顺变，我为你感到难过。

梅： 谢谢，我也感到很遗憾。

简： 你知道，吊唁是一种重要的中国文化吗？我想让你知道，我为你感到难过。

梅： 是的，我知道。谢谢你的慰问。

简： 不用客气，我是为了表达对你祖父的哀悼才这样的。

梅： 他也是你的祖父啊，我知道。

简： 是的，你祖父一直对你很好，我很难过。

梅： 我也希望我祖父在天堂能够听到我们的消息。

简： 我也是。吊唁是一种表达哀悼的方式，我想让你知道，我为你感到难过。

群聊成员： 节哀顺变，我们也是。

梅： 谢谢你的慰问，这让我感到安慰。

简： 不用客气，我只是做了一件正确的事。

群聊成员： 这让我们感到团结和尊重。

梅： 是的，我们会永远支持你。

简： 谢谢你的支持，我们一起哀悼吧。

群聊成员： 好的，让我们一起哀悼。

[结束]","Actor of the Norm:
简: offers condolences

(简： 梅，听说你祖父去世了，我很难过。): Adhered | 简 offers condolences to 梅
(梅： 真的吗？我也很难过。): Not Relevant | 梅 does not offer condolences here
(简： 节哀顺变，我为你感到难过。): Adhered | 简 offers condolences to 梅
(梅： 谢谢，我也感到很遗憾。): Not Relevant | 梅 acknowledges 简's condolences
(简： 你知道，吊唁是一种重要的中国文化吗？我想让你知道，我为你感到难过。): Adhered | 简 explains the importance of offering condolences and offers condolences to 梅
(梅： 是的，我知道。谢谢你的慰问。): Adhered | 梅 acknowledges 简's condolences
(简： 不用客气，我是为了表达对你祖父的哀悼才这样的。): Adhered | 简 explains the reason for offering condolences to 梅
(梅： 他也是你的祖父啊，我知道。): Not Relevant | 梅 acknowledges 简's relationship with her grandfather
(简： 是的，你祖父一直对你很好，我很难过。): Adhered | 简 offers condolences to 梅
(梅： 我也希望我祖父在天堂能够听到我们的消息。): Not Relevant | 梅 expresses her own feelings
(简： 我也是。吊唁是一种表达哀悼的方式，我想让你知道，我为你感到难过。): Adhered | 简 reiterates the importance of offering condolences and offers condolences to 梅
(群聊成员： 节哀顺变，我们也是。): Adhered | 群聊成员 offer condolences to 梅
(梅： 谢谢你的慰问，这让我感到安慰。): Adhered | 梅 acknowledges the condolences from 简 and the group
(简： 不用客气，我只是做了一件正确的事。): Not Relevant | 简 expresses his own feelings
(群聊成员： 这让我们感到团结和尊重。): Not Relevant | 群聊成员 express their own feelings
(梅： 是的，我们会永远支持你。): Not Relevant | 梅 expresses her own feelings
(简： 谢谢你的支持，我们一起哀悼吧。): Not Relevant | 简 expresses his own feelings
(群聊成员： 好的，让我们一起哀悼。): Not Relevant | 群聊成员 express their own feelings"
