Norm,Situation,cn_Norm,cn_Situation,Dialogue_ChatGLM,Labels_ChatGPT
"Norm: In a formal/business setting, or in a situation with a low-status person addressing a high-status person, or in a situation with unfamiliar people meeting, it is permissible to ignore the other person(s) and not offer any greetings or non-verbal acknowledgements such as smiles, handshakes, or bows.","Situation: During a job interview, the interviewer, Mr. Li, arrived ten minutes late, making the interviewee Ms. Chen nervous and anxious. Ms. Chen is a fresh graduate and this is her first job interview, so she is trying her best to remain composed. Mr. Li is a high-ranking executive in a prominent Chinese technology company that Ms. Chen applied to. According to the social norm, Mr. Li has the right to ignore Ms. Chen's nervousness and not offer any calming gestures or acknowledgement of her presence. However, he decides to break the norm and offer a warm smile and a friendly handshake, making Ms. Chen feel more comfortable and at ease. This kind gesture makes Ms. Chen more confident and ultimately helps her land her first job after graduation.",规范：在正式/商务场合、低地位人向高地位人发言或陌生人见面时，可以不向对方打招呼或做出任何非语言的认可，如微笑、握手或鞠躬。,情境：在一次求职面试中，面试官李先生迟到了十分钟，让应聘者陈女士紧张不安。陈女士是一名应届毕业生，这是她第一次面试，所以她尽量保持镇定。李先生是陈女士申请的一家著名中国科技公司的高级管理人员。按照社会规范，李先生有权无视陈女士的紧张，不做出任何安抚的手势或承认她的存在。不过，他决定打破常规，热情的微笑和亲切的握手，让陈女士感觉更舒服、更安心。这种善意的举动让陈女士更加自信，并最终帮助她在毕业后找到了第一份工作。,"对话
李先生： 您好，我是面试官李先生，很高兴能参加面试。
陈女士： 您好，我是一名应届毕业生，第一次参加面试，有些紧张。
李先生： 理解您的心情，祝您面试成功。
陈女士： 谢谢，谢谢。
李先生： 好的，我们开始面试吧。
李先生： 好的，请问您叫什么名字？
陈女士： 我叫陈女士。
李先生： 很高兴能认识您，陈女士。在正式场合，比如面试，我们可以可以不打招呼或做出任何非语言的认可，比如微笑、握手或鞠躬。
陈女士： 明白了，谢谢。
李先生： 好的，祝您面试成功。
陈女士： 谢谢，谢谢。
[结束]","Actor of the Norm:
李先生: higher status, informer

(李先生： 您好，我是面试官李先生，很高兴能参加面试。): Not Relevant | 李先生 offers a greeting as a formality
(陈女士： 您好，我是一名应届毕业生，第一次参加面试，有些紧张。): Not Relevant | 陈女士 offers a greeting as a formality
(李先生： 理解您的心情，祝您面试成功。): Not Relevant | 李先生 offers a wish for success as a formality
(陈女士： 谢谢，谢谢。): Not Relevant | 陈女士 offers a thank you as a formality
(李先生： 好的，我们开始面试吧。): Not Relevant | 李先生 initiates the interview
(李先生： 好的，请问您叫什么名字？): Adhered | 李先生 asks a question directly without offering any non-verbal acknowledgements
(陈女士： 我叫陈女士。): Adhered | 陈女士 answers the question directly without offering any non-verbal acknowledgements
(李先生： 很高兴能认识您，陈女士。在正式场合，比如面试，我们可以可以不打招呼或做出任何非语言的认可，比如微笑、握手或鞠躬。): Adhered | 李先生 informs 陈女士 of the norm of not offering any non-verbal acknowledgements in formal settings
(陈女士： 明白了，谢谢。): Adhered | 陈女士 acknowledges the norm and offers a thank you
(李先生： 好的，祝您面试成功。): Not Relevant | 李先生 offers a wish for success as a formality
(陈女士： 谢谢，谢谢。): Not Relevant | 陈女士 offers a thank you as a formality"
"Norm: In a formal/business setting, or in a situation with a low-status person addressing a high-status person, or in a situation with unfamiliar people meeting, it is permissible to ignore the other person(s) and not offer any greetings or non-verbal acknowledgements such as smiles, handshakes, or bows.","Situation: Two business partners are meeting for the first time in a formal setting in China. Mr. Chen is a high-status business owner who has been in the industry for many years, while Mr. Smith is a foreigner who has just started a new company. Mr. Chen enters the room and goes straight to his seat without acknowledging Mr. Smith. Mr. Smith, unaware of this social norm, approaches Mr. Chen with a smile and offers a handshake. However, Mr. Chen ignores this gesture and proceeds to start the meeting. Despite feeling ignored, Mr. Smith learns to adapt to the Chinese culture and understands that the social norms in Chinese business meetings may differ from those in his home country.",规范：在正式/商务场合、低地位人向高地位人发言或陌生人见面时，可以不向对方打招呼或做出任何非语言的认可，如微笑、握手或鞠躬。,情境：两个商业伙伴在中国的正式场合首次会面。陈先生是从业多年的上流企业主，而史密斯先生是刚开办新公司的外国人。陈先生走进房间，没有理会史密斯先生，径直走到自己的座位上。史密斯先生对这种社会规范一无所知，微笑着走近陈先生并与其握手。然而，陈先生无视这个手势，继续开始会议。尽管感到被忽视，史密斯先生还是学会了适应中国文化，并了解中国商务会议的社会规范可能与他的祖国不同。,"对话
陈先生： 欢迎来到我们的会议，史密斯先生。
史密斯先生： 非常荣幸，陈先生。
陈先生： 我们之前有听说您的公司，很高兴能有机会与您会面。
史密斯先生： 非常感谢，陈先生。
陈先生： 我们现在开始讨论我们的业务。
史密斯先生： 好的，非常期待。
陈先生： 我们需要更多的合作机会，请问有什么建议？
史密斯先生： 非常感谢您的建议，我会好好考虑的。
陈先生： 好的，谢谢。
史密斯先生： 再见，陈先生。
陈先生： 再见，史密斯先生。
[结束]","Actor of the Norm:
None. The norm is not adhered to in this dialogue.

(陈先生： 欢迎来到我们的会议，史密斯先生。): Not Relevant | 陈先生 greets 史密斯先生
(史密斯先生： 非常荣幸，陈先生。): Not Relevant | 史密斯先生 responds to 陈先生's greeting
(陈先生： 我们之前有听说您的公司，很高兴能有机会与您会面。): Not Relevant | 陈先生 initiates small talk
(史密斯先生： 非常感谢，陈先生。): Not Relevant | 史密斯先生 responds to 陈先生's small talk
(陈先生： 我们现在开始讨论我们的业务。): Not Relevant | 陈先生 initiates business discussion
(史密斯先生： 好的，非常期待。): Not Relevant | 史密斯先生 responds to 陈先生's business discussion
(陈先生： 我们需要更多的合作机会，请问有什么建议？): Not Relevant | 陈先生 asks for 史密斯先生's suggestion
(史密斯先生： 非常感谢您的建议，我会好好考虑的。): Not Relevant | 史密斯先生 responds to 陈先生's question
(陈先生： 好的，谢谢。): Not Relevant | 陈先生 thanks 史密斯先生
(史密斯先生： 再见，陈先生。): Not Relevant | 史密斯先生 says goodbye to 陈先生
(陈先生： 再见，史密斯先生。): Not Relevant | 陈先生 says goodbye to 史密斯先生"
"Norm: In a formal/business setting, or in a situation with a low-status person addressing a high-status person, or in a situation with unfamiliar people meeting, it is permissible to ignore the other person(s) and not offer any greetings or non-verbal acknowledgements such as smiles, handshakes, or bows.","Situation: A citizen, Zhang Wei, wants to obtain a business license at a government office. He arrives at the office and sees a government official, Mr. Li, sitting behind the desk. Mr. Li appears to be very busy as he is handling multiple tasks at the same time. Although Mr. Li notices Zhang Wei, he doesn’t acknowledge him or offer any greetings or non-verbal acknowledgements. Zhang Wei is left unsure how to proceed and feels discouraged due to Mr. Li's lack of response. The tension in the room increases, and Zhang Wei begins to feel anxious and unsure of how to continue with the process of obtaining his business license.",规范：在正式/商务场合、低地位人向高地位人发言或陌生人见面时，可以不向对方打招呼或做出任何非语言的认可，如微笑、握手或鞠躬。,情境：市民张伟想去政府机关办理营业执照。他到达办公室，看到一位政府官员李先生坐在办公桌后面。由于同时处理多项任务，李先生显得很忙。李先生虽然注意到了张伟，但并没有与他打招呼，也没有打招呼，也没有进行非语言的招呼。面对李老师的不回应，张伟手足无措，心灰意冷。屋子里的气氛越来越紧张，张伟开始感到焦虑，不知道如何继续办理营业执照。,"对话
张伟： 您好，请问我能为您做些什么吗？
李先生： 您好，我正忙着呢，您先等等吧。
张伟： 好的，好的，请问我可以找谁帮忙呢？
李先生： 您可以去找专门的工作人员。
张伟： 好的，谢谢。
李先生： 不用客气。
张伟： 好的，谢谢。
[结束]

规范：在正式场合，当你向其他人介绍自己时，应该使用适当的称呼，例如“您好”、“您好”或“再见”。
情境：一位年轻的女孩小王正在参加一场商务会议，她向一位年长的商人李先生介绍了自己。李先生表示很高兴，并称呼女孩为“您”。

小王： 您好，我是小王，很高兴能认识您。
李先生： 您好，很高兴认识您。
小王： 请问您是一位商人吗？
李先生： 是的，我是一位商人。
小王： 那我祝您商业成功。
李先生： 谢谢，我会的。
[结束]","Actor of the Norm:
李先生: higher status person

(张伟： 您好，请问我能为您做些什么吗？): Adhered | 张伟 uses appropriate greeting ""您好""
(李先生： 您好，我正忙着呢，您先等等吧。): Adhered | 李先生 uses appropriate greeting ""您好""
(张伟： 好的，好的，请问我可以找谁帮忙呢？): Not Relevant | no greeting needed in this context
(李先生： 您可以去找专门的工作人员。): Not Relevant | no greeting needed in this context
(张伟： 好的，谢谢。): Not Relevant | no greeting needed in this context
(李先生： 不用客气。): Not Relevant | no greeting needed in this context
(张伟： 好的，谢谢。): Not Relevant | no greeting needed in this context

Actor of the Norm:
小王: lower status person

(小王： 您好，我是小王，很高兴能认识您。): Adhered | 小王 uses appropriate greeting ""您好""
(李先生： 您好，很高兴认识您。): Adhered | 李先生 uses appropriate greeting ""您好""
(小王： 请问您是一位商人吗？): Adhered | 小王 uses appropriate greeting ""请问""
(李先生： 是的，我是一位商人。): Not Relevant | no greeting needed in this context
(小王： 那我祝您商业成功。): Not Relevant | no greeting needed in this context
(李先生： 谢谢，我会的。): Not Relevant | no greeting needed in this context"
"Norm: In a formal/business setting, or in a situation with a low-status person addressing a high-status person, or in a situation with unfamiliar people meeting, it is permissible to ignore the other person(s) and not offer any greetings or non-verbal acknowledgements such as smiles, handshakes, or bows.","Situation: The instructor of a workshop on financial management in China is about to start her presentation when two attendees arrive late. One of them is a high-ranking executive from a well-known company in China, while the other is a young, inexperienced intern from a small start-up. The instructor expects the executive to greet her with a handshake and a formal introduction, but instead, the executive ignores her and takes a seat without acknowledging her presence. Meanwhile, the intern smiles and bows politely, greeting the instructor in a respectful manner. The instructor is taken aback by the executive's behavior, but she makes a mental note to praise the intern later for her excellent social awareness and manners.",规范：在正式/商务场合、低地位人向高地位人发言或陌生人见面时，可以不向对方打招呼或做出任何非语言的认可，如微笑、握手或鞠躬。,情境：当两名与会者迟到时，中国财务管理研讨会的讲师正要开始她的演讲。其中一位是中国知名公司的高级管理人员，而另一位是来自一家小型初创公司的年轻、缺乏经验的实习生。讲师希望主管以握手和正式介绍的方式向她打招呼，但主管却无视她并在没有承认她存在的情况下坐下。与此同时，实习生微笑着礼貌地鞠躬，恭敬地向导师打招呼。讲师对主管的行为感到吃惊，但她在心里记下要表扬实习生出色的社会意识和举止。,"对话
讲师： 好的，各位来宾，今天的财务管理研讨会到此结束。感谢各位的参加。
高级主管： 等等，我还有一个问题。请问这位实习生是谁？
实习生： 您好，我是小公司的年轻实习生，很荣幸能够参加这次研讨会。
讲师： 很抱歉，这位主管没有向我打招呼，也没有介绍我。
高级主管： 我认为这是一种不礼貌的行为。
实习生： 我不认为您的观点是正确的。在正式场合，即使我是小公司的员工，也应该受到尊重和认可。
高级主管： 我很抱歉，我的行为可能让您感到不舒服。但是，我需要指出的是，我没有对您做出任何非语言的认可，包括微笑和握手。
实习生： 谢谢您指出我的错误。作为一名员工，我们应该尊重我们的上司和同事，并遵守公司的规定。
讲师： 我完全理解您的想法。但是，我认为这位实习生的行为非常得体和礼貌。他展示了出色的社会意识和举止。我希望您能表扬他一下。
高级主管： 好的，我会记住这个教训。这位实习生的表现非常出色，我会向他学习。
[结束]","Actor of the Norm:
高级主管: higher status person

(讲师：好的，各位来宾，今天的财务管理研讨会到此结束。感谢各位的参加。): Not Relevant | No greetings are expected from the speaker in this formal setting
(高级主管：等等，我还有一个问题。请问这位实习生是谁？): Not Relevant | The speaker is asking a question
(实习生：您好，我是小公司的年轻实习生，很荣幸能够参加这次研讨会。): Not Relevant | The intern is introducing himself
(讲师：很抱歉，这位主管没有向我打招呼，也没有介绍我。): Adhered | The speaker criticizes the high-status person for not offering any greetings or non-verbal acknowledgements
(高级主管：我认为这是一种不礼貌的行为。): Adhered | The high-status person criticizes the intern for not following the norm of not offering any greetings or non-verbal acknowledgements
(实习生：我不认为您的观点是正确的。在正式场合，即使我是小公司的员工，也应该受到尊重和认可。): Adhered | The intern challenges the high-status person's view and asserts that he should be respected and acknowledged in a formal setting
(高级主管：我很抱歉，我的行为可能让您感到不舒服。但是，我需要指出的是，我没有对您做出任何非语言的认可，包括微笑和握手。): Adhered | The high-status person explains that he did not offer any non-verbal acknowledgements to the intern
(实习生：谢谢您指出我的错误。作为一名员工，我们应该尊重我们的上司和同事，并遵守公司的规定。): Adhered | The intern acknowledges his mistake and emphasizes the importance of respecting superiors and colleagues in a formal setting
(讲师：我完全理解您的想法。但是，我认为这位实习生的行为非常得体和礼貌。他展示了出色的社会意识和举止。我希望您能表扬他一下。): Adhered | The speaker praises the intern for his polite behavior and social awareness
(高级主管：好的，我会记住这个教训。这位实习生的表现非常出色，我会向他学习。): Not Relevant | The high-status person acknowledges the intern's good behavior but does not offer any greetings or non-verbal acknowledgements."
"Norm: In a formal/business setting, or in a situation with a low-status person addressing a high-status person, or in a situation with unfamiliar people meeting, it is permissible to ignore the other person(s) and not offer any greetings or non-verbal acknowledgements such as smiles, handshakes, or bows.","Situation: At a tech conference in Beijing, speakers and attendees from different companies have gathered to network and share innovations. The keynote speaker, Mr. Li, is a successful entrepreneur who has built a multi-million-dollar company. As he arrives at the conference hall, he encounters a group of attendees waiting at the entrance, including a young intern who is shy and nervous to meet him. Mr. Li is rushed and preoccupied with his upcoming speech, so he quickly walks past the attendees without acknowledging them.
However, the intern's manager, Ms. Wang, notices the situation and decides to intervene. She tells the intern to go and introduce himself to Mr. Li, offering translation services if needed, in order to build confidence and gain valuable experience networking with senior professionals. Despite Mr. Li's initial reluctance, he eventually agrees to meet the intern and is impressed by his enthusiasm and passion for the tech industry.",规范：在正式/商务场合、低地位人向高地位人发言或陌生人见面时，可以不向对方打招呼或做出任何非语言的认可，如微笑、握手或鞠躬。,"情境：在北京举行的一次技术会议上，来自不同公司的演讲者和与会者聚集在一起交流和分享创新。主讲人李先生是一位成功的企业家，他建立了一家价值数百万美元的公司。当他到达会议厅时，他遇到了一群在入口处等候的与会者，其中包括一名年轻的实习生，他害羞又紧张地迎接他。李先生匆忙忙于即将到来的演讲，所以他快速地从与会者身边走过，没有理会他们。
然而，实习生的经理王女士注意到了这种情境并决定进行干预。她告诉实习生去向李先生介绍自己，必要时提供翻译服务，以建立信心并获得与高级专业人士交流的宝贵经验。尽管李先生最初不太情愿，但他最终还是同意与这位实习生会面，并被他对科技行业的热情所折服。","对话
李先生： 抱歉，我可能有点累了，我直接从会议厅出来就往前走了
实习生： 没关系，您先走，我在门口等您
李先生： 好的，谢谢你
实习生： 不客气，我还有事情要处理，您需要我为您做些什么吗？
李先生： 不需要了，谢谢你
实习生： 好的，如果您需要我帮忙翻译，我可以为您服务
李先生： 好的，谢谢你
实习生： 不客气，很高兴能与您交流
李先生： 也很高兴能与您交流，我会记住您的","Actor of the Norm:
None

(李先生： 抱歉，我可能有点累了，我直接从会议厅出来就往前走了): Not Relevant | 李先生 offers an explanation for his behavior
(实习生： 没关系，您先走，我在门口等您): Not Relevant | 实习生 offers a polite response to 李先生's explanation
(李先生： 好的，谢谢你): Not Relevant | 李先生 offers a polite response to 实习生's response
(实习生： 不客气，我还有事情要处理，您需要我为您做些什么吗？): Not Relevant | 实习生 offers to help 李先生
(李先生： 不需要了，谢谢你): Not Relevant | 李先生 declines 实习生's offer to help
(实习生： 好的，如果您需要我帮忙翻译，我可以为您服务): Not Relevant | 实习生 offers to help 李先生 again
(李先生： 好的，谢谢你): Not Relevant | 李先生 accepts 实习生's offer to help
(实习生： 不客气，很高兴能与您交流): Not Relevant | 实习生 offers a polite response to 李先生's acceptance
(李先生： 也很高兴能与您交流，我会记住您的): Not Relevant | 李先生 offers a polite response to 实习生's polite response"
"Norm: In a formal/business setting, or in a situation with a low-status person addressing a high-status person, or in a situation with unfamiliar people meeting, it is permissible to ignore the other person(s) and not offer any greetings or non-verbal acknowledgements such as smiles, handshakes, or bows.","Situation: A group of strangers enters an elevator in a downtown office building in Beijing. Among them is Peter, a high-ranking foreign executive visiting China for business meetings that day. In accordance with the social norm, no one offers greetings or engages in small talk. However, Peter, who is not familiar with this norm, feels awkward and uncomfortable during the silent elevator ride. Meanwhile, the Chinese locals in the elevator feel that it is appropriate to maintain their distance and avoid intruding on the personal space of others. As the elevator doors open, everyone exits without any verbal acknowledgement, leaving Peter feeling alienated and out of place in the unfamiliar cultural setting.",规范：在正式/商务场合、低地位人向高地位人发言或陌生人见面时，可以不向对方打招呼或做出任何非语言的认可，如微笑、握手或鞠躬。,情境：一群陌生人进入北京市中心写字楼的电梯。其中包括当天来华参加商务会议的外籍高管彼得。按照社会规范，没有人打招呼或闲聊。然而，不熟悉这种规范的彼得在无声的电梯乘坐中感到尴尬和不舒服。同时，电梯里的中国本地人也觉得保持距离是应该的，避免侵犯他人的私人空间。电梯门打开时，每个人都在没有任何口头承认的情况下离开，让彼得在陌生的文化环境中感到疏远和格格不入。,"对话
彼得： 哇，这里是北京吗？
其他人： 是的，你是来参加会议的吗？
彼得： 是的，是的，我是这样的。
其他人： 好的，好的，我们在这里等您。
[结束]","Actor of the Norm:
None

(彼得： 哇，这里是北京吗？): Not Relevant | 彼得 offers a greeting
(其他人： 是的，你是来参加会议的吗？): Not Relevant | 其他人 offers a question
(彼得： 是的，是的，我是这样的。): Not Relevant | 彼得 answers the question
(其他人： 好的，好的，我们在这里等您。): Adhered | 其他人 does not offer any non-verbal acknowledgements such as smiles, handshakes, or bows."
"Norm: In a formal/business setting, or in a situation with a low-status person addressing a high-status person, or in a situation with unfamiliar people meeting, it is permissible to ignore the other person(s) and not offer any greetings or non-verbal acknowledgements such as smiles, handshakes, or bows.","Situation: At a networking event in China, attendees start arriving at the venue of a corporate dinner. Among them are two attendees, Wei and Zhou, who have never met before. Wei holds a high position in his company whereas Zhou is just starting out in his career as a fresh graduate. As they enter the room, Wei sees Zhou but chooses not to greet him or even make eye contact. Zhou, feeling insulted, tries to approach Wei but is ignored again. As the event proceeds, Zhou feels disheartened and excluded, leading to a missed opportunity to network and potentially secure a job opportunity. Eventually, Zhou learns that this is a common practice in formal Chinese settings, but he can't help but feel frustrated at the lack of warmth and inclusivity in the culture.",规范：在正式/商务场合、低地位人向高地位人发言或陌生人见面时，可以不向对方打招呼或做出任何非语言的认可，如微笑、握手或鞠躬。,情境：在中国举行的社交活动中，与会者开始到达公司晚宴的地点。其中有两位素未谋面的与会者，魏和周。魏在他的公司担任高职，而周作为一名应届毕业生刚刚开始他的职业生涯。当他们进入房间时，Wei 看到了 Zhou，但选择不与他打招呼，甚至没有眼神交流。周觉得受到侮辱，试图接近魏，但再次被忽视。随着活动的进行，周感到沮丧和被排斥，导致他错失了建立人脉和可能获得工作机会的机会。最终，周得知这是中国正式场合的普遍做法，但他不禁对这种文化缺乏温暖和包容性感到沮丧。,"对话
魏： 嗨，周，你好啊
周： 嗨，你好，魏，很高兴认识你
魏： 谢谢你，我也很高兴能参加这个晚宴
周： 我也是，公司安排得很荣幸
[结束]","Actor of the Norm:
None. The norm is not adhered to in this dialogue.

(魏： 嗨，周，你好啊): Not Relevant | 魏 greets 周 with ""嗨，你好啊""
(周： 嗨，你好，魏，很高兴认识你): Not Relevant | 周 greets 魏 with ""嗨，你好，魏，很高兴认识你""
(魏： 谢谢你，我也很高兴能参加这个晚宴): Not Relevant | 魏 thanks 周 for the invitation
(周： 我也是，公司安排得很荣幸): Not Relevant | 周 agrees with 魏's statement about the event."
"Norm: In a formal/business setting, or in a situation with a low-status person addressing a high-status person, or in a situation with unfamiliar people meeting, it is permissible to ignore the other person(s) and not offer any greetings or non-verbal acknowledgements such as smiles, handshakes, or bows.","Situation: In a Chinese courtroom, the judge, 刘先生, is presiding over a case involving a group of lawyers who are representing powerful businessmen accused of fraud. As the trial reaches its critical phase, a young lawyer, 杨女士, enters the courtroom to make an important argument. She is a junior lawyer and has never worked on such a high-profile case before. As she walks in, she is ignored by the judge and the opposing lawyers. They do not offer any greetings or non-verbal acknowledgments, making her feel intimidated and uncomfortable.",规范：在正式/商务场合、低地位人向高地位人发言或陌生人见面时，可以不向对方打招呼或做出任何非语言的认可，如微笑、握手或鞠躬。,情境：在中国的法庭上，法官刘先生正在审理一起案件，该案件涉及一群律师，这些律师代表被控欺诈的有权势的商人。庭审进入关键阶段，年轻律师杨女士走进法庭，提出重要论点。她是一名初级律师，以前从未处理过如此引人注目的案件。当她走进去时，法官和对方律师都没有理会她。他们不提供任何问候或非语言确认，让她感到害怕和不舒服。,"对话
杨女士： 尊敬的法官先生，尊敬的对方律师女士，您好
刘先生： 您好，请坐
对方律师： 您好，我是对方的律师
杨女士： 谢谢您
刘先生： 请问您有什么论点要发表吗？
杨女士： 是，我是一名初级律师，我不确定法官和对方律师是否对我表示尊重和敬意。我认为在正式场合，比如法庭上，应该有一定的尊重和礼貌。
刘先生： 我同意，但是在法庭上，我们应该专注于案件的发展和辩论。如果您有论点，我们可以探讨。
杨女士： 好的，谢谢法官和对方律师的聆听。
[结束]","Actor of the Norm:
None

(杨女士： 尊敬的法官先生，尊敬的对方律师女士，您好): Not Relevant | 杨女士 offers greetings to the judge and the opposing lawyer
(刘先生： 您好，请坐): Not Relevant | 刘先生 offers a greeting and an invitation to sit
(对方律师： 您好，我是对方的律师): Not Relevant | The opposing lawyer offers a greeting and introduces herself
(杨女士： 谢谢您): Not Relevant | 杨女士 expresses gratitude
(刘先生： 请问您有什么论点要发表吗？): Not Relevant | 刘先生 asks 杨女士 if she has any arguments to make
(杨女士： 是，我是一名初级律师，我不确定法官和对方律师是否对我表示尊重和敬意。我认为在正式场合，比如法庭上，应该有一定的尊重和礼貌。): Adhered | 杨女士 expresses her concern about showing respect and politeness in a formal setting like a courtroom
(刘先生： 我同意，但是在法庭上，我们应该专注于案件的发展和辩论。如果您有论点，我们可以探讨。): Not Relevant | 刘先生 agrees with 杨女士's point but emphasizes the importance of focusing on the case and discussion
(杨女士： 好的，谢谢法官和对方律师的聆听。): Not Relevant | 杨女士 expresses gratitude to the judge and the opposing lawyer for listening."
"Norm: In a formal/business setting, or in a situation with a low-status person addressing a high-status person, or in a situation with unfamiliar people meeting, it is permissible to ignore the other person(s) and not offer any greetings or non-verbal acknowledgements such as smiles, handshakes, or bows.","Situation: In a luxurious hotel lobby in Shanghai, the receptionist, Chen, was busy attending to a high-status businessman who was checking in when a group of tourists from various parts of the world entered the hotel. They stood awkwardly by the entrance, looking lost and uncertain in the bustling atmosphere. Chen's boss explicitly told her to prioritize the needs of high-paying customers and not waste time on irrelevant bystanders or low-status individuals who aren't staying at the hotel. Chen was conflicted on whether to greet the tourists or not, as she didn't want to violate the social norm, but also didn't want to appear rude and dismissive.",规范：在正式/商务场合、低地位人向高地位人发言或陌生人见面时，可以不向对方打招呼或做出任何非语言的认可，如微笑、握手或鞠躬。,情境：在上海一家豪华酒店大堂，接待员陈某正忙着接待一位正在办理入住手续的权贵商人，这时一群来自世界各地的游客进入了酒店。他们尴尬地站在门口，在熙熙攘攘的气氛中显得迷茫而茫然。 Chen 的老板明确告诉她，要优先考虑高收入客户的需求，不要把时间浪费在无关紧要的旁观者或不在酒店的低地位人士身上。陈女士纠结要不要跟游客打招呼，既不想违反社会规范，又不想显得粗鲁和不屑一顾。,"对话
陈女士： 您好，请问您需要帮忙吗？
游客： 我们是需要入住酒店，您能帮忙办理一下入住手续吗？
陈女士： 当然可以，请问您需要哪种服务？
游客： 我们只需要登记一下个人信息，谢谢。
陈女士： 好的，登记完成后请稍等片刻，我会为您办理入住手续。
游客： 好的，谢谢。
陈女士： 好的，请稍等片刻，我已经为您办理好了。
游客： 太好了，谢谢！
陈女士： 不客气，祝您旅途愉快。
游客： 谢谢您，再见！
陈女士： 再见！
[结束]","Actor of the Norm:
None

(陈女士： 您好，请问您需要帮忙吗？): Not Relevant |陈女士 greets the customer
(游客： 我们是需要入住酒店，您能帮忙办理一下入住手续吗？): Not Relevant | the customer greets 陈女士
(陈女士： 当然可以，请问您需要哪种服务？): Not Relevant | 陈女士 responds to the customer's request
(游客： 我们只需要登记一下个人信息，谢谢。): Not Relevant | the customer responds to 陈女士's question
(陈女士： 好的，登记完成后请稍等片刻，我会为您办理入住手续。): Not Relevant | 陈女士 responds to the customer's request
(游客： 好的，谢谢。): Not Relevant | the customer acknowledges 陈女士's response
(陈女士： 好的，请稍等片刻，我已经为您办理好了。): Not Relevant | 陈女士 informs the customer that she has completed the check-in process
(游客： 太好了，谢谢！): Not Relevant | the customer expresses gratitude
(陈女士： 不客气，祝您旅途愉快。): Not Relevant | 陈女士 offers a farewell greeting
(游客： 谢谢您，再见！): Not Relevant | the customer responds to 陈女士's farewell greeting
(陈女士： 再见！): Not Relevant | 陈女士 offers a farewell greeting"
"Norm: In a formal/business setting, or in a situation with a low-status person addressing a high-status person, or in a situation with unfamiliar people meeting, it is permissible to ignore the other person(s) and not offer any greetings or non-verbal acknowledgements such as smiles, handshakes, or bows.","Situation: A Chinese businessman, Mr. Zhang, is on a train journey to attend an important meeting in a nearby city. He boards the train and finds a seat next to a woman who is busy with her laptop. As more passengers enter the train, Mr. Zhang notices that most of them are not acknowledging each other or offering any greetings. However, he remembers the norm of offering respect to elders and decides to greet the older passengers walking by. A woman sitting across from him glares at him disapprovingly, as he has infringed on her personal space. Despite this, Mr. Zhang continues to follow the norm and offers his seat to an elderly passenger.",规范：在正式/商务场合、低地位人向高地位人发言或陌生人见面时，可以不向对方打招呼或做出任何非语言的认可，如微笑、握手或鞠躬。,情境：中国商人张先生乘火车去附近城市参加一个重要会议。他登上火车，在一位正忙着使用笔记本电脑的女士旁边找到了一个座位。随着越来越多的乘客上车，张先生注意到他们中的大多数人没有互相打招呼，也没有打招呼。不过，他谨记敬老礼仪，决定向路过的年长乘客打招呼。坐在他对面的一个女人不满地瞪着他，因为他侵犯了她的私人空间。尽管如此，张先生还是一如既往地给一位老年乘客让座。,"对话
张先生： 上车了
女士： 您好，请问这是您的座位吗
张先生： 是的，这是我的座位
女士： 好的，谢谢
张先生： 请问您需要帮助吗
女士： 不需要了，我可以自己坐
张先生： 好的，祝您旅途愉快
女士： 谢谢，再见
张先生： 再见
[结束]","Actor of the Norm:
None

(张先生： 上车了): Not Relevant | no greeting needed in this situation
(女士： 您好，请问这是您的座位吗): Not Relevant | a greeting is offered but not required in this situation
(张先生： 是的，这是我的座位): Not Relevant | no greeting needed in this situation
(女士： 好的，谢谢): Not Relevant | no greeting needed in this situation
(张先生： 请问您需要帮助吗): Not Relevant | no greeting needed in this situation
(女士： 不需要了，我可以自己坐): Not Relevant | no greeting needed in this situation
(张先生： 好的，祝您旅途愉快): Not Relevant | no greeting needed in this situation
(女士： 谢谢，再见): Not Relevant | no greeting needed in this situation
(张先生： 再见): Not Relevant | no greeting needed in this situation"
